Time(s)	GREEN_denoised_wiener
0.000000	-78.129847
0.010000	-110.360355
0.020000	-115.302461
0.030000	-117.234227
0.040000	-115.863767
0.050000	-111.789740
0.060000	-105.771338
0.070000	-98.691379
0.080000	-91.692037
0.090000	-85.938793
0.100000	-79.951140
0.110000	-72.866871
0.120000	-63.889349
0.130000	-53.477281
0.140000	-41.839047
0.150000	-28.765347
0.160000	-15.137168
0.170000	-2.734600
0.180000	7.889407
0.190000	17.621467
0.200000	27.905587
0.210000	37.959536
0.220000	49.583686
0.230000	61.276739
0.240000	73.254746
0.250000	79.565284
0.260000	77.255704
0.270000	67.186001
0.280000	53.253410
0.290000	41.133381
0.300000	30.222357
0.310000	20.738209
0.320000	9.838127
0.330000	-0.655547
0.340000	-8.556462
0.350000	-12.395930
0.360000	-10.963042
0.370000	-7.827353
0.380000	-3.706329
0.390000	-0.272568
0.400000	2.878294
0.410000	6.939962
0.420000	11.113057
0.430000	17.816986
0.440000	26.662465
0.450000	38.352741
0.460000	51.528643
0.470000	64.209261
0.480000	76.389425
0.490000	87.386469
0.500000	97.909951
0.510000	107.884143
0.520000	117.420315
0.530000	128.375975
0.540000	140.246922
0.550000	152.523889
0.560000	158.378971
0.570000	155.674179
0.580000	144.506687
0.590000	129.827359
0.600000	115.287086
0.610000	102.297338
0.620000	90.719538
0.630000	79.755175
0.640000	69.811668
0.650000	61.870981
0.660000	58.230493
0.670000	58.301969
0.680000	60.971006
0.690000	63.384673
0.700000	66.378162
0.710000	70.122089
0.720000	74.106677
0.730000	77.515245
0.740000	82.499952
0.750000	89.560490
0.760000	98.882346
0.770000	108.255827
0.780000	117.259675
0.790000	126.276748
0.800000	136.295396
0.810000	147.619202
0.820000	158.649322
0.830000	170.291983
0.840000	182.323609
0.850000	193.953351
0.860000	204.321196
0.870000	209.596730
0.880000	206.644207
0.890000	195.238295
0.900000	178.967893
0.910000	162.874055
0.920000	147.937308
0.930000	134.498278
0.940000	121.894191
0.950000	110.114519
0.960000	100.177461
0.970000	94.056948
0.980000	91.778945
0.990000	93.657066
1.000000	96.694904
1.010000	100.253891
1.020000	104.269334
1.030000	108.841395
1.040000	114.167589
1.050000	119.082042
1.060000	125.063324
1.070000	132.309383
1.080000	140.614824
1.090000	148.857741
1.100000	156.825682
1.110000	165.399286
1.120000	174.357022
1.130000	184.266497
1.140000	194.542015
1.150000	205.793803
1.160000	217.046116
1.170000	226.976940
1.180000	231.867066
1.190000	227.147827
1.200000	215.030034
1.210000	198.978870
1.220000	183.519269
1.230000	168.453609
1.240000	154.668124
1.250000	142.917939
1.260000	133.472237
1.270000	125.034536
1.280000	117.937362
1.290000	113.811205
1.300000	112.052831
1.310000	111.576332
1.320000	110.489169
1.330000	111.009135
1.340000	112.574227
1.350000	115.433821
1.360000	119.982638
1.370000	125.511728
1.380000	132.383543
1.390000	139.575346
1.400000	147.110132
1.410000	155.295854
1.420000	162.821677
1.430000	172.349971
1.440000	182.177220
1.450000	192.398309
1.460000	203.188891
1.470000	213.766545
1.480000	224.192028
1.490000	229.443258
1.500000	225.854615
1.510000	212.783951
1.520000	194.185451
1.530000	176.119335
1.540000	159.490984
1.550000	141.767409
1.560000	122.457536
1.570000	103.410599
1.580000	87.081050
1.590000	74.705687
1.600000	66.690799
1.610000	62.987982
1.620000	60.279967
1.630000	57.264149
1.640000	54.863525
1.650000	53.527231
1.660000	54.103000
1.670000	54.771082
1.680000	56.671973
1.690000	58.997550
1.700000	62.900907
1.710000	66.871215
1.720000	72.459366
1.730000	78.725759
1.740000	87.011745
1.750000	95.893632
1.760000	104.553313
1.770000	112.382876
1.780000	120.085878
1.790000	128.526556
1.800000	131.920777
1.810000	126.663414
1.820000	111.081438
1.830000	90.473139
1.840000	68.223829
1.850000	47.268539
1.860000	28.347032
1.870000	10.044791
1.880000	-6.870410
1.890000	-22.528131
1.900000	-36.098665
1.910000	-45.778567
1.920000	-51.679107
1.930000	-54.043030
1.940000	-56.281991
1.950000	-58.645953
