Time(s)	RED_denoised_wiener
0.000000	2466.305220
0.010000	2512.358663
0.020000	2533.930558
0.030000	2558.126847
0.040000	2574.345519
0.050000	2600.161105
0.060000	2631.889937
0.070000	2686.438905
0.080000	2743.184055
0.090000	2798.281350
0.100000	2836.631580
0.110000	2865.702508
0.120000	2887.914365
0.130000	2907.643872
0.140000	2926.035461
0.150000	2933.735931
0.160000	2935.373475
0.170000	2940.017675
0.180000	2953.880076
0.190000	2951.721742
0.200000	2940.984056
0.210000	2913.556276
0.220000	2832.180040
0.230000	2656.153358
0.240000	2420.495341
0.250000	2223.158938
0.260000	2105.108244
0.270000	2062.126895
0.280000	2090.270125
0.290000	2150.495520
0.300000	2207.270799
0.310000	2232.378794
0.320000	2242.889140
0.330000	2262.104517
0.340000	2284.920152
0.350000	2297.963577
0.360000	2290.780561
0.370000	2278.379276
0.380000	2275.124548
0.390000	2277.563343
0.400000	2280.279063
0.410000	2292.268183
0.420000	2316.897887
0.430000	2348.426345
0.440000	2376.982267
0.450000	2398.408975
0.460000	2413.554357
0.470000	2422.194472
0.480000	2430.949555
0.490000	2444.443946
0.500000	2462.800314
0.510000	2480.477574
0.520000	2498.467162
0.530000	2516.303770
0.540000	2526.576576
0.550000	2535.962023
0.560000	2555.823936
0.570000	2586.714013
0.580000	2603.789993
0.590000	2630.050837
0.600000	2655.784621
0.610000	2647.438891
0.620000	2557.856871
0.630000	2425.842960
0.640000	2308.089747
0.650000	2227.597548
0.660000	2183.364639
0.670000	2174.458468
0.680000	2189.715760
0.690000	2203.716061
0.700000	2205.540702
0.710000	2201.787235
0.720000	2208.154243
0.730000	2224.242582
0.740000	2234.820202
0.750000	2231.140322
0.760000	2215.940361
0.770000	2201.484950
0.780000	2181.428173
0.790000	2158.939181
0.800000	2159.391796
0.810000	2182.067915
0.820000	2219.748391
0.830000	2250.565222
0.840000	2273.903465
0.850000	2293.144899
0.860000	2305.109851
0.870000	2303.784048
0.880000	2297.420590
0.890000	2281.116795
0.900000	2271.518127
0.910000	2269.130694
0.920000	2260.300104
0.930000	2235.543891
0.940000	2199.506546
0.950000	2175.057287
0.960000	2163.033751
0.970000	2156.261065
0.980000	2145.933301
0.990000	2136.542617
1.000000	2125.184863
1.010000	2058.722921
1.020000	1907.869702
1.030000	1684.196742
1.040000	1435.272605
1.050000	1173.722517
1.060000	866.700210
1.070000	534.106315
1.080000	200.347885
1.090000	-163.658239
1.100000	-575.864490
1.110000	-991.383446
1.120000	-1371.696989
1.130000	-1672.921038
1.140000	-1894.898351
1.150000	-2069.240167
1.160000	-2217.934124
1.170000	-2338.348263
1.180000	-2407.918061
1.190000	-2439.893260
1.200000	-2445.570778
1.210000	-2455.166622
1.220000	-2489.877370
1.230000	-2546.052619
1.240000	-2609.504782
1.250000	-2653.923947
1.260000	-2690.589578
1.270000	-2720.790813
1.280000	-2751.047200
1.290000	-2767.629324
1.300000	-2778.594038
1.310000	-2789.492430
1.320000	-2795.144963
1.330000	-2801.755760
1.340000	-2795.010538
1.350000	-2783.120662
1.360000	-2762.217986
1.370000	-2738.891330
1.380000	-2730.500709
1.390000	-2728.973129
1.400000	-2701.097315
1.410000	-2673.604420
1.420000	-2687.453097
1.430000	-2782.621677
1.440000	-2899.927060
1.450000	-2994.069460
1.460000	-3061.242557
1.470000	-3094.571541
1.480000	-3090.966313
1.490000	-3068.197234
1.500000	-3055.121940
1.510000	-3063.846752
1.520000	-3076.600401
1.530000	-3074.232419
1.540000	-3067.569491
1.550000	-3062.013153
1.560000	-3072.309198
1.570000	-3088.806798
1.580000	-3107.813470
1.590000	-3124.012442
1.600000	-3134.074570
1.610000	-3130.292320
1.620000	-3119.797557
1.630000	-3103.644819
1.640000	-3088.961367
1.650000	-3074.733915
1.660000	-3059.551166
1.670000	-3038.909707
1.680000	-3006.566128
1.690000	-2968.884804
1.700000	-2928.670706
1.710000	-2902.331350
1.720000	-2880.807439
1.730000	-2863.237175
1.740000	-2837.016660
1.750000	-2807.632047
1.760000	-2782.338040
1.770000	-2750.753706
1.780000	-2698.758947
1.790000	-2643.739581
1.800000	-2599.950139
1.810000	-2554.430784
1.820000	-2534.031917
1.830000	-2573.258742
1.840000	-2681.829151
1.850000	-2790.989162
1.860000	-2850.797151
1.870000	-2876.351739
1.880000	-2867.845467
1.890000	-2838.204936
1.900000	-2801.687453
1.910000	-2766.499213
1.920000	-2729.958234
1.930000	-2677.888270
1.940000	-2617.080587
1.950000	-2564.433352
1.960000	-2533.656716
1.970000	-2527.077283
1.980000	-2521.293194
1.990000	-2498.869501
2.000000	-2465.459185
2.010000	-2434.149091
2.020000	-2409.068364
2.030000	-2381.863007
2.040000	-2358.185432
2.050000	-2339.034352
2.060000	-2327.111499
2.070000	-2317.991205
2.080000	-2299.488752
2.090000	-2276.133862
2.100000	-2238.301076
2.110000	-2204.829352
2.120000	-2168.851473
2.130000	-2129.684514
2.140000	-2095.903980
2.150000	-2057.967244
2.160000	-2019.470541
2.170000	-1979.382519
2.180000	-1942.198145
2.190000	-1902.249677
2.200000	-1845.382820
2.210000	-1758.266717
2.220000	-1692.560844
2.230000	-1682.718562
2.240000	-1769.572324
2.250000	-1897.388311
2.260000	-2010.400696
2.270000	-2084.295262
2.280000	-2113.431670
2.290000	-2098.036789
2.300000	-2041.623933
2.310000	-1974.671763
2.320000	-1912.260396
2.330000	-1864.112280
2.340000	-1797.935473
2.350000	-1740.201944
2.360000	-1703.393600
2.370000	-1697.774040
2.380000	-1706.934033
2.390000	-1715.504919
2.400000	-1709.969158
2.410000	-1683.076293
2.420000	-1641.867147
2.430000	-1604.167887
2.440000	-1569.204955
2.450000	-1531.738417
2.460000	-1499.737201
2.470000	-1470.103655
2.480000	-1436.419031
2.490000	-1390.289099
2.500000	-1342.646492
2.510000	-1297.281047
2.520000	-1255.694022
2.530000	-1213.750763
2.540000	-1172.582812
2.550000	-1144.077023
2.560000	-1124.255234
2.570000	-1098.534890
2.580000	-1067.797714
2.590000	-1025.132449
2.600000	-990.909729
2.610000	-964.500435
2.620000	-928.470516
2.630000	-884.415768
2.640000	-879.986358
2.650000	-963.494959
2.660000	-1082.387334
2.670000	-1161.340583
2.680000	-1189.461030
2.690000	-1195.457522
2.700000	-1187.307104
2.710000	-1162.040486
2.720000	-1135.701586
2.730000	-1117.099854
2.740000	-1096.541602
2.750000	-1059.642767
2.760000	-1026.639867
2.770000	-1019.353252
2.780000	-1036.504632
2.790000	-1057.507361
2.800000	-1064.874607
2.810000	-1067.229915
2.820000	-1066.389308
2.830000	-1070.466543
2.840000	-1076.035775
2.850000	-1083.878193
2.860000	-1090.500635
2.870000	-1098.135697
2.880000	-1088.739921
2.890000	-1057.927476
2.900000	-1020.194471
2.910000	-972.166876
2.920000	-918.166823
2.930000	-861.232702
2.940000	-818.674941
2.950000	-780.720651
2.960000	-742.025001
2.970000	-704.391278
2.980000	-667.198039
2.990000	-632.231411
3.000000	-611.227885
3.010000	-589.495015
3.020000	-565.790643
3.030000	-557.305120
3.040000	-547.088744
3.050000	-530.645105
3.060000	-540.985434
3.070000	-634.879142
3.080000	-772.779604
3.090000	-864.469243
3.100000	-896.613389
3.110000	-910.036424
3.120000	-916.194710
3.130000	-907.713279
3.140000	-891.309327
3.150000	-878.898857
3.160000	-875.231887
3.170000	-868.198931
3.180000	-848.656565
3.190000	-840.082405
3.200000	-850.532518
3.210000	-876.427372
3.220000	-889.166350
3.230000	-881.657828
3.240000	-868.352232
3.250000	-854.021050
3.260000	-839.352711
3.270000	-816.854067
3.280000	-790.877775
3.290000	-751.807210
3.300000	-708.277904
3.310000	-668.918371
3.320000	-639.160387
3.330000	-616.164373
3.340000	-583.830429
3.350000	-553.977454
3.360000	-525.287871
3.370000	-492.937460
