Time(s)	GREEN_denoised_wiener
0.000000	-259.709519
0.010000	-264.836524
0.020000	-265.172479
0.030000	-276.883549
0.040000	-294.208344
0.050000	-313.944866
0.060000	-333.920863
0.070000	-351.679121
0.080000	-365.308495
0.090000	-375.427160
0.100000	-382.702990
0.110000	-386.177345
0.120000	-387.444328
0.130000	-386.930703
0.140000	-387.866289
0.150000	-388.677003
0.160000	-389.966910
0.170000	-390.089670
0.180000	-389.746397
0.190000	-388.839097
0.200000	-386.863587
0.210000	-382.926133
0.220000	-375.651328
0.230000	-368.364479
0.240000	-359.430364
0.250000	-350.483245
0.260000	-339.537415
0.270000	-326.946241
0.280000	-312.647644
0.290000	-297.415696
0.300000	-280.758401
0.310000	-263.225190
0.320000	-245.874238
0.330000	-229.036206
0.340000	-212.993297
0.350000	-195.844414
0.360000	-180.461821
0.370000	-163.973028
0.380000	-148.279470
0.390000	-135.103660
0.400000	-122.422501
0.410000	-107.902267
0.420000	-92.911020
0.430000	-85.387400
0.440000	-88.053515
0.450000	-96.186880
0.460000	-105.866161
0.470000	-114.992470
0.480000	-123.017325
0.490000	-129.465677
0.500000	-135.841159
0.510000	-144.274327
0.520000	-153.990554
0.530000	-161.742879
0.540000	-164.473644
0.550000	-164.893598
0.560000	-166.291127
0.570000	-169.369838
0.580000	-171.765952
0.590000	-173.852507
0.600000	-176.240152
0.610000	-178.664639
0.620000	-179.375278
0.630000	-177.477271
0.640000	-173.512305
0.650000	-168.956899
0.660000	-165.647887
0.670000	-163.428420
0.680000	-161.111143
0.690000	-154.221216
0.700000	-145.591242
0.710000	-136.004958
0.720000	-127.404225
0.730000	-118.442501
0.740000	-108.548635
0.750000	-98.880552
0.760000	-86.009334
0.770000	-71.995697
0.780000	-56.458469
0.790000	-42.782788
0.800000	-27.216061
0.810000	-8.237195
0.820000	11.019248
0.830000	27.648257
0.840000	44.610103
0.850000	67.213137
0.860000	90.846901
0.870000	106.773407
0.880000	110.101199
0.890000	105.032462
0.900000	93.021964
0.910000	76.969705
0.920000	59.616717
0.930000	43.915490
0.940000	28.875472
0.950000	12.533640
0.960000	-3.179842
0.970000	-15.503820
0.980000	-23.898948
0.990000	-32.210811
1.000000	-40.598546
1.010000	-49.241605
1.020000	-56.282761
1.030000	-62.603260
1.040000	-68.622177
1.050000	-73.283798
1.060000	-77.289145
1.070000	-80.283960
1.080000	-82.947938
1.090000	-84.602504
1.100000	-84.261124
1.110000	-82.580593
1.120000	-79.560663
1.130000	-74.544830
1.140000	-67.516368
1.150000	-59.165207
1.160000	-53.468423
1.170000	-51.431201
1.180000	-50.063075
1.190000	-44.679234
1.200000	-36.326617
1.210000	-26.247407
1.220000	-16.244426
1.230000	-4.123784
1.240000	10.179617
1.250000	24.006933
1.260000	36.289481
1.270000	48.827196
1.280000	67.759810
1.290000	89.970793
1.300000	109.571493
1.310000	121.131492
1.320000	124.747745
1.330000	119.305128
1.340000	105.278171
1.350000	86.504682
1.360000	66.825493
1.370000	48.383334
1.380000	31.719050
1.390000	18.616240
1.400000	9.961189
1.410000	5.196433
1.420000	1.214448
1.430000	-3.534101
1.440000	-9.510773
1.450000	-16.243331
1.460000	-23.885437
1.470000	-32.265854
1.480000	-39.903817
1.490000	-45.937184
1.500000	-50.237782
1.510000	-52.254048
1.520000	-52.220396
1.530000	-51.553778
1.540000	-51.849579
1.550000	-52.827560
1.560000	-50.447430
1.570000	-44.758029
1.580000	-36.692960
1.590000	-30.342207
1.600000	-22.563456
1.610000	-13.246000
1.620000	-3.414819
1.630000	6.541083
1.640000	15.086676
1.650000	27.369400
1.660000	40.923684
1.670000	58.234614
1.680000	74.096410
1.690000	86.799814
1.700000	100.308642
1.710000	116.717345
1.720000	135.872372
1.730000	149.303246
1.740000	152.805906
1.750000	144.921644
1.760000	126.771687
1.770000	102.239660
1.780000	73.759052
1.790000	43.248698
1.800000	13.775539
1.810000	-11.716431
1.820000	-31.852580
1.830000	-47.995843
1.840000	-59.782520
1.850000	-68.252138
1.860000	-74.685952
1.870000	-80.815630
1.880000	-88.896582
1.890000	-97.675041
1.900000	-108.419493
1.910000	-118.829803
1.920000	-127.917623
1.930000	-136.293700
1.940000	-142.380949
1.950000	-147.737208
1.960000	-149.803762
1.970000	-149.494171
1.980000	-147.529757
1.990000	-146.559931
2.000000	-147.888681
2.010000	-148.249551
2.020000	-144.216701
2.030000	-136.921007
2.040000	-129.853644
2.050000	-122.550492
2.060000	-113.790518
2.070000	-104.153382
2.080000	-96.033954
2.090000	-88.381500
2.100000	-78.908465
2.110000	-68.586156
2.120000	-57.080091
2.130000	-46.765401
2.140000	-33.199918
2.150000	-16.256536
2.160000	1.372694
2.170000	15.281358
2.180000	22.650292
2.190000	23.193724
2.200000	12.952202
2.210000	-9.184794
2.220000	-39.698328
2.230000	-73.189749
2.240000	-104.982219
2.250000	-132.164043
2.260000	-158.582274
2.270000	-182.420160
2.280000	-202.146937
2.290000	-216.640998
2.300000	-229.019949
2.310000	-242.157644
2.320000	-255.513164
2.330000	-267.968727
2.340000	-281.978646
2.350000	-295.730312
2.360000	-309.745863
2.370000	-321.779380
2.380000	-331.814049
2.390000	-339.789604
2.400000	-345.175308
2.410000	-347.761497
2.420000	-346.829044
2.430000	-344.033539
2.440000	-339.772701
2.450000	-335.267633
2.460000	-327.664703
2.470000	-317.470235
2.480000	-305.850871
2.490000	-293.964907
2.500000	-282.327102
2.510000	-270.749212
2.520000	-258.760521
2.530000	-245.824366
2.540000	-231.484923
2.550000	-217.529502
2.560000	-203.493353
2.570000	-190.529020
2.580000	-176.448940
2.590000	-157.814488
2.600000	-134.369041
2.610000	-111.404023
2.620000	-96.249957
2.630000	-92.270930
2.640000	-102.417723
2.650000	-124.411174
2.660000	-152.864371
2.670000	-181.168530
2.680000	-206.608563
2.690000	-228.217250
2.700000	-246.309218
2.710000	-260.215925
2.720000	-269.629897
2.730000	-275.169215
2.740000	-277.903598
2.750000	-280.077218
2.760000	-282.792019
2.770000	-287.604028
2.780000	-294.961323
2.790000	-302.740734
2.800000	-309.415588
2.810000	-314.830891
2.820000	-317.816441
2.830000	-319.208962
2.840000	-317.158672
2.850000	-314.548475
2.860000	-311.107037
2.870000	-305.165296
2.880000	-295.671256
2.890000	-282.732475
2.900000	-270.861092
2.910000	-257.226012
2.920000	-243.676650
2.930000	-228.990318
2.940000	-214.778870
2.950000	-197.686191
