Time(s)	GREEN_denoised_wiener
0.000000	-257.017899
0.010000	-345.236486
0.020000	-368.095000
0.030000	-425.574507
0.040000	-505.383940
0.050000	-592.264937
0.060000	-675.379103
0.070000	-744.317483
0.080000	-797.091846
0.090000	-835.408139
0.100000	-864.174857
0.110000	-884.182458
0.120000	-893.946757
0.130000	-895.662178
0.140000	-893.753567
0.150000	-894.509279
0.160000	-897.905446
0.170000	-903.049871
0.180000	-907.081256
0.190000	-907.621255
0.200000	-904.960648
0.210000	-895.879361
0.220000	-879.208815
0.230000	-855.171197
0.240000	-825.491116
0.250000	-790.823528
0.260000	-751.469297
0.270000	-707.839761
0.280000	-663.820696
0.290000	-617.537254
0.300000	-571.213837
0.310000	-523.254801
0.320000	-475.647423
0.330000	-427.327961
0.340000	-377.779891
0.350000	-328.102990
0.360000	-279.276171
0.370000	-231.573603
0.380000	-183.799309
0.390000	-133.739024
0.400000	-81.025162
0.410000	-26.605740
0.420000	20.696303
0.430000	44.475629
0.440000	31.729320
0.450000	-21.449181
0.460000	-104.228382
0.470000	-201.393186
0.480000	-297.550201
0.490000	-382.716694
0.500000	-451.917115
0.510000	-507.090570
0.520000	-551.652825
0.530000	-588.494437
0.540000	-614.737483
0.550000	-632.276225
0.560000	-645.527232
0.570000	-658.087272
0.580000	-672.010934
0.590000	-685.586167
0.600000	-698.864341
0.610000	-709.777433
0.620000	-715.413617
0.630000	-714.671849
0.640000	-707.330132
0.650000	-693.598924
0.660000	-673.276966
0.670000	-646.892758
0.680000	-614.253205
0.690000	-578.226348
0.700000	-538.585585
0.710000	-498.266554
0.720000	-456.940214
0.730000	-415.006592
0.740000	-373.327219
0.750000	-331.106462
0.760000	-288.414257
0.770000	-245.571281
0.780000	-204.536657
0.790000	-162.052566
0.800000	-119.368831
0.810000	-75.892781
0.820000	-32.903399
0.830000	12.581524
0.840000	60.857542
0.850000	110.353664
0.860000	152.569150
0.870000	169.736791
0.880000	146.925054
0.890000	82.459574
0.900000	-7.366378
0.910000	-107.851968
0.920000	-207.362782
0.930000	-297.201391
0.940000	-371.396420
0.950000	-428.593171
0.960000	-472.473496
0.970000	-505.678289
0.980000	-527.571024
0.990000	-540.467558
1.000000	-550.040397
1.010000	-562.955428
1.020000	-579.187176
1.030000	-596.800411
1.040000	-613.695766
1.050000	-629.345205
1.060000	-640.559104
1.070000	-643.917986
1.080000	-639.794698
1.090000	-628.184789
1.100000	-611.398255
1.110000	-588.136497
1.120000	-561.374907
1.130000	-532.444914
1.140000	-501.375739
1.150000	-468.448309
1.160000	-432.734061
1.170000	-396.153530
1.180000	-359.449669
1.190000	-321.881712
1.200000	-283.527743
1.210000	-243.300089
1.220000	-201.970832
1.230000	-159.074816
1.240000	-116.112240
1.250000	-73.205185
1.260000	-29.610537
1.270000	15.305043
1.280000	62.867463
1.290000	109.108622
1.300000	141.630364
