Time(s)	IR_denoised_wiener
0.000000	-822.602357
0.010000	-1070.258469
0.020000	-664.903185
0.030000	-187.873003
0.040000	326.681882
0.050000	777.560641
0.060000	1189.518305
0.070000	1697.876441
0.080000	2259.449318
0.090000	2657.974803
0.100000	3028.609839
0.110000	3293.090997
0.120000	3655.823753
0.130000	3939.776231
0.140000	4339.681743
0.150000	4709.153835
0.160000	5114.091668
0.170000	5418.953277
0.180000	5706.749850
0.190000	6917.092928
0.200000	8226.893606
0.210000	9504.130378
0.220000	9835.898396
0.230000	10051.631755
0.240000	10364.227564
0.250000	10624.161349
0.260000	10915.227021
0.270000	11060.677236
0.280000	11064.430276
0.290000	11084.997608
0.300000	11211.829291
0.310000	11457.832014
0.320000	11660.141895
0.330000	11694.507513
0.340000	11785.820433
0.350000	11876.151753
0.360000	12056.993364
0.370000	12080.620032
0.380000	12006.437231
0.390000	11926.610582
0.400000	11925.296229
0.410000	12015.514310
0.420000	12055.844292
0.430000	12044.920570
0.440000	11897.283784
0.450000	11777.473669
0.460000	11680.388597
0.470000	11687.065588
0.480000	11665.381091
0.490000	10932.622585
0.500000	10128.487089
0.510000	9267.614917
0.520000	9000.829805
0.530000	8877.408386
0.540000	8820.697054
0.550000	8882.388601
0.560000	8574.252652
0.570000	8105.124984
0.580000	7646.216813
0.590000	7573.940431
0.600000	7704.828864
0.610000	7774.723351
0.620000	7767.982667
0.630000	7904.682898
0.640000	8249.241468
0.650000	8762.560594
0.660000	9167.385165
0.670000	9437.670435
0.680000	9615.929113
0.690000	9954.906036
0.700000	10364.081598
0.710000	10577.547525
0.720000	10606.218210
0.730000	10657.956570
0.740000	10700.591583
0.750000	10659.481008
0.760000	10473.570263
0.770000	10412.484216
0.780000	10314.269928
0.790000	9926.480969
0.800000	9517.644929
0.810000	9124.086686
0.820000	8990.507871
0.830000	8979.226607
0.840000	9066.603928
0.850000	9074.196618
0.860000	8934.595547
0.870000	8760.253169
0.880000	8614.045417
0.890000	8404.816235
0.900000	8192.174054
0.910000	7945.731853
0.920000	7863.197234
0.930000	7892.898878
0.940000	8122.541127
0.950000	8303.080422
0.960000	8347.270296
0.970000	8452.653128
0.980000	8505.755568
0.990000	8441.303191
1.000000	8148.060838
1.010000	7742.191926
1.020000	7454.295674
1.030000	7190.472430
1.040000	6988.509616
1.050000	6665.765936
1.060000	6451.139940
1.070000	6375.134844
1.080000	6449.673752
1.090000	7092.239678
1.100000	7717.743412
1.110000	8348.636744
1.120000	8438.875943
1.130000	8488.197740
1.140000	8602.218217
1.150000	8734.634264
1.160000	8969.211027
1.170000	9293.433427
1.180000	9671.433840
1.190000	9913.103439
1.200000	10083.986927
1.210000	10483.377116
1.220000	11065.554231
1.230000	11527.907141
1.240000	11572.763719
1.250000	11604.326835
1.260000	11708.728076
1.270000	11794.888102
1.280000	11685.416754
1.290000	11036.286076
1.300000	10415.571251
1.310000	9826.091724
1.320000	9676.132379
1.330000	9548.589435
1.340000	9456.834231
1.350000	9377.945132
1.360000	9246.375894
1.370000	9071.462537
1.380000	8882.928690
1.390000	8702.913290
1.400000	8554.437072
1.410000	8461.652576
1.420000	8423.828074
1.430000	8335.721272
1.440000	8199.796791
1.450000	8104.974696
1.460000	8001.998598
1.470000	7914.706762
1.480000	7819.680389
1.490000	7810.033851
1.500000	7805.826958
1.510000	7809.525777
1.520000	7780.792830
1.530000	7745.467978
1.540000	7690.251317
1.550000	7648.469914
1.560000	7699.766856
1.570000	7741.900252
1.580000	7728.027258
1.590000	7641.337142
1.600000	7617.963111
1.610000	7622.556354
1.620000	7778.586364
1.630000	7978.055519
1.640000	8374.842362
1.650000	8784.202519
1.660000	9422.107867
1.670000	9966.779091
1.680000	10425.180418
1.690000	11345.075992
1.700000	12333.568479
1.710000	13261.660883
1.720000	13428.947613
1.730000	13390.919590
1.740000	13264.343324
1.750000	13082.166733
1.760000	12942.466902
1.770000	12790.205904
1.780000	12530.690970
1.790000	12256.298368
1.800000	12151.704718
1.810000	12260.536194
1.820000	12440.403516
1.830000	12492.143820
1.840000	12420.183589
1.850000	12331.551643
1.860000	12334.815826
1.870000	12425.158785
1.880000	12537.121639
1.890000	12625.658105
1.900000	12681.023093
1.910000	12743.455887
1.920000	12908.232632
1.930000	13126.677552
1.940000	13267.363067
1.950000	13300.321571
1.960000	13286.883371
1.970000	13303.474841
1.980000	13271.440782
1.990000	13235.759241
2.000000	13215.380027
2.010000	13217.459585
2.020000	13228.706376
2.030000	13283.395355
2.040000	13446.884309
2.050000	13580.531719
2.060000	13702.247715
2.070000	13694.713340
2.080000	13699.065428
2.090000	13632.017351
2.100000	13506.213001
2.110000	13383.851356
2.120000	13268.587757
2.130000	13199.497964
2.140000	13066.261426
2.150000	12964.747301
2.160000	12935.145674
2.170000	12945.154716
2.180000	12953.021407
2.190000	12984.424964
2.200000	13010.752415
2.210000	13008.373309
2.220000	12865.231573
2.230000	12704.284678
2.240000	12533.037617
2.250000	12508.242983
2.260000	12533.444838
2.270000	12598.059983
2.280000	12638.990124
2.290000	12707.131761
2.300000	12745.841029
2.310000	12778.015553
2.320000	12700.264432
2.330000	12668.189112
2.340000	12564.174840
2.350000	12497.883224
2.360000	12373.074875
2.370000	12391.275740
2.380000	12344.054842
2.390000	11027.130916
2.400000	9271.815409
2.410000	7246.012131
2.420000	5936.999635
2.430000	4661.469795
2.440000	3338.996173
2.450000	2269.787594
2.460000	1204.957479
2.470000	320.737434
2.480000	-459.987788
2.490000	-1071.138670
2.500000	-1668.770910
2.510000	-2661.277416
2.520000	-3839.770030
2.530000	-4425.103129
2.540000	-4178.180791
2.550000	-3703.850262
2.560000	-3958.836565
2.570000	-4643.433460
2.580000	-5399.961762
2.590000	-6174.153659
2.600000	-6895.019671
2.610000	-7271.255667
2.620000	-6998.704104
2.630000	-6366.657658
2.640000	-5824.840693
2.650000	-5550.664686
2.660000	-5539.505013
2.670000	-5723.868119
2.680000	-5893.153360
2.690000	-5911.328073
2.700000	-5586.374251
2.710000	-5050.078254
2.720000	-4665.973719
2.730000	-4640.145882
2.740000	-4694.333913
2.750000	-4426.973630
2.760000	-3921.465949
2.770000	-3603.856700
2.780000	-3453.158742
2.790000	-2957.855380
2.800000	-2323.959469
2.810000	-1696.832272
2.820000	-1476.946601
2.830000	-1341.983929
2.840000	-1186.363219
2.850000	-1071.435835
2.860000	-967.712974
2.870000	-875.827317
2.880000	-695.650360
2.890000	-547.028215
2.900000	-502.002543
2.910000	-543.538070
2.920000	-532.246468
2.930000	-583.315776
2.940000	-876.577421
2.950000	-1251.742968
2.960000	-1656.128400
2.970000	-1711.207185
2.980000	-1219.115043
2.990000	-300.827391
3.000000	458.335214
3.010000	608.295321
3.020000	379.017261
3.030000	104.727608
3.040000	-39.388431
3.050000	-166.958403
3.060000	-338.982094
3.070000	-565.176878
3.080000	-766.011408
3.090000	-855.733176
3.100000	-867.061817
3.110000	-950.649874
3.120000	-1135.154427
3.130000	-1530.842101
3.140000	-1952.494283
3.150000	-2272.592387
3.160000	-2488.250120
3.170000	-2662.605088
3.180000	-2799.264255
3.190000	-2905.390070
3.200000	-3045.873489
3.210000	-3333.751178
3.220000	-3464.453620
3.230000	-3251.561986
3.240000	-2879.852411
3.250000	-2654.509917
3.260000	-2692.548033
3.270000	-2703.158624
3.280000	-2536.458817
3.290000	-2257.566473
3.300000	-1979.008953
3.310000	-1716.558211
3.320000	-1192.944345
3.330000	-474.691461
3.340000	143.622848
3.350000	511.693376
3.360000	789.490283
3.370000	1146.545404
3.380000	1451.297887
3.390000	1644.021416
3.400000	1854.378549
3.410000	2074.532187
3.420000	2209.291214
3.430000	2172.131529
3.440000	2084.165092
3.450000	2112.574477
3.460000	2236.231629
3.470000	2334.112373
3.480000	2427.049879
3.490000	2855.884041
3.500000	3347.195279
3.510000	3675.460913
3.520000	3550.496107
3.530000	3249.923028
3.540000	3005.322196
3.550000	2939.062881
3.560000	3103.927481
3.570000	3224.263593
3.580000	3194.956676
3.590000	3050.796645
3.600000	2971.992574
3.610000	2916.652840
3.620000	2765.742260
3.630000	2601.981333
3.640000	2361.667083
3.650000	2195.802621
3.660000	1986.415340
3.670000	1838.457477
3.680000	1720.669848
3.690000	1636.413518
3.700000	1564.388440
3.710000	1484.563907
3.720000	1508.652101
3.730000	1675.021769
3.740000	1927.824920
3.750000	2258.436266
3.760000	2495.035437
3.770000	2731.726049
3.780000	2831.414827
3.790000	3004.767134
3.800000	3117.635587
3.810000	3420.645702
3.820000	3687.987353
3.830000	4100.406021
3.840000	4357.775675
3.850000	4743.852824
3.860000	4996.807115
3.870000	5578.019709
3.880000	5931.436571
3.890000	6362.604242
3.900000	5855.479396
3.910000	3144.873008
3.920000	-1659.652747
3.930000	-6055.313493
3.940000	-8853.666258
3.950000	-10847.987545
3.960000	-11314.161940
3.970000	-14914.803152
3.980000	-21477.871056
3.990000	-37534.940278
4.000000	-45340.196510
4.010000	-50442.945245
4.020000	-54095.683570
4.030000	-56734.150821
4.040000	-59150.799918
4.050000	-59874.879026
4.060000	-58427.050738
4.070000	-53597.458163
4.080000	-45796.899265
4.090000	-36153.471258
4.100000	-25457.712609
4.110000	-16396.596382
4.120000	-10170.554498
4.130000	-5740.030184
4.140000	-3670.241793
4.150000	-1718.737726
4.160000	-1949.547273
4.170000	-3107.121710
4.180000	-5440.783692
4.190000	-8290.781278
4.200000	-33624.976137
4.210000	-29526.241780
4.220000	-22087.466391
4.230000	-16025.596929
4.240000	-12266.805648
4.250000	-9248.028536
4.260000	-8053.799327
4.270000	-6746.655088
4.280000	-6163.912149
4.290000	-4664.308240
4.300000	-3480.421881
4.310000	-1578.576758
4.320000	-460.070004
4.330000	642.874940
4.340000	727.236888
4.350000	742.171030
4.360000	48.661621
4.370000	-488.926583
4.380000	-1704.102560
4.390000	-4857.057746
4.400000	-7156.269424
4.410000	-8061.238571
4.420000	-6449.373925
4.430000	-5246.745050
4.440000	-4894.528441
4.450000	-4600.742082
4.460000	-4293.206652
4.470000	-3023.548436
4.480000	-1232.585366
4.490000	370.353637
4.500000	572.429821
4.510000	-427.759924
4.520000	-2394.347281
4.530000	-4582.706540
4.540000	-7502.468754
4.550000	-11386.795656
4.560000	-16490.888287
4.570000	-21953.391224
4.580000	-26881.129139
4.590000	-31070.458143
4.600000	-35330.397498
4.610000	-40046.610252
4.620000	-44444.395091
4.630000	-47365.961175
4.640000	-47970.515496
4.650000	-45719.060710
4.660000	-41608.775431
4.670000	-36118.991894
4.680000	-30308.238017
4.690000	-24264.515172
4.700000	-18793.534924
4.710000	-14775.833947
4.720000	-12250.463744
4.730000	-11022.427581
4.740000	-10328.749253
4.750000	-9194.688525
4.760000	-7055.408371
4.770000	-4326.555668
4.780000	-2042.345053
4.790000	-908.431037
4.800000	-682.253356
4.810000	-601.453344
4.820000	-371.686997
4.830000	-318.082269
4.840000	-1127.350901
4.850000	-3439.819559
4.860000	-7190.979967
4.870000	-12160.027211
4.880000	-17417.895287
4.890000	-22661.851868
4.900000	-28430.349493
4.910000	-35144.801397
4.920000	-42802.655839
4.930000	-47234.321829
4.940000	-48377.950000
4.950000	-47352.692302
4.960000	-46056.588999
4.970000	-44664.208374
4.980000	-42075.269109
4.990000	-38687.043220
5.000000	-34261.071543
5.010000	-29166.745164
5.020000	-24239.346788
5.030000	-20308.286254
5.040000	-17599.815913
5.050000	-15804.200776
5.060000	-14495.807208
5.070000	-13480.920931
5.080000	-12772.529594
5.090000	-11897.463813
5.100000	-10346.304955
5.110000	-8288.685427
5.120000	-6581.108249
5.130000	-5835.370658
5.140000	-5597.113260
5.150000	-5293.855687
5.160000	-4710.217490
5.170000	-3944.982835
5.180000	-3277.591273
5.190000	-2819.415842
5.200000	-2507.581341
5.210000	-2216.097754
5.220000	-1710.356031
5.230000	-1106.152384
5.240000	-331.352197
5.250000	364.845451
5.260000	886.346530
5.270000	1153.836432
5.280000	1339.689613
5.290000	1530.216781
5.300000	1806.316249
5.310000	2076.427871
5.320000	2238.892209
5.330000	2353.732739
5.340000	2406.920440
5.350000	2559.513438
5.360000	2649.729507
5.370000	2749.944060
5.380000	2719.633189
5.390000	2661.060092
5.400000	2637.454106
5.410000	2723.237161
5.420000	2845.573365
5.430000	2910.397871
5.440000	3024.625712
5.450000	3279.569257
5.460000	3520.060377
5.470000	3664.006391
5.480000	3744.883224
5.490000	3879.081057
5.500000	4045.744598
5.510000	4100.571136
5.520000	4133.342340
5.530000	4145.250277
5.540000	4182.501680
5.550000	4235.553147
5.560000	4296.447759
5.570000	4404.105990
5.580000	4581.142418
5.590000	4812.688031
5.600000	4926.208277
5.610000	4935.257480
5.620000	4906.234276
5.630000	4883.252723
5.640000	4880.336602
5.650000	4912.414699
5.660000	5067.809999
5.670000	5232.863283
5.680000	5378.361885
5.690000	5517.279434
5.700000	5645.055763
5.710000	5725.470529
5.720000	5832.920409
5.730000	5957.301500
5.740000	6048.552251
5.750000	6043.979664
5.760000	6061.232873
5.770000	6124.626468
5.780000	6184.941350
5.790000	6103.930029
5.800000	5959.817086
5.810000	5850.197542
5.820000	5701.471382
5.830000	5572.749626
5.840000	5451.520302
5.850000	5431.188529
5.860000	5385.232286
5.870000	5276.477777
5.880000	5160.475019
5.890000	5041.239324
5.900000	4986.845272
5.910000	4931.589384
5.920000	4827.892251
5.930000	4717.148402
5.940000	4667.648628
5.950000	4711.247114
5.960000	4712.589739
5.970000	4658.663348
5.980000	4595.679174
5.990000	4579.094764
6.000000	4545.770090
6.010000	4563.550561
6.020000	4521.705861
6.030000	4513.572850
6.040000	4431.098488
6.050000	4351.451141
6.060000	4243.544993
6.070000	4127.826074
6.080000	4049.084004
6.090000	3986.717565
6.100000	3975.809268
6.110000	3998.835009
6.120000	3987.435787
6.130000	3934.498626
6.140000	3876.898133
6.150000	3866.589035
6.160000	3864.833763
6.170000	3797.641978
6.180000	3736.565450
6.190000	3411.824007
6.200000	3152.010769
6.210000	2931.440025
6.220000	2942.799776
6.230000	2969.345591
6.240000	2987.202758
6.250000	3064.591822
6.260000	3073.157003
6.270000	3024.985067
6.280000	3053.208405
6.290000	3180.843966
6.300000	3345.797517
6.310000	3412.943781
6.320000	3397.912197
6.330000	3441.167963
6.340000	3532.397546
6.350000	3649.146871
6.360000	3653.022452
6.370000	3611.485737
6.380000	3543.311410
6.390000	3555.534646
6.400000	3571.232575
6.410000	3584.251868
6.420000	3573.924268
6.430000	3583.625151
6.440000	3576.545634
6.450000	3560.607584
6.460000	3626.216206
6.470000	3660.524105
6.480000	3610.880772
6.490000	3485.439251
6.500000	3458.168663
6.510000	3456.514789
6.520000	3412.977489
6.530000	3429.565828
6.540000	3506.352458
6.550000	3611.377841
6.560000	3588.571646
6.570000	3582.871150
6.580000	3644.387713
6.590000	3736.987651
6.600000	3787.966128
6.610000	3738.674921
6.620000	3709.571309
6.630000	3742.684276
6.640000	3807.851670
6.650000	3860.864448
6.660000	3891.102936
6.670000	3921.350908
6.680000	3959.864713
6.690000	3986.311772
6.700000	3966.142856
6.710000	3969.451253
6.720000	4028.878449
6.730000	4124.676236
6.740000	4156.624804
6.750000	4040.846918
6.760000	3876.109288
6.770000	3637.917852
6.780000	3299.161000
6.790000	2903.426315
6.800000	2603.090432
6.810000	2505.726198
6.820000	2472.593361
6.830000	2369.624448
6.840000	2263.234633
6.850000	2255.209703
6.860000	2324.129507
6.870000	2397.582362
6.880000	2454.762354
6.890000	2519.676431
6.900000	2604.295888
6.910000	2723.714889
6.920000	2852.990651
6.930000	2970.034413
6.940000	2964.384604
6.950000	2971.306087
6.960000	3022.774089
6.970000	3163.895015
6.980000	3303.739740
6.990000	3456.390755
7.000000	3618.277201
7.010000	3764.449958
7.020000	3828.324348
7.030000	3837.393434
7.040000	3785.573640
7.050000	3773.593104
7.060000	3782.124454
7.070000	3776.717580
7.080000	3778.462545
7.090000	3657.396943
7.100000	3740.694300
7.110000	3808.881324
7.120000	3961.109235
7.130000	3939.695293
7.140000	3856.182851
7.150000	3846.890106
7.160000	3860.722723
7.170000	3857.764794
7.180000	3806.269021
7.190000	3849.438783
7.200000	3975.041959
7.210000	4118.958559
7.220000	4178.364951
7.230000	4251.688807
7.240000	4320.693240
7.250000	4401.841397
7.260000	4421.769801
7.270000	4500.521440
7.280000	4579.352791
7.290000	4656.022019
7.300000	4731.277183
7.310000	4786.136078
7.320000	4838.304465
7.330000	4822.024108
7.340000	4811.052540
7.350000	4816.077544
7.360000	4862.514029
7.370000	4882.548855
7.380000	4914.608852
7.390000	4945.888566
7.400000	4998.810422
7.410000	5000.978689
7.420000	4968.600333
7.430000	4966.213999
7.440000	4966.818684
7.450000	4963.518446
7.460000	5019.577678
7.470000	5156.724080
7.480000	5278.026668
7.490000	5342.098769
7.500000	5322.533867
7.510000	5359.615550
7.520000	5276.521544
7.530000	5192.965356
7.540000	5075.774977
7.550000	4997.959533
7.560000	4902.023073
7.570000	4849.968699
7.580000	4859.169005
7.590000	4832.016088
7.600000	4673.342576
7.610000	4489.304245
7.620000	4383.196294
7.630000	4364.355832
7.640000	4283.970599
7.650000	4193.646272
7.660000	4117.023224
7.670000	4127.428355
7.680000	4095.541126
7.690000	3842.763619
7.700000	3581.488073
7.710000	3381.395353
7.720000	3363.263720
7.730000	3316.806048
7.740000	3199.187421
7.750000	3154.083663
7.760000	3073.775134
7.770000	3111.097885
7.780000	3002.573507
7.790000	2327.701374
7.800000	1631.711296
7.810000	1038.501015
7.820000	981.719606
7.830000	860.812952
7.840000	728.207227
7.850000	704.999052
7.860000	733.890124
7.870000	805.668831
7.880000	786.916501
7.890000	810.086488
7.900000	844.846424
7.910000	890.268560
7.920000	882.954755
7.930000	885.813859
7.940000	975.784255
7.950000	1061.579401
7.960000	1051.962489
7.970000	1077.301834
7.980000	1035.182566
7.990000	1098.461145
8.000000	1058.034005
8.010000	1162.557785
8.020000	1232.054495
8.030000	1282.538658
8.040000	1309.363754
8.050000	1305.524821
8.060000	1316.495157
8.070000	1300.281661
8.080000	1315.245995
8.090000	1441.107181
8.100000	1547.094938
8.110000	1617.925658
8.120000	1674.384904
8.130000	1811.288937
8.140000	2070.537175
8.150000	2369.316825
8.160000	2612.662691
8.170000	2740.780740
8.180000	2717.525375
8.190000	2690.755024
8.200000	2749.898656
8.210000	2986.071090
8.220000	3255.964619
8.230000	3539.394568
8.240000	3540.608980
8.250000	2770.855888
8.260000	686.102084
8.270000	-2863.266286
8.280000	-6885.270189
8.290000	-11095.667210
8.300000	-14978.341198
8.310000	-19431.622597
8.320000	-24705.635354
8.330000	-30231.332052
8.340000	-34173.121868
8.350000	-33701.984201
8.360000	-29349.023833
8.370000	-23501.316037
8.380000	-18837.544656
8.390000	-15547.058620
8.400000	-12850.589966
8.410000	-10519.649322
8.420000	-8205.974097
8.430000	-5094.959309
8.440000	-1574.660500
8.450000	1101.021291
8.460000	1580.721906
8.470000	569.654750
8.480000	-1273.685206
8.490000	-3948.845876
8.500000	-5333.924500
8.510000	-5185.496968
8.520000	-3259.485235
8.530000	-2097.454402
8.540000	-1561.674551
8.550000	-423.735750
8.560000	1245.582866
8.570000	3065.146818
8.580000	3935.551773
8.590000	3092.301445
8.600000	480.155501
8.610000	-2708.763254
8.620000	-4559.232134
8.630000	-4191.314299
8.640000	-2863.802238
8.650000	-1690.440657
8.660000	-1310.374573
8.670000	-1386.189282
8.680000	-1520.418459
8.690000	-1565.927296
8.700000	-1405.845977
8.710000	-786.254730
8.720000	393.674867
8.730000	1929.616564
8.740000	3013.910156
8.750000	3299.793312
8.760000	3114.036256
8.770000	3104.895274
8.780000	3482.669677
8.790000	4082.344563
8.800000	4693.892219
8.810000	5069.403803
8.820000	4913.031640
8.830000	3257.669117
8.840000	176.412286
