Time(s)	GREEN_denoised_median
0.000000	-1555.848019
0.010000	-1566.197138
0.020000	-1570.970533
0.030000	-1593.658709
0.040000	-1603.719550
0.050000	-1603.719550
0.060000	-1603.719550
0.070000	-1575.469797
0.080000	-1528.715777
0.090000	-1476.468552
0.100000	-1414.716044
0.110000	-1341.522768
0.120000	-1259.778275
0.130000	-1167.611568
0.140000	-1070.908406
0.150000	-973.740912
0.160000	-869.052419
0.170000	-766.960790
0.180000	-660.190935
0.190000	-552.251465
0.200000	-446.368753
0.210000	-339.564070
0.220000	-230.589188
0.230000	-116.909896
0.240000	-10.886173
0.250000	93.760944
0.260000	93.760944
0.270000	93.760944
0.280000	-73.739040
0.290000	-324.900400
0.300000	-578.079042
0.310000	-793.277680
0.320000	-955.514472
0.330000	-1069.735294
0.340000	-1149.999407
0.350000	-1208.210330
0.360000	-1245.064242
0.370000	-1245.064242
0.380000	-1245.064242
0.390000	-1219.155768
0.400000	-1219.155768
0.410000	-1219.155768
0.420000	-1228.147043
0.430000	-1255.175993
0.440000	-1269.273657
0.450000	-1269.273657
0.460000	-1269.273657
0.470000	-1238.251224
0.480000	-1193.843259
0.490000	-1133.806688
0.500000	-1059.428038
0.510000	-976.378426
0.520000	-886.003911
0.530000	-789.952701
0.540000	-682.560134
0.550000	-569.557433
0.560000	-456.112685
0.570000	-339.136073
0.580000	-223.682906
0.590000	-109.694673
0.600000	6.764812
0.610000	119.728111
0.620000	233.249939
0.630000	342.136672
0.640000	453.782113
0.650000	566.534159
0.660000	674.317201
0.670000	781.977997
0.680000	781.977997
0.690000	781.977997
0.700000	668.295618
0.710000	441.007993
0.720000	194.901828
0.730000	-10.343718
0.740000	-162.597290
0.750000	-269.723826
0.760000	-344.080962
0.770000	-403.088793
0.780000	-422.845652
0.790000	-422.845652
0.800000	-422.845652
0.810000	-404.091407
0.820000	-404.091407
0.830000	-404.091407
0.840000	-438.414244
0.850000	-479.323638
0.860000	-515.633582
0.870000	-533.506806
0.880000	-533.506806
0.890000	-533.506806
0.900000	-515.994386
0.910000	-487.792221
0.920000	-459.098739
0.930000	-413.806300
0.940000	-357.211016
0.950000	-293.765888
0.960000	-225.262496
0.970000	-147.654642
0.980000	-60.267118
0.990000	31.497346
1.000000	101.730695
1.010000	136.742965
1.020000	179.946738
1.030000	233.939193
1.040000	295.210034
1.050000	366.217159
1.060000	443.523801
1.070000	527.573756
1.080000	620.912625
1.090000	718.981433
1.100000	820.382028
1.110000	922.458854
1.120000	1029.946222
1.130000	1131.969189
1.140000	1231.625865
1.150000	1320.526321
1.160000	1407.432239
1.170000	1496.150732
1.180000	1585.306521
1.190000	1671.853945
1.200000	1762.291645
1.210000	1846.597638
1.220000	1846.597638
1.230000	1846.597638
1.240000	1840.694253
1.250000	1640.070378
1.260000	1399.218005
1.270000	1169.985690
1.280000	997.818312
1.290000	867.830586
1.300000	734.430701
1.310000	710.207485
1.320000	710.207485
1.330000	710.207485
1.340000	710.826427
1.350000	733.714096
1.360000	769.282445
1.370000	812.533107
1.380000	867.869597
1.390000	927.424817
1.400000	996.600679
1.410000	1072.402029
1.420000	1153.445830
1.430000	1241.498601
1.440000	1327.372664
1.450000	1419.757096
1.460000	1515.380518
1.470000	1608.122674
1.480000	1702.533615
1.490000	1791.573376
1.500000	1879.836633
1.510000	1972.143663
1.520000	2066.240174
1.530000	2155.823759
1.540000	2249.807397
1.550000	2352.614368
1.560000	2452.453868
1.570000	2452.453868
1.580000	2452.453868
1.590000	2350.642364
1.600000	2128.007659
1.610000	1888.028674
1.620000	1678.984973
1.630000	1520.466118
1.640000	1406.021524
1.650000	1344.075989
1.660000	1296.061379
1.670000	1294.009402
1.680000	1294.009402
1.690000	1294.009402
1.700000	1323.340562
1.710000	1323.340562
1.720000	1323.340562
1.730000	1304.844866
1.740000	1255.810517
1.750000	1215.641208
1.760000	1175.110581
1.770000	1172.167053
1.780000	1172.167053
1.790000	1172.167053
1.800000	1872.292238
1.810000	1961.507775
1.820000	2039.574975
1.830000	2114.367613
1.840000	2199.017586
1.850000	2265.259824
1.860000	2370.843138
1.870000	2423.888381
1.880000	2423.888381
1.890000	2423.888381
1.900000	1487.558243
1.910000	1470.331723
1.920000	1470.331723
1.930000	1470.331723
1.940000	1479.703898
1.950000	1479.703898
1.960000	1479.703898
1.970000	1401.478181
1.980000	1367.093669
1.990000	1302.401802
2.000000	1282.046231
2.010000	1252.499455
2.020000	1252.499455
2.030000	1252.499455
2.040000	1275.431548
2.050000	1289.981334
2.060000	1336.804656
2.070000	1376.261673
2.080000	1438.527057
2.090000	1496.542751
2.100000	1572.543159
2.110000	1633.831646
2.120000	1716.908369
2.130000	1795.106456
2.140000	1875.526074
2.150000	1955.514565
2.160000	2039.323150
2.170000	2120.052767
2.180000	2210.334885
2.190000	2291.666760
2.200000	2380.604487
2.210000	2467.370259
2.220000	2551.060541
2.230000	2551.060541
2.240000	2551.060541
2.250000	2548.135409
2.260000	2331.469695
2.270000	2035.369872
2.280000	1749.620614
2.290000	1501.596277
2.300000	1308.908200
2.310000	1176.952728
2.320000	1078.269240
2.330000	1004.525509
2.340000	951.806292
2.350000	950.206579
2.360000	943.444763
2.370000	940.287741
2.380000	940.287741
2.390000	900.267816
2.400000	842.365413
2.410000	779.495283
2.420000	719.593768
2.430000	665.874168
2.440000	633.018042
2.450000	631.031694
2.460000	631.031694
2.470000	631.031694
2.480000	657.357647
2.490000	692.862266
2.500000	742.289837
2.510000	804.842123
2.520000	868.355315
2.530000	943.047950
2.540000	1020.534177
2.550000	1108.462279
2.560000	1199.837257
2.570000	1290.047560
2.580000	1387.340021
2.590000	1480.744382
2.600000	1576.053093
2.610000	1676.598652
2.620000	1777.908862
2.630000	1871.606248
2.640000	1967.979861
2.650000	2064.743162
2.660000	2159.213513
2.670000	2159.213513
2.680000	2159.213513
2.690000	2083.496447
2.700000	1843.052414
2.710000	1565.323206
2.720000	1321.779211
2.730000	1131.167735
2.740000	1003.644776
2.750000	914.077483
2.760000	848.703483
2.770000	812.374570
2.780000	812.374570
2.790000	812.374570
2.800000	843.347615
2.810000	854.466992
2.820000	854.466992
2.830000	854.466992
2.840000	808.505778
2.850000	761.256296
2.860000	716.337924
2.870000	682.217938
2.880000	678.457092
2.890000	678.457092
2.900000	678.457092
2.910000	704.577856
2.920000	738.757322
2.930000	774.979452
2.940000	828.272227
2.950000	890.473908
2.960000	957.955806
2.970000	1032.138121
2.980000	1114.795909
2.990000	1201.941710
3.000000	1290.794176
3.010000	1379.903448
3.020000	1459.924884
3.030000	1540.069901
3.040000	1630.210774
3.050000	1714.318188
3.060000	1792.694091
3.070000	1872.738129
3.080000	1946.286399
3.090000	1946.286399
3.100000	1946.286399
3.110000	1838.014411
3.120000	1595.902990
3.130000	1316.986907
3.140000	1074.066004
3.150000	887.965103
3.160000	755.310496
3.170000	667.075194
3.180000	610.692164
3.190000	610.692164
3.200000	610.692164
3.210000	623.818666
3.220000	659.789763
3.230000	659.789763
3.240000	659.789763
3.250000	656.166833
3.260000	613.556153
3.270000	572.047879
3.280000	536.654413
3.290000	515.077177
3.300000	515.077177
3.310000	515.077177
3.320000	527.136655
3.330000	549.685397
3.340000	597.582979
3.350000	651.124421
3.360000	706.208952
3.370000	769.729836
3.380000	847.968841
3.390000	928.418638
3.400000	1011.899719
3.410000	1097.235722
3.420000	1185.971217
3.430000	1268.153750
3.440000	1350.219615
3.450000	1433.188146
3.460000	1517.597289
3.470000	1574.301830
3.480000	1574.301830
3.490000	1574.301830
3.500000	1391.022444
3.510000	1110.564219
3.520000	826.196281
3.530000	580.814054
3.540000	406.465407
3.550000	258.978905
3.560000	168.061074
3.570000	101.095480
3.580000	58.870655
3.590000	32.306381
3.600000	-64.291709
3.610000	-64.291709
3.620000	-64.291709
3.630000	-21.910443
3.640000	38.284524
3.650000	97.219509
3.660000	179.095902
3.670000	251.308992
3.680000	328.150905
3.690000	401.450862
3.700000	494.405405
3.710000	576.557976
3.720000	662.896586
3.730000	747.719380
3.740000	837.531663
3.750000	881.026519
3.760000	881.026519
3.770000	881.026519
3.780000	676.356237
3.790000	383.393891
3.800000	90.656824
3.810000	-163.270890
3.820000	-360.996587
3.830000	-508.897535
3.840000	-617.558917
3.850000	-700.430194
3.860000	-759.990042
3.870000	-764.275558
3.880000	-764.275558
3.890000	-764.596424
3.900000	-764.596424
3.910000	-764.596424
3.920000	-793.502194
3.930000	-842.862122
3.940000	-896.367644
3.950000	-937.031699
3.960000	-956.813953
3.970000	-956.813953
3.980000	-956.813953
3.990000	-929.229730
4.000000	-889.377299
4.010000	-842.211330
4.020000	-775.805031
4.030000	-709.189404
4.040000	-631.061582
4.050000	-549.132517
4.060000	-451.176871
4.070000	-364.097266
4.080000	-364.097266
4.090000	-364.097266
4.100000	-383.539615
4.110000	-618.585194
4.120000	-800.464290
4.130000	-940.195950
4.140000	-1033.265114
4.150000	-1108.818626
4.160000	-1154.873081
4.170000	-1154.873081
4.180000	-1154.873081
4.190000	-1156.737759
4.200000	-1156.737759
4.210000	-1156.737759
4.220000	-1196.752874
4.230000	-1252.316447
4.240000	-1299.756019
4.250000	-1341.893508
4.260000	-1347.375670
4.270000	-1347.375670
4.280000	-1347.375670
4.290000	-1320.010768
4.300000	-1279.068191
4.310000	-1229.469604
4.320000	-1164.658633
4.330000	-1088.888090
4.340000	-1007.181663
4.350000	-919.222881
4.360000	-825.638750
4.370000	-727.490819
4.380000	-622.017774
4.390000	-521.733626
4.400000	-424.289361
4.410000	-320.892591
4.420000	-217.535878
4.430000	-113.969194
4.440000	8.332553
4.450000	170.024347
4.460000	344.134009
4.470000	411.127962
4.480000	411.127962
4.490000	411.127962
4.500000	202.087505
4.510000	-2.522850
4.520000	-146.865933
4.530000	-322.517963
4.540000	-523.491295
4.550000	-711.364354
4.560000	-853.072196
4.570000	-941.222549
4.580000	-954.388681
4.590000	-954.388681
4.600000	-954.388681
4.610000	-954.388681
4.620000	-954.388681
4.630000	-970.047547
4.640000	-1002.457383
4.650000	-1044.558528
4.660000	-1044.558528
4.670000	-1044.558528
4.680000	-1027.254465
4.690000	-968.388475
4.700000	-880.599114
4.710000	-785.787190
4.720000	-704.888693
4.730000	-627.046532
4.740000	-553.158872
4.750000	-474.227368
4.760000	-372.353640
4.770000	-282.502784
4.780000	-245.514278
4.790000	-206.465266
4.800000	-146.725027
4.810000	-71.443841
4.820000	32.162362
4.830000	137.518018
4.840000	242.164185
4.850000	335.505381
4.860000	440.305139
4.870000	549.457870
4.880000	652.483642
4.890000	738.455599
4.900000	738.455599
4.910000	738.455599
4.920000	587.971074
4.930000	372.662184
4.940000	154.339578
4.950000	-13.080758
4.960000	-129.395536
4.970000	-212.830786
4.980000	-271.058508
4.990000	-320.562239
5.000000	-357.623593
5.010000	-357.623593
5.020000	-357.623593
5.030000	-367.137978
5.040000	-367.137978
5.050000	-395.638470
5.060000	-479.022522
5.070000	-571.172456
5.080000	-651.412563
5.090000	-689.641437
5.100000	-704.320477
5.110000	-704.320477
5.120000	-704.320477
5.130000	-680.391012
5.140000	-638.737114
5.150000	-585.706038
5.160000	-528.118306
5.170000	-454.935592
5.180000	-368.500146
5.190000	-261.101747
5.200000	-119.832232
5.210000	33.672385
5.220000	180.879060
5.230000	331.558805
5.240000	482.589180
5.250000	606.412040
5.260000	712.434446
5.270000	820.326769
5.280000	926.248122
5.290000	1036.301473
5.300000	1149.073490
5.310000	1239.242512
5.320000	1248.743077
5.330000	1248.743077
5.340000	1248.743077
5.350000	1077.369122
5.360000	825.698837
5.370000	555.603863
5.380000	333.697086
5.390000	146.648111
5.400000	10.805534
5.410000	-93.377942
5.420000	-177.035014
5.430000	-241.349174
5.440000	-251.629159
5.450000	-251.629159
5.460000	-251.629159
5.470000	-214.234902
5.480000	-187.424385
5.490000	-175.102218
5.500000	-159.134326
5.510000	-145.010050
5.520000	-136.816433
5.530000	-123.853670
5.540000	-113.525046
5.550000	-87.604062
5.560000	-49.270000
5.570000	-11.358907
5.580000	20.025227
5.590000	63.976768
5.600000	113.269091
5.610000	139.274213
5.620000	160.663035
5.630000	215.645111
5.640000	304.973509
5.650000	396.945890
5.660000	486.375447
5.670000	586.315017
5.680000	666.676759
5.690000	766.892557
5.700000	881.872865
5.710000	973.395770
5.720000	1062.247310
5.730000	1145.850676
5.740000	1145.850676
5.750000	1145.850676
5.760000	1145.066837
5.770000	944.669668
5.780000	704.645700
5.790000	470.137395
5.800000	271.195913
