Time(s)	IR_denoised_median
0.000000	-622.870809
0.010000	-631.330272
0.020000	-631.330272
0.030000	-622.870809
0.040000	-617.356274
0.050000	-602.403447
0.060000	-584.816406
0.070000	-553.488345
0.080000	-506.338547
0.090000	-491.748592
0.100000	-482.689849
0.110000	-462.071942
0.120000	-443.159853
0.130000	-435.419707
0.140000	-398.527472
0.150000	-382.048240
0.160000	-362.728482
0.170000	-336.763093
0.180000	-297.955331
0.190000	-240.510964
0.200000	-204.339125
0.210000	-153.080275
0.220000	-94.875560
0.230000	-31.662462
0.240000	17.511600
0.250000	26.333834
0.260000	26.333834
0.270000	26.333834
0.280000	-131.035331
0.290000	-316.126742
0.300000	-454.679399
0.310000	-532.778951
0.320000	-562.420010
0.330000	-575.510726
0.340000	-580.119503
0.350000	-580.119503
0.360000	-580.119503
0.370000	-569.051893
0.380000	-527.522793
0.390000	-524.644289
0.400000	-524.644289
0.410000	-524.644289
0.420000	-530.002890
0.430000	-530.002890
0.440000	-530.002890
0.450000	-524.542169
0.460000	-459.430255
0.470000	-429.574491
0.480000	-390.971564
0.490000	-332.713987
0.500000	-282.634987
0.510000	-223.745518
0.520000	-159.368772
0.530000	-111.843279
0.540000	-48.966186
0.550000	12.912750
0.560000	77.479146
0.570000	140.635694
0.580000	172.843465
0.590000	236.600863
0.600000	288.908037
0.610000	331.679978
0.620000	378.997176
0.630000	429.708981
0.640000	475.057709
0.650000	527.789899
0.660000	585.068856
0.670000	585.068856
0.680000	585.068856
0.690000	530.604624
0.700000	355.466734
0.710000	170.548827
0.720000	9.687407
0.730000	-85.488314
0.740000	-135.264185
0.750000	-162.534293
0.760000	-218.294095
0.770000	-231.049308
0.780000	-231.049308
0.790000	-246.286290
0.800000	-248.483995
0.810000	-257.792808
0.820000	-258.742936
0.830000	-279.862476
0.840000	-301.544817
0.850000	-344.037845
0.860000	-358.151667
0.870000	-377.012019
0.880000	-377.012019
0.890000	-377.012019
0.900000	-377.012019
0.910000	-377.012019
0.920000	-356.750031
0.930000	-356.750031
0.940000	-356.750031
0.950000	-348.398040
0.960000	-347.136422
0.970000	-317.747725
0.980000	-317.747725
0.990000	-317.747725
1.000000	-284.376864
1.010000	-284.376864
1.020000	-284.376864
1.030000	-236.142277
1.040000	-201.357182
1.050000	-172.869844
1.060000	-122.263280
1.070000	-91.775061
1.080000	-21.872856
1.090000	27.007822
1.100000	96.816975
1.110000	145.578991
1.120000	209.741593
1.130000	287.063888
1.140000	318.530862
1.150000	329.802530
1.160000	344.335850
1.170000	366.511138
1.180000	373.277330
1.190000	378.101697
1.200000	397.031255
1.210000	424.257358
1.220000	424.257358
1.230000	424.257358
1.240000	301.345419
1.250000	177.902436
1.260000	29.361902
1.270000	-51.100957
1.280000	-51.100957
1.290000	-51.100957
1.300000	7.058325
1.310000	11.120116
1.320000	13.182621
1.330000	29.136398
1.340000	43.070023
1.350000	58.203725
1.360000	84.064833
1.370000	100.222581
1.380000	114.170718
1.390000	155.336624
1.400000	191.141808
1.410000	259.680849
1.420000	302.885418
1.430000	334.258851
1.440000	373.684310
1.450000	406.781064
1.460000	450.608429
1.470000	498.276929
1.480000	548.588162
1.490000	591.789831
1.500000	632.648850
1.510000	683.364766
1.520000	725.668009
1.530000	771.064174
1.540000	816.690929
1.550000	872.843469
1.560000	872.843469
1.570000	872.843469
1.580000	847.549623
1.590000	696.660260
1.600000	507.830233
1.610000	377.692255
1.620000	285.836666
1.630000	238.846163
1.640000	210.610064
1.650000	210.610064
1.660000	210.610064
1.670000	224.708968
1.680000	258.559631
1.690000	289.135198
1.700000	300.580032
1.710000	300.580032
1.720000	300.580032
1.730000	296.553908
1.740000	280.405680
1.750000	259.318270
1.760000	245.264276
1.770000	245.264276
1.780000	245.264276
1.790000	266.525394
1.800000	671.010304
1.810000	733.879734
1.820000	768.657387
1.830000	799.496457
1.840000	856.378085
1.850000	896.972622
1.860000	957.099398
1.870000	965.394693
1.880000	965.394693
1.890000	957.099398
1.900000	389.460662
1.910000	389.460662
1.920000	389.460662
1.930000	390.237229
1.940000	396.065826
1.950000	396.065826
1.960000	396.065826
1.970000	341.687230
1.980000	341.106915
1.990000	324.453360
2.000000	319.657305
