Time(s)	IR_denoised_wiener
0.000000	1806.794089
0.010000	1852.952946
0.020000	1872.955105
0.030000	1894.665146
0.040000	1915.058211
0.050000	1941.870335
0.060000	1974.935773
0.070000	2020.889743
0.080000	2073.907355
0.090000	2123.691132
0.100000	2165.354074
0.110000	2197.628738
0.120000	2225.944780
0.130000	2248.337598
0.140000	2270.346952
0.150000	2288.478444
0.160000	2306.224374
0.170000	2329.414352
0.180000	2351.522405
0.190000	2361.458155
0.200000	2365.320619
0.210000	2361.934139
0.220000	2314.138001
0.230000	2180.515600
0.240000	1991.602652
0.250000	1816.317929
0.260000	1698.111918
0.270000	1639.788960
0.280000	1636.713518
0.290000	1669.665120
0.300000	1704.384743
0.310000	1725.703704
0.320000	1730.197268
0.330000	1743.597123
0.340000	1765.378131
0.350000	1778.885718
0.360000	1780.031995
0.370000	1765.614229
0.380000	1758.193094
0.390000	1750.696804
0.400000	1745.815424
0.410000	1752.563457
0.420000	1769.842295
0.430000	1793.853947
0.440000	1817.623950
0.450000	1836.580123
0.460000	1858.200021
0.470000	1875.025485
0.480000	1889.896798
0.490000	1906.564634
0.500000	1922.332674
0.510000	1942.882444
0.520000	1963.494465
0.530000	1988.311226
0.540000	2010.712133
0.550000	2028.837319
0.560000	2056.054642
0.570000	2084.052319
0.580000	2106.148837
0.590000	2132.726806
0.600000	2162.622671
0.610000	2165.397621
0.620000	2094.795166
0.630000	1974.334211
0.640000	1850.102457
0.650000	1754.638395
0.660000	1692.737009
0.670000	1665.334080
0.680000	1661.740363
0.690000	1663.407531
0.700000	1658.493430
0.710000	1652.257845
0.720000	1661.005312
0.730000	1677.437056
0.740000	1688.226263
0.750000	1683.683774
0.760000	1667.540135
0.770000	1650.671384
0.780000	1625.523179
0.790000	1603.094926
0.800000	1600.239110
0.810000	1619.527886
0.820000	1648.962145
0.830000	1675.670718
0.840000	1696.756639
0.850000	1717.211067
0.860000	1733.234620
0.870000	1743.129920
0.880000	1748.425948
0.890000	1747.409433
0.900000	1747.677480
0.910000	1754.047667
0.920000	1758.926326
0.930000	1751.373146
0.940000	1738.586452
0.950000	1729.730500
0.960000	1730.929706
0.970000	1733.737635
0.980000	1737.983806
0.990000	1745.770766
1.000000	1749.362261
1.010000	1709.400038
1.020000	1592.772470
1.030000	1402.763241
1.040000	1174.951220
1.050000	932.648917
1.060000	664.751502
1.070000	379.332251
1.080000	98.295198
1.090000	-196.917700
1.100000	-514.762064
1.110000	-830.139692
1.120000	-1120.056099
1.130000	-1341.242805
1.140000	-1512.081574
1.150000	-1645.457643
1.160000	-1763.110718
1.170000	-1863.955104
1.180000	-1931.444457
1.190000	-1969.190055
1.200000	-1979.792603
1.210000	-1985.832107
1.220000	-2010.162090
1.230000	-2053.435458
1.240000	-2098.506641
1.250000	-2129.066718
1.260000	-2151.941994
1.270000	-2169.715216
1.280000	-2184.406315
1.290000	-2188.035037
1.300000	-2186.609441
1.310000	-2184.719596
1.320000	-2180.164113
1.330000	-2176.124026
1.340000	-2163.057135
1.350000	-2149.285676
1.360000	-2128.954218
1.370000	-2106.185901
1.380000	-2087.570730
1.390000	-2072.781253
1.400000	-2039.174873
1.410000	-2007.212025
1.420000	-2020.895477
1.430000	-2107.316238
1.440000	-2232.503002
1.450000	-2343.758379
1.460000	-2436.633788
1.470000	-2496.899099
1.480000	-2522.190632
1.490000	-2525.142483
1.500000	-2526.833466
1.510000	-2544.439249
1.520000	-2557.772407
1.530000	-2557.164914
1.540000	-2550.159886
1.550000	-2548.972587
1.560000	-2564.614465
1.570000	-2584.787859
1.580000	-2605.497996
1.590000	-2624.013932
1.600000	-2634.782270
1.610000	-2634.990509
1.620000	-2625.487376
1.630000	-2610.387949
1.640000	-2592.602161
1.650000	-2574.531399
1.660000	-2557.128108
1.670000	-2536.076571
1.680000	-2506.737057
1.690000	-2472.060837
1.700000	-2433.761856
1.710000	-2399.481618
1.720000	-2370.189535
1.730000	-2344.651844
1.740000	-2315.356410
1.750000	-2281.598133
1.760000	-2249.968269
1.770000	-2215.271223
1.780000	-2167.326496
1.790000	-2117.430899
1.800000	-2071.097289
1.810000	-2020.316062
1.820000	-1990.723951
1.830000	-2019.330067
1.840000	-2118.381011
1.850000	-2235.933638
1.860000	-2325.820581
1.870000	-2383.752975
1.880000	-2408.369687
1.890000	-2403.689320
1.900000	-2382.378834
1.910000	-2356.394039
1.920000	-2328.467000
1.930000	-2292.178654
1.940000	-2247.010398
1.950000	-2207.109892
1.960000	-2184.655361
1.970000	-2178.779560
1.980000	-2175.706402
1.990000	-2164.231752
2.000000	-2148.241595
2.010000	-2130.791600
2.020000	-2109.204865
2.030000	-2082.801293
2.040000	-2055.960249
2.050000	-2034.259674
2.060000	-2016.141931
2.070000	-2000.499006
2.080000	-1976.410183
2.090000	-1947.559099
2.100000	-1909.437033
2.110000	-1875.784182
2.120000	-1836.179480
2.130000	-1791.155052
2.140000	-1752.402014
2.150000	-1712.924424
2.160000	-1673.763493
