Time(s)	GREEN_denoised_wiener
0.000000	-360.232538
0.010000	-398.224692
0.020000	-420.444080
0.030000	-436.702253
0.040000	-447.582037
0.050000	-456.517579
0.060000	-464.041729
0.070000	-466.317040
0.080000	-464.176819
0.090000	-461.119486
0.100000	-459.637905
0.110000	-456.233990
0.120000	-450.435568
0.130000	-443.347511
0.140000	-438.233593
0.150000	-433.775957
0.160000	-427.355295
0.170000	-419.540150
0.180000	-408.129451
0.190000	-398.652035
0.200000	-396.228679
0.210000	-403.081882
0.220000	-412.295121
0.230000	-411.488762
0.240000	-398.046806
0.250000	-374.902362
0.260000	-349.802909
0.270000	-325.292579
0.280000	-300.540361
0.290000	-272.667501
0.300000	-242.277414
0.310000	-213.040588
0.320000	-184.325429
0.330000	-151.725789
0.340000	-116.711766
0.350000	-89.089099
0.360000	-76.079251
0.370000	-75.414291
0.380000	-81.425038
0.390000	-92.404371
0.400000	-104.418410
0.410000	-114.383518
0.420000	-116.724700
0.430000	-115.709151
0.440000	-110.335668
0.450000	-102.361202
0.460000	-90.590394
0.470000	-76.672625
0.480000	-64.502539
0.490000	-53.288785
0.500000	-44.404593
0.510000	-35.545165
0.520000	-27.632186
0.530000	-19.111110
0.540000	-9.177895
0.550000	4.010053
0.560000	18.617528
0.570000	33.484617
0.580000	47.431419
0.590000	61.985451
0.600000	79.266082
0.610000	98.163539
0.620000	119.459039
0.630000	140.351866
0.640000	162.350884
0.650000	184.888518
0.660000	206.594862
0.670000	229.121443
0.680000	251.519979
0.690000	274.380512
0.700000	298.802049
0.710000	325.661492
0.720000	351.428167
0.730000	369.624164
0.740000	376.418303
0.750000	375.297309
0.760000	367.091809
0.770000	356.004002
0.780000	345.788661
0.790000	340.402776
0.800000	338.496077
0.810000	338.158767
0.820000	339.902508
0.830000	345.276916
0.840000	354.331065
0.850000	363.411414
0.860000	371.460206
0.870000	378.576142
0.880000	385.618755
0.890000	392.766582
0.900000	401.475321
0.910000	411.313271
0.920000	422.695902
0.930000	433.882644
0.940000	447.290091
0.950000	462.139012
0.960000	478.248606
0.970000	496.093437
0.980000	517.239950
0.990000	542.408940
1.000000	569.921670
1.010000	597.754023
1.020000	624.301965
1.030000	647.462045
1.040000	667.052067
1.050000	685.207846
1.060000	703.164653
1.070000	718.976741
1.080000	733.650714
1.090000	752.790494
1.100000	777.155896
1.110000	798.946683
1.120000	810.360537
1.130000	810.488117
1.140000	801.941337
1.150000	790.070395
1.160000	776.545518
1.170000	764.690864
1.180000	754.507708
1.190000	746.680495
1.200000	741.502923
1.210000	737.700057
1.220000	735.536741
1.230000	735.086933
1.240000	735.268684
1.250000	735.844215
1.260000	735.031256
1.270000	731.638104
1.280000	727.503912
1.290000	724.467188
1.300000	724.010888
1.310000	725.659617
1.320000	727.549530
1.330000	730.561817
1.340000	733.451313
1.350000	738.175204
1.360000	744.716803
1.370000	752.823807
1.380000	762.017597
1.390000	771.841787
1.400000	783.358600
1.410000	794.888322
1.420000	806.072695
1.430000	816.303674
1.440000	827.162338
1.450000	837.748441
1.460000	848.959842
1.470000	860.225448
1.480000	872.464393
1.490000	888.076150
1.500000	908.669738
1.510000	928.944170
1.520000	938.898463
1.530000	932.526101
1.540000	911.183665
1.550000	880.489299
1.560000	846.506288
1.570000	814.152178
1.580000	784.521195
1.590000	756.846016
1.600000	732.243965
1.610000	710.238103
1.620000	691.004426
1.630000	673.997374
1.640000	659.135257
1.650000	643.785324
1.660000	627.975668
1.670000	611.608450
1.680000	596.523502
1.690000	581.792649
1.700000	567.108287
1.710000	554.685592
1.720000	543.051319
1.730000	533.621407
1.740000	525.690018
1.750000	520.931809
1.760000	519.358748
1.770000	520.943246
1.780000	523.054683
1.790000	526.999725
1.800000	531.444130
1.810000	536.093024
1.820000	540.868000
1.830000	547.224225
1.840000	555.656110
1.850000	565.719581
1.860000	574.804857
1.870000	584.258902
1.880000	593.648320
1.890000	604.168810
1.900000	614.517536
1.910000	624.113148
1.920000	636.095917
1.930000	651.416908
1.940000	664.354561
1.950000	663.068935
1.960000	642.329576
1.970000	603.436927
1.980000	554.019804
1.990000	500.164983
2.000000	450.414205
2.010000	407.240260
2.020000	371.501183
2.030000	340.001204
2.040000	311.958044
2.050000	289.466418
2.060000	272.438392
2.070000	257.618862
2.080000	241.614065
2.090000	221.802239
2.100000	200.498550
2.110000	177.674204
2.120000	155.082727
2.130000	135.577087
2.140000	118.685438
2.150000	106.848737
2.160000	97.301049
2.170000	90.489512
2.180000	85.272360
2.190000	83.498329
2.200000	85.599372
2.210000	90.529108
2.220000	96.617121
2.230000	103.923520
2.240000	111.992095
2.250000	121.345691
2.260000	131.723079
2.270000	142.458006
2.280000	153.480047
2.290000	163.257080
2.300000	173.603403
2.310000	183.739315
2.320000	195.423774
2.330000	205.230437
2.340000	217.287777
2.350000	233.070237
2.360000	252.837493
2.370000	265.567851
2.380000	260.743809
2.390000	232.767271
2.400000	184.026765
2.410000	120.330530
2.420000	53.346671
2.430000	-9.096160
2.440000	-65.330008
2.450000	-118.850289
2.460000	-176.328930
2.470000	-238.234492
2.480000	-312.733949
2.490000	-406.943027
2.500000	-511.588458
2.510000	-611.043263
2.520000	-694.338026
2.530000	-758.783869
2.540000	-805.951607
2.550000	-841.392697
2.560000	-871.243581
2.570000	-900.648396
2.580000	-929.170048
2.590000	-954.549132
2.600000	-973.076123
2.610000	-986.782771
2.620000	-995.961425
2.630000	-1001.335126
2.640000	-1001.491921
2.650000	-998.214166
2.660000	-993.006411
2.670000	-985.071814
2.680000	-972.168694
2.690000	-953.919838
2.700000	-931.654406
2.710000	-906.085059
2.720000	-877.792121
2.730000	-848.238540
2.740000	-819.584383
2.750000	-791.036669
2.760000	-762.030149
2.770000	-733.491889
2.780000	-705.125658
2.790000	-672.923456
2.800000	-638.890993
2.810000	-613.698893
2.820000	-610.984640
2.830000	-632.094155
2.840000	-670.376658
2.850000	-716.134798
2.860000	-762.095827
2.870000	-803.837166
2.880000	-838.807433
2.890000	-866.532599
2.900000	-887.843374
2.910000	-903.214526
2.920000	-910.860625
2.930000	-911.557713
2.940000	-908.538885
2.950000	-907.896378
2.960000	-911.526605
2.970000	-917.211412
2.980000	-923.169875
2.990000	-925.508333
3.000000	-925.147393
3.010000	-921.789597
3.020000	-916.783778
3.030000	-909.720362
3.040000	-899.739904
3.050000	-887.309051
3.060000	-872.014529
3.070000	-854.889257
3.080000	-836.274757
3.090000	-817.459517
3.100000	-798.184801
3.110000	-777.682384
3.120000	-755.416089
3.130000	-730.892573
3.140000	-703.968804
3.150000	-676.428439
3.160000	-647.835724
3.170000	-618.620227
3.180000	-588.687994
3.190000	-560.138064
3.200000	-531.182847
3.210000	-503.318072
3.220000	-474.320532
3.230000	-442.485775
3.240000	-407.113798
3.250000	-373.990665
3.260000	-355.243734
3.270000	-353.789387
3.280000	-369.016321
3.290000	-394.223596
3.300000	-421.103245
3.310000	-442.312409
3.320000	-457.193684
3.330000	-467.058313
3.340000	-475.274650
3.350000	-479.774018
3.360000	-480.011057
3.370000	-475.808510
3.380000	-467.733801
3.390000	-460.505208
3.400000	-455.431161
3.410000	-452.515477
3.420000	-449.773385
3.430000	-446.178540
3.440000	-442.102776
3.450000	-435.484742
3.460000	-427.089578
3.470000	-417.105498
3.480000	-407.396943
3.490000	-397.034357
3.500000	-383.014205
3.510000	-366.623740
3.520000	-348.277620
3.530000	-331.202538
3.540000	-313.174227
3.550000	-293.433328
3.560000	-270.717222
3.570000	-246.318705
3.580000	-221.574370
3.590000	-196.514324
3.600000	-170.409726
3.610000	-143.358966
3.620000	-116.561316
3.630000	-89.511930
3.640000	-61.023824
3.650000	-31.648917
3.660000	-4.138074
3.670000	24.250357
3.680000	54.764961
3.690000	88.169898
3.700000	120.677304
3.710000	146.773387
3.720000	163.619225
3.730000	167.730879
3.740000	163.605719
3.750000	156.713902
3.760000	150.610017
3.770000	147.382838
3.780000	147.299455
3.790000	150.073935
3.800000	157.351415
3.810000	166.778137
3.820000	177.431594
3.830000	188.507150
3.840000	198.534633
3.850000	209.269910
3.860000	216.646764
3.870000	223.075737
3.880000	229.446858
3.890000	238.244945
3.900000	249.599675
3.910000	261.434139
3.920000	272.781779
3.930000	283.986692
3.940000	297.997647
3.950000	314.891483
3.960000	334.239101
3.970000	353.150004
3.980000	373.521039
3.990000	395.431043
4.000000	417.493302
4.010000	438.072588
4.020000	457.498990
4.030000	477.746842
4.040000	500.198073
4.050000	523.776194
4.060000	548.595769
4.070000	572.160538
4.080000	592.356830
4.090000	611.586415
4.100000	634.486640
4.110000	662.365897
4.120000	690.629791
4.130000	713.170909
