Time(s)	RED_denoised_wiener
0.000000	290.317585
0.010000	446.672958
0.020000	473.068534
0.030000	503.527559
0.040000	533.833584
0.050000	554.079596
0.060000	546.623750
0.070000	535.124721
0.080000	524.408464
0.090000	511.862306
0.100000	485.547068
0.110000	467.739986
0.120000	479.060511
0.130000	502.226230
0.140000	503.909150
0.150000	475.492879
0.160000	429.194136
0.170000	381.817850
0.180000	328.465156
0.190000	244.133169
0.200000	82.389469
0.210000	-162.890828
0.220000	-450.580161
0.230000	-646.816525
0.240000	-747.732610
0.250000	-775.334846
0.260000	-790.743850
0.270000	-810.686319
0.280000	-821.292874
0.290000	-803.311558
0.300000	-762.198369
0.310000	-744.003620
0.320000	-733.892013
0.330000	-717.652819
0.340000	-702.934488
0.350000	-734.359062
0.360000	-803.787575
0.370000	-854.888489
0.380000	-860.676835
0.390000	-834.484236
0.400000	-799.548900
0.410000	-770.344846
0.420000	-732.296781
0.430000	-695.228066
0.440000	-657.635809
0.450000	-619.738254
0.460000	-584.604890
0.470000	-551.192679
0.480000	-530.562722
0.490000	-517.223785
0.500000	-505.475422
0.510000	-486.869417
0.520000	-463.372092
0.530000	-438.808811
0.540000	-418.227397
0.550000	-391.662196
0.560000	-369.092657
0.570000	-355.791107
0.580000	-353.904397
0.590000	-346.489257
0.600000	-332.715335
0.610000	-315.820125
0.620000	-289.120506
0.630000	-254.796750
0.640000	-203.782797
0.650000	-155.807065
0.660000	-119.034526
0.670000	-79.711636
0.680000	-40.619383
0.690000	-11.589879
0.700000	22.911203
0.710000	56.851827
0.720000	57.414145
0.730000	-8.327428
0.740000	-107.188591
0.750000	-172.702446
0.760000	-212.615595
0.770000	-234.697886
0.780000	-248.668230
0.790000	-251.946411
0.800000	-232.648765
0.810000	-209.565887
0.820000	-180.190755
0.830000	-149.158179
0.840000	-116.673693
0.850000	-90.724869
0.860000	-86.462576
0.870000	-82.477325
0.880000	-68.568334
0.890000	-48.220034
0.900000	-23.957366
0.910000	-0.253913
0.920000	31.737797
0.930000	66.386809
0.940000	103.161424
0.950000	138.400151
0.960000	168.967805
0.970000	210.513150
0.980000	273.808949
0.990000	375.356795
1.000000	504.289921
1.010000	629.860918
1.020000	720.149504
1.030000	776.504999
1.040000	808.079172
1.050000	829.880559
1.060000	846.027725
1.070000	841.585977
1.080000	832.777431
1.090000	830.993758
1.100000	821.504401
1.110000	775.745932
1.120000	695.363429
1.130000	636.697451
1.140000	618.501701
1.150000	621.928194
1.160000	633.704472
1.170000	647.894954
1.180000	663.637052
1.190000	683.921513
1.200000	699.919720
1.210000	713.025364
1.220000	721.576537
1.230000	723.844896
1.240000	716.946027
1.250000	699.049820
1.260000	689.088349
1.270000	685.581123
1.280000	692.628408
1.290000	702.127950
1.300000	717.582673
1.310000	730.357057
1.320000	742.281252
1.330000	756.973255
1.340000	767.666763
1.350000	780.339846
1.360000	791.407999
1.370000	804.107085
1.380000	815.514155
1.390000	825.931602
1.400000	839.345426
1.410000	848.439983
1.420000	852.910760
1.430000	856.674660
1.440000	857.507153
1.450000	854.627783
1.460000	856.175737
1.470000	860.267612
1.480000	851.855601
1.490000	849.380054
1.500000	860.218909
1.510000	850.426010
1.520000	782.953894
1.530000	683.357281
1.540000	619.518346
1.550000	593.487449
1.560000	589.078916
1.570000	592.002186
1.580000	597.377852
1.590000	604.574258
1.600000	607.707847
1.610000	610.885730
1.620000	609.392039
1.630000	611.277165
1.640000	603.730301
1.650000	582.068753
1.660000	553.478780
1.670000	533.928532
1.680000	533.588524
1.690000	534.755389
1.700000	534.448786
1.710000	533.636276
1.720000	537.028952
1.730000	548.223491
1.740000	558.952351
1.750000	569.543227
1.760000	583.259149
1.770000	604.908964
1.780000	628.243748
1.790000	648.988040
1.800000	660.262188
1.810000	668.811938
1.820000	679.649667
1.830000	688.985188
1.840000	697.088218
1.850000	701.523987
1.860000	707.921612
1.870000	711.406343
1.880000	712.475210
1.890000	718.679896
1.900000	719.684531
1.910000	710.673160
1.920000	713.671816
1.930000	712.933269
1.940000	675.649183
1.950000	591.291191
1.960000	509.494755
1.970000	467.317195
1.980000	447.894521
1.990000	438.389549
2.000000	439.366043
2.010000	452.833813
2.020000	475.189742
2.030000	487.603498
2.040000	488.427525
2.050000	490.446024
2.060000	498.342572
2.070000	501.946903
2.080000	483.936761
2.090000	461.908776
2.100000	450.220102
2.110000	449.196453
2.120000	450.176058
2.130000	453.539219
2.140000	463.840017
2.150000	485.912241
2.160000	506.483346
2.170000	518.999092
2.180000	532.196991
2.190000	553.109179
2.200000	583.924855
2.210000	612.206209
2.220000	633.701914
2.230000	653.689042
2.240000	675.165266
2.250000	701.866037
2.260000	729.631979
2.270000	755.738259
2.280000	782.469975
2.290000	804.947890
2.300000	825.016419
