Time(s)	IR_denoised_wiener
0.000000	898.865162
0.010000	1153.786019
0.020000	910.063113
0.030000	1110.733525
0.040000	1440.205286
0.050000	1987.136375
0.060000	2478.031243
0.070000	3091.793653
0.080000	3399.533128
0.090000	3374.233377
0.100000	3082.972153
0.110000	2719.700285
0.120000	2359.095631
0.130000	1883.651366
0.140000	1348.371573
0.150000	806.275590
0.160000	353.110063
0.170000	21.070385
0.180000	-224.991371
0.190000	-423.465433
0.200000	-708.009589
0.210000	-1043.526294
0.220000	-1328.166423
0.230000	-1535.449521
0.240000	-1724.213018
0.250000	-1940.325953
0.260000	-2150.698286
0.270000	-2269.045194
0.280000	-2375.964183
0.290000	-2289.365233
0.300000	-2110.330123
0.310000	-1888.198770
0.320000	-1511.911095
0.330000	-1098.648063
0.340000	-564.929762
0.350000	-221.167975
0.360000	135.806796
0.370000	527.156923
0.380000	801.079739
0.390000	859.307042
0.400000	672.219482
0.410000	424.390440
0.420000	201.098215
0.430000	-76.632196
0.440000	-241.000111
0.450000	-356.280371
0.460000	-347.370367
0.470000	-369.883579
0.480000	-442.352082
0.490000	-466.487170
0.500000	-446.603452
0.510000	-404.459789
0.520000	-480.836106
0.530000	-591.468624
0.540000	-686.818378
0.550000	-737.854623
0.560000	-814.727149
0.570000	-891.965336
0.580000	-940.947855
0.590000	-943.090781
0.600000	-881.159333
0.610000	-698.093807
0.620000	-479.081690
0.630000	-236.884650
0.640000	-0.033983
0.650000	233.421729
0.660000	633.488921
0.670000	1260.106207
0.680000	1811.699432
0.690000	2352.141725
0.700000	2718.969043
0.710000	2870.523227
0.720000	2708.096226
0.730000	2349.848038
0.740000	2252.835262
0.750000	2161.563522
0.760000	1980.026777
0.770000	1692.848230
0.780000	1304.955154
0.790000	935.460966
0.800000	511.036014
0.810000	-29.879633
0.820000	-498.514612
0.830000	-942.522012
0.840000	-1200.811043
0.850000	-1322.059716
0.860000	-1329.022158
0.870000	-1157.009839
0.880000	-917.035126
0.890000	-570.535102
0.900000	-187.331753
0.910000	91.090164
0.920000	318.588832
0.930000	488.563396
0.940000	613.576070
0.950000	725.436844
0.960000	792.402769
0.970000	940.758331
0.980000	1065.274255
0.990000	1208.165423
1.000000	1267.764505
1.010000	1220.801757
1.020000	1037.584325
1.030000	782.710903
1.040000	417.133252
1.050000	186.415480
1.060000	26.177887
1.070000	-89.761438
1.080000	-85.149274
1.090000	-97.177810
1.100000	6.610900
1.110000	-100.508710
1.120000	-92.155198
1.130000	65.703951
1.140000	305.479379
1.150000	525.502732
1.160000	731.755945
1.170000	1030.924353
1.180000	1365.928898
1.190000	1649.943706
1.200000	1889.370591
1.210000	2035.825176
1.220000	2037.147737
1.230000	1965.059269
1.240000	1841.132730
1.250000	1732.430413
1.260000	1648.973015
1.270000	1618.528768
1.280000	1562.867127
1.290000	1436.394874
1.300000	1237.560120
1.310000	1061.203445
1.320000	838.146793
1.330000	607.988063
1.340000	368.963591
1.350000	163.905329
1.360000	2.365579
1.370000	-68.063234
1.380000	-51.030385
1.390000	20.563746
1.400000	141.324842
1.410000	297.844119
1.420000	492.732569
1.430000	753.200315
1.440000	1003.198039
1.450000	1227.397729
1.460000	1563.424464
1.470000	1850.449350
1.480000	2198.401550
1.490000	2419.690543
1.500000	2647.599719
1.510000	2677.008430
1.520000	2538.450966
1.530000	2414.081590
1.540000	2337.900456
1.550000	2231.183275
1.560000	2058.138953
1.570000	1907.965617
1.580000	1790.496429
1.590000	1721.433956
1.600000	1612.237038
1.610000	1630.942680
1.620000	1594.682413
1.630000	1591.196076
1.640000	1549.693329
1.650000	1578.943118
1.660000	1650.326880
1.670000	1799.198678
1.680000	1977.062432
1.690000	2130.438998
1.700000	2216.157542
1.710000	2247.164147
1.720000	2233.909272
1.730000	2083.267720
1.740000	1887.833409
1.750000	1655.132697
1.760000	1405.119449
1.770000	1106.183196
1.780000	784.557542
1.790000	441.156690
1.800000	175.257684
1.810000	-28.192600
1.820000	-124.554315
1.830000	-218.629092
1.840000	-263.293114
1.850000	-306.337675
1.860000	-320.504508
1.870000	-359.280745
1.880000	-349.715330
1.890000	-199.183798
1.900000	-6.800778
1.910000	331.121512
1.920000	557.440094
1.930000	806.819674
1.940000	818.577857
1.950000	841.900315
1.960000	915.786425
1.970000	997.069383
1.980000	900.250837
1.990000	632.079233
2.000000	334.732634
2.010000	72.185693
2.020000	-139.606746
2.030000	-365.954357
2.040000	-471.084505
2.050000	-641.337134
2.060000	-755.409341
2.070000	-884.942575
2.080000	-950.679797
2.090000	-926.721984
2.100000	-865.192635
2.110000	-780.760605
2.120000	-696.090176
2.130000	-628.481223
2.140000	-549.225400
2.150000	-548.559893
2.160000	-624.138335
2.170000	-698.130544
2.180000	-756.927594
2.190000	-790.745599
2.200000	-860.946786
2.210000	-911.072194
2.220000	-1004.664664
2.230000	-1142.930614
2.240000	-1338.450758
2.250000	-1513.578790
2.260000	-1649.436424
2.270000	-1811.163139
2.280000	-1978.226103
2.290000	-2087.670854
2.300000	-2151.929935
2.310000	-2060.214435
2.320000	-1879.496832
2.330000	-1594.908577
2.340000	-1189.099425
2.350000	-881.295495
2.360000	-521.397787
2.370000	-309.354466
2.380000	87.722906
2.390000	505.175126
2.400000	875.063902
2.410000	1189.156226
2.420000	1355.461909
2.430000	1493.337724
2.440000	1458.755951
2.450000	1386.236563
2.460000	1328.109378
2.470000	1259.207173
2.480000	1127.005109
2.490000	927.929153
2.500000	729.044584
2.510000	528.410796
2.520000	337.068365
2.530000	141.105346
2.540000	-66.608334
2.550000	-320.996099
2.560000	-643.301002
2.570000	-947.858007
2.580000	-1193.838125
2.590000	-1309.022220
2.600000	-1293.629933
2.610000	-1231.138029
2.620000	-1151.999557
2.630000	-1065.920822
2.640000	-983.763495
2.650000	-936.483784
2.660000	-931.855902
2.670000	-929.975086
2.680000	-869.616194
2.690000	-742.338285
2.700000	-544.784511
2.710000	-334.596882
2.720000	-110.853632
2.730000	88.308463
2.740000	220.335878
2.750000	370.501868
2.760000	408.202315
2.770000	512.481805
2.780000	617.999797
2.790000	800.785162
2.800000	832.562823
2.810000	767.799292
2.820000	748.299458
2.830000	829.843731
2.840000	931.593624
2.850000	944.409382
2.860000	945.330930
2.870000	911.966552
2.880000	996.812689
2.890000	1141.541611
2.900000	1400.199507
2.910000	1552.960350
2.920000	1620.843184
2.930000	1606.256126
2.940000	1522.444229
2.950000	1379.804458
2.960000	1245.126639
2.970000	1162.549811
2.980000	1120.581566
2.990000	1062.094542
3.000000	1035.249793
3.010000	1009.680433
3.020000	950.829403
3.030000	879.005955
3.040000	746.477106
3.050000	570.765047
3.060000	361.022191
3.070000	192.960008
3.080000	38.534717
3.090000	-102.516966
3.100000	-211.315735
3.110000	-246.347979
3.120000	-198.338254
3.130000	-67.622896
3.140000	102.436233
3.150000	203.839185
3.160000	284.552981
3.170000	342.744389
3.180000	348.839458
3.190000	457.400610
3.200000	551.625229
3.210000	767.662212
3.220000	956.203612
3.230000	1090.168831
3.240000	1097.901542
3.250000	943.347875
3.260000	840.526943
3.270000	739.709122
3.280000	631.502388
3.290000	456.504904
3.300000	267.022502
3.310000	77.767918
3.320000	-28.701264
3.330000	-46.276636
3.340000	27.466547
3.350000	40.154628
3.360000	31.395257
3.370000	22.769279
3.380000	48.925381
3.390000	88.127210
3.400000	152.445796
3.410000	251.709038
3.420000	345.390589
3.430000	385.498997
3.440000	337.266288
3.450000	231.028307
3.460000	30.853132
3.470000	-239.385689
3.480000	-566.029701
3.490000	-917.860462
3.500000	-1238.620154
3.510000	-1535.286023
3.520000	-1815.991600
3.530000	-2065.425710
3.540000	-2310.257560
3.550000	-2495.788474
3.560000	-2663.568436
3.570000	-2783.402067
3.580000	-2900.869289
3.590000	-2990.269024
3.600000	-3047.011207
3.610000	-3033.495653
3.620000	-3016.557536
3.630000	-2988.301817
3.640000	-2813.205310
3.650000	-2535.387214
3.660000	-2134.796495
3.670000	-1805.514211
3.680000	-1560.343718
3.690000	-1472.929358
3.700000	-1425.486651
3.710000	-1322.861906
3.720000	-1282.001126
3.730000	-1412.229592
3.740000	-1671.222216
3.750000	-1905.081027
3.760000	-2134.045496
3.770000	-2332.931983
3.780000	-2491.367426
3.790000	-2533.060206
3.800000	-2605.094858
3.810000	-2698.886506
3.820000	-2790.572931
3.830000	-2830.768924
3.840000	-2842.376033
3.850000	-2869.168742
3.860000	-2884.780124
3.870000	-2904.811014
3.880000	-2939.964813
3.890000	-3010.607388
3.900000	-3108.197834
3.910000	-3215.842021
3.920000	-3281.796462
3.930000	-3307.350408
3.940000	-3322.602399
3.950000	-3372.026524
3.960000	-3420.317505
3.970000	-3482.636228
3.980000	-3562.796426
3.990000	-3699.135716
4.000000	-3844.836381
4.010000	-3990.867177
4.020000	-4076.529198
4.030000	-4118.940361
4.040000	-4096.242821
4.050000	-4061.346596
4.060000	-3957.115037
4.070000	-3782.701402
4.080000	-3465.584122
4.090000	-3019.419705
4.100000	-2635.668075
4.110000	-2288.667880
4.120000	-2133.708246
4.130000	-1861.097835
4.140000	-1622.474018
4.150000	-1501.131573
4.160000	-1495.464382
4.170000	-1621.337352
4.180000	-1710.740039
4.190000	-1870.755271
4.200000	-1975.164405
4.210000	-2017.624831
4.220000	-2036.165924
4.230000	-2081.316882
4.240000	-2136.103064
4.250000	-2164.075993
4.260000	-2219.409158
4.270000	-2264.703138
4.280000	-2305.619213
4.290000	-2307.003340
4.300000	-2286.425357
4.310000	-2279.804656
4.320000	-2287.249949
4.330000	-2310.393037
4.340000	-2312.752136
4.350000	-2292.524991
4.360000	-2268.425028
4.370000	-2262.112081
4.380000	-2266.799504
4.390000	-2280.491366
4.400000	-2294.935141
4.410000	-2321.702741
4.420000	-2369.840765
4.430000	-2416.268734
4.440000	-2457.575855
4.450000	-2507.991187
4.460000	-2527.937062
4.470000	-2547.678576
4.480000	-2571.666333
4.490000	-2509.209461
4.500000	-2360.749874
4.510000	-2027.905362
4.520000	-1647.581894
4.530000	-1297.874424
4.540000	-1143.084478
4.550000	-1074.192339
4.560000	-890.433712
4.570000	-624.582728
4.580000	-434.556773
4.590000	-400.856328
4.600000	-445.339013
4.610000	-559.414919
4.620000	-663.686455
4.630000	-721.516352
4.640000	-693.116353
4.650000	-727.559997
4.660000	-795.812925
4.670000	-894.094564
4.680000	-963.445202
4.690000	-1039.976535
4.700000	-1064.567885
4.710000	-1022.397827
4.720000	-938.550161
4.730000	-860.629966
4.740000	-844.636811
4.750000	-896.805729
4.760000	-1004.417357
4.770000	-1096.566615
4.780000	-1171.464976
4.790000	-1255.146789
4.800000	-1275.651943
4.810000	-1219.294466
4.820000	-1138.426680
4.830000	-1094.204984
4.840000	-1107.829263
4.850000	-1124.977921
4.860000	-1134.084702
4.870000	-1060.311410
