Time(s)	GREEN_denoised_wiener
0.000000	-154.063368
0.010000	-296.598668
0.020000	-438.486902
0.030000	-609.830448
0.040000	-777.068239
0.050000	-916.124163
0.060000	-1018.395297
0.070000	-1083.811872
0.080000	-1120.783529
0.090000	-1137.203368
0.100000	-1138.537617
0.110000	-1128.295989
0.120000	-1111.001622
0.130000	-1095.107163
0.140000	-1087.168799
0.150000	-1089.950249
0.160000	-1100.028586
0.170000	-1110.159709
0.180000	-1115.940305
0.190000	-1114.417869
0.200000	-1104.903536
0.210000	-1088.727443
0.220000	-1063.569843
0.230000	-1030.092198
0.240000	-988.281844
0.250000	-942.851354
0.260000	-895.367167
0.270000	-846.323396
0.280000	-794.497465
0.290000	-740.517398
0.300000	-688.020089
0.310000	-638.423212
0.320000	-591.255938
0.330000	-542.705429
0.340000	-493.557165
0.350000	-444.373609
0.360000	-392.570149
0.370000	-336.765984
0.380000	-282.991530
0.390000	-252.588938
0.400000	-276.494934
0.410000	-371.763246
0.420000	-525.974016
0.430000	-704.600607
0.440000	-870.169247
0.450000	-1002.877884
0.460000	-1096.125914
0.470000	-1153.575654
0.480000	-1184.824975
0.490000	-1195.990399
0.500000	-1190.242924
0.510000	-1171.802102
0.520000	-1149.401106
0.530000	-1133.346380
0.540000	-1129.943631
0.550000	-1136.261022
0.560000	-1146.541193
0.570000	-1155.239434
0.580000	-1160.211664
0.590000	-1159.615953
0.600000	-1152.281623
0.610000	-1136.054443
0.620000	-1113.429378
0.630000	-1083.883349
0.640000	-1048.981913
0.650000	-1009.442636
0.660000	-967.605273
0.670000	-925.066570
0.680000	-882.626780
0.690000	-837.748644
0.700000	-790.055161
0.710000	-741.170786
0.720000	-693.888278
0.730000	-648.320715
0.740000	-604.790731
0.750000	-562.202450
0.760000	-516.755064
0.770000	-467.494915
0.780000	-424.151915
0.790000	-414.239663
0.800000	-464.617331
0.810000	-583.002455
0.820000	-746.402606
0.830000	-917.797842
0.840000	-1064.270517
0.850000	-1172.050763
0.860000	-1240.579892
0.870000	-1277.732255
0.880000	-1293.634418
0.890000	-1292.135685
0.900000	-1275.089514
0.910000	-1247.621018
0.920000	-1219.630836
0.930000	-1201.514336
0.940000	-1193.216923
0.950000	-1192.809473
0.960000	-1197.206963
0.970000	-1201.172648
0.980000	-1197.599291
0.990000	-1184.624457
1.000000	-1162.070608
1.010000	-1131.823082
1.020000	-1094.947604
1.030000	-1053.766531
1.040000	-1012.571484
1.050000	-969.434467
1.060000	-920.932915
1.070000	-866.852953
1.080000	-808.707569
1.090000	-751.690097
1.100000	-695.876782
1.110000	-640.600540
1.120000	-586.792447
1.130000	-534.584233
1.140000	-484.785465
1.150000	-433.630894
1.160000	-378.523932
1.170000	-321.432368
1.180000	-278.376640
1.190000	-277.676631
1.200000	-340.619067
1.210000	-465.266171
1.220000	-624.200601
1.230000	-781.240751
1.240000	-909.216017
1.250000	-994.662123
1.260000	-1041.354609
1.270000	-1057.839095
1.280000	-1053.237281
1.290000	-1030.742275
1.300000	-995.868806
1.310000	-959.068137
1.320000	-929.238498
1.330000	-914.801757
1.340000	-914.323479
1.350000	-921.932174
1.360000	-928.140797
1.370000	-926.479756
1.380000	-916.383147
1.390000	-897.102253
1.400000	-869.705832
1.410000	-836.135746
1.420000	-798.437315
1.430000	-756.237687
1.440000	-709.912517
1.450000	-661.084618
