Time(s)	RED_denoised_wiener
0.000000	39.537902
0.010000	40.642157
0.020000	8.750661
0.030000	-16.607219
0.040000	-38.463841
0.050000	-59.861679
0.060000	-77.666613
0.070000	-84.443072
0.080000	-79.560334
0.090000	-72.056791
0.100000	-67.116082
0.110000	-58.645663
0.120000	-53.714277
0.130000	-47.876051
0.140000	-47.014160
0.150000	-46.083250
0.160000	-43.330086
0.170000	-42.312211
0.180000	-36.960254
0.190000	-31.242933
0.200000	-30.267915
0.210000	-32.496605
0.220000	-32.907387
0.230000	-32.107288
0.240000	-22.198558
0.250000	-9.432061
0.260000	9.862117
0.270000	22.855611
0.280000	28.278791
0.290000	33.491063
0.300000	39.669059
0.310000	52.128285
0.320000	63.013380
0.330000	76.455150
0.340000	87.990647
0.350000	102.463952
0.360000	113.593557
0.370000	123.819400
0.380000	134.850309
0.390000	145.489208
0.400000	157.437183
0.410000	161.785192
0.420000	148.008093
0.430000	110.416084
0.440000	65.294137
0.450000	30.372209
0.460000	10.198391
0.470000	-11.073447
0.480000	-38.881384
0.490000	-74.186272
0.500000	-102.598647
0.510000	-116.330393
0.520000	-115.350563
0.530000	-105.838433
0.540000	-95.453586
0.550000	-86.679478
0.560000	-84.912012
0.570000	-86.509950
0.580000	-91.728900
0.590000	-93.000203
0.600000	-94.258831
0.610000	-97.165835
0.620000	-102.802304
0.630000	-106.330520
0.640000	-104.030999
0.650000	-110.227087
0.660000	-127.911072
0.670000	-150.446547
0.680000	-165.792478
0.690000	-171.040774
0.700000	-159.012006
0.710000	-137.693346
0.720000	-111.906364
0.730000	-89.705155
0.740000	-71.463486
0.750000	-58.403318
0.760000	-47.693666
0.770000	-35.449609
0.780000	-14.933865
0.790000	5.778734
0.800000	18.808289
0.810000	26.015484
0.820000	27.527172
0.830000	33.260451
0.840000	36.514910
0.850000	40.513670
0.860000	24.417390
0.870000	-8.185349
0.880000	-51.359849
0.890000	-82.859228
0.900000	-107.230507
0.910000	-129.554565
0.920000	-151.110881
0.930000	-169.927959
0.940000	-181.337664
0.950000	-191.685582
0.960000	-194.884437
0.970000	-196.161913
0.980000	-197.443265
0.990000	-202.665050
1.000000	-213.684484
1.010000	-223.498777
