Time(s)	IR_denoised_wiener
0.000000	2425.292074
0.010000	3416.417934
0.020000	2795.703561
0.030000	1794.454979
0.040000	266.986828
0.050000	-1597.815085
0.060000	-3613.641238
0.070000	-5636.116139
0.080000	-7649.215861
0.090000	-9516.692544
0.100000	-10947.315190
0.110000	-11752.846985
0.120000	-12189.608737
0.130000	-12519.668404
0.140000	-12725.463365
0.150000	-12822.587839
0.160000	-12744.443622
0.170000	-12751.434469
0.180000	-12779.238661
0.190000	-12691.801602
0.200000	-12467.075127
0.210000	-12157.111256
0.220000	-11934.325133
0.230000	-11726.843449
0.240000	-11659.887102
0.250000	-11497.030041
0.260000	-11297.051217
0.270000	-11046.486467
0.280000	-10900.155966
0.290000	-10831.934447
0.300000	-10583.454749
0.310000	-10165.630565
0.320000	-9630.050353
0.330000	-9215.368747
0.340000	-8870.722153
0.350000	-8511.562169
0.360000	-8012.171624
0.370000	-7457.568066
0.380000	-6894.425673
0.390000	-6492.832316
0.400000	-6279.213980
0.410000	-6305.772271
0.420000	-6435.430028
0.430000	-6568.104100
0.440000	-6908.783533
0.450000	-7259.638354
0.460000	-7535.765199
0.470000	-7669.881499
0.480000	-7818.029855
0.490000	-7804.893218
0.500000	-7578.654745
0.510000	-7164.145461
0.520000	-6865.753056
0.530000	-6652.524475
0.540000	-6517.306712
0.550000	-6415.532828
0.560000	-6201.991456
0.570000	-5893.067909
0.580000	-5577.967764
0.590000	-5337.346361
0.600000	-5185.871615
0.610000	-5075.235852
0.620000	-4978.627036
0.630000	-4935.775798
0.640000	-4943.741408
0.650000	-4999.800921
0.660000	-5118.061650
0.670000	-5466.082189
0.680000	-5776.029068
0.690000	-6135.524391
0.700000	-6351.752494
0.710000	-6721.512508
0.720000	-7110.501211
0.730000	-7533.460824
0.740000	-8029.542581
0.750000	-8501.936058
0.760000	-9039.669407
0.770000	-9451.892257
0.780000	-9926.427210
0.790000	-10338.923167
0.800000	-10713.532811
0.810000	-11030.781913
0.820000	-11334.099854
0.830000	-11679.638552
0.840000	-12087.872730
0.850000	-12507.609646
0.860000	-12938.437104
0.870000	-13319.741405
0.880000	-13660.860196
0.890000	-14012.660984
0.900000	-14307.304754
0.910000	-14560.497857
0.920000	-14820.199302
0.930000	-15120.665321
0.940000	-15492.124409
0.950000	-15915.412047
0.960000	-16232.055026
0.970000	-16564.992937
0.980000	-16876.946512
0.990000	-17155.048043
1.000000	-17556.384767
1.010000	-17836.419402
1.020000	-18096.197466
1.030000	-18284.804485
1.040000	-18439.021162
1.050000	-18773.453712
1.060000	-18978.185432
1.070000	-19244.599712
1.080000	-19443.928881
1.090000	-19715.612662
1.100000	-20024.327640
1.110000	-20284.962399
1.120000	-20404.182113
1.130000	-20350.966230
1.140000	-20422.759536
1.150000	-20569.507480
1.160000	-20836.428079
1.170000	-20949.004136
1.180000	-21095.204465
1.190000	-21334.322175
1.200000	-21597.808271
1.210000	-21717.214663
1.220000	-21650.946133
1.230000	-21551.830140
1.240000	-21548.208949
1.250000	-21647.976748
1.260000	-21748.366052
1.270000	-21732.619300
1.280000	-21551.913452
1.290000	-21410.830764
1.300000	-21230.223553
1.310000	-21104.730467
1.320000	-20998.053751
1.330000	-20786.605484
1.340000	-20520.243934
1.350000	-20124.357309
1.360000	-19847.876371
1.370000	-19604.409920
1.380000	-19379.262190
1.390000	-19248.268882
1.400000	-19209.660338
1.410000	-19078.183697
1.420000	-18878.529119
1.430000	-18735.601853
1.440000	-18656.636768
1.450000	-18568.695715
1.460000	-18380.256347
1.470000	-18214.609499
1.480000	-18023.635220
1.490000	-17848.331523
1.500000	-17708.185087
1.510000	-17599.887509
1.520000	-17455.119347
1.530000	-17213.026553
1.540000	-16895.175362
1.550000	-16545.455010
1.560000	-16259.935409
1.570000	-16001.744888
1.580000	-15565.792387
1.590000	-14814.110384
1.600000	-13924.740771
1.610000	-12996.146215
1.620000	-12014.267693
1.630000	-10913.259326
1.640000	-9639.713476
1.650000	-8487.877101
1.660000	-7547.479046
1.670000	-6819.798435
1.680000	-6130.640750
1.690000	-5351.722161
1.700000	-4703.969383
1.710000	-4197.272187
1.720000	-3915.371546
1.730000	-3688.327549
1.740000	-3462.961198
1.750000	-3228.029571
1.760000	-2886.845642
1.770000	-2636.398971
1.780000	-2370.088308
1.790000	-2241.004959
1.800000	-2054.898212
1.810000	-1773.892917
1.820000	-1510.638569
1.830000	-1292.060326
1.840000	-1186.672583
1.850000	-1050.153782
1.860000	-924.393168
1.870000	-785.573068
1.880000	-708.221330
1.890000	-620.091182
1.900000	-556.845649
1.910000	-399.682638
1.920000	-267.618559
1.930000	-124.674933
1.940000	3.949486
1.950000	-58.238260
1.960000	-32.385121
1.970000	-28.019401
1.980000	119.551207
1.990000	158.575630
2.000000	102.070235
2.010000	39.571855
2.020000	-130.074599
2.030000	-279.274892
2.040000	-437.118832
2.050000	-518.274228
2.060000	-581.690671
2.070000	-737.543384
2.080000	-815.619325
2.090000	-987.877054
2.100000	-1105.790244
2.110000	-1360.597532
2.120000	-1615.511609
2.130000	-1790.589967
2.140000	-1904.617726
2.150000	-2018.810282
2.160000	-2221.574274
2.170000	-2364.821186
2.180000	-2398.571476
2.190000	-2384.240270
2.200000	-2489.961702
2.210000	-2711.617166
2.220000	-2931.468438
2.230000	-3097.935320
2.240000	-3151.376876
2.250000	-3179.746968
2.260000	-3255.996474
2.270000	-3283.175238
2.280000	-3541.064943
2.290000	-3706.358757
2.300000	-3841.602368
2.310000	-3858.200489
2.320000	-3918.232420
2.330000	-4157.705514
2.340000	-4270.045869
2.350000	-4491.430949
2.360000	-4704.949934
2.370000	-5048.580858
2.380000	-5277.190131
2.390000	-5470.341561
2.400000	-5707.479570
2.410000	-5861.247721
2.420000	-6068.538753
2.430000	-6123.921437
2.440000	-6201.010565
2.450000	-6112.973781
2.460000	-5971.668406
2.470000	-5798.139351
2.480000	-5587.949198
2.490000	-5345.351986
2.500000	-5059.542039
2.510000	-4882.361606
2.520000	-4775.960952
2.530000	-4806.667885
2.540000	-4723.181421
2.550000	-4564.107754
2.560000	-4240.051020
2.570000	-3916.578593
2.580000	-3608.500552
2.590000	-3017.179133
2.600000	-2417.846790
2.610000	-1724.103516
2.620000	-1476.562138
2.630000	-1211.579804
2.640000	-935.876061
2.650000	-558.758407
2.660000	-232.824565
2.670000	-37.365197
2.680000	180.237864
2.690000	362.495090
2.700000	600.756755
2.710000	811.593169
2.720000	1057.731755
2.730000	1276.070495
2.740000	1480.312717
2.750000	1644.169814
2.760000	1798.786742
2.770000	1925.203640
2.780000	2047.454440
2.790000	2221.069680
2.800000	2531.286209
2.810000	2754.172474
2.820000	3023.857406
2.830000	3176.549726
2.840000	3432.579720
2.850000	3829.858744
2.860000	4296.102174
2.870000	4833.144123
2.880000	5252.879028
2.890000	5753.937721
2.900000	6294.110319
2.910000	6769.013016
2.920000	7116.580139
2.930000	7355.101109
2.940000	7647.575935
2.950000	7937.384228
2.960000	8258.287869
2.970000	8503.084358
2.980000	8638.677089
2.990000	8709.808210
3.000000	8809.344551
3.010000	9280.702357
3.020000	10106.840153
3.030000	11074.545169
3.040000	11869.213984
3.050000	12438.935368
3.060000	12912.245084
3.070000	13310.528631
3.080000	13487.649056
3.090000	13476.114420
3.100000	13386.103685
3.110000	13381.353349
3.120000	13401.784926
3.130000	13419.858196
3.140000	13382.908839
3.150000	13197.430926
3.160000	13005.862477
3.170000	12620.279523
3.180000	12220.677995
3.190000	11790.440853
3.200000	11394.905993
3.210000	11020.574263
3.220000	10477.171566
3.230000	9986.029030
3.240000	9521.283401
3.250000	9136.561607
3.260000	8755.899679
3.270000	8341.059001
3.280000	7979.723785
3.290000	7580.259907
3.300000	7322.155906
3.310000	7087.173721
3.320000	6912.546243
3.330000	6671.836395
3.340000	6345.763094
3.350000	6107.226212
3.360000	5994.810736
3.370000	6045.812539
3.380000	6050.379933
3.390000	5964.388020
3.400000	5875.512008
3.410000	5837.738720
3.420000	5808.914604
3.430000	5729.576585
3.440000	5510.771000
3.450000	5274.194537
3.460000	4979.717801
3.470000	4801.937106
3.480000	4677.211743
3.490000	4564.944366
3.500000	4468.694925
3.510000	4267.811621
3.520000	4054.630747
3.530000	3934.582299
3.540000	3910.151062
3.550000	3827.791421
3.560000	3597.044706
3.570000	3240.510828
3.580000	2949.935698
3.590000	2678.774854
3.600000	2433.504389
3.610000	2186.811104
3.620000	2061.015360
3.630000	1985.180782
3.640000	2046.825335
3.650000	2041.612218
3.660000	2096.407892
3.670000	2086.214331
3.680000	2054.648863
3.690000	2033.311583
3.700000	1981.218117
3.710000	1919.439734
3.720000	1852.936384
3.730000	1849.265872
3.740000	1903.313891
3.750000	1939.757451
3.760000	1946.389114
3.770000	1987.315746
3.780000	2122.308943
3.790000	2590.221800
3.800000	3029.100552
3.810000	3341.375308
3.820000	3284.681787
3.830000	3303.267956
3.840000	3369.486206
3.850000	3419.245743
3.860000	3420.563309
3.870000	3414.273941
3.880000	3458.871882
3.890000	3405.247443
3.900000	3369.089094
3.910000	3346.071828
3.920000	3375.606076
3.930000	3370.393630
3.940000	3381.681444
3.950000	3467.912132
3.960000	3630.776931
3.970000	3719.186033
3.980000	3726.443039
3.990000	3688.416531
4.000000	3660.000056
4.010000	3611.585870
4.020000	3579.574887
4.030000	3508.672106
4.040000	3519.132836
4.050000	3565.803843
4.060000	3641.627386
4.070000	3852.409679
4.080000	4051.925943
4.090000	4278.350306
4.100000	4299.642734
4.110000	4287.893350
4.120000	4304.881009
4.130000	4309.978250
4.140000	4255.922818
4.150000	4181.787305
4.160000	4226.056614
4.170000	4284.413650
4.180000	4326.208767
4.190000	4330.547981
4.200000	4257.454840
4.210000	4181.474969
4.220000	4037.126183
4.230000	3972.797630
4.240000	3980.173754
4.250000	3942.293526
4.260000	3913.160848
4.270000	3906.146068
4.280000	4122.797972
4.290000	4529.149843
4.300000	4942.489535
4.310000	5262.507782
4.320000	5403.012541
4.330000	5496.925001
4.340000	5497.497643
4.350000	5560.351678
4.360000	5519.551235
4.370000	5474.958059
4.380000	5396.696129
4.390000	5211.891912
4.400000	5132.065596
4.410000	5006.271553
4.420000	4925.204572
4.430000	4672.578337
4.440000	4341.628399
4.450000	4093.838367
4.460000	3786.981567
4.470000	3484.424259
4.480000	3118.065827
4.490000	2819.983095
4.500000	2560.125545
4.510000	2274.868061
4.520000	2120.872884
4.530000	1883.814223
4.540000	1655.873086
4.550000	1313.576624
4.560000	1088.922348
4.570000	978.429174
4.580000	797.542019
4.590000	564.905062
4.600000	297.553325
4.610000	265.469225
4.620000	429.105500
4.630000	894.822626
4.640000	1421.756628
4.650000	2223.140004
4.660000	3087.956755
4.670000	4214.292695
4.680000	5289.797386
4.690000	6436.344554
4.700000	7230.176665
4.710000	8037.266761
4.720000	8424.392841
4.730000	8894.455988
4.740000	8913.454199
4.750000	8788.980343
4.760000	8170.060833
4.770000	7352.298379
4.780000	6075.823310
4.790000	2984.617548
4.800000	-300.562902
4.810000	-3601.686903
4.820000	-6477.222920
4.830000	-10271.898103
4.840000	-14632.556665
4.850000	-18186.983866
4.860000	-22218.861511
4.870000	-25766.916409
4.880000	-28430.388022
4.890000	-28236.215341
4.900000	-22954.337174
4.910000	-7203.272754
4.920000	-2640.388549
4.930000	-4154.660572
4.940000	-11169.398653
4.950000	-11483.540526
4.960000	-4579.646206
4.970000	34774.314093
4.980000	45422.702994
4.990000	50059.246113
5.000000	49903.032116
5.010000	49772.188287
5.020000	50035.762524
5.030000	47177.730560
5.040000	20315.734950
5.050000	-50963.441367
5.060000	-79712.229492
5.070000	-75729.247209
5.080000	-66868.052416
5.090000	-58837.361892
5.100000	-53587.269324
5.110000	-49337.750270
5.120000	-44075.324121
5.130000	-37633.956713
5.140000	-29646.906148
5.150000	-22117.752887
5.160000	-15529.057450
5.170000	-10694.873628
5.180000	-6669.122259
5.190000	-1606.606363
5.200000	2434.677452
5.210000	5233.624130
5.220000	5452.327665
5.230000	5408.145094
5.240000	5503.970454
5.250000	5380.155553
5.260000	5327.650417
5.270000	5046.793790
5.280000	4779.400502
5.290000	4403.348312
5.300000	4025.026995
5.310000	3650.876651
5.320000	3357.761441
5.330000	3274.127361
5.340000	3297.107412
5.350000	3432.255488
5.360000	3526.597038
5.370000	3712.412237
5.380000	3810.141382
5.390000	2045.766934
5.400000	118.802636
5.410000	-1894.093070
5.420000	-2496.728674
5.430000	-3296.235350
5.440000	-4386.529933
5.450000	-5126.452115
5.460000	-5876.844000
5.470000	-6538.500001
5.480000	-7222.497546
5.490000	-7759.874532
5.500000	-8151.714432
5.510000	-8678.780646
5.520000	-9415.461656
5.530000	-10222.865154
5.540000	-10941.249437
5.550000	-11451.492627
5.560000	-11897.190371
5.570000	-12329.297345
5.580000	-12732.046448
5.590000	-13016.666587
5.600000	-13227.366021
5.610000	-13421.837602
5.620000	-13621.350021
5.630000	-13974.455662
5.640000	-14343.979598
5.650000	-14584.480847
5.660000	-14852.868824
5.670000	-14777.148547
5.680000	-14795.076497
5.690000	-14547.721610
5.700000	-14553.787212
5.710000	-14709.342719
5.720000	-14840.061584
5.730000	-15159.451469
5.740000	-15335.926571
5.750000	-15524.984356
5.760000	-15521.886944
5.770000	-15554.455144
5.780000	-15643.025577
5.790000	-15609.794711
5.800000	-15640.573982
5.810000	-15809.570149
5.820000	-16094.263685
5.830000	-16218.720993
5.840000	-16069.134472
5.850000	-15878.892162
5.860000	-15675.504022
5.870000	-15515.538096
5.880000	-15324.906973
5.890000	-14893.533315
5.900000	-14292.802879
5.910000	-13671.792157
5.920000	-13265.983265
5.930000	-13013.611912
5.940000	-12742.567976
5.950000	-12439.571966
5.960000	-12294.411064
5.970000	-12202.420424
5.980000	-12053.599724
5.990000	-11793.778796
6.000000	-11480.113658
6.010000	-11302.183245
6.020000	-11251.762797
6.030000	-11341.653314
6.040000	-11488.484978
6.050000	-11545.281773
6.060000	-11569.764967
6.070000	-11571.101563
6.080000	-11519.591922
6.090000	-11333.093319
6.100000	-11073.125009
6.110000	-10783.677293
6.120000	-10508.292636
6.130000	-10284.542645
6.140000	-10005.690290
6.150000	-9696.056209
6.160000	-9282.771067
6.170000	-8922.478624
6.180000	-8667.171237
6.190000	-8421.431287
6.200000	-8090.169003
6.210000	-7708.332656
6.220000	-7387.296355
6.230000	-7180.990678
6.240000	-7084.838806
6.250000	-6970.546014
6.260000	-6870.387331
6.270000	-6745.465491
6.280000	-6691.192221
6.290000	-6702.323798
6.300000	-6693.988128
6.310000	-6711.410209
6.320000	-6613.804948
6.330000	-6454.890285
6.340000	-6295.160763
6.350000	-6191.207583
6.360000	-6200.026487
6.370000	-6205.886756
6.380000	-6265.195390
6.390000	-6321.413507
6.400000	-6314.172265
6.410000	-6177.403757
6.420000	-6008.738522
6.430000	-5858.731730
6.440000	-5646.070155
6.450000	-5447.615544
6.460000	-5222.527046
6.470000	-5082.360232
6.480000	-4932.854687
6.490000	-4771.787446
6.500000	-4662.452349
6.510000	-4562.675365
6.520000	-4474.582339
6.530000	-4411.331151
6.540000	-4390.455465
6.550000	-4407.651599
6.560000	-4437.990076
6.570000	-4419.582139
6.580000	-4390.838543
6.590000	-4296.620860
6.600000	-4168.951578
6.610000	-4134.939274
6.620000	-4059.355947
6.630000	-4035.223093
6.640000	-3923.788847
6.650000	-3745.268560
6.660000	-3658.921904
6.670000	-3655.830247
6.680000	-3879.444771
6.690000	-4102.672011
6.700000	-4458.581126
6.710000	-5008.266807
6.720000	-5770.545158
6.730000	-6437.902167
6.740000	-6952.123788
6.750000	-7309.944646
6.760000	-7089.468430
6.770000	-6178.747139
6.780000	-4590.724342
6.790000	-3292.397747
6.800000	-2593.061006
6.810000	-2316.260824
6.820000	-2051.962129
6.830000	-1625.636125
6.840000	-1162.544738
6.850000	-688.589303
6.860000	-256.711738
6.870000	135.439930
6.880000	521.378054
6.890000	945.343840
6.900000	1250.434601
6.910000	1397.430853
6.920000	1458.998987
6.930000	1579.589547
6.940000	1757.376778
6.950000	2046.791888
6.960000	2375.970781
6.970000	2791.891007
6.980000	3320.752018
6.990000	3847.854692
7.000000	4414.219741
7.010000	4939.417472
7.020000	5531.812524
7.030000	6174.917688
7.040000	6791.860269
7.050000	7472.838020
7.060000	8074.902628
7.070000	8718.791232
7.080000	9327.383841
7.090000	9965.122457
7.100000	10505.670465
7.110000	10998.606382
7.120000	11344.557596
7.130000	11574.464515
7.140000	11694.065077
7.150000	11781.885341
7.160000	11813.325225
7.170000	11828.192041
7.180000	11822.513759
7.190000	11616.069539
7.200000	11452.594442
7.210000	11261.818422
7.220000	11315.688235
7.230000	11293.685868
7.240000	11286.997840
7.250000	11276.340751
7.260000	11260.453541
7.270000	11272.191611
7.280000	11261.121697
7.290000	11257.711420
7.300000	11235.084569
7.310000	11249.249822
7.320000	11279.299118
7.330000	11307.932992
7.340000	11278.545751
7.350000	11277.487290
7.360000	11257.575830
7.370000	11303.893369
7.380000	11348.345277
7.390000	11399.006900
7.400000	11460.608544
7.410000	11501.862537
7.420000	11549.209353
7.430000	11564.724929
7.440000	11560.134542
7.450000	11533.408629
7.460000	11456.518410
7.470000	11426.971474
7.480000	11439.157597
7.490000	11476.714112
7.500000	11471.868956
7.510000	11473.661596
7.520000	11533.140418
7.530000	11595.543549
7.540000	11679.174740
7.550000	11706.728774
7.560000	11736.484273
7.570000	11731.558995
7.580000	11729.909189
7.590000	11730.863021
7.600000	11728.904023
7.610000	11734.129741
7.620000	11750.805828
7.630000	11774.298111
7.640000	11797.964577
7.650000	11810.719695
7.660000	11781.670562
7.670000	11698.463314
7.680000	11567.702473
7.690000	11467.680351
7.700000	11402.142082
7.710000	11358.133156
7.720000	11227.604590
7.730000	11126.487600
7.740000	11050.692888
7.750000	11052.955790
7.760000	11018.614592
7.770000	10928.314353
7.780000	10831.689749
7.790000	10711.455044
7.800000	10631.288437
7.810000	10541.921836
7.820000	10475.080988
7.830000	10385.149301
7.840000	10277.655407
7.850000	10202.474858
7.860000	10139.682567
7.870000	10132.954318
7.880000	10104.356304
7.890000	10061.651043
7.900000	9993.961984
7.910000	9919.411731
7.920000	9878.949123
7.930000	9829.595059
7.940000	9760.010644
7.950000	9660.772058
7.960000	9552.477237
7.970000	9493.041642
7.980000	9448.682813
7.990000	9440.787615
8.000000	9364.868157
8.010000	9311.395120
8.020000	9222.639702
8.030000	9177.705473
8.040000	9088.278848
8.050000	9022.105553
8.060000	8940.286465
8.070000	8867.341420
8.080000	8792.525662
8.090000	8356.949633
8.100000	7976.220682
8.110000	7616.986689
8.120000	7586.513132
8.130000	7552.261609
8.140000	7408.423296
8.150000	7292.867266
8.160000	7138.431545
8.170000	7056.624586
