Time(s)	GREEN_denoised_wiener
0.000000	-171.297586
0.010000	-259.784587
0.020000	-265.469524
0.030000	-269.138931
0.040000	-272.497865
0.050000	-275.149757
0.060000	-274.181347
0.070000	-269.831092
0.080000	-264.532509
0.090000	-260.172371
0.100000	-256.539148
0.110000	-249.162988
0.120000	-241.896135
0.130000	-235.138067
0.140000	-230.249495
0.150000	-224.094314
0.160000	-216.938837
0.170000	-208.375131
0.180000	-199.625526
0.190000	-188.973859
0.200000	-181.991325
0.210000	-175.875127
0.220000	-177.375345
0.230000	-183.407809
0.240000	-201.780815
0.250000	-224.889465
0.260000	-253.533782
0.270000	-277.999758
0.280000	-303.317864
0.290000	-362.176403
0.300000	-420.575601
0.310000	-472.085352
0.320000	-485.755670
0.330000	-495.829464
0.340000	-508.848851
0.350000	-516.856030
0.360000	-525.300889
0.370000	-527.838646
0.380000	-531.110114
0.390000	-530.444791
0.400000	-530.933817
0.410000	-527.677563
0.420000	-524.435100
0.430000	-517.877727
0.440000	-511.942924
0.450000	-504.046283
0.460000	-494.444573
0.470000	-480.860281
0.480000	-469.287722
0.490000	-457.302981
0.500000	-447.462746
0.510000	-432.703822
0.520000	-419.993904
0.530000	-404.054991
0.540000	-391.541490
0.550000	-379.362740
0.560000	-377.106933
0.570000	-380.615453
0.580000	-396.350620
0.590000	-451.908299
0.600000	-508.393451
0.610000	-555.928954
0.620000	-563.358955
0.630000	-568.118787
0.640000	-574.881597
0.650000	-579.598115
0.660000	-584.400997
0.670000	-586.042101
0.680000	-587.249232
0.690000	-586.453022
0.700000	-586.421097
0.710000	-584.159478
0.720000	-583.255370
0.730000	-579.822709
0.740000	-577.086103
0.750000	-571.443749
0.760000	-566.913949
0.770000	-559.685756
0.780000	-551.733104
0.790000	-541.225681
0.800000	-529.201447
0.810000	-515.068713
0.820000	-499.981771
0.830000	-485.553123
0.840000	-473.401830
0.850000	-463.672793
0.860000	-459.468912
0.870000	-461.758421
0.880000	-470.170388
0.890000	-482.142350
0.900000	-494.841688
0.910000	-507.836347
0.920000	-519.479365
0.930000	-527.832160
0.940000	-533.091758
0.950000	-535.463075
0.960000	-535.005056
0.970000	-530.056796
0.980000	-523.899011
0.990000	-520.285116
1.000000	-520.084559
1.010000	-519.466250
1.020000	-517.911135
1.030000	-514.945644
1.040000	-511.372217
1.050000	-507.052987
1.060000	-501.462293
1.070000	-494.791884
1.080000	-486.512828
1.090000	-477.496583
1.100000	-467.856084
1.110000	-456.826521
1.120000	-445.164009
1.130000	-432.112303
1.140000	-419.104113
1.150000	-404.013979
1.160000	-388.346017
1.170000	-371.534630
1.180000	-353.881121
1.190000	-338.018661
1.200000	-320.355591
1.210000	-303.141351
1.220000	-281.766656
1.230000	-261.913888
1.240000	-242.780971
1.250000	-227.317266
1.260000	-214.069875
1.270000	-207.355981
1.280000	-208.636562
