Time(s)	IR_denoised_median
0.000000	-44.748869
0.010000	-44.748869
0.020000	-44.748869
0.030000	-22.039633
0.040000	10.303768
0.050000	64.074361
0.060000	98.233415
0.070000	165.468340
0.080000	228.940172
0.090000	305.031938
0.100000	366.551126
0.110000	442.774954
0.120000	525.082747
0.130000	618.580862
0.140000	693.544321
0.150000	764.534454
0.160000	835.001852
0.170000	910.520772
0.180000	992.475183
0.190000	1054.458480
0.200000	1113.094823
0.210000	1166.373526
0.220000	1238.816248
0.230000	1302.172927
0.240000	1354.639984
0.250000	1377.224250
0.260000	1377.224250
0.270000	1377.224250
0.280000	1241.732136
0.290000	1052.594339
0.300000	894.408004
0.310000	756.735493
0.320000	667.220865
0.330000	639.871902
0.340000	626.896999
0.350000	626.896999
0.360000	626.896999
0.370000	648.338195
0.380000	699.623838
0.390000	713.357660
0.400000	717.219018
0.410000	717.219018
0.420000	717.219018
0.430000	690.123629
0.440000	690.004398
0.450000	690.004398
0.460000	690.004398
0.470000	699.147568
0.480000	746.399603
0.490000	787.169088
0.500000	819.883506
0.510000	866.292176
0.520000	912.306716
0.530000	940.443898
0.540000	986.915575
0.550000	1025.462419
0.560000	1068.669708
0.570000	1114.479502
0.580000	1142.412216
0.590000	1195.710758
0.600000	1236.972557
0.610000	1294.161049
0.620000	1341.424755
0.630000	1402.788146
0.640000	1472.836059
0.650000	1542.445160
0.660000	1557.495645
0.670000	1557.495645
0.680000	1557.495645
0.690000	1425.256266
0.700000	1244.838736
0.710000	1060.370749
0.720000	924.245336
0.730000	799.280079
0.740000	724.903286
0.750000	675.050513
0.760000	658.312329
0.770000	658.312329
0.780000	658.312329
0.790000	695.960646
0.800000	713.102168
0.810000	715.903687
0.820000	718.635474
0.830000	718.635474
0.840000	718.635474
0.850000	712.320808
0.860000	712.320808
0.870000	712.320808
0.880000	713.031652
0.890000	730.792186
0.900000	761.930178
0.910000	781.985705
0.920000	816.005877
0.930000	854.124504
0.940000	903.168565
0.950000	936.211699
0.960000	983.529421
0.970000	1013.168989
0.980000	1019.002161
0.990000	1048.313877
1.000000	1048.656807
1.010000	1054.934378
1.020000	1060.583259
1.030000	1058.331629
1.040000	1056.368118
1.050000	1056.368118
1.060000	1058.331629
1.070000	1058.331629
1.080000	1056.368118
1.090000	1052.715118
1.100000	944.584926
1.110000	739.171874
1.120000	524.491647
1.130000	314.353399
1.140000	165.555655
1.150000	104.490464
1.160000	49.361408
1.170000	49.361408
1.180000	49.361408
1.190000	67.418558
1.200000	128.811572
1.210000	151.147818
1.220000	151.147818
1.230000	151.147818
1.240000	145.836629
1.250000	145.222335
1.260000	122.698907
1.270000	97.002774
1.280000	91.749504
1.290000	91.749504
1.300000	91.749504
1.310000	100.235167
1.320000	119.526905
1.330000	133.216123
1.340000	150.410272
1.350000	162.183259
1.360000	198.435817
1.370000	217.990535
1.380000	253.699876
1.390000	275.660454
1.400000	286.086977
1.410000	311.431591
1.420000	321.352554
1.430000	349.412527
1.440000	375.504820
1.450000	404.495960
1.460000	404.495960
