Time(s)	IR_denoised_wiener
0.000000	472.645986
0.010000	612.555494
0.020000	433.173187
0.030000	273.638657
0.040000	146.527909
0.050000	49.726607
0.060000	-12.388728
0.070000	-41.492235
0.080000	-43.608476
0.090000	-38.373949
0.100000	-21.388679
0.110000	4.430112
0.120000	30.854748
0.130000	43.588064
0.140000	41.169673
0.150000	41.166863
0.160000	45.475819
0.170000	53.104336
0.180000	62.813573
0.190000	81.094335
0.200000	103.819137
0.210000	134.467878
0.220000	166.492149
0.230000	201.892235
0.240000	238.847677
0.250000	281.692178
0.260000	331.217831
0.270000	383.168279
0.280000	437.288001
0.290000	492.998186
0.300000	557.065371
0.310000	620.470758
0.320000	689.235729
0.330000	749.238673
0.340000	808.483173
0.350000	868.002743
0.360000	927.741900
0.370000	988.448931
0.380000	1033.966404
0.390000	1029.187576
0.400000	940.538574
0.410000	782.066084
0.420000	604.552986
0.430000	443.576440
0.440000	316.523314
0.450000	231.399167
0.460000	186.470621
0.470000	169.863357
0.480000	161.396682
0.490000	162.052827
0.500000	169.646784
0.510000	191.266087
0.520000	207.822229
0.530000	212.509235
0.540000	200.331045
0.550000	184.128684
0.560000	161.123181
0.570000	137.765283
0.580000	123.581138
0.590000	117.696263
0.600000	116.687281
0.610000	106.919959
0.620000	95.169146
0.630000	86.791663
0.640000	85.965245
0.650000	77.927724
0.660000	53.425085
0.670000	6.720960
0.680000	-47.078079
0.690000	-108.884484
0.700000	-183.280437
0.710000	-271.504290
0.720000	-365.816112
0.730000	-450.461156
0.740000	-530.435617
0.750000	-617.130179
0.760000	-724.758558
0.770000	-835.741984
0.780000	-940.133647
0.790000	-1062.480794
0.800000	-1233.559178
0.810000	-1451.497672
0.820000	-1666.889612
0.830000	-1850.606760
0.840000	-1996.988726
0.850000	-2103.763746
0.860000	-2168.460236
0.870000	-2205.674897
0.880000	-2236.658304
0.890000	-2258.228208
0.900000	-2256.203063
0.910000	-2236.548043
0.920000	-2229.192438
0.930000	-2240.850507
0.940000	-2257.505512
0.950000	-2270.549362
0.960000	-2278.554061
0.970000	-2272.945216
0.980000	-2245.320567
0.990000	-2194.746577
1.000000	-2137.854470
1.010000	-2084.917109
1.020000	-2040.760852
1.030000	-2002.788812
1.040000	-1966.718270
1.050000	-1930.723693
1.060000	-1894.737695
1.070000	-1858.048052
1.080000	-1815.804396
1.090000	-1767.109289
1.100000	-1705.917013
1.110000	-1640.604218
1.120000	-1578.421297
1.130000	-1522.148967
1.140000	-1469.641471
1.150000	-1412.406354
1.160000	-1355.295673
1.170000	-1294.705189
1.180000	-1265.454036
1.190000	-1312.096670
1.200000	-1451.937399
1.210000	-1639.048254
1.220000	-1809.438850
1.230000	-1936.504129
1.240000	-2017.073510
1.250000	-2055.717334
1.260000	-2064.131020
1.270000	-2052.329737
1.280000	-2033.936107
1.290000	-2009.644809
1.300000	-1972.458738
1.310000	-1940.768764
1.320000	-1915.339245
1.330000	-1912.007532
1.340000	-1915.875863
1.350000	-1918.672124
1.360000	-1910.816938
1.370000	-1887.758982
1.380000	-1854.192260
1.390000	-1810.911037
1.400000	-1762.320448
1.410000	-1707.792579
1.420000	-1642.848386
1.430000	-1570.772780
1.440000	-1502.140679
1.450000	-1431.119234
1.460000	-1359.532296
1.470000	-1282.860193
1.480000	-1214.719277
1.490000	-1150.964872
