Time(s)	RED_denoised_wiener
0.000000	-260.059412
0.010000	-393.789044
0.020000	-449.112014
0.030000	-465.453109
0.040000	-455.884662
0.050000	-446.443067
0.060000	-444.897112
0.070000	-450.031344
0.080000	-449.167422
0.090000	-452.638513
0.100000	-456.019231
0.110000	-460.215367
0.120000	-462.816645
0.130000	-471.775064
0.140000	-490.555783
0.150000	-503.569470
0.160000	-507.615653
0.170000	-499.316417
0.180000	-485.656667
0.190000	-474.351034
0.200000	-463.289343
0.210000	-449.668706
0.220000	-437.893079
0.230000	-432.270352
0.240000	-428.757753
0.250000	-418.809806
0.260000	-409.615448
0.270000	-402.616240
0.280000	-393.406139
0.290000	-379.376290
0.300000	-361.822523
0.310000	-346.429646
0.320000	-331.165243
0.330000	-319.445112
0.340000	-314.454087
0.350000	-314.727509
0.360000	-316.014586
0.370000	-306.601652
0.380000	-304.602187
0.390000	-323.407609
0.400000	-336.691750
0.410000	-352.919767
0.420000	-399.109174
0.430000	-500.035600
0.440000	-608.271042
0.450000	-667.068182
0.460000	-677.867991
0.470000	-655.077888
0.480000	-628.113917
0.490000	-598.952890
0.500000	-580.329621
0.510000	-568.054537
0.520000	-564.168459
0.530000	-559.063102
0.540000	-543.279510
0.550000	-533.080333
0.560000	-533.965232
0.570000	-542.677289
0.580000	-545.893289
0.590000	-536.895241
0.600000	-524.466309
0.610000	-511.365232
0.620000	-499.638820
0.630000	-478.734921
0.640000	-452.451232
0.650000	-437.072245
0.660000	-440.172577
0.670000	-450.623901
0.680000	-454.484736
0.690000	-449.138041
0.700000	-437.743648
0.710000	-428.262419
0.720000	-417.234407
0.730000	-409.338529
0.740000	-399.293346
0.750000	-391.369233
0.760000	-374.237287
0.770000	-348.359654
0.780000	-317.116056
0.790000	-285.948700
0.800000	-244.878240
0.810000	-188.141240
0.820000	-136.972631
0.830000	-104.234979
0.840000	-73.242866
0.850000	-40.955998
0.860000	-38.195377
0.870000	-82.228534
0.880000	-138.259770
0.890000	-155.377820
0.900000	-139.400454
0.910000	-106.141175
0.920000	-75.137449
0.930000	-46.102295
0.940000	-28.151949
0.950000	-27.640305
0.960000	-29.023579
0.970000	-27.792026
0.980000	-18.475441
0.990000	-19.926217
1.000000	-35.132192
1.010000	-52.936150
1.020000	-59.696175
1.030000	-46.873618
1.040000	-25.226138
1.050000	-1.378846
1.060000	15.993030
1.070000	30.571832
1.080000	43.962328
1.090000	54.603524
1.100000	63.696124
1.110000	70.387026
1.120000	72.183405
1.130000	74.617761
1.140000	75.074032
1.150000	83.308742
1.160000	85.660473
1.170000	74.109219
1.180000	59.727221
1.190000	52.000408
1.200000	55.208607
1.210000	56.941893
1.220000	56.485450
1.230000	65.681736
1.240000	93.184602
1.250000	118.439622
1.260000	128.670580
1.270000	137.368982
1.280000	165.610581
1.290000	181.921063
1.300000	153.314010
1.310000	101.056931
1.320000	70.184686
1.330000	75.879969
1.340000	94.384761
1.350000	120.524257
1.360000	143.005432
1.370000	160.968457
1.380000	168.383682
1.390000	172.220661
1.400000	180.203492
1.410000	187.210924
1.420000	183.450999
1.430000	164.991658
1.440000	147.193052
1.450000	134.183616
1.460000	128.038720
1.470000	117.448578
1.480000	113.723462
1.490000	113.450560
1.500000	118.534109
1.510000	124.212712
1.520000	134.146875
1.530000	138.717887
1.540000	131.882799
1.550000	117.029475
1.560000	110.435141
1.570000	113.749075
1.580000	114.731361
1.590000	111.279046
1.600000	104.151810
1.610000	101.278911
1.620000	95.982843
1.630000	94.431930
1.640000	91.233830
1.650000	98.418337
1.660000	119.246770
1.670000	151.843840
1.680000	176.664881
1.690000	176.396334
1.700000	182.003620
1.710000	190.978747
1.720000	179.071660
1.730000	116.000769
1.740000	17.389115
1.750000	-53.388897
1.760000	-83.641652
1.770000	-80.040272
1.780000	-76.288035
1.790000	-86.512092
1.800000	-98.736446
1.810000	-105.202058
1.820000	-101.399854
1.830000	-94.797163
1.840000	-92.266714
1.850000	-99.593872
1.860000	-110.972501
1.870000	-124.939444
1.880000	-131.858945
1.890000	-136.527263
1.900000	-136.928791
1.910000	-128.977675
1.920000	-117.891971
1.930000	-101.608703
1.940000	-90.422538
1.950000	-79.731762
1.960000	-71.169340
1.970000	-58.364780
1.980000	-49.821765
1.990000	-58.541083
2.000000	-81.627628
2.010000	-98.532157
