Time(s)	IR_denoised_wiener
0.000000	15.075255
0.010000	39.309964
0.020000	51.710388
0.030000	64.944214
0.040000	79.489924
0.050000	69.164771
0.060000	-18.811027
0.070000	-168.099240
0.080000	-302.956863
0.090000	-379.458990
0.100000	-415.614789
0.110000	-430.831533
0.120000	-438.264797
0.130000	-435.504203
0.140000	-425.940580
0.150000	-424.552167
0.160000	-425.904051
0.170000	-424.945225
0.180000	-422.227235
0.190000	-429.045731
0.200000	-455.224592
0.210000	-478.068746
0.220000	-491.947582
0.230000	-492.106534
0.240000	-490.395478
0.250000	-480.774751
0.260000	-466.548863
0.270000	-445.441054
0.280000	-426.079202
0.290000	-411.439089
0.300000	-393.259515
0.310000	-370.805546
0.320000	-345.460307
0.330000	-326.876285
0.340000	-305.623830
0.350000	-283.660344
0.360000	-256.117552
0.370000	-231.496971
0.380000	-205.592449
0.390000	-177.692837
0.400000	-153.434649
0.410000	-136.232696
0.420000	-123.945243
0.430000	-101.086451
0.440000	-74.200446
0.450000	-54.303483
0.460000	-35.092630
0.470000	-13.881885
0.480000	-44.491672
0.490000	-161.425781
0.500000	-323.033653
0.510000	-450.887655
0.520000	-516.398393
0.530000	-544.181754
0.540000	-548.086535
0.550000	-536.480652
0.560000	-519.131916
0.570000	-509.810811
0.580000	-514.843988
0.590000	-524.116478
0.600000	-524.903086
0.610000	-528.174950
0.620000	-549.997420
0.630000	-585.530768
0.640000	-616.743800
0.650000	-635.602501
0.660000	-648.217663
0.670000	-653.008579
0.680000	-649.717464
0.690000	-635.764079
0.700000	-614.255512
0.710000	-591.551295
0.720000	-568.133686
0.730000	-543.692750
0.740000	-505.333853
0.750000	-460.246067
0.760000	-413.551848
0.770000	-380.851799
0.780000	-356.735905
0.790000	-336.149070
0.800000	-313.609478
0.810000	-288.483804
0.820000	-262.513844
0.830000	-228.150743
0.840000	-182.121126
0.850000	-142.233541
0.860000	-118.398118
0.870000	-83.573032
0.880000	-44.793671
0.890000	-53.392599
0.900000	-148.180018
0.910000	-282.335609
0.920000	-385.527199
0.930000	-437.775770
0.940000	-450.653330
0.950000	-434.571811
0.960000	-405.152941
0.970000	-373.046800
0.980000	-352.354731
0.990000	-339.499362
1.000000	-316.209051
1.010000	-288.377944
1.020000	-265.432809
1.030000	-263.969371
1.040000	-270.266538
1.050000	-272.258666
1.060000	-270.160734
1.070000	-258.559320
1.080000	-239.101216
1.090000	-214.556696
1.100000	-189.072524
1.110000	-160.898329
1.120000	-128.404689
1.130000	-94.279080
1.140000	-61.431463
1.150000	-27.004725
1.160000	14.855859
1.170000	57.875445
1.180000	98.790515
1.190000	132.723508
1.200000	162.719188
1.210000	188.534731
1.220000	211.624643
1.230000	247.690468
1.240000	281.082633
1.250000	303.504971
1.260000	325.898622
1.270000	354.611945
1.280000	344.879230
1.290000	255.032354
1.300000	118.370585
1.310000	6.863735
1.320000	-53.292440
1.330000	-77.447738
1.340000	-74.633611
1.350000	-59.470146
1.360000	-43.662447
1.370000	-31.167030
1.380000	-31.402127
1.390000	-31.832880
1.400000	-28.862370
1.410000	-28.220446
1.420000	-44.041881
1.430000	-77.602293
1.440000	-103.176918
1.450000	-110.055146
1.460000	-100.042851
1.470000	-79.216330
1.480000	-51.265580
1.490000	-19.072058
1.500000	19.495279
1.510000	59.355479
1.520000	91.214224
1.530000	117.117072
1.540000	146.924128
1.550000	183.161270
1.560000	218.576510
1.570000	250.520692
1.580000	285.556691
1.590000	319.486302
1.600000	346.835692
1.610000	363.758619
1.620000	381.123920
1.630000	403.649424
1.640000	441.729694
1.650000	487.124237
1.660000	520.941303
1.670000	552.979503
1.680000	581.422556
1.690000	561.685404
1.700000	461.906747
1.710000	318.212578
1.720000	216.161128
1.730000	171.849938
1.740000	158.933109
1.750000	163.488803
1.760000	177.689082
1.770000	198.106881
1.780000	212.387530
1.790000	211.033004
1.800000	205.777696
1.810000	216.615079
1.820000	242.743880
1.830000	258.762585
1.840000	246.362406
1.850000	233.001850
1.860000	232.242010
1.870000	246.843892
1.880000	261.370596
1.890000	278.701728
1.900000	296.450057
1.910000	321.550360
1.920000	354.142564
1.930000	386.676094
1.940000	411.800358
1.950000	429.787346
1.960000	452.788538
1.970000	476.150037
1.980000	502.093034
1.990000	520.442616
2.000000	543.088565
2.010000	564.651357
2.020000	589.407367
2.030000	610.125062
2.040000	626.708825
2.050000	648.253547
2.060000	674.280001
2.070000	693.314321
2.080000	707.517583
2.090000	724.351742
2.100000	705.925813
2.110000	615.019342
2.120000	462.093126
2.130000	332.520598
2.140000	263.088003
2.150000	243.520050
2.160000	245.995249
2.170000	257.186309
2.180000	274.224653
2.190000	284.786464
2.200000	281.761340
2.210000	271.048412
2.220000	269.955184
2.230000	279.558030
2.240000	278.713342
2.250000	258.726940
2.260000	240.176751
2.270000	234.495339
2.280000	238.892122
2.290000	239.189906
2.300000	238.278225
2.310000	243.854617
2.320000	253.927735
2.330000	268.146930
2.340000	277.175401
2.350000	286.101442
2.360000	300.713977
2.370000	324.672160
2.380000	356.526982
2.390000	385.839714
2.400000	411.319704
2.410000	438.981654
2.420000	470.053328
2.430000	500.061709
2.440000	523.738261
2.450000	541.778025
2.460000	557.383011
2.470000	580.465414
2.480000	615.632209
2.490000	650.391231
2.500000	672.166270
2.510000	693.671302
2.520000	704.922477
2.530000	650.778187
2.540000	522.088867
2.550000	373.009154
2.560000	281.938404
2.570000	246.969116
2.580000	243.341077
2.590000	248.550851
2.600000	259.746300
2.610000	276.420604
2.620000	284.395215
2.630000	286.952553
2.640000	292.672581
2.650000	316.448739
2.660000	331.448563
2.670000	323.592829
2.680000	304.574530
2.690000	297.380122
2.700000	300.578602
2.710000	306.762485
2.720000	315.212174
2.730000	327.762641
2.740000	342.779972
2.750000	354.361132
2.760000	362.640719
2.770000	367.902705
2.780000	376.460332
2.790000	388.703280
2.800000	404.887814
2.810000	419.763259
2.820000	436.612890
2.830000	453.081530
2.840000	470.621823
2.850000	486.996015
2.860000	505.585487
2.870000	529.849623
2.880000	554.463544
2.890000	572.971583
2.900000	590.644868
2.910000	619.716658
2.920000	650.703466
2.930000	670.722240
2.940000	687.755474
2.950000	695.624612
2.960000	652.645225
2.970000	532.838293
2.980000	382.334106
2.990000	276.065057
3.000000	231.799524
3.010000	220.095258
3.020000	216.544766
3.030000	214.773877
3.040000	218.583066
3.050000	223.360724
3.060000	217.867382
3.070000	217.618162
3.080000	227.385518
3.090000	232.752436
3.100000	212.814926
3.110000	177.566877
3.120000	152.214299
3.130000	146.265931
3.140000	144.138692
3.150000	149.611645
3.160000	155.960591
3.170000	161.898186
3.180000	171.389016
3.190000	180.086873
3.200000	196.109518
3.210000	212.491514
3.220000	234.453740
3.230000	257.124885
3.240000	274.049593
3.250000	284.362456
3.260000	294.921703
3.270000	306.504564
3.280000	312.360568
3.290000	313.588518
3.300000	318.071211
3.310000	331.586022
3.320000	344.324563
3.330000	356.195247
3.340000	377.524410
3.350000	396.327254
3.360000	404.986491
3.370000	417.100609
3.380000	433.663201
3.390000	403.646504
3.400000	295.642051
3.410000	150.304744
3.420000	36.278354
3.430000	-26.590968
3.440000	-57.613322
3.450000	-66.213804
3.460000	-66.940517
3.470000	-64.565078
3.480000	-66.697972
3.490000	-73.986864
3.500000	-69.497279
3.510000	-53.546683
3.520000	-43.100130
3.530000	-54.195613
3.540000	-78.728835
3.550000	-96.570851
3.560000	-108.508157
3.570000	-114.370469
3.580000	-114.048491
3.590000	-105.927298
3.600000	-95.369838
3.610000	-84.236856
3.620000	-75.456966
3.630000	-67.965460
3.640000	-57.967109
3.650000	-46.471608
3.660000	-23.211120
3.670000	4.207810
3.680000	26.775175
3.690000	40.802173
3.700000	54.360269
3.710000	76.966508
3.720000	95.448550
3.730000	101.041287
3.740000	104.154001
3.750000	111.336140
3.760000	117.056448
3.770000	118.200639
3.780000	123.219833
3.790000	119.903728
3.800000	71.209850
3.810000	-38.105646
3.820000	-179.452578
3.830000	-302.161051
3.840000	-380.958607
3.850000	-409.041531
3.860000	-415.671877
3.870000	-420.671431
3.880000	-423.438229
3.890000	-427.756383
3.900000	-428.289695
3.910000	-424.297942
3.920000	-404.891087
3.930000	-392.041381
3.940000	-401.253483
3.950000	-422.828174
3.960000	-442.048486
3.970000	-449.409477
3.980000	-444.983792
3.990000	-428.771714
4.000000	-405.714265
4.010000	-384.927477
4.020000	-363.861884
4.030000	-341.537192
4.040000	-320.469203
4.050000	-300.590362
4.060000	-283.532187
4.070000	-259.730897
4.080000	-233.418290
4.090000	-204.645623
4.100000	-177.768999
4.110000	-149.325429
4.120000	-119.249368
4.130000	-92.807316
4.140000	-74.515552
4.150000	-60.721746
