Time(s)	GREEN_denoised_wiener
0.000000	978.208996
0.010000	1464.697475
0.020000	1448.959968
0.030000	1421.731986
0.040000	1374.595823
0.050000	1340.391639
0.060000	1293.246910
0.070000	1252.683788
0.080000	1175.230779
0.090000	1104.050992
0.100000	1008.513710
0.110000	936.466778
0.120000	839.362870
0.130000	765.644555
0.140000	657.747750
0.150000	576.305111
0.160000	447.252081
0.170000	339.178144
0.180000	178.183646
0.190000	-488.506253
0.200000	-1217.943522
0.210000	-1897.284958
0.220000	-2046.585477
0.230000	-2106.450489
0.240000	-2186.512246
0.250000	-2241.051906
0.260000	-2330.261178
0.270000	-2384.496682
0.280000	-2439.501529
0.290000	-2458.278965
0.300000	-2498.875528
0.310000	-2529.021086
0.320000	-2580.969928
0.330000	-2612.436924
0.340000	-2657.153474
0.350000	-2679.544668
0.360000	-2706.058181
0.370000	-2737.467908
0.380000	-2775.520087
0.390000	-2795.541614
0.400000	-2791.591620
0.410000	-2775.557597
0.420000	-2757.553373
0.430000	-2727.080490
0.440000	-2695.139446
0.450000	-2668.826326
0.460000	-2649.277864
0.470000	-2628.450691
0.480000	-2603.335530
0.490000	-2520.844596
0.500000	-2444.288291
0.510000	-2375.647084
0.520000	-2373.976457
0.530000	-2376.361480
0.540000	-2376.067421
0.550000	-2366.325849
0.560000	-2361.467957
0.570000	-2371.531585
0.580000	-2386.401157
0.590000	-2395.325103
0.600000	-2390.266170
0.610000	-2389.115674
0.620000	-2384.656191
0.630000	-2377.188985
0.640000	-2365.305040
0.650000	-2356.551842
0.660000	-2354.208519
0.670000	-2349.482622
0.680000	-2338.728590
0.690000	-2314.673925
0.700000	-2283.891855
0.710000	-2260.826679
0.720000	-2248.631927
0.730000	-2244.238130
0.740000	-2240.304012
0.750000	-2236.614175
0.760000	-2237.936068
0.770000	-2237.907185
0.780000	-2241.213906
0.790000	-2252.483354
0.800000	-2269.758187
0.810000	-2291.345972
0.820000	-2314.920961
0.830000	-2332.815314
0.840000	-2350.743037
0.850000	-2366.219153
0.860000	-2385.547390
0.870000	-2398.202681
0.880000	-2412.697699
0.890000	-2456.198856
0.900000	-2499.656080
0.910000	-2536.553777
0.920000	-2535.844968
0.930000	-2528.711849
0.940000	-2518.256635
0.950000	-2510.512190
0.960000	-2514.645430
0.970000	-2512.874656
0.980000	-2517.754625
0.990000	-2519.480375
1.000000	-2528.892764
1.010000	-2539.010273
1.020000	-2548.353351
1.030000	-2556.183735
1.040000	-2558.781454
1.050000	-2560.021256
1.060000	-2549.480966
1.070000	-2524.859219
1.080000	-2500.204301
1.090000	-2505.052737
1.100000	-2523.115535
1.110000	-2544.578531
1.120000	-2548.979399
1.130000	-2552.186689
1.140000	-2552.110535
1.150000	-2551.458620
1.160000	-2555.566806
1.170000	-2559.019577
1.180000	-2562.692866
1.190000	-2565.561760
1.200000	-2569.814788
1.210000	-2550.015678
1.220000	-2478.919910
1.230000	-2325.113520
1.240000	-2120.521566
1.250000	-1911.908531
1.260000	-1766.168750
1.270000	-1699.555175
1.280000	-1700.062850
1.290000	-1742.490563
1.300000	-1782.229080
1.310000	-1797.481147
1.320000	-1785.106188
1.330000	-1769.540857
1.340000	-1764.614617
1.350000	-1771.894404
1.360000	-1786.098803
1.370000	-1807.257475
1.380000	-1828.893750
1.390000	-1853.641216
1.400000	-1875.995665
1.410000	-1898.710615
1.420000	-1924.427231
1.430000	-1954.439914
1.440000	-1982.836227
1.450000	-2004.167990
1.460000	-2027.616506
1.470000	-2055.542023
1.480000	-2087.052787
1.490000	-2113.560079
1.500000	-2135.512605
1.510000	-2149.566639
1.520000	-2167.345976
1.530000	-2182.857432
1.540000	-2200.540787
1.550000	-2214.118392
1.560000	-2223.084523
1.570000	-2230.722957
1.580000	-2239.960586
1.590000	-2250.318236
1.600000	-2257.158712
1.610000	-2255.245420
1.620000	-2244.370925
1.630000	-2230.189015
1.640000	-2209.225070
1.650000	-2190.166364
1.660000	-2160.020017
1.670000	-2140.572904
1.680000	-2136.434757
1.690000	-2138.943252
1.700000	-2147.872872
1.710000	-2164.985860
1.720000	-2198.662550
1.730000	-2224.939590
1.740000	-2236.163537
1.750000	-2240.937692
1.760000	-2231.953738
1.770000	-2198.258549
1.780000	-2152.140374
1.790000	-2120.618955
1.800000	-2121.634301
1.810000	-2144.900527
1.820000	-2177.452673
1.830000	-2210.190951
1.840000	-2240.620511
1.850000	-2272.162021
1.860000	-2308.118816
1.870000	-2349.122923
1.880000	-2386.922923
1.890000	-2414.751118
1.900000	-2429.065444
1.910000	-2435.734369
1.920000	-2443.879079
1.930000	-2458.033491
1.940000	-2472.325548
1.950000	-2485.673445
1.960000	-2499.105064
1.970000	-2516.982707
1.980000	-2533.516393
1.990000	-2551.641829
2.000000	-2573.918767
2.010000	-2600.953833
2.020000	-2629.301074
2.030000	-2661.606433
2.040000	-2699.671045
2.050000	-2738.229043
2.060000	-2766.681874
2.070000	-2771.498506
2.080000	-2760.405381
2.090000	-2746.436207
2.100000	-2747.461853
2.110000	-2763.310031
2.120000	-2787.820208
2.130000	-2815.837579
