Time(s)	GREEN_denoised_wiener
0.000000	259.089697
0.010000	385.019912
0.020000	377.871200
0.030000	375.360782
0.040000	377.323248
0.050000	382.485827
0.060000	386.220185
0.070000	389.079428
0.080000	394.579801
0.090000	403.119219
0.100000	411.384191
0.110000	417.618464
0.120000	411.955022
0.130000	394.600969
0.140000	360.634224
0.150000	317.406509
0.160000	267.088718
0.170000	211.333676
0.180000	154.005862
0.190000	96.711407
0.200000	45.391872
0.210000	1.199800
0.220000	-37.438937
0.230000	-71.185109
0.240000	-100.478094
0.250000	-124.107586
0.260000	-143.065209
0.270000	-160.577924
0.280000	-177.520729
0.290000	-195.926115
0.300000	-209.494512
0.310000	-220.839742
0.320000	-230.670490
0.330000	-240.629834
0.340000	-247.373137
0.350000	-246.624204
0.360000	-243.641942
0.370000	-239.145873
0.380000	-235.120453
0.390000	-227.189434
0.400000	-212.809821
0.410000	-195.789384
0.420000	-178.701202
0.430000	-163.593087
0.440000	-147.450329
0.450000	-129.608014
0.460000	-110.072525
0.470000	-86.821713
0.480000	-59.904537
0.490000	-32.915730
0.500000	-5.262075
0.510000	26.795414
0.520000	64.837865
0.530000	103.283841
0.540000	141.749251
0.550000	175.223616
0.560000	201.465848
0.570000	212.612434
0.580000	210.674265
0.590000	200.808137
0.600000	185.340029
0.610000	167.137328
0.620000	146.798438
0.630000	127.940560
0.640000	112.718787
0.650000	98.530220
0.660000	85.111931
0.670000	72.587513
0.680000	60.303048
0.690000	46.441924
0.700000	23.946952
0.710000	-1.534722
0.720000	-30.959696
0.730000	-61.031900
0.740000	-95.417477
0.750000	-134.384888
0.760000	-174.062160
0.770000	-209.934180
0.780000	-237.905861
0.790000	-261.368361
0.800000	-283.279160
0.810000	-306.332398
0.820000	-327.500447
0.830000	-346.835053
0.840000	-363.917054
0.850000	-380.540183
0.860000	-396.524420
0.870000	-410.772088
0.880000	-423.330672
0.890000	-436.204883
0.900000	-449.660769
0.910000	-460.155609
0.920000	-468.865319
0.930000	-476.633347
0.940000	-485.935372
0.950000	-495.962843
0.960000	-505.865847
0.970000	-513.482357
0.980000	-515.319371
0.990000	-512.206864
1.000000	-508.308247
1.010000	-506.119393
1.020000	-509.827442
1.030000	-524.894165
1.040000	-551.524003
1.050000	-585.180783
1.060000	-620.743548
1.070000	-661.013471
1.080000	-704.141017
1.090000	-747.701657
1.100000	-787.390105
1.110000	-823.592552
1.120000	-853.152320
1.130000	-877.351524
1.140000	-896.433926
1.150000	-912.637903
1.160000	-932.248253
1.170000	-952.086238
1.180000	-972.593473
1.190000	-989.709486
1.200000	-1005.475722
1.210000	-1021.183927
1.220000	-1034.534336
1.230000	-1049.193958
1.240000	-1060.087772
1.250000	-1069.743328
1.260000	-1075.478309
1.270000	-1081.161713
1.280000	-1083.366100
1.290000	-1070.407649
1.300000	-1047.483408
1.310000	-1017.830939
1.320000	-990.465567
1.330000	-967.751182
1.340000	-950.625262
1.350000	-948.876750
1.360000	-949.904026
1.370000	-953.884197
1.380000	-952.672925
1.390000	-955.451755
1.400000	-957.582588
1.410000	-963.555965
1.420000	-964.967932
1.430000	-962.529151
1.440000	-945.832856
1.450000	-919.720499
1.460000	-876.840065
1.470000	-840.170415
1.480000	-801.603303
1.490000	-699.313684
1.500000	-588.194142
1.510000	-481.181545
1.520000	-441.763112
1.530000	-405.202649
1.540000	-360.985880
1.550000	-320.789025
1.560000	-277.995513
1.570000	-242.256639
1.580000	-201.782259
1.590000	-157.260640
1.600000	-103.053186
1.610000	-51.147385
1.620000	-1.123809
1.630000	37.772780
1.640000	69.007825
1.650000	84.495793
1.660000	92.686675
1.670000	97.040795
1.680000	97.859769
1.690000	74.030459
1.700000	51.332360
1.710000	35.469577
1.720000	46.683362
1.730000	57.282754
1.740000	70.291656
1.750000	84.257121
1.760000	104.091476
1.770000	124.043465
1.780000	147.758924
1.790000	215.773503
1.800000	288.382246
1.810000	363.450208
1.820000	399.407954
1.830000	431.181594
1.840000	463.195012
1.850000	488.728041
1.860000	511.523685
1.870000	518.742360
1.880000	516.083899
1.890000	504.591710
1.900000	493.849251
1.910000	480.587970
1.920000	470.488581
1.930000	462.415426
1.940000	461.662675
1.950000	471.087139
1.960000	489.009103
1.970000	506.925413
1.980000	516.207662
1.990000	523.324798
2.000000	540.609136
2.010000	571.219628
2.020000	603.156775
2.030000	621.294157
2.040000	624.932814
2.050000	620.911980
2.060000	619.574878
2.070000	622.696478
2.080000	629.734590
2.090000	636.996803
2.100000	646.100495
2.110000	660.159973
2.120000	680.320179
2.130000	700.830509
2.140000	718.740974
2.150000	729.691034
2.160000	738.046703
2.170000	746.408108
2.180000	763.564594
2.190000	789.630274
2.200000	821.603266
2.210000	858.387429
2.220000	898.504386
2.230000	941.009954
2.240000	985.604913
2.250000	1030.493063
2.260000	1076.912190
2.270000	1118.821648
2.280000	1154.430313
2.290000	1179.676873
