Time(s)	GREEN_denoised_wiener
0.000000	547.225311
0.010000	597.203611
0.020000	625.854516
0.030000	657.466179
0.040000	685.062346
0.050000	720.456378
0.060000	750.878457
0.070000	782.841780
0.080000	794.625695
0.090000	748.491621
0.100000	612.670248
0.110000	565.252292
0.120000	566.695913
0.130000	570.354868
0.140000	565.135386
0.150000	565.534649
0.160000	561.179869
0.170000	562.444458
0.180000	561.513838
0.190000	568.074834
0.200000	574.138142
0.210000	586.417525
0.220000	598.397757
0.230000	615.464257
0.240000	631.964783
0.250000	652.877614
0.260000	674.511790
0.270000	699.979810
0.280000	722.367767
0.290000	737.091265
0.300000	733.208826
0.310000	706.891139
0.320000	656.725078
0.330000	594.060960
0.340000	527.568523
0.350000	472.249052
0.360000	427.035036
0.370000	393.110182
0.380000	363.813173
0.390000	341.996928
0.400000	324.574124
0.410000	315.234391
0.420000	308.976280
0.430000	305.817019
0.440000	295.013231
0.450000	282.108363
0.460000	263.354945
0.470000	249.435919
0.480000	232.976603
0.490000	223.138058
0.500000	211.879806
0.510000	210.889463
0.520000	206.708648
0.530000	213.043135
0.540000	213.782875
0.550000	226.616532
0.560000	231.078822
0.570000	249.633966
0.580000	258.907945
0.590000	239.924861
0.600000	-121.532775
0.610000	-179.136233
0.620000	-206.905600
0.630000	-217.298349
0.640000	-233.617120
0.650000	-239.695713
0.660000	-255.438416
0.670000	-269.017012
0.680000	-293.004875
0.690000	-312.608337
0.700000	-335.645680
0.710000	-353.500476
0.720000	-375.682599
0.730000	-390.681585
0.740000	-401.773876
0.750000	-398.505766
0.760000	-392.607233
0.770000	-382.976220
0.780000	-375.809183
0.790000	-364.761134
0.800000	-352.384837
0.810000	-336.549474
0.820000	-319.656248
0.830000	-300.344477
0.840000	-282.626428
0.850000	-273.164450
0.860000	-284.631154
0.870000	-323.987118
0.880000	-388.962586
0.890000	-462.789028
0.900000	-533.326132
0.910000	-590.950924
0.920000	-635.067878
0.930000	-666.470370
0.940000	-687.167023
0.950000	-700.013191
0.960000	-705.614690
0.970000	-706.917454
0.980000	-707.753448
0.990000	-711.175205
1.000000	-719.579668
1.010000	-731.445085
1.020000	-746.098069
1.030000	-759.395574
