Time(s)	GREEN_denoised_median
0.000000	-1279.574658
0.010000	-1279.574658
0.020000	-1279.574658
0.030000	-1175.642167
0.040000	-1066.975237
0.050000	-960.281000
0.060000	-850.431563
0.070000	-736.016889
0.080000	-623.996305
0.090000	-511.810644
0.100000	-501.599011
0.110000	-501.599011
0.120000	-501.599011
0.130000	-762.538197
0.140000	-1096.383221
0.150000	-1411.341413
0.160000	-1665.378058
0.170000	-1851.312868
0.180000	-1972.472802
0.190000	-2057.423219
0.200000	-2121.599574
0.210000	-2121.599574
0.220000	-2121.599574
0.230000	-2078.724551
0.240000	-2017.113802
0.250000	-1979.030559
0.260000	-1979.030559
0.270000	-1979.030559
0.280000	-1984.021015
0.290000	-1984.021015
0.300000	-1984.021015
0.310000	-1947.298771
0.320000	-1893.400732
0.330000	-1816.843135
0.340000	-1729.875146
0.350000	-1626.381381
0.360000	-1511.422896
0.370000	-1383.943771
0.380000	-1243.010222
0.390000	-1100.579095
0.400000	-959.608642
0.410000	-813.221484
0.420000	-667.274380
0.430000	-515.862170
0.440000	-367.007226
0.450000	-218.501863
0.460000	-76.789183
0.470000	65.873815
0.480000	203.368955
0.490000	337.250488
0.500000	476.529253
0.510000	617.575881
0.520000	755.671752
0.530000	856.167502
0.540000	856.167502
0.550000	856.167502
0.560000	625.815654
0.570000	326.616260
0.580000	54.057793
0.590000	-165.126466
0.600000	-253.561897
0.610000	-277.262218
0.620000	-277.262218
0.630000	-277.262218
0.640000	-272.816125
0.650000	-229.065654
0.660000	-175.514238
0.670000	-100.869633
0.680000	-15.258290
0.690000	84.377219
0.700000	198.005529
0.710000	317.620256
0.720000	439.300388
0.730000	562.895198
0.740000	686.614024
0.750000	813.207622
0.760000	938.936565
0.770000	1061.552590
0.780000	1186.309874
0.790000	1307.900418
0.800000	1429.740717
0.810000	1555.283612
0.820000	1681.189856
0.830000	1803.704292
0.840000	1924.694734
0.850000	2052.183827
0.860000	2178.199278
0.870000	2313.760756
0.880000	2452.703474
0.890000	2584.373813
0.900000	2584.373813
0.910000	2584.373813
0.920000	2577.907677
0.930000	2322.663440
0.940000	2047.787639
0.950000	1815.424311
0.960000	1654.636014
0.970000	1548.118592
0.980000	1494.590629
0.990000	1462.794238
1.000000	1462.794238
1.010000	1462.794238
1.020000	1509.978316
1.030000	1558.089241
1.040000	1558.980926
1.050000	1558.980926
1.060000	1558.980926
1.070000	1525.476509
1.080000	1502.678011
1.090000	1502.678011
1.100000	1502.678011
1.110000	1508.921753
1.120000	1551.516786
1.130000	1587.571852
1.140000	1645.786248
1.150000	1697.149269
1.160000	1778.323210
1.170000	1844.591587
1.180000	1939.191438
1.190000	2014.876351
1.200000	2119.412849
1.210000	2196.970045
1.220000	2304.037458
1.230000	2378.834824
1.240000	2496.134246
1.250000	2568.352001
1.260000	2692.838468
1.270000	2757.394292
1.280000	2757.394292
1.290000	2757.394292
1.300000	2392.955789
1.310000	2388.751611
1.320000	2388.751611
1.330000	2392.955789
1.340000	2461.046701
1.350000	2474.478560
1.360000	2561.992649
1.370000	2592.293507
1.380000	2698.777950
1.390000	2739.465434
1.400000	2855.455028
1.410000	2899.961880
1.420000	3022.060841
1.430000	3073.759442
1.440000	3209.615548
1.450000	3259.784792
1.460000	3407.258974
1.470000	3450.875485
1.480000	3450.875485
1.490000	3450.875485
1.500000	2503.884563
1.510000	2379.391043
1.520000	2373.913612
1.530000	2359.133594
1.540000	2359.133594
1.550000	2326.839126
1.560000	2326.839126
1.570000	2297.071197
1.580000	2276.799271
1.590000	2188.715067
1.600000	2157.416301
1.610000	2093.902327
1.620000	2093.902327
1.630000	2093.902327
1.640000	2099.463850
1.650000	2105.288216
1.660000	2149.818551
1.670000	2179.627380
1.680000	2245.593516
1.690000	2290.804746
1.700000	2372.817603
1.710000	2432.797611
1.720000	2524.486502
1.730000	2587.613369
1.740000	2681.620647
1.750000	2751.250930
1.760000	2848.185718
1.770000	2914.725638
1.780000	3015.223926
1.790000	3076.962102
1.800000	3167.786748
1.810000	3226.984294
1.820000	3311.812682
1.830000	3311.812682
1.840000	3311.812682
1.850000	3288.189832
1.860000	3080.551384
1.870000	2706.296105
1.880000	2391.796789
1.890000	2045.670040
1.900000	1130.958907
1.910000	975.305848
1.920000	898.747679
1.930000	764.574513
1.940000	724.469382
1.950000	646.204296
1.960000	645.011714
1.970000	627.298439
1.980000	627.298439
1.990000	627.298439
2.000000	667.249369
2.010000	683.415435
2.020000	753.843367
2.030000	794.434056
2.040000	879.012389
2.050000	925.164851
2.060000	1019.787741
2.070000	1073.552950
2.080000	1171.182458
2.090000	1209.566476
2.100000	1300.308210
2.110000	1337.122850
2.120000	1436.186239
2.130000	1473.159872
2.140000	1581.914656
2.150000	1614.564174
2.160000	1614.564174
2.170000	1614.564174
2.180000	1568.326385
2.190000	1236.911164
2.200000	-156.493818
2.210000	-246.387389
2.220000	-257.033044
2.230000	-381.713853
2.240000	-427.370842
2.250000	-539.830896
2.260000	-571.763375
2.270000	-624.502789
2.280000	-624.502789
2.290000	-624.502789
2.300000	200.450339
2.310000	268.954907
2.320000	380.190705
2.330000	437.011283
2.340000	554.653709
2.350000	606.542720
2.360000	735.997116
2.370000	735.997116
2.380000	735.997116
2.390000	712.020355
2.400000	-624.291720
2.410000	-633.904663
2.420000	-674.613773
2.430000	-720.426993
2.440000	-725.235184
2.450000	-837.300623
2.460000	-837.894461
2.470000	-870.386526
2.480000	-870.386526
2.490000	-870.386526
2.500000	-838.497402
2.510000	-835.718529
2.520000	-744.968428
2.530000	-722.878423
2.540000	-611.177925
2.550000	-578.026363
2.560000	-449.310122
2.570000	-409.020696
2.580000	-409.020696
2.590000	-409.020696
2.600000	-1135.791813
2.610000	-1144.099605
2.620000	-1144.099605
2.630000	-1144.099605
2.640000	-1088.225286
2.650000	-1074.510548
2.660000	-977.373905
2.670000	-935.995767
2.680000	-828.669108
2.690000	-773.001404
2.700000	-664.216627
2.710000	-598.421872
2.720000	-482.106410
2.730000	-411.225758
2.740000	-299.358286
2.750000	-222.338262
2.760000	-114.083307
2.770000	-36.665643
2.780000	67.657903
2.790000	142.831610
2.800000	254.871626
2.810000	339.107196
2.820000	457.570664
2.830000	540.157212
2.840000	540.157212
2.850000	540.157212
2.860000	407.449634
2.870000	83.449334
2.880000	-231.048407
2.890000	-550.325451
2.900000	-1125.058171
2.910000	-1205.214137
2.920000	-1239.221993
2.930000	-1299.933636
2.940000	-1299.933636
2.950000	-1299.933636
2.960000	-1291.955490
2.970000	-1266.067333
2.980000	-1207.688906
2.990000	-1161.312397
3.000000	-1087.052487
3.010000	-1019.624173
3.020000	-930.102991
3.030000	-844.949675
3.040000	-747.897633
3.050000	-653.220426
3.060000	-546.474642
3.070000	-448.449056
3.080000	-344.816177
3.090000	-344.816177
3.100000	-344.816177
3.110000	-560.253031
3.120000	-732.144037
