Time(s)	IR_denoised_wiener
0.000000	-626.183469
0.010000	-699.201423
0.020000	-641.009571
0.030000	-588.978255
0.040000	-531.024953
0.050000	-471.509279
0.060000	-407.394960
0.070000	-339.759106
0.080000	-276.824666
0.090000	-221.366607
0.100000	-198.019609
0.110000	-223.991468
0.120000	-320.596147
0.130000	-471.215017
0.140000	-631.130939
0.150000	-756.475545
0.160000	-836.122858
0.170000	-873.809974
0.180000	-886.851021
0.190000	-885.155556
0.200000	-878.275556
0.210000	-856.812302
0.220000	-815.741172
0.230000	-767.879634
0.240000	-733.254014
0.250000	-715.595474
0.260000	-712.108024
0.270000	-714.654904
0.280000	-711.309040
0.290000	-701.769501
0.300000	-683.192121
0.310000	-663.602147
0.320000	-633.046491
0.330000	-595.158578
0.340000	-549.575486
0.350000	-502.751795
0.360000	-447.417303
0.370000	-388.394533
0.380000	-325.928638
0.390000	-267.070500
0.400000	-209.093434
0.410000	-146.083807
0.420000	-71.936239
0.430000	5.520305
0.440000	73.864929
0.450000	134.486494
0.460000	186.317726
0.470000	243.152767
0.480000	301.717136
0.490000	370.178186
0.500000	436.723612
0.510000	495.549605
0.520000	553.428347
0.530000	586.167244
0.540000	569.799182
0.550000	462.067674
0.560000	303.731923
0.570000	132.293926
0.580000	0.040909
0.590000	-31.785392
0.600000	-22.310001
0.610000	11.255305
0.620000	7.891197
0.630000	9.585547
0.640000	32.696158
0.650000	55.151930
0.660000	89.605712
0.670000	127.002107
0.680000	176.910702
0.690000	231.148670
0.700000	287.244051
0.710000	345.984388
0.720000	405.584729
0.730000	460.491675
0.740000	515.971232
0.750000	566.987629
0.760000	616.731475
0.770000	668.836793
0.780000	726.175795
0.790000	783.350251
0.800000	835.308913
0.810000	888.584202
0.820000	945.118929
0.830000	1002.830753
0.840000	1064.299555
0.850000	1128.760066
0.860000	1192.163915
0.870000	1248.711451
0.880000	1310.438267
0.890000	1370.305567
0.900000	1397.677034
0.910000	1349.228162
0.920000	1217.378060
0.930000	1044.987467
0.940000	894.164193
0.950000	796.696475
0.960000	743.204292
0.970000	716.418240
0.980000	705.296639
0.990000	708.535940
1.000000	724.758679
1.010000	758.373464
1.020000	795.541898
1.030000	820.577902
1.040000	822.711298
1.050000	810.876490
1.060000	792.584163
1.070000	773.544850
1.080000	758.830659
1.090000	754.926472
1.100000	760.432206
1.110000	777.695750
1.120000	799.385178
1.130000	829.207337
1.140000	857.681226
1.150000	898.495826
1.160000	936.612264
1.170000	991.593872
1.180000	1038.469456
1.190000	1094.857978
1.200000	1140.605926
1.210000	1186.590938
1.220000	1224.406983
1.230000	1266.098202
1.240000	1304.540776
1.250000	1355.387310
1.260000	1387.933763
1.270000	1433.567362
1.280000	1464.551983
1.290000	1368.904180
1.300000	1249.482302
1.310000	1126.402948
1.320000	1124.423076
1.330000	1138.661221
1.340000	1152.329861
1.350000	1191.093970
1.360000	1218.791861
1.370000	1254.069421
1.380000	1273.531028
1.390000	1308.922754
1.400000	1327.152328
1.410000	1351.992933
1.420000	1358.367221
1.430000	1393.656986
1.440000	1434.449618
1.450000	1502.841725
1.460000	1553.743576
1.470000	1616.961992
1.480000	1654.247484
1.490000	1555.413357
1.500000	1116.644214
1.510000	976.809410
1.520000	959.323275
1.530000	988.938344
1.540000	1005.480401
1.550000	1032.362832
1.560000	1025.518481
1.570000	1015.057662
1.580000	987.169509
1.590000	969.266262
1.600000	951.452244
1.610000	948.944968
1.620000	948.391253
1.630000	960.758829
1.640000	971.662588
1.650000	986.027950
1.660000	1002.318655
1.670000	1030.732031
1.680000	1056.308607
1.690000	1088.573245
1.700000	1126.005004
1.710000	1175.507943
1.720000	1223.047791
1.730000	1266.546256
1.740000	1301.488200
1.750000	1342.040394
1.760000	1375.258851
1.770000	1420.695336
1.780000	1455.986102
1.790000	1497.194376
1.800000	1528.029871
1.810000	1563.184036
1.820000	1589.402548
1.830000	1614.971984
1.840000	1592.695412
1.850000	1509.593264
1.860000	1341.697546
1.870000	1142.500166
1.880000	952.069095
1.890000	722.906252
1.900000	526.507224
1.910000	356.504962
1.920000	285.903219
1.930000	242.110370
1.940000	208.860550
1.950000	197.531715
1.960000	187.804212
1.970000	192.116467
1.980000	195.412501
1.990000	216.200254
2.000000	247.691535
2.010000	286.700864
2.020000	317.676902
2.030000	350.344563
2.040000	386.046278
2.050000	421.382301
2.060000	449.814128
2.070000	479.200035
2.080000	510.971469
2.090000	543.082049
2.100000	562.840091
2.110000	586.450630
2.120000	609.058080
2.130000	640.266144
2.140000	667.288464
2.150000	700.218392
2.160000	707.144034
2.170000	666.272314
2.180000	539.361630
2.190000	295.199187
2.200000	32.620243
2.210000	-144.566034
2.220000	-175.889730
2.230000	-209.383701
2.240000	-251.269800
2.250000	-282.725531
2.260000	-305.967293
2.270000	-302.938003
2.280000	-296.369826
2.290000	-138.608856
2.300000	26.834897
2.310000	206.539464
2.320000	246.338388
2.330000	285.567496
2.340000	320.188329
2.350000	363.048798
2.360000	401.709023
2.370000	437.307582
2.380000	413.812860
2.390000	243.800638
2.400000	-57.077232
2.410000	-212.080180
2.420000	-227.483404
2.430000	-247.983495
2.440000	-279.639780
2.450000	-292.715184
2.460000	-309.866780
2.470000	-306.577382
2.480000	-305.483388
2.490000	-281.903068
2.500000	-264.506667
2.510000	-230.012884
2.520000	-203.589850
2.530000	-166.930138
2.540000	-138.367196
2.550000	-87.640796
2.560000	-45.906771
