Time(s)	IR_denoised_wiener
0.000000	-405.177774
0.010000	-571.502327
0.020000	-684.620017
0.030000	-762.179106
0.040000	-801.985286
0.050000	-818.215529
0.060000	-825.666804
0.070000	-827.868747
0.080000	-826.657940
0.090000	-828.515511
0.100000	-830.269868
0.110000	-825.132820
0.120000	-815.554152
0.130000	-816.096884
0.140000	-829.786726
0.150000	-845.000513
0.160000	-852.004107
0.170000	-849.239362
0.180000	-840.883142
0.190000	-829.786942
0.200000	-819.075095
0.210000	-799.612811
0.220000	-776.618215
0.230000	-753.745912
0.240000	-734.472147
0.250000	-714.502076
0.260000	-692.311195
0.270000	-667.906381
0.280000	-640.458305
0.290000	-615.304402
0.300000	-588.222353
0.310000	-563.368375
0.320000	-537.609060
0.330000	-515.763275
0.340000	-499.963874
0.350000	-482.773772
0.360000	-464.982895
0.370000	-441.074949
0.380000	-423.358595
0.390000	-416.663023
0.400000	-404.984231
0.410000	-409.660529
0.420000	-467.291695
0.430000	-597.989236
0.440000	-756.723337
0.450000	-880.773778
0.460000	-948.236240
0.470000	-965.009968
0.480000	-952.429644
0.490000	-929.544335
0.500000	-912.251856
0.510000	-904.683519
0.520000	-901.016862
0.530000	-891.113975
0.540000	-870.099099
0.550000	-854.238258
0.560000	-850.792004
0.570000	-856.635722
0.580000	-863.104360
0.590000	-862.670607
0.600000	-856.073337
0.610000	-842.000055
0.620000	-827.698968
0.630000	-802.914174
0.640000	-771.997065
0.650000	-742.803190
0.660000	-726.268485
0.670000	-721.290256
0.680000	-712.130402
0.690000	-693.101864
0.700000	-664.973223
0.710000	-638.570501
0.720000	-615.085218
0.730000	-592.993541
0.740000	-570.491189
0.750000	-550.055972
0.760000	-523.829282
0.770000	-491.098082
0.780000	-454.135168
0.790000	-418.107270
0.800000	-376.033017
0.810000	-320.406544
0.820000	-265.281134
0.830000	-219.649163
0.840000	-180.118672
0.850000	-154.211382
0.860000	-173.979396
0.870000	-258.359576
0.880000	-373.650394
0.890000	-463.733901
0.900000	-508.373824
0.910000	-515.137984
0.920000	-503.750212
0.930000	-485.805485
0.940000	-473.747511
0.950000	-471.400728
0.960000	-472.334222
0.970000	-462.592377
0.980000	-446.253698
0.990000	-439.098888
1.000000	-449.434854
1.010000	-468.172644
1.020000	-475.868741
1.030000	-469.238096
1.040000	-452.269395
1.050000	-432.927397
1.060000	-415.271721
1.070000	-396.208914
1.080000	-376.897051
1.090000	-355.426125
1.100000	-331.470311
1.110000	-309.934070
1.120000	-288.299006
1.130000	-267.727399
1.140000	-244.722963
1.150000	-219.805930
1.160000	-200.773858
1.170000	-192.148527
1.180000	-187.065988
1.190000	-176.089339
1.200000	-157.985373
1.210000	-139.322408
1.220000	-122.162649
1.230000	-97.795593
1.240000	-60.951851
1.250000	-23.250409
1.260000	7.000024
1.270000	39.075625
1.280000	82.351955
1.290000	100.676961
1.300000	51.754591
1.310000	-47.156655
1.320000	-144.680359
1.330000	-202.958129
1.340000	-230.171927
1.350000	-230.010193
1.360000	-217.289761
1.370000	-199.637644
1.380000	-185.003044
1.390000	-171.498739
1.400000	-151.293425
1.410000	-130.658086
1.420000	-119.185206
1.430000	-128.080232
1.440000	-143.933842
1.450000	-157.437526
1.460000	-165.957452
1.470000	-172.399432
1.480000	-174.890087
1.490000	-167.271142
1.500000	-154.774998
1.510000	-137.716420
1.520000	-112.569186
1.530000	-93.462767
1.540000	-80.242800
1.550000	-74.130965
1.560000	-60.456919
1.570000	-38.755078
1.580000	-19.951972
1.590000	-4.934006
1.600000	9.649474
1.610000	24.298018
1.620000	42.010489
1.630000	56.925665
1.640000	70.813009
1.650000	89.986930
1.660000	119.032499
1.670000	161.467570
1.680000	200.619426
1.690000	226.055493
1.700000	250.360301
1.710000	274.369124
1.720000	261.089171
1.730000	179.792435
1.740000	38.016190
1.750000	-97.193849
1.760000	-186.705921
1.770000	-228.854924
1.780000	-246.734009
1.790000	-261.748763
1.800000	-268.257965
1.810000	-265.559075
1.820000	-253.686270
1.830000	-236.615287
1.840000	-220.354649
1.850000	-212.242389
1.860000	-213.238827
1.870000	-223.098907
1.880000	-235.672255
1.890000	-246.190765
1.900000	-245.992606
1.910000	-235.872285
1.920000	-220.887759
1.930000	-201.436833
1.940000	-179.682990
1.950000	-156.559295
1.960000	-132.704771
1.970000	-103.226652
1.980000	-79.330252
1.990000	-68.108261
2.000000	-67.823088
2.010000	-59.165943
2.020000	-39.919929
2.030000	-13.127860
2.040000	7.732055
2.050000	25.733779
2.060000	40.820808
2.070000	54.712940
2.080000	71.028025
2.090000	86.453589
2.100000	105.705088
2.110000	124.952504
2.120000	147.517469
2.130000	161.525964
2.140000	185.864556
2.150000	219.495523
2.160000	223.559187
2.170000	155.908079
2.180000	28.521775
2.190000	-95.084594
2.200000	-180.140764
2.210000	-231.732312
2.220000	-256.017896
2.230000	-253.910002
2.240000	-231.787154
2.250000	-202.983306
2.260000	-185.779239
2.270000	-173.530118
2.280000	-153.963897
2.290000	-134.672241
2.300000	-130.374946
2.310000	-145.659405
2.320000	-164.601917
2.330000	-172.187377
2.340000	-174.758585
2.350000	-171.232041
2.360000	-163.794040
2.370000	-153.810309
2.380000	-135.344681
2.390000	-119.637043
2.400000	-98.041376
2.410000	-71.356437
2.420000	-36.593769
2.430000	-5.314605
2.440000	19.679707
2.450000	44.888536
2.460000	75.419077
2.470000	110.211745
2.480000	143.282549
2.490000	175.692551
2.500000	199.928004
2.510000	224.690714
2.520000	245.677845
2.530000	274.874333
2.540000	301.840764
2.550000	330.572883
2.560000	360.801196
2.570000	387.067017
2.580000	416.272691
2.590000	453.032585
2.600000	484.842156
2.610000	461.373190
2.620000	368.991926
2.630000	241.323711
2.640000	134.350473
2.650000	62.641788
2.660000	29.827527
2.670000	29.748787
2.680000	50.772608
2.690000	80.002631
2.700000	102.195478
2.710000	124.135130
2.720000	146.754351
2.730000	170.084478
2.740000	180.094511
2.750000	175.556151
2.760000	164.280575
2.770000	151.509090
2.780000	141.619839
2.790000	140.288409
2.800000	152.781375
2.810000	170.186090
2.820000	193.795491
2.830000	218.892388
2.840000	242.974724
2.850000	263.424641
2.860000	283.998307
2.870000	312.127739
2.880000	342.815737
2.890000	368.987012
2.900000	392.821034
2.910000	420.687472
2.920000	451.970718
