Time(s)	RED_denoised_wiener
0.000000	1026.571954
0.010000	1521.484286
0.020000	1491.064698
0.030000	1481.022683
0.040000	1488.751230
0.050000	1505.648252
0.060000	1530.561148
0.070000	1557.696612
0.080000	1578.464859
0.090000	1586.518532
0.100000	1584.827479
0.110000	1584.796177
0.120000	1585.922518
0.130000	1590.178293
0.140000	1592.762510
0.150000	1597.680685
0.160000	1601.677839
0.170000	1611.972972
0.180000	1630.338508
0.190000	1661.365795
0.200000	1697.725046
0.210000	1738.534078
0.220000	1776.183322
0.230000	1809.810229
0.240000	1838.062030
0.250000	1868.866077
0.260000	1898.662483
0.270000	1931.027230
0.280000	1963.999164
0.290000	2003.627538
0.300000	2041.378653
0.310000	2076.664892
0.320000	2114.186901
0.330000	2152.097500
0.340000	2185.732976
0.350000	2193.895901
0.360000	2171.734111
0.370000	2116.442374
0.380000	2042.858422
0.390000	1957.706871
0.400000	1883.766042
0.410000	1826.662372
0.420000	1798.094003
0.430000	1780.607008
0.440000	1778.884162
0.450000	1779.234761
0.460000	1790.134288
0.470000	1800.540153
0.480000	1810.478211
0.490000	1815.228044
0.500000	1799.520823
0.510000	1761.345459
0.520000	1698.287544
0.530000	1628.576885
0.540000	1558.076358
0.550000	1476.485381
0.560000	1366.566311
0.570000	1217.463653
0.580000	1018.106630
0.590000	783.897625
0.600000	549.414634
0.610000	346.705021
0.620000	139.246697
0.630000	-78.023443
0.640000	-305.532093
0.650000	-509.282269
0.660000	-697.386104
0.670000	-862.125169
0.680000	-982.833424
0.690000	-1090.072287
0.700000	-1217.253400
0.710000	-1373.919978
0.720000	-1516.160650
0.730000	-1603.746496
0.740000	-1647.511472
0.750000	-1723.389744
0.760000	-1863.380814
0.770000	-2036.834692
0.780000	-2171.778336
0.790000	-2227.675556
0.800000	-2209.946199
0.810000	-2134.523950
0.820000	-2042.830574
0.830000	-1956.298458
0.840000	-1874.971716
0.850000	-1797.385479
0.860000	-1717.752113
0.870000	-1645.499878
0.880000	-1586.509465
0.890000	-1543.593652
0.900000	-1525.271383
0.910000	-1533.994070
0.920000	-1569.015566
0.930000	-1597.632158
0.940000	-1597.113640
0.950000	-1567.660769
0.960000	-1526.921542
0.970000	-1497.365554
0.980000	-1478.664104
0.990000	-1480.095007
1.000000	-1502.382452
1.010000	-1533.790501
1.020000	-1563.437721
1.030000	-1571.797792
1.040000	-1566.570933
1.050000	-1539.097595
1.060000	-1484.720188
1.070000	-1427.482207
1.080000	-1392.880332
1.090000	-1396.179858
1.100000	-1422.299168
1.110000	-1442.850563
1.120000	-1440.425307
