Time(s)	GREEN_denoised_wiener
0.000000	370.967018
0.010000	574.409732
0.020000	611.148315
0.030000	650.413391
0.040000	694.170919
0.050000	740.111464
0.060000	787.905155
0.070000	836.179570
0.080000	885.684813
0.090000	937.287613
0.100000	988.160629
0.110000	1038.443457
0.120000	1084.331940
0.130000	1131.331198
0.140000	1179.193775
0.150000	1229.597206
0.160000	1282.757891
0.170000	1340.239851
0.180000	1387.316835
0.190000	1384.520736
0.200000	1310.632045
0.210000	1175.593297
0.220000	1023.413509
0.230000	890.350516
0.240000	796.857431
0.250000	745.430861
0.260000	722.964181
0.270000	715.882171
0.280000	716.459146
0.290000	728.069341
0.300000	748.978675
0.310000	770.943778
0.320000	782.193538
0.330000	778.209698
0.340000	762.468457
0.350000	742.524784
0.360000	727.117783
0.370000	721.868983
0.380000	730.800241
0.390000	749.560891
0.400000	775.524648
0.410000	806.290466
0.420000	840.288217
0.430000	877.728304
0.440000	917.417793
0.450000	957.199840
0.460000	990.905839
0.470000	1012.374020
0.480000	1028.131160
0.490000	1043.246416
0.500000	1066.401743
0.510000	1094.120537
0.520000	1120.032605
0.530000	1142.041055
0.540000	1163.713446
0.550000	1198.021576
0.560000	1248.067765
0.570000	1293.304133
0.580000	1292.064138
0.590000	1222.006214
0.600000	1101.204345
0.610000	970.135698
0.620000	852.330243
0.630000	759.598259
0.640000	699.810274
0.650000	670.396781
0.660000	660.966467
0.670000	661.560476
0.680000	679.199617
0.690000	710.726200
0.700000	742.433440
0.710000	759.585066
0.720000	765.077979
0.730000	769.827889
0.740000	769.709450
0.750000	764.776738
0.760000	761.385742
0.770000	769.429108
0.780000	784.716785
0.790000	804.445000
0.800000	831.088321
0.810000	867.153252
0.820000	903.787200
0.830000	938.236394
0.840000	973.192100
0.850000	1010.340762
0.860000	1047.275994
0.870000	1083.139192
0.880000	1121.728724
0.890000	1161.946448
0.900000	1207.884206
0.910000	1260.767211
0.920000	1314.707740
0.930000	1362.270846
0.940000	1401.900736
0.950000	1442.155091
0.960000	1487.434657
0.970000	1528.019061
0.980000	1536.939205
0.990000	1489.573630
1.000000	1387.532757
1.010000	1261.892214
1.020000	1144.477578
1.030000	1059.538646
1.040000	1011.382385
1.050000	993.837155
1.060000	994.617347
1.070000	1008.501433
1.080000	1034.543163
1.090000	1063.822326
1.100000	1086.143392
1.110000	1094.830193
1.120000	1091.777188
1.130000	1075.170615
1.140000	1054.450672
1.150000	1032.835425
1.160000	1016.807292
1.170000	1007.492379
1.180000	1009.847300
1.190000	1028.487269
1.200000	1053.184749
1.210000	1078.165257
1.220000	1105.213147
1.230000	1140.524866
1.240000	1180.216000
1.250000	1215.204976
1.260000	1246.915107
1.270000	1281.899195
1.280000	1327.950253
1.290000	1378.218434
1.300000	1423.643828
1.310000	1457.541280
1.320000	1485.701333
1.330000	1513.191041
1.340000	1539.738971
1.350000	1567.508169
1.360000	1602.446895
1.370000	1642.796551
1.380000	1658.067518
1.390000	1617.742315
1.400000	1515.076730
1.410000	1371.755279
1.420000	1219.100682
1.430000	1085.079769
1.440000	988.084879
1.450000	932.685291
1.460000	902.663431
1.470000	884.615767
1.480000	875.921262
1.490000	883.554695
1.500000	901.792072
1.510000	914.779412
1.520000	907.979191
1.530000	886.369501
1.540000	859.489679
1.550000	839.276080
1.560000	831.291630
1.570000	834.806732
1.580000	844.721983
1.590000	854.639935
1.600000	867.148838
1.610000	884.442910
1.620000	908.879358
1.630000	941.210384
1.640000	980.573366
1.650000	1019.593574
1.660000	1053.574004
1.670000	1080.616058
1.680000	1109.902345
1.690000	1144.919152
1.700000	1186.852937
1.710000	1229.496145
1.720000	1268.434962
1.730000	1306.719102
