Time(s)	IR_denoised_median
0.000000	-614.341538
0.010000	-614.341538
0.020000	-614.341538
0.030000	-581.340753
0.040000	-550.590014
0.050000	-516.745164
0.060000	-478.034372
0.070000	-442.362291
0.080000	-401.620952
0.090000	-353.180724
0.100000	-319.462652
0.110000	-286.084446
0.120000	-259.548136
0.130000	-228.124569
0.140000	-201.880007
0.150000	-157.258918
0.160000	-116.524338
0.170000	-116.524338
0.180000	-116.524338
0.190000	-166.031307
0.200000	-351.355161
0.210000	-552.602038
0.220000	-715.473427
0.230000	-834.493772
0.240000	-930.851868
0.250000	-977.439826
0.260000	-977.500667
0.270000	-997.747220
0.280000	-997.747220
0.290000	-997.747220
0.300000	-997.519660
0.310000	-997.519660
0.320000	-997.519660
0.330000	-1039.417197
0.340000	-1080.423928
0.350000	-1116.771622
0.360000	-1154.542162
0.370000	-1160.204115
0.380000	-1160.204115
0.390000	-1160.204115
0.400000	-1149.747000
0.410000	-1134.410466
0.420000	-1098.539057
0.430000	-1080.486483
0.440000	-1054.340970
0.450000	-1032.854961
0.460000	-1016.294749
0.470000	-1010.424586
0.480000	-1005.391561
0.490000	-994.187827
0.500000	-986.720500
0.510000	-971.076666
0.520000	-957.295116
0.530000	-956.152767
0.540000	-947.971160
0.550000	-921.436756
0.560000	-921.436756
0.570000	-921.436756
0.580000	-983.280613
0.590000	-1168.201666
0.600000	-1362.647582
0.610000	-1514.789178
0.620000	-1647.403066
0.630000	-1740.442463
0.640000	-1797.406387
0.650000	-1822.280017
0.660000	-1828.022093
0.670000	-1828.022093
0.680000	-1828.022093
0.690000	-1815.946729
0.700000	-1815.946729
0.710000	-1815.946729
0.720000	-1855.179255
0.730000	-1895.514479
0.740000	-1920.028988
0.750000	-1945.354367
0.760000	-1965.997571
0.770000	-1981.387021
0.780000	-1986.131784
0.790000	-1990.077115
0.800000	-1990.077115
0.810000	-1990.077115
0.820000	-1968.847213
0.830000	-1968.796356
0.840000	-1963.300988
0.850000	-1929.702328
0.860000	-1925.149321
0.870000	-1912.524255
0.880000	-1894.280700
0.890000	-1873.521810
0.900000	-1843.558498
0.910000	-1806.716897
0.920000	-1765.007648
0.930000	-1746.154262
0.940000	-1737.517017
0.950000	-1719.743682
0.960000	-1719.743682
0.970000	-1719.743682
0.980000	-1814.401834
0.990000	-2010.193217
1.000000	-2222.509982
1.010000	-2407.125561
1.020000	-2565.910817
1.030000	-2712.254939
1.040000	-2832.401800
1.050000	-2919.567461
1.060000	-2983.100359
1.070000	-3042.069203
1.080000	-3064.844891
1.090000	-3065.824124
1.100000	-3090.821254
1.110000	-3138.623882
1.120000	-3187.935193
1.130000	-3244.632486
1.140000	-3308.188329
1.150000	-3359.746640
1.160000	-3412.684972
1.170000	-3462.967004
1.180000	-3490.290018
1.190000	-3509.435829
1.200000	-3519.001709
1.210000	-3519.001709
1.220000	-3519.001709
1.230000	-3516.966356
1.240000	-3516.966356
1.250000	-3511.686846
1.260000	-3511.096559
1.270000	-3510.011280
1.280000	-3500.045008
1.290000	-3483.270076
1.300000	-3472.539273
1.310000	-3470.557339
1.320000	-3466.041057
1.330000	-3465.129992
1.340000	-3462.799808
1.350000	-3447.665783
1.360000	-3447.665783
1.370000	-3447.665783
1.380000	-3492.837850
1.390000	-3677.189824
1.400000	-3885.720831
1.410000	-4087.308777
1.420000	-4245.713300
1.430000	-4363.656784
1.440000	-4445.831690
1.450000	-4490.104996
1.460000	-4505.096980
1.470000	-4522.732972
1.480000	-4540.381472
1.490000	-4546.448778
1.500000	-4557.855029
1.510000	-4579.239880
1.520000	-4611.425373
1.530000	-4659.147222
1.540000	-4713.060725
1.550000	-4762.151820
1.560000	-4801.813648
1.570000	-4802.455487
1.580000	-4811.701502
1.590000	-4811.701502
1.600000	-4802.455487
1.610000	-4795.582425
1.620000	-4787.990376
1.630000	-4776.657822
1.640000	-4752.388879
1.650000	-4737.902699
1.660000	-4717.762241
1.670000	-4710.317836
1.680000	-4704.129015
1.690000	-4702.847407
1.700000	-4689.509867
1.710000	-4672.515019
1.720000	-4661.961428
1.730000	-4637.161744
1.740000	-4615.579041
1.750000	-4586.790717
1.760000	-4554.291257
1.770000	-4554.291257
1.780000	-4554.291257
1.790000	-4608.354276
1.800000	-4783.721866
1.810000	-5002.197881
1.820000	-5201.323334
1.830000	-5346.155424
1.840000	-5447.084987
1.850000	-5495.092604
1.860000	-5532.016515
1.870000	-5534.706218
1.880000	-5534.706218
1.890000	-5534.706218
1.900000	-5508.939631
1.910000	-5508.939631
1.920000	-5508.939631
1.930000	-5546.667634
1.940000	-5583.815746
1.950000	-5620.688146
1.960000	-5664.712159
1.970000	-5689.613693
1.980000	-5689.613693
1.990000	-5689.613693
2.000000	-5680.535731
2.010000	-5672.639855
2.020000	-5655.259572
2.030000	-5625.720562
2.040000	-5610.036869
2.050000	-5593.360091
2.060000	-5591.930134
2.070000	-5587.644583
2.080000	-5583.843071
2.090000	-5567.065168
2.100000	-5532.671070
2.110000	-5509.828799
2.120000	-5482.320752
2.130000	-5458.602840
2.140000	-5439.889455
2.150000	-5424.451317
2.160000	-5422.298027
2.170000	-5403.752582
2.180000	-5403.752582
2.190000	-5403.752582
2.200000	-5472.675805
2.210000	-5661.481366
2.220000	-5861.852461
2.230000	-6028.797236
2.240000	-6157.037926
2.250000	-6225.966622
2.260000	-6258.233680
2.270000	-6277.024772
2.280000	-6277.024772
2.290000	-6277.024772
2.300000	-6270.299001
2.310000	-6270.299001
2.320000	-6270.299001
2.330000	-6272.855271
2.340000	-6317.268331
2.350000	-6365.062542
2.360000	-6395.986595
2.370000	-6430.224180
2.380000	-6442.418472
2.390000	-6454.505758
2.400000	-6454.505758
2.410000	-6454.505758
2.420000	-6437.289925
2.430000	-6420.561619
2.440000	-6400.820637
2.450000	-6385.452653
2.460000	-6365.105715
2.470000	-6334.149270
2.480000	-6324.283674
2.490000	-6304.458832
2.500000	-6277.334419
2.510000	-6268.606733
2.520000	-6265.048151
2.530000	-6254.522313
2.540000	-6231.539570
2.550000	-6219.270752
2.560000	-6209.694128
2.570000	-6180.724009
2.580000	-6171.402797
2.590000	-6171.402797
2.600000	-6171.402797
2.610000	-6288.940401
2.620000	-6480.659891
2.630000	-6677.507902
2.640000	-6947.999615
2.650000	-7069.629844
2.660000	-7069.629844
2.670000	-7069.629844
2.680000	-7040.448517
2.690000	-7010.911949
2.700000	-6486.635553
2.710000	-6325.331068
2.720000	-6283.359393
2.730000	-6165.131817
2.740000	-6062.615220
2.750000	-5745.388680
2.760000	-5557.928585
2.770000	-5485.383407
2.780000	-5365.458413
2.790000	-5040.004700
2.800000	-4293.439391
2.810000	-3242.140329
2.820000	-1793.442453
2.830000	-218.866087
2.840000	1563.942952
2.850000	3548.587316
2.860000	5652.548606
2.870000	7800.496171
2.880000	9777.212127
2.890000	11729.848711
2.900000	13696.029511
2.910000	15752.770358
2.920000	17273.381175
2.930000	18461.445540
2.940000	19386.844709
2.950000	20156.707980
2.960000	20870.778657
2.970000	21635.485110
2.980000	22593.313472
2.990000	23407.453017
3.000000	24294.881746
3.010000	25077.854320
3.020000	25809.606912
3.030000	26399.387428
3.040000	26889.228704
3.050000	27294.383388
3.060000	27575.240532
3.070000	27739.052936
3.080000	27991.345784
3.090000	28193.329462
3.100000	28353.411625
3.110000	28355.824693
3.120000	28410.703081
3.130000	28432.228575
3.140000	28439.013386
3.150000	28458.226861
3.160000	28523.734053
3.170000	28523.734053
3.180000	28530.090576
3.190000	28523.734053
3.200000	28530.090576
3.210000	28466.437905
3.220000	28533.144765
3.230000	28466.437905
3.240000	28533.144765
3.250000	28443.402379
3.260000	28443.402379
3.270000	28398.271318
3.280000	28391.254629
3.290000	27964.479634
3.300000	27923.721268
3.310000	27662.542240
3.320000	27662.542240
3.330000	27662.542240
3.340000	27763.800360
3.350000	28421.891894
3.360000	28421.891894
3.370000	28421.891894
3.380000	27520.150360
3.390000	23835.529886
3.400000	9762.855554
3.410000	8899.351711
3.420000	8723.557431
3.430000	8180.924869
3.440000	8064.509114
3.450000	7555.493641
3.460000	7462.740537
3.470000	7039.105160
3.480000	6994.999654
3.490000	6525.174875
3.500000	6495.333973
3.510000	6028.517368
3.520000	5972.979205
3.530000	5572.006036
3.540000	5518.156762
3.550000	5208.485706
3.560000	5171.989866
3.570000	4885.619776
3.580000	4831.123959
3.590000	4601.852308
3.600000	4554.891477
3.610000	4359.729280
3.620000	4326.949986
3.630000	4175.508631
3.640000	4136.940803
3.650000	3998.589548
3.660000	3939.526186
3.670000	3801.259032
3.680000	3748.512044
3.690000	3619.541594
3.700000	3581.909092
3.710000	3481.444181
3.720000	3428.533386
3.730000	3322.263954
3.740000	3288.274347
3.750000	3237.986663
3.760000	3212.860614
3.770000	3129.852390
3.780000	2969.102206
3.790000	2696.156609
3.800000	2410.186150
3.810000	2116.675609
3.820000	1883.911415
3.830000	1669.355774
3.840000	1516.334770
3.850000	1403.316755
3.860000	1329.270066
3.870000	1233.566360
3.880000	1178.993312
3.890000	1141.021778
3.900000	1067.081825
3.910000	973.104266
3.920000	870.593744
3.930000	754.573676
3.940000	647.610123
3.950000	541.383688
3.960000	457.129720
3.970000	376.503641
3.980000	307.135915
3.990000	249.014461
4.000000	191.521437
4.010000	128.943809
4.020000	84.387766
4.030000	56.203408
4.040000	34.626650
4.050000	23.892893
4.060000	8.198522
4.070000	-10.985556
4.080000	-22.822669
4.090000	-41.555081
4.100000	-81.469584
4.110000	-95.585339
4.120000	-95.585339
4.130000	-95.585339
4.140000	-91.049898
4.150000	-91.049898
4.160000	-88.516874
4.170000	-81.724171
4.180000	-81.724171
4.190000	-91.636568
4.200000	-105.590819
4.210000	-270.166618
4.220000	-509.789322
4.230000	-769.436873
4.240000	-1011.709476
4.250000	-1208.409046
4.260000	-1351.364670
4.270000	-1452.118782
4.280000	-1524.713526
4.290000	-1577.503059
4.300000	-1632.794226
4.310000	-1675.481452
4.320000	-1683.556179
4.330000	-1694.326305
4.340000	-1766.082626
4.350000	-1843.569466
4.360000	-1923.465183
4.370000	-1992.502066
4.380000	-2042.581972
4.390000	-2104.264138
4.400000	-2161.296739
4.410000	-2200.765163
4.420000	-2200.765163
4.430000	-2200.765163
4.440000	-2194.049527
4.450000	-2192.970484
4.460000	-2175.952292
4.470000	-2162.819417
4.480000	-2149.541618
4.490000	-2126.407960
4.500000	-2112.969644
4.510000	-2100.680763
4.520000	-2076.148879
4.530000	-2053.797563
4.540000	-2044.087893
4.550000	-2041.644581
4.560000	-2023.756044
4.570000	-2009.385840
4.580000	-1979.101526
4.590000	-1951.016009
4.600000	-1924.183439
4.610000	-1875.376733
4.620000	-1875.376733
4.630000	-1875.376733
4.640000	-1975.998239
4.650000	-2205.476685
4.660000	-2453.430842
4.670000	-2654.182446
4.680000	-2813.872944
4.690000	-2937.700732
4.700000	-3023.111727
4.710000	-3059.016388
4.720000	-3090.327961
4.730000	-3090.327961
4.740000	-3090.327961
4.750000	-3081.172083
4.760000	-3081.172083
4.770000	-3081.172083
4.780000	-3103.425040
4.790000	-3140.658668
4.800000	-3159.944951
4.810000	-3167.099844
4.820000	-3167.099844
4.830000	-3167.099844
4.840000	-3145.516327
4.850000	-3123.652910
4.860000	-3090.367812
4.870000	-3048.899044
4.880000	-2996.067849
4.890000	-2942.050528
4.900000	-2904.660005
4.910000	-2871.993996
4.920000	-2829.119874
4.930000	-2792.903257
4.940000	-2740.351127
4.950000	-2676.773495
4.960000	-2627.523034
4.970000	-2550.346003
4.980000	-2499.851271
4.990000	-2456.607760
5.000000	-2401.074110
5.010000	-2337.832964
5.020000	-2282.225958
5.030000	-2220.881017
5.040000	-2140.281362
5.050000	-2140.281362
5.060000	-2140.281362
5.070000	-2215.998880
5.080000	-2407.899777
5.090000	-2586.827791
5.100000	-2721.595767
5.110000	-2813.665621
5.120000	-2842.935329
5.130000	-2842.935329
5.140000	-2842.935329
5.150000	-2803.892869
5.160000	-2773.616751
5.170000	-2728.235207
5.180000	-2676.321050
5.190000	-2676.321050
5.200000	-2676.321050
5.210000	-2686.769802
5.220000	-2704.488671
5.230000	-2704.488671
5.240000	-2704.488671
5.250000	-2704.082179
5.260000	-2694.311874
5.270000	-2686.277477
5.280000	-2657.523122
5.290000	-2605.482293
5.300000	-2556.771233
5.310000	-2507.562005
5.320000	-2455.985023
5.330000	-2412.638031
5.340000	-2372.118694
5.350000	-2330.684181
5.360000	-2282.213125
5.370000	-2235.740963
5.380000	-2191.253397
5.390000	-2142.753693
5.400000	-2100.311844
5.410000	-2059.702861
5.420000	-2016.346657
5.430000	-1960.617138
5.440000	-1888.377129
5.450000	-1842.664664
5.460000	-1842.664664
5.470000	-1842.664664
5.480000	-1982.195055
5.490000	-2138.539775
5.500000	-2275.092238
5.510000	-2366.437172
5.520000	-2407.037082
5.530000	-2407.037082
5.540000	-2407.037082
5.550000	-2394.520765
5.560000	-2375.614628
5.570000	-2333.564800
5.580000	-2281.453427
5.590000	-2236.623817
5.600000	-2216.142507
5.610000	-2214.291060
5.620000	-2208.631113
5.630000	-2206.573732
5.640000	-2191.117924
5.650000	-2155.457753
5.660000	-2120.202053
5.670000	-2085.299116
5.680000	-2041.275681
5.690000	-2003.224605
5.700000	-1944.251906
5.710000	-1887.306157
5.720000	-1837.198721
5.730000	-1772.336820
5.740000	-1720.303447
5.750000	-1659.255778
5.760000	-1598.519017
5.770000	-1543.189543
5.780000	-1472.691669
5.790000	-1411.275177
5.800000	-1344.788753
5.810000	-1280.450549
5.820000	-1220.905455
5.830000	-1175.678120
