Time(s)	IR_denoised_wiener
0.000000	-91.756602
0.010000	-145.113997
0.020000	-156.600894
0.030000	-159.568701
0.040000	-150.402898
0.050000	-136.734134
0.060000	-122.541308
0.070000	-108.570378
0.080000	-94.356005
0.090000	-78.750955
0.100000	-66.533104
0.110000	-46.901459
0.120000	-25.768744
0.130000	1.297226
0.140000	26.950789
0.150000	50.836046
0.160000	75.332183
0.170000	96.010595
0.180000	114.050153
0.190000	121.481270
0.200000	127.804102
0.210000	133.582142
0.220000	147.902949
0.230000	166.969186
0.240000	185.653112
0.250000	189.318492
0.260000	171.748182
0.270000	140.694689
0.280000	110.850909
0.290000	88.703679
0.300000	70.581133
0.310000	54.038172
0.320000	34.962313
0.330000	18.386721
0.340000	8.663961
0.350000	8.386171
0.360000	16.344305
0.370000	24.021420
0.380000	31.704768
0.390000	37.974650
0.400000	46.735923
0.410000	59.911905
0.420000	76.080759
0.430000	96.847073
0.440000	120.740145
0.450000	149.447311
0.460000	176.366558
0.470000	199.717314
0.480000	214.641102
0.490000	222.661492
0.500000	228.581360
0.510000	238.933854
0.520000	253.158958
0.530000	268.189542
0.540000	286.074206
0.550000	302.752102
0.560000	305.288786
0.570000	286.320381
0.580000	254.537927
0.590000	225.564879
0.600000	205.083655
0.610000	188.438247
0.620000	169.282045
0.630000	150.995677
0.640000	136.135555
0.650000	129.550157
0.660000	130.631536
0.670000	138.093601
0.680000	146.774401
0.690000	154.302270
0.700000	157.907098
0.710000	162.188809
0.720000	165.346541
0.730000	168.407470
0.740000	175.117835
0.750000	182.264763
0.760000	195.571445
0.770000	208.746856
0.780000	224.373918
0.790000	239.538364
0.800000	255.512425
0.810000	274.323168
0.820000	293.964430
0.830000	311.095567
0.840000	326.753067
0.850000	342.861696
0.860000	356.185499
0.870000	356.265967
0.880000	334.948914
0.890000	301.041484
0.900000	270.389659
0.910000	247.443701
0.920000	229.802920
0.930000	211.494103
0.940000	195.565620
0.950000	183.197362
0.960000	172.979189
0.970000	171.246537
0.980000	175.025155
0.990000	185.297871
1.000000	194.371907
1.010000	203.364672
1.020000	213.710785
1.030000	222.410534
1.040000	232.056247
1.050000	239.097399
1.060000	247.413306
1.070000	259.438133
1.080000	273.416675
1.090000	290.444489
1.100000	305.728306
1.110000	321.461111
1.120000	338.026014
1.130000	354.799320
1.140000	372.317897
1.150000	388.120246
1.160000	402.608562
1.170000	416.098480
1.180000	417.859727
1.190000	399.072757
1.200000	366.477710
1.210000	332.386370
1.220000	310.089030
1.230000	291.966483
1.240000	277.042470
1.250000	263.534868
1.260000	256.672257
1.270000	255.075468
1.280000	258.294899
1.290000	263.934292
1.300000	266.900305
1.310000	270.138635
1.320000	269.810447
1.330000	272.695441
1.340000	275.014816
1.350000	280.262041
1.360000	290.538439
1.370000	303.806941
1.380000	316.714702
1.390000	328.348047
1.400000	340.554639
1.410000	353.874901
1.420000	367.379793
1.430000	381.728614
1.440000	397.861456
1.450000	415.568146
1.460000	435.668163
1.470000	453.046830
1.480000	468.145479
1.490000	467.141584
1.500000	448.979668
1.510000	419.242935
1.520000	390.153677
1.530000	368.651246
1.540000	350.618670
1.550000	334.387515
1.560000	314.728327
1.570000	294.801145
1.580000	275.151663
1.590000	265.895122
1.600000	260.516589
1.610000	257.657062
1.620000	250.520250
1.630000	243.436428
1.640000	239.841515
1.650000	239.191453
1.660000	241.818304
1.670000	243.921435
1.680000	250.806268
1.690000	260.283519
1.700000	271.450307
1.710000	279.620940
1.720000	287.433371
1.730000	298.279190
