Time(s)	GREEN_denoised_wiener
0.000000	-447.655992
0.010000	-692.985736
0.020000	-795.166784
0.030000	-903.484651
0.040000	-1009.325984
0.050000	-1098.038356
0.060000	-1152.884418
0.070000	-1172.372474
0.080000	-1170.223414
0.090000	-1162.786155
0.100000	-1146.580518
0.110000	-1108.579737
0.120000	-1050.384128
0.130000	-984.810660
0.140000	-916.572209
0.150000	-844.432163
0.160000	-781.874493
0.170000	-732.767872
0.180000	-698.577631
0.190000	-665.134932
0.200000	-624.371980
0.210000	-568.577582
0.220000	-499.266435
0.230000	-420.101050
0.240000	-332.229048
0.250000	-246.392747
0.260000	-190.647899
0.270000	-191.756382
0.280000	-249.735590
0.290000	-340.128562
0.300000	-437.229085
0.310000	-534.295532
0.320000	-629.478850
0.330000	-721.540472
0.340000	-804.124313
0.350000	-870.527669
0.360000	-909.834863
0.370000	-923.291705
0.380000	-916.968875
0.390000	-905.155291
0.400000	-887.807262
0.410000	-864.428129
0.420000	-831.715188
0.430000	-790.790446
0.440000	-744.037312
0.450000	-689.886039
0.460000	-628.107315
0.470000	-559.060840
0.480000	-491.611655
0.490000	-431.638465
0.500000	-379.846192
0.510000	-335.289342
0.520000	-294.150668
0.530000	-248.339681
0.540000	-191.872164
0.550000	-118.132889
0.560000	-40.058664
0.570000	11.947929
0.580000	9.682841
0.590000	-46.637925
0.600000	-130.915994
0.610000	-218.973849
0.620000	-307.984962
0.630000	-395.054437
0.640000	-481.811236
0.650000	-561.189385
0.660000	-626.717407
0.670000	-668.727171
0.680000	-683.050319
0.690000	-675.704584
0.700000	-657.140399
0.710000	-637.091692
0.720000	-613.610057
0.730000	-584.890859
0.740000	-547.152608
0.750000	-505.793550
0.760000	-459.755725
0.770000	-410.447962
0.780000	-355.426519
0.790000	-293.183180
0.800000	-223.846685
0.810000	-147.997820
0.820000	-69.687868
0.830000	11.789153
0.840000	93.716796
0.850000	175.838160
0.860000	257.709592
0.870000	332.458186
0.880000	378.250005
0.890000	374.002347
0.900000	321.776082
0.910000	243.189013
0.920000	161.562319
0.930000	83.251250
0.940000	2.905260
0.950000	-81.087369
0.960000	-166.485658
0.970000	-243.817216
0.980000	-301.949753
0.990000	-332.632694
1.000000	-339.858503
1.010000	-336.550373
1.020000	-331.500220
1.030000	-323.518257
1.040000	-310.550488
1.050000	-291.900762
1.060000	-266.009242
1.070000	-233.366391
1.080000	-194.211428
1.090000	-149.912535
1.100000	-101.824285
1.110000	-49.531152
1.120000	5.480342
1.130000	65.115631
1.140000	128.700678
1.150000	198.693855
1.160000	273.833676
1.170000	352.861674
1.180000	428.874130
1.190000	477.237129
1.200000	476.178816
1.210000	426.597921
1.220000	355.812499
1.230000	281.522093
1.240000	198.974339
1.250000	87.325248
1.260000	-66.586183
1.270000	-252.885105
1.280000	-440.832824
1.290000	-590.814480
1.300000	-682.876847
1.310000	-714.869439
1.320000	-710.067361
1.330000	-677.628918
1.340000	-623.659412
1.350000	-557.808011
1.360000	-490.998132
1.370000	-444.759354
1.380000	-426.708373
1.390000	-450.135959
1.400000	-480.697398
1.410000	-483.921775
1.420000	-428.437762
1.430000	-317.545577
1.440000	-172.637172
1.450000	-26.276013
1.460000	105.466172
1.470000	217.949149
1.480000	296.131891
1.490000	318.748231
1.500000	276.421357
1.510000	199.915393
1.520000	113.952128
1.530000	33.647475
1.540000	-48.989193
1.550000	-130.998932
1.560000	-209.673031
1.570000	-292.414873
1.580000	-395.121892
1.590000	-506.832000
1.600000	-599.933242
1.610000	-658.355640
1.620000	-685.539580
1.630000	-692.976048
1.640000	-693.557673
1.650000	-691.313259
1.660000	-678.283898
1.670000	-651.070620
1.680000	-614.105822
1.690000	-572.570791
1.700000	-524.314919
1.710000	-468.815963
1.720000	-412.282916
1.730000	-355.787317
1.740000	-296.981692
1.750000	-239.180934
1.760000	-182.745602
1.770000	-126.643846
1.780000	-62.896754
1.790000	8.799305
1.800000	80.189197
1.810000	125.454962
1.820000	125.888888
1.830000	78.414562
1.840000	5.586786
1.850000	-73.707972
1.860000	-154.492112
1.870000	-236.582136
1.880000	-325.993032
1.890000	-412.817433
1.900000	-494.251525
1.910000	-554.755677
1.920000	-589.276608
1.930000	-598.781435
1.940000	-591.057925
1.950000	-579.560108
1.960000	-567.548444
1.970000	-554.732739
1.980000	-536.764700
1.990000	-510.980048
2.000000	-474.049015
2.010000	-427.978397
2.020000	-375.738854
2.030000	-320.379662
2.040000	-263.828132
2.050000	-209.186495
2.060000	-157.313406
2.070000	-105.385187
2.080000	-50.199426
2.090000	6.668065
2.100000	65.852549
2.110000	126.315496
2.120000	173.466265
2.130000	181.865615
2.140000	135.371523
2.150000	45.758601
2.160000	-59.747740
2.170000	-165.781092
2.180000	-273.311796
2.190000	-383.387400
2.200000	-492.596490
2.210000	-602.072222
2.220000	-706.930499
2.230000	-792.462375
2.240000	-846.670741
2.250000	-872.625830
2.260000	-890.523066
2.270000	-908.153384
2.280000	-927.089598
2.290000	-943.731126
2.300000	-954.386717
2.310000	-957.044084
2.320000	-947.407931
2.330000	-927.103422
2.340000	-903.842398
2.350000	-876.534864
2.360000	-842.000474
2.370000	-795.023130
2.380000	-736.905262
2.390000	-671.246234
2.400000	-598.195487
2.410000	-522.209125
2.420000	-441.529645
2.430000	-367.602315
2.440000	-321.283387
2.450000	-322.051823
2.460000	-362.356020
2.470000	-419.185029
2.480000	-478.178259
2.490000	-545.099044
2.500000	-625.057261
2.510000	-716.386019
2.520000	-804.959964
2.530000	-877.065053
2.540000	-927.944536
2.550000	-956.143422
2.560000	-971.683891
2.570000	-975.252399
2.580000	-970.153002
2.590000	-954.068145
2.600000	-929.356803
2.610000	-900.277253
2.620000	-866.602723
2.630000	-824.864846
2.640000	-773.574415
2.650000	-716.520215
2.660000	-658.936293
2.670000	-598.540755
2.680000	-532.348315
2.690000	-460.956135
2.700000	-384.811177
2.710000	-305.425276
2.720000	-224.324496
2.730000	-147.957933
2.740000	-83.890449
2.750000	-51.906631
2.760000	-66.824815
2.770000	-124.518253
2.780000	-197.409302
2.790000	-262.857540
2.800000	-323.443402
2.810000	-389.264050
2.820000	-467.181429
2.830000	-548.674021
2.840000	-626.969537
2.850000	-695.128368
2.860000	-742.458398
2.870000	-767.318189
2.880000	-778.352342
2.890000	-788.228768
2.900000	-797.589170
2.910000	-800.162479
2.920000	-793.879186
2.930000	-778.809907
2.940000	-751.867889
2.950000	-712.504514
2.960000	-664.575075
2.970000	-613.241938
2.980000	-560.646022
2.990000	-504.004061
3.000000	-441.758053
3.010000	-376.147157
3.020000	-304.894377
3.030000	-226.996597
3.040000	-141.065304
3.050000	-55.574937
3.060000	10.700859
3.070000	40.817648
3.080000	25.788636
3.090000	-20.760716
