Time(s)	RED_denoised_wiener
0.000000	452.936274
0.010000	578.268602
0.020000	522.514059
0.030000	426.252615
0.040000	292.250525
0.050000	131.313070
0.060000	0.166758
0.070000	-67.971461
0.080000	-88.999715
0.090000	-103.605946
0.100000	-99.636980
0.110000	-36.779736
0.120000	70.624939
0.130000	163.304972
0.140000	226.389990
0.150000	260.145040
0.160000	234.451323
0.170000	146.438956
0.180000	3.586023
0.190000	-135.415581
0.200000	-256.357967
0.210000	-334.866101
0.220000	-374.001951
0.230000	-368.920266
0.240000	-312.933631
0.250000	-228.347540
0.260000	-144.846442
0.270000	-85.050329
0.280000	-50.329860
0.290000	-34.361671
0.300000	-35.790657
0.310000	-56.312509
0.320000	-83.845446
0.330000	-96.535722
0.340000	-74.539016
0.350000	-30.147843
0.360000	21.792379
0.370000	66.605096
0.380000	99.849104
0.390000	119.394220
0.400000	130.287999
0.410000	151.917805
0.420000	186.707999
0.430000	228.444643
0.440000	269.483666
0.450000	308.681545
0.460000	359.658039
0.470000	417.892727
0.480000	467.825470
0.490000	480.422893
0.500000	448.407918
0.510000	361.298785
0.520000	238.091791
0.530000	110.562839
0.540000	22.160046
0.550000	0.133987
0.560000	31.134296
0.570000	86.346095
0.580000	116.735706
0.590000	110.676229
0.600000	75.069217
0.610000	25.042760
0.620000	-25.253567
0.630000	-69.600175
0.640000	-92.539407
0.650000	-89.261527
0.660000	-59.494292
0.670000	-11.603929
0.680000	37.870310
0.690000	74.400385
0.700000	89.926461
0.710000	90.783944
0.720000	88.335385
0.730000	92.836019
0.740000	99.039212
0.750000	101.892028
0.760000	94.741302
0.770000	79.306279
0.780000	66.135475
0.790000	70.734566
0.800000	98.501561
0.810000	138.115860
0.820000	186.221033
0.830000	220.776601
0.840000	241.664064
0.850000	244.421343
0.860000	239.810755
0.870000	227.697246
0.880000	182.882277
0.890000	110.382385
0.900000	22.298749
0.910000	-50.222101
0.920000	-104.706225
0.930000	-142.848156
0.940000	-177.084916
0.950000	-209.791546
0.960000	-243.810619
0.970000	-273.391151
0.980000	-298.231863
0.990000	-315.999836
1.000000	-330.017386
1.010000	-351.312515
1.020000	-379.789266
1.030000	-421.660177
1.040000	-460.517419
1.050000	-489.386223
1.060000	-511.627174
1.070000	-529.463095
1.080000	-557.458843
1.090000	-586.831254
1.100000	-608.980489
1.110000	-622.576241
1.120000	-630.872309
1.130000	-638.015313
1.140000	-644.780545
