Time(s)	GREEN_denoised_wiener
0.000000	483.256331
0.010000	698.924674
0.020000	630.751413
0.030000	536.903854
0.040000	426.348951
0.050000	310.915762
0.060000	170.883537
0.070000	1.992669
0.080000	-163.794362
0.090000	-296.916830
0.100000	-424.609232
0.110000	-565.785625
0.120000	-721.357976
0.130000	-836.485776
0.140000	-904.892417
0.150000	-943.235722
0.160000	-992.147327
0.170000	-1074.258666
0.180000	-1184.315894
0.190000	-1301.229497
0.200000	-1397.793503
0.210000	-1446.192283
0.220000	-1469.071116
0.230000	-1452.383472
0.240000	-1450.867928
0.250000	-1427.988664
0.260000	-1409.501602
0.270000	-1359.090210
0.280000	-1326.706786
0.290000	-1500.908061
0.300000	-1710.928390
0.310000	-1900.711998
0.320000	-1903.183788
0.330000	-1888.114169
0.340000	-1898.431535
0.350000	-1902.987938
0.360000	-1918.486743
0.370000	-1925.105052
0.380000	-1949.347147
0.390000	-1967.763861
0.400000	-1983.961687
0.410000	-1982.049865
0.420000	-1985.031371
0.430000	-1989.278605
0.440000	-2000.476727
0.450000	-1999.122459
0.460000	-1986.664782
0.470000	-1968.997853
0.480000	-1964.908410
0.490000	-1974.175355
0.500000	-2002.189240
0.510000	-2034.320455
0.520000	-2060.171727
0.530000	-2061.802305
0.540000	-2040.899685
0.550000	-2012.346033
0.560000	-1990.318744
0.570000	-1932.762403
0.580000	-1862.945014
0.590000	-1850.668404
0.600000	-2019.414560
0.610000	-2357.566522
0.620000	-2627.627543
0.630000	-2685.418756
0.640000	-2567.702605
0.650000	-2472.412717
0.660000	-2446.061432
0.670000	-2408.759745
0.680000	-2320.229861
0.690000	-2170.558197
0.700000	-1990.211092
0.710000	-1780.646058
0.720000	-1575.316463
0.730000	-1393.063878
0.740000	-1237.751272
0.750000	-1088.785582
0.760000	-918.872530
0.770000	-764.053223
0.780000	-656.355199
0.790000	-586.580517
0.800000	-500.086375
0.810000	-386.603447
0.820000	-279.645333
0.830000	-212.333261
0.840000	-198.192191
0.850000	-223.697598
0.860000	-268.429353
0.870000	-306.757292
0.880000	-351.482157
0.890000	-392.130238
0.900000	-431.615995
0.910000	-468.870254
0.920000	-537.222738
0.930000	-640.909200
0.940000	-718.695578
0.950000	-745.761143
0.960000	-723.955054
0.970000	-710.144648
0.980000	-710.121758
0.990000	-667.405012
1.000000	-594.860543
1.010000	-546.159443
1.020000	-579.661242
1.030000	-635.304697
1.040000	-666.883101
1.050000	-655.575305
1.060000	-605.886191
1.070000	-676.319739
1.080000	-943.381942
1.090000	-1275.878596
1.100000	-1412.572417
1.110000	-1333.819909
1.120000	-1208.332787
1.130000	-1140.303568
1.140000	-1100.446415
1.150000	-1065.189759
1.160000	-997.577083
1.170000	-884.863211
1.180000	-765.235354
1.190000	-680.267290
1.200000	-671.949704
1.210000	-717.548800
1.220000	-814.775673
1.230000	-912.752583
1.240000	-992.411658
1.250000	-1042.701281
1.260000	-1070.486661
1.270000	-1084.378153
1.280000	-1067.882996
1.290000	-1002.774098
1.300000	-900.752252
1.310000	-785.594146
1.320000	-680.678222
1.330000	-586.074851
1.340000	-495.311092
1.350000	-391.585584
1.360000	-276.720361
1.370000	-156.833550
1.380000	-37.520478
1.390000	71.848985
1.400000	154.934282
1.410000	194.469490
1.420000	200.069871
1.430000	202.755601
1.440000	212.754990
1.450000	219.257047
1.460000	221.741308
1.470000	211.007403
1.480000	175.995081
1.490000	121.406761
1.500000	74.248967
1.510000	43.027301
1.520000	9.033247
1.530000	-50.424818
1.540000	-125.488317
1.550000	-209.949066
1.560000	-284.034920
1.570000	-349.595184
