Time(s)	IR_denoised_wiener
0.000000	107.517448
0.010000	165.204752
0.020000	176.223266
0.030000	201.102361
0.040000	226.240469
0.050000	245.383305
0.060000	249.947842
0.070000	252.753007
0.080000	256.657910
0.090000	249.779006
0.100000	231.094672
0.110000	212.871768
0.120000	215.584308
0.130000	229.244597
0.140000	234.746030
0.150000	224.345835
0.160000	204.310155
0.170000	187.495827
0.180000	167.184562
0.190000	130.660119
0.200000	39.352122
0.210000	-114.393122
0.220000	-289.983532
0.230000	-418.002863
0.240000	-473.744261
0.250000	-476.034391
0.260000	-464.196778
0.270000	-456.643913
0.280000	-443.206154
0.290000	-410.880948
0.300000	-360.555566
0.310000	-322.500498
0.320000	-293.782183
0.330000	-269.081819
0.340000	-273.393631
0.350000	-343.998376
0.360000	-470.174642
0.370000	-584.727810
0.380000	-654.684205
0.390000	-680.182659
0.400000	-676.870737
0.410000	-660.939941
0.420000	-628.302406
0.430000	-597.727397
0.440000	-558.954960
0.450000	-514.851404
0.460000	-472.586379
0.470000	-438.941267
0.480000	-424.528450
0.490000	-417.937310
0.500000	-410.778687
0.510000	-397.240162
0.520000	-378.013049
0.530000	-358.187886
0.540000	-335.192344
0.550000	-304.094965
0.560000	-272.705655
0.570000	-247.296692
0.580000	-232.513216
0.590000	-212.407092
0.600000	-187.330628
0.610000	-157.816243
0.620000	-123.777774
0.630000	-84.187417
0.640000	-32.173318
0.650000	19.757227
0.660000	64.481799
0.670000	109.778829
0.680000	154.816125
0.690000	196.162980
0.700000	241.550955
0.710000	278.528367
0.720000	265.910362
0.730000	175.967694
0.740000	37.127812
0.750000	-82.780802
0.760000	-166.756896
0.770000	-214.871928
0.780000	-234.958506
0.790000	-236.930872
0.800000	-219.424416
0.810000	-194.655573
0.820000	-158.139421
0.830000	-118.043165
0.840000	-80.476757
0.850000	-55.736744
0.860000	-50.431624
0.870000	-49.999675
0.880000	-42.019705
0.890000	-24.251074
0.900000	-1.921977
0.910000	23.882058
0.920000	54.221628
0.930000	90.723557
0.940000	129.390094
0.950000	171.620351
0.960000	209.908068
0.970000	255.275497
0.980000	317.129225
0.990000	405.974774
1.000000	513.339529
1.010000	617.679577
1.020000	703.608323
1.030000	762.778776
1.040000	805.637275
1.050000	838.575520
1.060000	869.044621
1.070000	888.036005
1.080000	903.541068
1.090000	922.201982
1.100000	914.647916
1.110000	848.402185
1.120000	725.224991
1.130000	603.801695
1.140000	523.458614
1.150000	481.127909
1.160000	469.724430
1.170000	472.136560
1.180000	486.742846
1.190000	504.167376
1.200000	524.831707
1.210000	546.233767
1.220000	566.632999
1.230000	575.653511
1.240000	573.172915
1.250000	559.117238
1.260000	548.798996
1.270000	544.923627
1.280000	545.121805
1.290000	554.126900
1.300000	566.794900
1.310000	583.723391
1.320000	603.506640
1.330000	629.711050
1.340000	655.567528
1.350000	681.763411
1.360000	704.326526
1.370000	732.563162
1.380000	760.755186
1.390000	786.750306
1.400000	813.575671
1.410000	837.295921
1.420000	857.115697
1.430000	872.553300
1.440000	887.044032
1.450000	898.506385
1.460000	911.701988
1.470000	932.506653
1.480000	952.030136
1.490000	976.926983
1.500000	991.674687
1.510000	960.000909
1.520000	853.050130
1.530000	699.944526
1.540000	571.249774
1.550000	486.123906
1.560000	442.100229
1.570000	426.318185
1.580000	430.339516
1.590000	435.193459
1.600000	439.336493
1.610000	439.105968
1.620000	446.084961
1.630000	454.012311
