Time(s)	RED_denoised_wiener
0.000000	40.039495
0.010000	69.706601
0.020000	62.814125
0.030000	51.311314
0.040000	57.130610
0.050000	54.783622
0.060000	-14.981366
0.070000	-132.864282
0.080000	-217.258407
0.090000	-237.655628
0.100000	-232.394535
0.110000	-229.756244
0.120000	-233.467013
0.130000	-228.475974
0.140000	-212.913275
0.150000	-205.924565
0.160000	-208.313859
0.170000	-209.346387
0.180000	-204.068800
0.190000	-210.837597
0.200000	-238.135542
0.210000	-258.903660
0.220000	-268.603491
0.230000	-267.656247
0.240000	-264.767311
0.250000	-255.044818
0.260000	-242.629479
0.270000	-231.105609
0.280000	-221.826141
0.290000	-220.853497
0.300000	-213.640563
0.310000	-199.313509
0.320000	-179.804130
0.330000	-166.140142
0.340000	-157.944877
0.350000	-148.959320
0.360000	-134.766248
0.370000	-122.151698
0.380000	-108.237032
0.390000	-94.030903
0.400000	-79.380971
0.410000	-74.949682
0.420000	-78.833794
0.430000	-70.828449
0.440000	-57.370235
0.450000	-58.421669
0.460000	-56.815523
0.470000	-39.035934
0.480000	-53.441961
0.490000	-144.317068
0.500000	-271.849007
0.510000	-350.484341
0.520000	-368.804965
0.530000	-359.117186
0.540000	-342.074580
0.550000	-323.053915
0.560000	-302.677159
0.570000	-294.706268
0.580000	-301.260802
0.590000	-314.344052
0.600000	-320.843783
0.610000	-326.714426
0.620000	-352.814756
0.630000	-390.684830
0.640000	-425.783079
0.650000	-443.335476
0.660000	-453.500921
0.670000	-458.980167
0.680000	-461.898532
0.690000	-456.952620
0.700000	-443.657691
0.710000	-429.963365
0.720000	-419.754286
0.730000	-401.948409
0.740000	-366.201786
0.750000	-321.669353
0.760000	-282.345053
0.770000	-259.398479
0.780000	-246.456202
0.790000	-239.149302
0.800000	-229.908210
0.810000	-217.266659
0.820000	-200.378480
0.830000	-175.058190
0.840000	-133.188079
0.850000	-106.643143
0.860000	-104.953335
0.870000	-86.437920
0.880000	-44.164622
0.890000	-34.757966
0.900000	-103.027610
0.910000	-195.492313
0.920000	-244.536152
0.930000	-251.433694
0.940000	-236.113862
0.950000	-206.025505
0.960000	-168.375724
0.970000	-127.962286
0.980000	-109.376977
0.990000	-102.488830
1.000000	-90.378151
1.010000	-68.735343
1.020000	-47.437059
1.030000	-44.356023
1.040000	-43.421712
1.050000	-42.367021
1.060000	-37.421409
1.070000	-27.738657
1.080000	-10.100629
1.090000	10.514390
1.100000	33.880299
1.110000	58.410698
1.120000	79.165580
1.130000	96.301135
1.140000	115.780175
1.150000	143.838921
1.160000	178.017382
1.170000	209.672788
1.180000	234.245431
1.190000	255.174815
1.200000	274.448910
1.210000	284.630265
1.220000	291.668362
1.230000	311.759621
1.240000	331.117779
1.250000	330.519579
1.260000	327.981566
1.270000	348.276732
1.280000	348.638368
1.290000	281.666221
1.300000	178.489129
1.310000	115.825740
1.320000	105.138680
1.330000	116.850431
1.340000	132.463092
1.350000	152.571864
1.360000	168.405949
1.370000	180.295664
1.380000	170.610047
1.390000	158.430737
1.400000	159.114216
1.410000	153.113447
1.420000	125.273815
1.430000	72.472430
1.440000	40.878555
1.450000	39.706197
1.460000	56.399647
1.470000	80.588637
1.480000	107.913109
1.490000	134.782245
1.500000	168.431889
1.510000	199.906823
1.520000	221.930577
1.530000	237.033489
1.540000	255.091113
