Time(s)	GREEN_denoised_wiener
0.000000	70.895963
0.010000	57.427830
0.020000	-31.594172
0.030000	-101.450089
0.040000	-147.855393
0.050000	-175.029617
0.060000	-186.459907
0.070000	-187.292728
0.080000	-175.724745
0.090000	-154.247430
0.100000	-127.676143
0.110000	-106.899372
0.120000	-95.287834
0.130000	-91.218920
0.140000	-91.911376
0.150000	-90.208531
0.160000	-83.229119
0.170000	-66.877641
0.180000	-43.915574
0.190000	-17.230688
0.200000	12.720684
0.210000	46.066864
0.220000	83.340001
0.230000	123.341234
0.240000	165.274955
0.250000	208.262864
0.260000	251.523953
0.270000	294.832751
0.280000	338.754807
0.290000	381.040875
0.300000	423.308534
0.310000	466.559174
0.320000	510.837780
0.330000	554.049350
0.340000	598.356080
0.350000	655.542921
0.360000	717.797119
0.370000	757.291014
0.380000	748.219466
0.390000	688.412697
0.400000	599.014101
0.410000	499.504317
0.420000	408.446962
0.430000	337.216506
0.440000	290.167090
0.450000	262.208871
0.460000	246.521477
0.470000	242.523610
0.480000	254.527434
0.490000	277.450234
0.500000	304.833524
0.510000	328.341835
0.520000	350.472386
0.530000	366.181963
0.540000	369.076322
0.550000	353.325305
0.560000	315.989407
0.570000	264.464452
0.580000	204.531683
0.590000	138.226474
0.600000	71.383761
0.610000	4.940612
0.620000	-69.157085
0.630000	-147.014460
0.640000	-220.388485
0.650000	-282.342748
0.660000	-340.362921
0.670000	-390.008836
0.680000	-424.033999
0.690000	-446.744798
0.700000	-481.128319
0.710000	-527.791680
0.720000	-576.565881
0.730000	-602.170344
0.740000	-607.454437
0.750000	-604.615526
0.760000	-608.725502
0.770000	-626.078312
0.780000	-660.699147
0.790000	-710.901316
0.800000	-756.999686
0.810000	-790.130789
0.820000	-815.716622
0.830000	-837.065359
0.840000	-843.439622
0.850000	-831.398344
0.860000	-807.903297
0.870000	-784.122038
0.880000	-758.043651
0.890000	-732.572486
0.900000	-712.569674
0.910000	-707.750264
0.920000	-718.116718
0.930000	-733.949396
0.940000	-743.372919
0.950000	-739.210196
0.960000	-721.030093
0.970000	-696.877061
0.980000	-673.065639
0.990000	-659.938447
1.000000	-652.776938
1.010000	-652.064899
1.020000	-645.838480
1.030000	-631.602103
1.040000	-606.617749
1.050000	-574.207988
1.060000	-533.103412
1.070000	-488.551078
1.080000	-450.989605
1.090000	-422.925613
1.100000	-400.912970
1.110000	-373.331508
1.120000	-344.266901
1.130000	-312.443722
1.140000	-275.338730
1.150000	-229.608622
1.160000	-197.201905
1.170000	-203.839370
1.180000	-265.092967
1.190000	-363.702643
1.200000	-482.373570
1.210000	-602.284963
1.220000	-706.716781
1.230000	-778.924317
1.240000	-816.155786
1.250000	-837.681773
1.260000	-858.975561
1.270000	-874.439468
1.280000	-872.169702
1.290000	-861.313569
1.300000	-858.443051
1.310000	-872.224999
