Time(s)	RED_denoised_wiener
0.000000	119.892195
0.010000	184.877667
0.020000	193.702927
0.030000	206.778144
0.040000	223.178528
0.050000	242.937623
0.060000	257.887609
0.070000	270.381639
0.080000	287.197451
0.090000	307.392692
0.100000	332.435114
0.110000	343.936706
0.120000	354.678844
0.130000	361.690871
0.140000	373.206383
0.150000	388.673561
0.160000	403.976407
0.170000	423.598427
0.180000	430.271523
0.190000	411.454053
0.200000	363.174230
0.210000	298.607099
0.220000	234.670478
0.230000	181.992397
0.240000	143.060159
0.250000	121.964155
0.260000	103.645566
0.270000	86.220013
0.280000	66.474833
0.290000	61.445251
0.300000	61.143240
0.310000	54.580697
0.320000	41.754364
0.330000	23.296694
0.340000	5.626444
0.350000	-14.435683
0.360000	-32.235717
0.370000	-42.923686
0.380000	-50.879802
0.390000	-52.480020
0.400000	-48.961294
0.410000	-41.794795
0.420000	-29.459441
0.430000	-19.559915
0.440000	-10.023362
0.450000	-7.441595
0.460000	-11.661927
0.470000	-33.112578
0.480000	-60.334359
0.490000	-90.234262
0.500000	-108.738093
0.510000	-123.176605
0.520000	-140.569914
0.530000	-159.859437
0.540000	-180.833811
0.550000	-188.264510
0.560000	-183.239746
0.570000	-179.468537
0.580000	-205.785247
0.590000	-267.038440
0.600000	-340.019171
0.610000	-402.376583
0.620000	-461.099958
0.630000	-517.799955
0.640000	-565.591136
0.650000	-596.989129
0.660000	-620.226646
0.670000	-636.594113
0.680000	-640.277898
0.690000	-631.985970
0.700000	-629.144397
0.710000	-642.796657
0.720000	-658.711533
0.730000	-670.399020
0.740000	-676.396576
0.750000	-688.475511
0.760000	-698.799225
0.770000	-709.350774
0.780000	-722.307878
0.790000	-741.335924
0.800000	-753.543854
0.810000	-755.787631
0.820000	-762.267572
0.830000	-770.634301
0.840000	-781.774237
0.850000	-788.232426
0.860000	-796.761255
0.870000	-807.587586
0.880000	-811.831843
0.890000	-809.743353
0.900000	-789.645488
0.910000	-759.729777
0.920000	-732.915141
0.930000	-726.170613
0.940000	-741.253229
0.950000	-756.658029
0.960000	-768.416871
0.970000	-784.957124
0.980000	-823.382218
0.990000	-880.979907
1.000000	-952.786391
1.010000	-1036.789367
1.020000	-1131.303588
1.030000	-1221.007045
1.040000	-1300.961854
1.050000	-1372.354293
1.060000	-1431.051787
1.070000	-1475.488385
1.080000	-1500.244441
1.090000	-1522.798845
1.100000	-1555.202488
1.110000	-1596.186504
1.120000	-1639.594366
1.130000	-1678.352365
1.140000	-1718.803938
1.150000	-1761.951174
1.160000	-1806.120546
1.170000	-1851.001535
1.180000	-1890.870172
1.190000	-1917.827208
1.200000	-1938.440877
1.210000	-1955.757927
1.220000	-1965.773631
1.230000	-1970.820824
1.240000	-1973.889635
1.250000	-1989.028869
1.260000	-2006.388089
1.270000	-2010.670013
1.280000	-2000.038199
1.290000	-1982.786948
1.300000	-1979.503305
1.310000	-1992.969466
1.320000	-2012.378815
1.330000	-2029.941227
1.340000	-2046.391915
1.350000	-2058.349059
1.360000	-2064.190419
1.370000	-2072.231267
1.380000	-2100.796664
1.390000	-2154.522614
1.400000	-2216.791077
1.410000	-2285.299617
1.420000	-2356.895940
1.430000	-2424.177496
1.440000	-2471.757843
1.450000	-2494.528980
1.460000	-2511.798569
1.470000	-2531.293459
1.480000	-2554.600259
1.490000	-2569.798344
1.500000	-2578.549752
1.510000	-2585.755602
1.520000	-2602.960597
1.530000	-2627.449744
1.540000	-2654.809089
1.550000	-2678.245912
1.560000	-2691.767901
1.570000	-2697.171141
1.580000	-2698.841026
1.590000	-2701.871698
1.600000	-2711.353684
1.610000	-2717.303208
1.620000	-2718.662678
1.630000	-2713.169341
1.640000	-2701.416881
1.650000	-2692.829837
1.660000	-2691.927113
1.670000	-2704.596308
1.680000	-2716.149075
1.690000	-2722.158550
1.700000	-2716.466532
1.710000	-2707.861407
1.720000	-2698.865635
1.730000	-2689.321702
1.740000	-2676.688919
1.750000	-2664.227900
1.760000	-2648.589914
1.770000	-2640.267189
1.780000	-2641.228432
1.790000	-2671.783630
1.800000	-2739.925726
1.810000	-2828.990766
1.820000	-2920.375236
1.830000	-2986.596835
1.840000	-3026.653220
1.850000	-3048.983655
1.860000	-3059.010125
1.870000	-3061.120547
1.880000	-3054.772084
1.890000	-3042.683994
1.900000	-3030.291411
1.910000	-3021.993466
1.920000	-3026.236332
1.930000	-3036.007212
1.940000	-3051.947916
1.950000	-3067.746383
1.960000	-3092.779313
1.970000	-3116.840673
1.980000	-3131.356257
1.990000	-3131.351389
2.000000	-3122.033163
2.010000	-3113.613284
2.020000	-3106.084854
2.030000	-3097.605052
2.040000	-3093.890934
2.050000	-3104.004994
2.060000	-3121.050840
2.070000	-3136.129079
2.080000	-3137.263910
2.090000	-3132.368016
2.100000	-3120.511514
2.110000	-3100.998327
2.120000	-3079.833479
2.130000	-3065.356206
2.140000	-3068.883296
2.150000	-3082.713358
2.160000	-3098.314150
2.170000	-3108.790117
2.180000	-3113.141416
2.190000	-3125.286490
2.200000	-3157.340773
2.210000	-3218.149306
2.220000	-3292.514551
2.230000	-3364.716151
2.240000	-3412.039572
2.250000	-3434.380520
2.260000	-3445.302504
2.270000	-3460.081558
2.280000	-3477.550479
2.290000	-3483.441704
2.300000	-3480.872821
2.310000	-3472.826271
2.320000	-3475.253729
2.330000	-3489.190947
2.340000	-3512.979758
2.350000	-3535.212786
2.360000	-3549.067050
2.370000	-3557.608502
2.380000	-3571.854252
2.390000	-3588.975594
2.400000	-3605.981725
2.410000	-3609.653263
2.420000	-3610.511007
2.430000	-3613.650547
2.440000	-3617.688228
2.450000	-3622.982885
2.460000	-3619.498344
2.470000	-3620.705719
2.480000	-3620.578638
2.490000	-3625.784923
2.500000	-3632.282106
2.510000	-3639.858303
2.520000	-3645.626255
2.530000	-3646.911314
2.540000	-3650.974402
2.550000	-3660.258775
2.560000	-3672.615234
2.570000	-3677.887135
2.580000	-3683.605110
2.590000	-3692.801152
2.600000	-3712.568344
2.610000	-3751.010986
2.620000	-3817.826472
2.630000	-3954.930620
2.640000	-4104.763457
2.650000	-4198.769535
2.660000	-4203.075901
2.670000	-4169.454574
2.680000	-4148.994692
2.690000	-3996.539471
2.700000	-3765.728973
2.710000	-3588.439317
2.720000	-3529.877439
2.730000	-3483.461838
2.740000	-3297.159423
2.750000	-3070.430621
2.760000	-2879.964857
2.770000	-2731.454183
2.780000	-2537.427959
2.790000	-2159.247839
2.800000	-1554.768643
2.810000	-656.517815
2.820000	508.508813
2.830000	1771.019143
2.840000	3093.542195
2.850000	4470.011924
2.860000	5797.998443
2.870000	6994.795503
2.880000	7964.371367
2.890000	8496.311701
2.900000	8498.261723
2.910000	7965.994487
2.920000	7013.243079
2.930000	6242.281609
2.940000	5570.487682
2.950000	4889.965776
2.960000	4085.578716
