Time(s)	IR_denoised_wiener
0.000000	462.139368
0.010000	734.076596
0.020000	794.017515
0.030000	665.575326
0.040000	473.883492
0.050000	234.676641
0.060000	-30.868379
0.070000	-300.800714
0.080000	-561.548409
0.090000	-789.587616
0.100000	-962.126090
0.110000	-1069.369823
0.120000	-1128.087929
0.130000	-1156.756379
0.140000	-1168.938196
0.150000	-1160.981641
0.160000	-1147.927540
0.170000	-1136.433610
0.180000	-1132.848710
0.190000	-1124.840802
0.200000	-1105.406538
0.210000	-1079.490801
0.220000	-1052.581434
0.230000	-1032.784725
0.240000	-1013.183915
0.250000	-989.731158
0.260000	-955.622643
0.270000	-917.505709
0.280000	-883.820105
0.290000	-850.415531
0.300000	-806.069525
0.310000	-741.993598
0.320000	-671.204575
0.330000	-607.459211
0.340000	-553.720431
0.350000	-497.731442
0.360000	-430.479391
0.370000	-352.620771
0.380000	-277.317159
0.390000	-216.854274
0.400000	-183.728461
0.410000	-175.473351
0.420000	-183.350505
0.430000	-205.048050
0.440000	-237.106503
0.450000	-275.324470
0.460000	-304.280978
0.470000	-327.082284
0.480000	-351.859570
0.490000	-373.821619
0.500000	-374.189915
0.510000	-343.560146
0.520000	-295.482866
0.530000	-249.507725
0.540000	-213.220799
0.550000	-178.886836
0.560000	-136.352646
0.570000	-83.387114
0.580000	-27.061396
0.590000	22.456065
0.600000	63.632897
0.610000	96.439598
0.620000	122.685039
0.630000	139.747278
0.640000	148.205515
0.650000	147.279381
0.660000	129.241298
0.670000	95.420894
0.680000	47.938129
0.690000	2.188738
0.700000	-51.631529
0.710000	-116.236552
0.720000	-197.462723
0.730000	-288.611914
0.740000	-382.987027
0.750000	-481.278719
0.760000	-573.371456
0.770000	-662.612695
0.780000	-742.850732
0.790000	-816.148212
0.800000	-878.226472
0.810000	-930.321496
0.820000	-979.237946
0.830000	-1031.328219
0.840000	-1088.950838
0.850000	-1151.605829
0.860000	-1214.369903
0.870000	-1275.080091
0.880000	-1331.638180
0.890000	-1381.516977
0.900000	-1423.771293
0.910000	-1459.044353
0.920000	-1492.794140
0.930000	-1531.665719
0.940000	-1577.885160
0.950000	-1625.334349
0.960000	-1671.204696
0.970000	-1710.869759
0.980000	-1747.114818
0.990000	-1784.967160
1.000000	-1820.755074
1.010000	-1854.529567
1.020000	-1877.799298
1.030000	-1896.733241
1.040000	-1924.786030
1.050000	-1958.967230
1.060000	-2000.929663
1.070000	-2035.009894
1.080000	-2067.999833
1.090000	-2099.479331
1.100000	-2130.327977
1.110000	-2152.708767
1.120000	-2154.552783
1.130000	-2144.423214
1.140000	-2128.241387
1.150000	-2116.206514
1.160000	-2093.608618
1.170000	-2064.477000
1.180000	-2040.282100
1.190000	-2031.128274
1.200000	-2027.116956
1.210000	-2007.333091
1.220000	-1968.101649
1.230000	-1917.107019
1.240000	-1867.957111
1.250000	-1827.688862
1.260000	-1794.496132
1.270000	-1758.630673
1.280000	-1717.813079
1.290000	-1670.987077
1.300000	-1626.366398
1.310000	-1583.039312
1.320000	-1537.427163
1.330000	-1485.171810
1.340000	-1421.790073
