Time(s)	RED_denoised_wiener
0.000000	2849.590137
0.010000	3974.215345
0.020000	3217.494426
0.030000	2131.186376
0.040000	697.588442
0.050000	-866.932720
0.060000	-2430.962018
0.070000	-3966.424934
0.080000	-5477.368117
0.090000	-6834.663574
0.100000	-7811.964156
0.110000	-8284.649966
0.120000	-8489.365468
0.130000	-8604.300145
0.140000	-8599.029399
0.150000	-8486.917387
0.160000	-8190.635510
0.170000	-7979.021104
0.180000	-7798.903950
0.190000	-7588.325088
0.200000	-7307.802807
0.210000	-6979.043369
0.220000	-6742.284306
0.230000	-6514.081848
0.240000	-6413.600930
0.250000	-6240.866478
0.260000	-6044.901480
0.270000	-5808.112142
0.280000	-5652.239320
0.290000	-5565.990909
0.300000	-5330.683220
0.310000	-4960.528839
0.320000	-4519.961671
0.330000	-4211.486357
0.340000	-3983.258956
0.350000	-3744.397769
0.360000	-3399.949839
0.370000	-3026.863076
0.380000	-2662.290130
0.390000	-2442.703479
0.400000	-2375.722401
0.410000	-2509.444504
0.420000	-2707.781784
0.430000	-2903.852130
0.440000	-3262.631351
0.450000	-3613.167305
0.460000	-3869.889102
0.470000	-3994.796939
0.480000	-4144.542048
0.490000	-4157.088593
0.500000	-3984.054525
0.510000	-3631.420291
0.520000	-3374.540929
0.530000	-3183.490896
0.540000	-3059.366544
0.550000	-2965.053828
0.560000	-2773.552470
0.570000	-2508.647991
0.580000	-2248.180492
0.590000	-2056.508617
0.600000	-1941.299476
0.610000	-1864.901274
0.620000	-1812.146534
0.630000	-1832.480852
0.640000	-1906.490383
0.650000	-2022.778150
0.660000	-2203.632220
0.670000	-2591.788161
0.680000	-2949.119633
0.690000	-3330.671427
0.700000	-3587.457746
0.710000	-3989.125282
0.720000	-4420.836971
0.730000	-4882.668197
0.740000	-5401.405968
0.750000	-5883.339496
0.760000	-6414.270252
0.770000	-6832.810317
0.780000	-7311.539749
0.790000	-7739.666906
0.800000	-8126.312080
0.810000	-8442.936254
0.820000	-8746.845709
0.830000	-9083.374174
0.840000	-9474.525937
0.850000	-9863.147858
0.860000	-10258.283598
0.870000	-10631.723892
0.880000	-10974.006405
0.890000	-11334.718022
0.900000	-11622.941411
0.910000	-11864.974321
0.920000	-12105.208396
0.930000	-12375.821336
0.940000	-12707.771534
0.950000	-13075.153503
0.960000	-13364.410350
0.970000	-13674.059576
0.980000	-13965.672722
0.990000	-14227.714042
1.000000	-14597.359497
1.010000	-14850.065645
1.020000	-15065.246321
1.030000	-15215.162644
1.040000	-15351.398442
1.050000	-15648.987109
1.060000	-15827.361836
1.070000	-16069.153843
1.080000	-16240.199206
1.090000	-16459.767982
1.100000	-16695.378258
1.110000	-16902.447751
1.120000	-16989.868669
1.130000	-16919.385336
1.140000	-16959.320514
1.150000	-17020.801216
1.160000	-17129.553000
1.170000	-17066.349961
1.180000	-17075.537343
1.190000	-17213.199800
1.200000	-17376.910592
1.210000	-17405.384913
1.220000	-17274.496711
1.230000	-17099.795589
1.240000	-16978.212631
1.250000	-16945.892480
1.260000	-16949.875783
1.270000	-16902.424497
1.280000	-16742.147191
1.290000	-16633.451054
1.300000	-16493.285006
1.310000	-16400.473215
1.320000	-16307.297760
1.330000	-16100.876953
1.340000	-15837.005639
1.350000	-15476.589769
1.360000	-15242.340037
1.370000	-15044.021497
1.380000	-14861.449501
1.390000	-14773.311584
1.400000	-14767.901525
1.410000	-14685.456466
1.420000	-14543.438942
1.430000	-14451.791073
1.440000	-14406.937298
1.450000	-14350.919280
1.460000	-14207.665694
1.470000	-14081.492788
1.480000	-13930.612630
1.490000	-13788.562897
1.500000	-13693.531850
1.510000	-13626.772518
1.520000	-13531.645846
1.530000	-13340.587186
1.540000	-13075.643810
1.550000	-12782.440493
1.560000	-12549.068248
1.570000	-12353.303188
1.580000	-11990.640207
1.590000	-11351.410243
1.600000	-10580.230106
1.610000	-9770.698931
1.620000	-8917.873269
1.630000	-7972.859589
1.640000	-6912.582060
1.650000	-5988.103220
1.660000	-5242.718833
1.670000	-4663.860599
1.680000	-4099.140614
1.690000	-3474.838226
1.700000	-2986.975900
1.710000	-2626.928168
1.720000	-2445.650966
1.730000	-2293.812528
1.740000	-2146.012645
