Time(s)	RED_denoised_wiener
0.000000	-197.260069
0.010000	-294.258292
0.020000	-289.622313
0.030000	-279.977145
0.040000	-270.525834
0.050000	-260.541551
0.060000	-248.956047
0.070000	-228.281745
0.080000	-206.955872
0.090000	-192.210285
0.100000	-177.441805
0.110000	-161.009011
0.120000	-147.132846
0.130000	-142.669761
0.140000	-144.650798
0.150000	-146.506966
0.160000	-139.013576
0.170000	-126.900394
0.180000	-114.559098
0.190000	-109.150877
0.200000	-122.298763
0.210000	-143.187391
0.220000	-175.591935
0.230000	-200.005832
0.240000	-228.483433
0.250000	-254.283394
0.260000	-272.222390
0.270000	-278.406779
0.280000	-282.840899
0.290000	-307.403253
0.300000	-333.186959
0.310000	-357.282329
0.320000	-366.676359
0.330000	-373.066120
0.340000	-381.650512
0.350000	-394.342571
0.360000	-406.440597
0.370000	-409.107512
0.380000	-402.420761
0.390000	-393.723745
0.400000	-378.532179
0.410000	-358.519702
0.420000	-336.475207
0.430000	-317.482908
0.440000	-298.890327
0.450000	-281.614990
0.460000	-261.115249
0.470000	-234.575665
0.480000	-207.519315
0.490000	-187.363507
0.500000	-165.366681
0.510000	-135.645933
0.520000	-104.733932
0.530000	-82.422142
0.540000	-77.248287
0.550000	-92.667320
0.560000	-118.206364
0.570000	-140.385261
0.580000	-156.674586
0.590000	-154.889127
0.600000	-152.368725
0.610000	-138.125724
0.620000	-133.628249
0.630000	-126.745323
0.640000	-121.071957
0.650000	-117.163272
0.660000	-115.989209
0.670000	-116.714370
0.680000	-114.699828
0.690000	-112.086941
0.700000	-110.878618
0.710000	-116.603450
0.720000	-125.498511
0.730000	-133.585022
0.740000	-134.242505
0.750000	-133.398113
0.760000	-134.442284
0.770000	-137.330219
0.780000	-134.749584
0.790000	-127.076619
0.800000	-109.501510
0.810000	-88.645647
0.820000	-63.021424
0.830000	-48.718905
0.840000	-43.947202
0.850000	-52.595098
0.860000	-73.980119
0.870000	-94.888925
0.880000	-108.815867
0.890000	-106.625627
0.900000	-99.489844
0.910000	-91.123325
0.920000	-84.609251
0.930000	-74.711025
0.940000	-57.845071
0.950000	-44.448127
0.960000	-32.155645
0.970000	-23.307080
0.980000	-14.892811
0.990000	-13.633060
1.000000	-13.367254
1.010000	-1.379374
1.020000	22.018495
1.030000	48.749942
1.040000	67.961222
1.050000	80.142670
1.060000	92.823181
1.070000	108.087996
1.080000	130.259816
1.090000	149.229859
1.100000	167.635280
1.110000	182.260448
1.120000	197.604376
1.130000	216.192369
1.140000	232.124728
1.150000	249.393494
1.160000	266.539783
1.170000	288.188642
1.180000	308.504390
1.190000	328.582076
1.200000	348.045171
1.210000	371.236320
1.220000	398.156170
1.230000	423.458981
1.240000	443.522629
1.250000	444.237855
1.260000	431.530084
1.270000	407.593398
1.280000	392.173611
1.290000	385.484104
1.300000	388.074479
1.310000	397.290033
1.320000	406.556210
1.330000	417.711632
1.340000	427.952016
1.350000	441.413385
1.360000	460.271122
1.370000	476.349649
1.380000	490.211424
1.390000	498.540042
1.400000	512.122828
1.410000	523.279657
1.420000	537.337477
1.430000	554.941506
1.440000	572.476420
1.450000	590.217603
1.460000	604.208197
1.470000	620.794015
1.480000	637.856298
1.490000	700.440425
1.500000	771.553750
1.510000	841.437185
1.520000	869.442786
1.530000	891.588472
1.540000	918.540346
1.550000	940.295333
1.560000	970.984054
1.570000	987.848253
1.580000	994.448264
1.590000	1009.391552
1.600000	1040.833646
1.610000	1080.507112
1.620000	1111.814333
1.630000	1132.614705
1.640000	1153.783897
1.650000	1166.956708
1.660000	1186.102851
1.670000	1207.873303
1.680000	1230.047840
1.690000	1248.073860
1.700000	1266.976928
1.710000	1289.894441
1.720000	1316.188268
1.730000	1338.322768
1.740000	1360.058050
1.750000	1384.711349
1.760000	1418.230572
1.770000	1445.003598
1.780000	1468.418859
1.790000	1492.929701
1.800000	1521.568181
1.810000	1551.471888
1.820000	1578.012250
1.830000	1601.327413
1.840000	1625.434522
1.850000	1648.134041
1.860000	1674.846522
1.870000	1705.227576
1.880000	1738.226587
1.890000	1773.627328
1.900000	1792.860748
1.910000	1794.044648
1.920000	1779.144433
1.930000	1766.145470
1.940000	1759.363944
1.950000	1758.875201
1.960000	1760.880550
1.970000	1767.596355
1.980000	1775.690640
1.990000	1782.963152
2.000000	1793.494317
2.010000	1811.975084
2.020000	1838.596202
2.030000	1861.932782
2.040000	1880.704041
2.050000	1896.209404
2.060000	1912.799162
2.070000	1928.447803
2.080000	1945.552763
2.090000	1963.992646
2.100000	1983.954257
2.110000	2001.841152
2.120000	2014.671820
2.130000	2026.690867
2.140000	2036.020901
2.150000	2047.541095
2.160000	2058.999294
2.170000	2077.064990
2.180000	2094.589149
2.190000	2111.591562
2.200000	2127.159657
2.210000	2148.122825
2.220000	2174.361372
2.230000	2200.289555
2.240000	2224.558710
2.250000	2246.776391
2.260000	2270.417630
2.270000	2299.582701
2.280000	2329.235998
2.290000	2323.622616
2.300000	2308.207246
2.310000	2298.620332
