Time(s)	RED_denoised_wiener
0.000000	611.863083
0.010000	1066.776718
0.020000	1411.445807
0.030000	1786.511558
0.040000	2162.193873
0.050000	2504.111786
0.060000	2814.255810
0.070000	3220.607971
0.080000	3624.915545
0.090000	3929.661249
0.100000	4195.233270
0.110000	4414.756603
0.120000	4682.391152
0.130000	4906.907907
0.140000	5183.294744
0.150000	5448.528563
0.160000	5683.892425
0.170000	5848.997787
0.180000	5936.825506
0.190000	6246.888294
0.200000	6583.312931
0.210000	6964.283901
0.220000	7115.917518
0.230000	7268.318569
0.240000	7472.286541
0.250000	7672.988737
0.260000	7850.011061
0.270000	7941.808857
0.280000	7897.028399
0.290000	7914.917293
0.300000	7989.751265
0.310000	8173.788577
0.320000	8256.023029
0.330000	8174.008193
0.340000	8142.330931
0.350000	8167.600056
0.360000	8290.009394
0.370000	8230.929353
0.380000	8051.569097
0.390000	7900.781909
0.400000	7861.565099
0.410000	7940.710259
0.420000	7950.312656
0.430000	7925.204498
0.440000	7747.596258
0.450000	7619.533478
0.460000	7499.167283
0.470000	7495.568561
0.480000	7439.934277
0.490000	6558.903216
0.500000	5582.123588
0.510000	4560.669078
0.520000	4253.218755
0.530000	4109.135203
0.540000	4017.485340
0.550000	4050.401843
0.560000	3718.173773
0.570000	3261.974831
0.580000	2819.878518
0.590000	2757.138482
0.600000	2877.341155
0.610000	2940.817720
0.620000	2928.377563
0.630000	3057.114612
0.640000	3376.923877
0.650000	3862.842129
0.660000	4237.747593
0.670000	4505.645481
0.680000	4701.627423
0.690000	5051.276438
0.700000	5417.816725
0.710000	5551.903216
0.720000	5497.115821
0.730000	5480.004675
0.740000	5473.356928
0.750000	5405.957753
0.760000	5220.274872
0.770000	5154.362019
0.780000	5043.392329
0.790000	4625.138172
0.800000	4189.331842
0.810000	3774.530463
0.820000	3637.509978
0.830000	3618.751872
0.840000	3692.695080
0.850000	3687.209612
0.860000	3542.494091
0.870000	3367.101611
0.880000	3225.142681
0.890000	3062.640681
0.900000	2899.298116
0.910000	2698.663051
0.920000	2620.295814
0.930000	2646.502162
0.940000	2867.225730
0.950000	3031.374156
0.960000	3068.955582
0.970000	3155.890378
0.980000	3186.547204
0.990000	3109.189274
1.000000	2815.952206
1.010000	2425.076261
1.020000	2164.959696
1.030000	1948.730097
1.040000	1816.280941
1.050000	1557.662778
1.060000	1395.086999
1.070000	1349.005277
1.080000	1448.881215
1.090000	2156.832261
1.100000	2847.317016
1.110000	3528.695300
1.120000	3617.087246
1.130000	3656.282676
1.140000	3759.635048
1.150000	3882.394943
1.160000	4101.475452
1.170000	4397.533906
1.180000	4737.568675
1.190000	4940.890140
1.200000	5109.727742
1.210000	5518.674418
1.220000	6114.607167
1.230000	6553.278674
1.240000	6575.004171
1.250000	6585.661985
1.260000	6670.804753
1.270000	6738.506848
1.280000	6613.658131
1.290000	5960.524029
1.300000	5317.524769
1.310000	4691.024342
1.320000	4501.137702
1.330000	4348.215073
1.340000	4246.828995
1.350000	4156.861599
1.360000	4020.075173
1.370000	3835.602304
1.380000	3628.995782
1.390000	3428.283576
1.400000	3254.830406
1.410000	3150.284731
1.420000	3097.432700
1.430000	2986.960747
1.440000	2824.610616
1.450000	2705.473557
1.460000	2583.992042
1.470000	2481.090517
1.480000	2367.823103
1.490000	2345.316378
1.500000	2332.069234
1.510000	2327.345745
1.520000	2295.466062
1.530000	2252.428704
1.540000	2190.708230
1.550000	2143.531827
1.560000	2177.615550
1.570000	2189.071135
1.580000	2133.923764
1.590000	2011.630966
1.600000	1959.510070
1.610000	1932.922026
1.620000	2053.448757
1.630000	2217.154370
1.640000	2571.637152
1.650000	2940.386862
1.660000	3511.716035
1.670000	3987.503256
1.680000	4380.199291
1.690000	5216.915981
1.700000	6112.725059
1.710000	6953.952588
1.720000	7083.301246
1.730000	7021.432690
1.740000	6870.266718
1.750000	6661.256516
1.760000	6493.620073
1.770000	6299.487636
1.780000	6001.477928
1.790000	5708.425208
1.800000	5595.711224
1.810000	5686.133988
1.820000	5840.353746
1.830000	5881.257793
1.840000	5822.369490
1.850000	5750.095556
1.860000	5751.899361
1.870000	5822.520617
1.880000	5911.143458
1.890000	5979.483450
1.900000	6011.282039
1.910000	6035.067215
1.920000	6145.430555
1.930000	6309.125540
1.940000	6412.514436
1.950000	6427.906539
1.960000	6397.273339
1.970000	6391.915487
1.980000	6345.130930
1.990000	6302.708078
2.000000	6283.720078
2.010000	6288.250322
2.020000	6303.405564
2.030000	6357.367494
2.040000	6499.942651
2.050000	6611.140565
2.060000	6697.613177
2.070000	6655.392055
2.080000	6616.042793
2.090000	6522.901963
2.100000	6394.784970
2.110000	6285.944262
2.120000	6188.120282
2.130000	6127.174834
2.140000	6004.872329
2.150000	5903.321296
2.160000	5856.910149
2.170000	5837.709681
2.180000	5824.709592
2.190000	5839.286604
2.200000	5847.759398
2.210000	5820.271712
2.220000	5664.364332
2.230000	5495.551127
2.240000	5316.378069
2.250000	5276.950856
2.260000	5286.106758
2.270000	5341.300809
2.280000	5376.029126
2.290000	5440.001783
2.300000	5464.654256
2.310000	5486.347640
2.320000	5408.600270
2.330000	5384.059175
2.340000	5280.440777
2.350000	5200.756323
2.360000	5063.442608
2.370000	5057.527156
2.380000	4990.054631
2.390000	3625.088182
2.400000	1841.124378
2.410000	-214.379613
2.420000	-1526.114480
2.430000	-2794.924451
2.440000	-4092.660528
2.450000	-5127.509822
2.460000	-6166.451953
2.470000	-7037.604991
2.480000	-7793.579650
2.490000	-8381.802101
2.500000	-8942.966786
2.510000	-9891.818249
2.520000	-10897.710664
2.530000	-10990.820479
2.540000	-10131.755897
2.550000	-9082.774511
2.560000	-8965.876630
2.570000	-9280.697399
2.580000	-9652.771930
2.590000	-10035.286225
2.600000	-10243.391317
2.610000	-10065.909741
2.620000	-9332.567117
2.630000	-8505.384313
2.640000	-7894.443625
2.650000	-7580.684430
2.660000	-7490.019410
2.670000	-7556.802918
2.680000	-7556.958638
2.690000	-7434.518398
2.700000	-7018.721155
2.710000	-6497.694763
2.720000	-6113.109113
2.730000	-6056.548452
2.740000	-6014.260476
2.750000	-5731.050748
2.760000	-5253.732152
2.770000	-4998.060216
2.780000	-4831.862393
2.790000	-3904.930649
2.800000	-2828.843561
2.810000	-1834.928938
2.820000	-1658.049501
2.830000	-1598.498362
2.840000	-1483.884542
2.850000	-1441.741828
2.860000	-1377.963919
2.870000	-1345.244381
2.880000	-1215.739453
2.890000	-1137.365799
2.900000	-1114.317821
2.910000	-1169.071107
2.920000	-1159.313361
2.930000	-1220.411610
2.940000	-1440.387472
2.950000	-1726.466893
2.960000	-2011.746719
2.970000	-2045.901862
2.980000	-1646.846236
2.990000	-836.786817
3.000000	-149.575927
3.010000	44.215778
3.020000	-139.867390
3.030000	-370.087429
3.040000	-483.190539
3.050000	-604.755538
3.060000	-745.438981
