Time(s)	RED_denoised_wiener
0.000000	1349.218382
0.010000	2369.681796
0.020000	3064.123804
0.030000	3853.771411
0.040000	4582.983192
0.050000	5263.089773
0.060000	5800.661201
0.070000	6290.367298
0.080000	6700.771530
0.090000	7032.514384
0.100000	7273.965687
0.110000	7372.335315
0.120000	7428.705347
0.130000	7510.188439
0.140000	7661.511580
0.150000	7786.785923
0.160000	7864.989817
0.170000	7967.773403
0.180000	8082.708300
0.190000	8214.949343
0.200000	8230.186172
0.210000	8177.105897
0.220000	8113.168311
0.230000	8109.114559
0.240000	8201.875289
0.250000	8215.023608
0.260000	8188.999602
0.270000	8159.075409
0.280000	8226.798093
0.290000	8373.624674
0.300000	8446.723482
0.310000	8480.184782
0.320000	8462.689929
0.330000	8437.395229
0.340000	8419.414968
0.350000	8399.041283
0.360000	8396.393833
0.370000	8413.477552
0.380000	8416.783137
0.390000	8340.333925
0.400000	8164.476859
0.410000	7971.649073
0.420000	7839.336499
0.430000	7734.842199
0.440000	7610.001965
0.450000	7456.995432
0.460000	7307.626502
0.470000	7196.674636
0.480000	7144.396464
0.490000	7149.146466
0.500000	7196.986200
0.510000	7206.955130
0.520000	7211.743001
0.530000	7273.700800
0.540000	7401.876183
0.550000	7567.532672
0.560000	7674.013282
0.570000	7627.563424
0.580000	7628.482657
0.590000	7776.843874
0.600000	8074.540985
0.610000	7935.033671
0.620000	7135.457238
0.630000	6111.892527
0.640000	5325.301147
0.650000	4893.000252
0.660000	4435.306078
0.670000	3915.241976
0.680000	3369.372346
0.690000	2820.973151
0.700000	2234.469499
0.710000	1734.002072
0.720000	1360.196214
0.730000	1077.346809
0.740000	774.909349
0.750000	428.118951
0.760000	156.543871
0.770000	26.268986
0.780000	32.174098
0.790000	12.513261
0.800000	-92.056844
0.810000	-177.603288
0.820000	-102.660826
0.830000	339.315936
0.840000	955.160865
0.850000	1498.612657
0.860000	1693.757588
0.870000	1742.076862
0.880000	1909.387096
0.890000	1983.751422
0.900000	1749.528750
0.910000	1155.065139
0.920000	444.337554
0.930000	-214.641527
0.940000	-788.702665
0.950000	-1075.362089
0.960000	-1127.256116
0.970000	-1150.650721
0.980000	-1337.583520
0.990000	-1650.789501
1.000000	-1785.656819
1.010000	-1873.272036
1.020000	-1835.302227
1.030000	-1815.177833
1.040000	-1661.284974
1.050000	-1718.929676
1.060000	-1828.361940
1.070000	-1470.175252
1.080000	-635.990859
1.090000	331.466319
1.100000	664.731655
1.110000	589.353155
1.120000	329.969419
1.130000	204.346719
1.140000	237.587502
1.150000	284.055340
1.160000	165.299320
1.170000	-2.576637
1.180000	14.184522
1.190000	130.432246
1.200000	259.248153
1.210000	258.472542
1.220000	294.007556
1.230000	304.404577
1.240000	188.507258
1.250000	-7.743500
1.260000	-185.665795
1.270000	-288.491128
1.280000	-413.747221
1.290000	-614.601657
1.300000	-771.171575
1.310000	-835.394485
1.320000	-862.698692
1.330000	-875.247941
1.340000	-880.002844
1.350000	-833.448350
1.360000	-781.371318
1.370000	-787.851501
1.380000	-870.765504
1.390000	-1015.986140
1.400000	-1102.351872
1.410000	-1100.191655
1.420000	-1098.416951
1.430000	-1171.510641
1.440000	-1319.764771
1.450000	-1428.667561
1.460000	-1412.010309
1.470000	-1228.434368
1.480000	-936.349954
1.490000	-709.671873
1.500000	-617.221105
1.510000	-611.744086
1.520000	-534.606544
1.530000	-406.128027
1.540000	-259.180022
1.550000	-126.665630
1.560000	-48.927517
1.570000	24.893670
1.580000	64.281223
1.590000	107.822505
1.600000	94.395834
1.610000	91.617989
1.620000	131.926876
1.630000	192.106996
1.640000	267.354863
1.650000	311.662532
1.660000	333.779602
1.670000	360.781414
1.680000	450.468396
1.690000	572.504541
1.700000	664.582348
1.710000	721.230055
1.720000	765.286984
1.730000	854.898772
1.740000	997.364834
1.750000	1144.594853
1.760000	1259.652773
1.770000	1385.690306
1.780000	1508.295292
1.790000	1569.512117
1.800000	1571.615786
1.810000	1570.660771
1.820000	1594.036592
1.830000	1578.740095
1.840000	1540.519191
1.850000	1515.052872
1.860000	1554.224879
1.870000	1576.176758
1.880000	1541.558946
1.890000	1498.051143
1.900000	1498.752529
1.910000	1537.941758
1.920000	1560.655129
1.930000	1598.581106
