Time(s)	RED_denoised_wiener
0.000000	-208.759142
0.010000	-283.235452
0.020000	-225.529945
0.030000	-169.707327
0.040000	-132.674819
0.050000	-111.445478
0.060000	-94.115571
0.070000	-63.823162
0.080000	-21.257128
0.090000	30.808041
0.100000	67.555941
0.110000	84.176577
0.120000	75.718224
0.130000	70.319485
0.140000	87.540982
0.150000	136.785747
0.160000	177.912800
0.170000	181.634169
0.180000	127.996488
0.190000	-2.496041
0.200000	-121.937513
0.210000	-199.428287
0.220000	-201.843654
0.230000	-196.948673
0.240000	-198.578832
0.250000	-188.022944
0.260000	-171.023903
0.270000	-140.036228
0.280000	-101.482296
0.290000	-60.019069
0.300000	-23.255985
0.310000	10.383355
0.320000	38.988004
0.330000	76.523862
0.340000	118.208866
0.350000	166.713760
0.360000	210.419956
0.370000	254.646872
0.380000	300.316212
0.390000	341.592555
0.400000	377.256826
0.410000	413.925319
0.420000	458.564507
0.430000	509.601275
0.440000	557.885231
0.450000	596.317257
0.460000	630.275150
0.470000	662.728750
0.480000	701.380719
0.490000	743.481375
0.500000	783.515719
0.510000	801.899565
0.520000	784.370052
0.530000	726.048754
0.540000	638.976579
0.550000	545.599406
0.560000	472.300630
0.570000	432.154032
0.580000	413.598032
0.590000	408.760287
0.600000	407.932365
0.610000	419.458573
0.620000	436.601530
0.630000	455.875850
0.640000	467.965205
0.650000	467.013620
0.660000	456.064776
0.670000	445.216009
0.680000	439.863803
0.690000	439.113940
0.700000	443.713944
0.710000	453.055200
0.720000	473.631088
0.730000	493.660874
0.740000	520.315331
0.750000	552.626344
0.760000	587.375976
0.770000	620.973803
0.780000	659.847576
0.790000	708.700387
0.800000	770.699238
0.810000	824.410767
0.820000	871.666572
0.830000	912.501725
0.840000	952.702281
0.850000	994.302018
0.860000	1025.419802
0.870000	1058.222106
0.880000	1088.479748
0.890000	1125.567387
0.900000	1151.853714
0.910000	1149.634352
0.920000	1113.985016
0.930000	1052.123912
0.940000	970.169546
0.950000	883.027517
0.960000	808.752961
0.970000	764.652952
0.980000	744.663046
0.990000	735.984394
1.000000	744.683084
1.010000	763.337224
1.020000	788.439266
1.030000	804.048253
1.040000	817.652429
1.050000	817.098243
1.060000	814.993449
1.070000	804.822491
1.080000	800.116573
1.090000	797.561108
1.100000	803.995141
1.110000	815.665101
1.120000	831.943674
1.130000	842.804896
1.140000	857.339897
1.150000	871.637723
1.160000	895.168503
1.170000	916.475589
1.180000	943.446299
1.190000	1058.581318
1.200000	1182.342174
1.210000	1288.563633
1.220000	1275.092857
1.230000	1217.765165
1.240000	1136.754526
1.250000	1032.309333
1.260000	933.893959
1.270000	841.169313
1.280000	785.184081
1.290000	745.953745
1.300000	726.602422
1.310000	711.752236
1.320000	710.486280
1.330000	716.239533
1.340000	726.112103
1.350000	730.774511
1.360000	725.816883
1.370000	714.061565
1.380000	693.574239
1.390000	677.789897
1.400000	656.332013
1.410000	643.652323
1.420000	635.771812
1.430000	638.942234
1.440000	647.244305
1.450000	659.979340
1.460000	680.126483
1.470000	701.724867
1.480000	723.086761
1.490000	748.553364
1.500000	773.087738
1.510000	803.815097
1.520000	833.114747
1.530000	867.515591
1.540000	893.152333
1.550000	921.686140
1.560000	949.213798
1.570000	984.625129
1.580000	1008.932001
1.590000	892.660634
1.600000	736.348579
1.610000	570.904851
1.620000	522.092280
1.630000	496.279727
1.640000	474.106518
1.650000	469.813410
1.660000	474.122644
1.670000	480.755108
1.680000	479.527786
1.690000	473.800365
1.700000	453.629375
1.710000	432.977551
1.720000	407.747577
1.730000	390.266007
1.740000	377.222267
1.750000	368.295386
1.760000	376.131890
1.770000	384.310847
1.780000	395.493106
1.790000	485.927537
1.800000	583.846827
1.810000	682.454977
1.820000	702.400158
1.830000	717.802749
1.840000	738.174760
1.850000	758.175026
1.860000	783.377883
1.870000	795.212761
1.880000	782.666767
1.890000	728.297734
1.900000	634.742249
1.910000	517.148402
1.920000	403.918678
1.930000	320.054144
1.940000	263.418191
1.950000	230.687449
1.960000	215.974684
1.970000	213.384618
1.980000	222.610274
1.990000	226.432278
2.000000	231.040295
2.010000	225.496223
2.020000	212.571155
2.030000	192.282312
2.040000	174.191123
2.050000	162.783877
2.060000	158.195072
2.070000	159.010305
2.080000	165.933807
2.090000	177.626603
2.100000	183.041207
2.110000	203.393359
2.120000	226.786016
2.130000	261.610704
2.140000	283.502232
2.150000	314.683893
2.160000	341.848585
2.170000	377.221437
2.180000	402.839423
2.190000	320.265185
2.200000	221.747727
2.210000	120.819627
2.220000	112.606855
2.230000	106.256479
2.240000	81.051658
2.250000	66.557633
2.260000	50.774989
2.270000	50.998424
2.280000	49.461023
2.290000	60.252203
2.300000	73.473152
2.310000	100.623222
2.320000	124.798894
2.330000	152.449827
2.340000	180.155459
2.350000	213.024276
2.360000	244.871911
2.370000	279.015544
2.380000	316.973961
2.390000	354.381000
2.400000	389.473325
2.410000	425.149235
2.420000	466.702385
2.430000	500.588655
2.440000	531.036321
2.450000	563.086169
2.460000	595.742670
2.470000	624.629853
2.480000	648.847142
2.490000	669.901848
2.500000	669.284787
2.510000	631.904492
2.520000	543.779851
2.530000	423.049496
2.540000	291.338398
2.550000	179.607147
2.560000	96.890158
2.570000	45.532953
2.580000	8.441478
2.590000	-29.483051
2.600000	-59.556079
2.610000	-70.105291
2.620000	-58.192309
2.630000	-39.059057
2.640000	-21.760047
2.650000	4.760333
2.660000	29.663095
2.670000	59.344501
2.680000	88.437794
2.690000	119.333600
2.700000	156.267610
2.710000	187.996658
2.720000	222.867462
2.730000	259.014319
2.740000	295.518989
2.750000	329.074247
2.760000	359.561186
2.770000	388.520394
2.780000	423.334170
2.790000	455.972031
2.800000	489.852833
2.810000	522.454657
2.820000	553.758748
2.830000	585.655973
2.840000	597.983935
2.850000	582.268963
2.860000	522.233649
2.870000	424.657629
2.880000	302.545862
2.890000	144.691577
2.900000	18.452015
2.910000	-67.725072
2.920000	-89.554088
2.930000	-104.656065
2.940000	-112.022165
2.950000	-116.225685
2.960000	-109.413029
2.970000	-107.818673
2.980000	-87.985708
2.990000	27.111016
3.000000	162.399125
3.010000	283.527522
3.020000	312.037499
3.030000	330.761423
3.040000	363.220411
3.050000	399.610944
3.060000	437.129403
3.070000	445.424695
3.080000	418.478152
3.090000	349.609253
3.100000	257.936749
3.110000	162.164688
3.120000	81.434921
3.130000	31.081059
3.140000	4.911725
3.150000	-8.646579
3.160000	-13.219179
3.170000	-5.317862
3.180000	9.996273
3.190000	28.048106
3.200000	40.236823
3.210000	42.462003
3.220000	32.517832
3.230000	14.260827
3.240000	4.870062
3.250000	5.717218
3.260000	14.245507
3.270000	24.531387
3.280000	40.347628
3.290000	63.038618
3.300000	87.464692
3.310000	117.269076
3.320000	148.927527
3.330000	182.875552
3.340000	215.744740
3.350000	250.196432
3.360000	289.260492
3.370000	327.524667
3.380000	365.489371
3.390000	404.551929
3.400000	446.415329
3.410000	485.922932
3.420000	521.379713
3.430000	558.342439
3.440000	593.013322
3.450000	625.467161
3.460000	655.674216
3.470000	687.295915
3.480000	712.329951
3.490000	711.119182
3.500000	668.357135
3.510000	584.678704
3.520000	470.770700
3.530000	356.983970
3.540000	268.862423
3.550000	204.905942
3.560000	168.324356
3.570000	140.792325
3.580000	127.206579
3.590000	120.334855
3.600000	123.473463
3.610000	135.888340
