Time(s)	GREEN_denoised_median
0.000000	-460.811830
0.010000	-460.811830
0.020000	-460.811830
0.030000	-424.409653
0.040000	-379.817352
0.050000	-322.391554
0.060000	-241.791595
0.070000	-149.416646
0.080000	-45.718359
0.090000	68.575809
0.100000	191.370317
0.110000	317.580145
0.120000	450.503003
0.130000	593.606827
0.140000	737.623477
0.150000	885.691240
0.160000	1034.751472
0.170000	1184.809489
0.180000	1332.897594
0.190000	1476.957397
0.200000	1625.099668
0.210000	1772.097544
0.220000	1915.338637
0.230000	2062.295938
0.240000	2202.559860
0.250000	2327.531484
0.260000	2327.531484
0.270000	2327.531484
0.280000	2146.036731
0.290000	1864.169902
0.300000	1584.530713
0.310000	1357.503997
0.320000	1195.959120
0.330000	1089.813221
0.340000	1025.416595
0.350000	983.145592
0.360000	983.145592
0.370000	983.145592
0.380000	1011.428234
0.390000	1048.057564
0.400000	1048.057564
0.410000	1048.057564
0.420000	1035.649799
0.430000	1004.126886
0.440000	979.010870
0.450000	979.010870
0.460000	979.010870
0.470000	1004.438571
0.480000	1048.765058
0.490000	1103.126297
0.500000	1164.584647
0.510000	1240.893095
0.520000	1322.406740
0.530000	1406.730668
0.540000	1493.285247
0.550000	1582.623336
0.560000	1677.221570
0.570000	1777.563602
0.580000	1874.184168
0.590000	1975.607395
0.600000	2070.145880
0.610000	2174.785063
0.620000	2283.098896
0.630000	2391.025298
0.640000	2511.154179
0.650000	2625.237810
0.660000	2734.319850
0.670000	2734.319850
0.680000	2734.319850
0.690000	2540.646907
0.700000	2233.962131
0.710000	1914.107503
0.720000	1635.378465
0.730000	1422.546953
0.740000	1267.765454
0.750000	1156.027281
0.760000	1072.212957
0.770000	1008.588995
0.780000	1008.588995
0.790000	1003.087461
0.800000	1002.705117
0.810000	1002.705117
0.820000	976.157440
0.830000	938.416492
0.840000	901.945637
0.850000	887.044728
0.860000	887.044728
0.870000	887.044728
0.880000	916.620289
0.890000	957.956676
0.900000	1011.556679
0.910000	1078.935710
0.920000	1152.532628
0.930000	1231.999222
0.940000	1316.572277
0.950000	1403.121235
0.960000	1493.691301
0.970000	1578.275455
0.980000	1663.922619
0.990000	1744.458936
1.000000	1811.212776
1.010000	1878.772111
1.020000	1935.496804
1.030000	1987.199218
1.040000	2043.858351
1.050000	2100.651810
1.060000	2161.309578
1.070000	2224.155785
1.080000	2224.155785
1.090000	2224.155785
1.100000	2183.370530
1.110000	1932.226009
1.120000	1607.188149
1.130000	1291.995639
1.140000	1025.949847
1.150000	833.791342
1.160000	705.682565
1.170000	615.608525
1.180000	562.346256
1.190000	562.346256
1.200000	562.346256
1.210000	594.551360
1.220000	594.551360
1.230000	594.551360
1.240000	573.292849
1.250000	520.741767
1.260000	467.425136
1.270000	426.921989
1.280000	400.588629
1.290000	400.588629
1.300000	400.588629
1.310000	413.411346
1.320000	440.203291
1.330000	481.708474
1.340000	526.601009
1.350000	577.106676
1.360000	628.042088
1.370000	687.605195
1.380000	752.515053
1.390000	817.160574
1.400000	881.065222
1.410000	943.778965
1.420000	1007.685948
1.430000	1076.463506
1.440000	1145.345903
1.450000	1217.231331
1.460000	1294.065282
1.470000	1294.065282
1.480000	1294.065282
1.490000	1158.789270
1.500000	898.738038
1.510000	598.818069
1.520000	324.739362
1.530000	109.818383
1.540000	-35.261237
1.550000	-131.207533
1.560000	-186.167596
1.570000	-186.167596
1.580000	-186.167596
1.590000	-155.143894
1.600000	-114.492304
1.610000	-114.492304
1.620000	-114.492304
1.630000	-151.728680
1.640000	-199.193235
1.650000	-243.374009
1.660000	-272.842606
1.670000	-272.842606
1.680000	-272.842606
1.690000	-259.607990
1.700000	-225.876098
1.710000	-173.191594
1.720000	-116.320438
1.730000	-45.652615
1.740000	33.248950
1.750000	121.961147
1.760000	215.856241
1.770000	311.633268
1.780000	417.549762
1.790000	514.283892
1.800000	616.390347
1.810000	728.962312
1.820000	839.235428
1.830000	952.744292
1.840000	1056.081536
1.850000	1056.081536
1.860000	1056.081536
1.870000	867.446157
1.880000	574.952056
1.890000	259.531528
1.900000	-13.977532
1.910000	-216.429978
1.920000	-361.975163
1.930000	-465.342495
1.940000	-533.902288
1.950000	-562.108373
1.960000	-562.108373
1.970000	-562.108373
1.980000	-520.511098
1.990000	-503.636421
2.000000	-503.636421
2.010000	-503.636421
2.020000	-535.938697
2.030000	-569.304501
2.040000	-578.147627
2.050000	-578.147627
2.060000	-578.147627
2.070000	-548.580184
2.080000	-501.646848
2.090000	-438.180630
2.100000	-367.122210
2.110000	-285.703019
2.120000	-197.569524
2.130000	-98.157417
2.140000	5.997890
2.150000	122.471932
2.160000	236.548847
2.170000	352.197143
2.180000	471.137950
2.190000	590.955084
2.200000	714.786174
2.210000	832.720824
2.220000	950.520843
2.230000	1066.509294
2.240000	1066.509294
2.250000	1066.509294
2.260000	953.008828
2.270000	669.221021
2.280000	351.008748
2.290000	68.194244
2.300000	-151.064441
2.310000	-307.871863
2.320000	-410.115500
2.330000	-474.922868
2.340000	-505.103648
2.350000	-505.103648
2.360000	-505.103648
2.370000	-462.830585
2.380000	-453.963567
2.390000	-453.963567
2.400000	-453.963567
2.410000	-488.542166
2.420000	-528.815143
2.430000	-560.316001
2.440000	-560.316001
2.450000	-560.316001
2.460000	-533.418546
2.470000	-495.845450
2.480000	-446.136967
2.490000	-378.554688
2.500000	-302.861836
2.510000	-221.207114
2.520000	-126.525727
2.530000	-27.868352
2.540000	71.862496
2.550000	180.534997
2.560000	291.244929
2.570000	401.986361
2.580000	512.666956
2.590000	620.464340
2.600000	731.146462
2.610000	842.955304
2.620000	946.638806
2.630000	1036.099022
2.640000	1036.099022
2.650000	1036.099022
2.660000	838.526034
2.670000	554.866985
2.680000	276.212273
2.690000	47.539920
2.700000	-114.146977
2.710000	-217.827438
2.720000	-275.483687
2.730000	-275.483687
2.740000	-275.483687
2.750000	-255.469839
2.760000	-198.053586
2.770000	-151.769209
2.780000	-151.769209
2.790000	-151.769209
2.800000	-180.434000
2.810000	-215.242347
2.820000	-239.543353
2.830000	-239.543353
2.840000	-239.543353
2.850000	-213.745850
2.860000	-179.615932
2.870000	-128.948129
2.880000	-66.642691
2.890000	-1.133889
2.900000	76.403923
2.910000	158.661748
2.920000	248.503933
2.930000	347.478967
2.940000	446.599945
2.950000	547.349619
2.960000	652.724530
2.970000	756.218322
2.980000	868.921328
2.990000	972.028523
3.000000	1007.543068
3.010000	1007.543068
3.020000	1007.543068
3.030000	776.428247
3.040000	479.172108
3.050000	180.170350
3.060000	-59.185558
3.070000	-248.260654
3.080000	-369.448230
3.090000	-457.815732
3.100000	-502.564643
3.110000	-502.564643
3.120000	-502.564643
3.130000	-476.371991
3.140000	-429.122338
3.150000	-429.122338
3.160000	-429.122338
3.170000	-476.820778
3.180000	-496.471525
3.190000	-542.064056
3.200000	-542.064056
3.210000	-542.064056
3.220000	-523.359445
3.230000	-523.143530
3.240000	-443.537825
3.250000	-427.793713
3.260000	-322.097600
3.270000	-296.101619
3.280000	-296.101619
3.290000	-296.101619
3.300000	-1244.453968
3.310000	-1244.767832
3.320000	-1244.767832
3.330000	-1244.767832
3.340000	-1180.978729
3.350000	-1162.172263
3.360000	-1064.296975
3.370000	-1019.478717
3.380000	-910.918806
3.390000	-841.375680
3.400000	-725.010317
3.410000	-644.723967
3.420000	-528.664840
3.430000	-437.424254
3.440000	-318.998523
3.450000	-224.396057
3.460000	-103.041956
3.470000	-17.667990
3.480000	95.272350
3.490000	197.791947
3.500000	314.769895
3.510000	413.103035
3.520000	461.065980
3.530000	461.065980
3.540000	461.065980
3.550000	228.438194
3.560000	-88.038834
3.570000	-407.275923
3.580000	-672.200438
3.590000	-872.108404
3.600000	-1014.402964
3.610000	-1115.958263
3.620000	-1194.599638
3.630000	-1254.763046
3.640000	-1260.986403
3.650000	-1260.986403
3.660000	-1274.575627
3.670000	-1274.575627
3.680000	-1260.986403
3.690000	-1255.321794
3.700000	-1174.060637
3.710000	-1080.782642
3.720000	-993.916421
3.730000	-892.783722
3.740000	-801.889311
3.750000	-693.634779
3.760000	-592.999762
3.770000	-487.375813
3.780000	-393.183217
3.790000	-288.003504
3.800000	-193.481079
3.810000	-85.498944
3.820000	14.101347
3.830000	123.120967
3.840000	217.575426
3.850000	217.575426
3.860000	217.575426
3.870000	71.755382
3.880000	-205.952869
3.890000	-488.008923
3.900000	-734.882628
3.910000	-902.755377
3.920000	-1039.056981
3.930000	-1108.268021
3.940000	-1171.490768
3.950000	-1171.490768
3.960000	-1171.490768
3.970000	-1136.547162
3.980000	-1111.035663
3.990000	-1111.035663
4.000000	-1111.035663
4.010000	-1111.541695
4.020000	-1175.916764
4.030000	-1177.294773
4.040000	-1183.411143
4.050000	-1183.411143
4.060000	-1183.411143
4.070000	-1117.758718
4.080000	-1112.938408
4.090000	-1000.138298
4.100000	60.063782
4.110000	219.105749
4.120000	279.353409
4.130000	428.668565
4.140000	498.671229
4.150000	640.114629
4.160000	723.225368
4.170000	862.237764
4.180000	930.464337
4.190000	930.464337
4.200000	930.464337
4.210000	754.144520
4.220000	441.444986
4.230000	167.049894
4.240000	-105.146009
4.250000	-276.667750
4.260000	-437.246539
4.270000	-514.933900
4.280000	-603.795569
4.290000	-628.167105
4.300000	-628.167105
4.310000	-628.167105
4.320000	-627.976213
4.330000	-627.976213
4.340000	-627.976213
4.350000	-634.418789
4.360000	-701.411187
4.370000	-708.139108
4.380000	-708.139108
4.390000	-708.139108
4.400000	27.774164
4.410000	174.502679
4.420000	251.169724
4.430000	391.035873
4.440000	472.874954
4.450000	600.195048
4.460000	679.046676
4.470000	798.866819
4.480000	885.778841
4.490000	1008.940523
4.500000	1102.148379
4.510000	1224.367233
4.520000	1270.971352
4.530000	1270.971352
4.540000	1270.971352
4.550000	1073.976204
4.560000	789.673074
4.570000	522.251358
4.580000	296.165310
4.590000	140.548893
4.600000	28.513214
4.610000	-42.076034
4.620000	-100.203071
4.630000	-109.115218
4.640000	-109.115218
4.650000	-109.115218
4.660000	-109.115218
4.670000	-109.115218
4.680000	-125.592008
4.690000	-180.798754
4.700000	-243.454927
4.710000	-289.043698
4.720000	-312.281257
4.730000	-312.281257
4.740000	-312.281257
4.750000	-287.482441
4.760000	-238.216631
4.770000	-171.683826
4.780000	-102.161666
4.790000	-21.814671
4.800000	66.874791
4.810000	161.063349
4.820000	255.915662
4.830000	368.010097
4.840000	472.853666
4.850000	571.035697
4.860000	678.844774
4.870000	779.981798
4.880000	881.911170
4.890000	984.918211
4.900000	1086.981267
4.910000	1206.921911
4.920000	1325.958117
4.930000	1423.895101
4.940000	1423.895101
4.950000	1423.895101
4.960000	1231.026478
4.970000	961.938785
4.980000	687.268608
4.990000	458.940856
5.000000	278.381752
5.010000	159.988192
5.020000	81.403516
5.030000	23.052658
5.040000	10.575213
5.050000	10.575213
5.060000	10.575213
5.070000	44.169601
5.080000	44.169601
5.090000	44.169601
5.100000	16.890918
5.110000	-22.708873
5.120000	-61.003156
5.130000	-71.414979
5.140000	-71.414979
5.150000	-71.414979
5.160000	-35.766598
5.170000	6.671665
5.180000	66.448661
5.190000	135.716014
5.200000	212.688729
5.210000	299.779972
5.220000	390.913480
5.230000	485.867930
5.240000	592.167341
5.250000	695.904778
5.260000	807.495669
5.270000	926.920539
5.280000	1048.816799
5.290000	1156.913715
5.300000	1177.555468
5.310000	1177.555468
5.320000	1177.555468
5.330000	958.799591
5.340000	692.121126
5.350000	430.780988
5.360000	223.681295
5.370000	61.609097
5.380000	-45.700317
5.390000	-88.467202
5.400000	-88.467202
5.410000	-88.467202
5.420000	-48.415030
5.430000	-11.476582
5.440000	45.110391
5.450000	99.396315
5.460000	186.798299
5.470000	256.035860
5.480000	362.784585
5.490000	443.352008
5.500000	569.146231
5.510000	656.245668
5.520000	795.993225
5.530000	880.596189
5.540000	1031.473398
5.550000	1110.236585
5.560000	1264.743037
5.570000	1329.018101
5.580000	1329.018101
5.590000	1329.018101
5.600000	29.712900
5.610000	-5.316506
5.620000	-5.316506
5.630000	-5.316506
5.640000	-5.316506
5.650000	-57.986795
5.660000	-75.898032
5.670000	-95.297394
5.680000	-95.297394
5.690000	-95.297394
5.700000	673.590858
5.710000	786.604784
5.720000	873.946664
5.730000	981.902712
5.740000	1072.069146
5.750000	1158.878320
5.760000	1158.878320
5.770000	1158.878320
5.780000	968.854724
5.790000	709.702521
5.800000	431.684887
5.810000	209.591548
5.820000	38.292722
5.830000	-77.495494
5.840000	-156.166314
5.850000	-181.604811
5.860000	-181.604811
5.870000	-181.604811
5.880000	-139.142450
5.890000	-120.550484
5.900000	-120.550484
5.910000	-120.550484
5.920000	-165.317490
5.930000	-209.439737
5.940000	-239.937909
5.950000	-240.257107
5.960000	-240.257107
5.970000	-240.257107
5.980000	-212.281998
5.990000	-172.147968
6.000000	-124.993934
6.010000	-60.003193
6.020000	6.210332
6.030000	84.207491
6.040000	166.355630
6.050000	254.434759
6.060000	345.478352
6.070000	434.647073
6.080000	528.622633
6.090000	632.845618
6.100000	733.703947
6.110000	829.064773
6.120000	829.064773
6.130000	829.064773
6.140000	666.820326
6.150000	397.382626
6.160000	102.034334
6.170000	-160.435259
6.180000	-364.857011
6.190000	-516.349657
6.200000	-620.764003
6.210000	-694.306442
6.220000	-699.557353
6.230000	-699.557353
6.240000	-699.557353
6.250000	-669.368368
6.260000	-669.368368
6.270000	-669.368368
6.280000	-711.315694
6.290000	-755.366864
6.300000	-796.260773
6.310000	-817.350902
6.320000	-817.350902
6.330000	-817.350902
6.340000	-792.412872
6.350000	-757.230012
6.360000	-706.513560
6.370000	-648.232273
6.380000	-581.608774
6.390000	-506.254379
6.400000	-420.720078
6.410000	-326.303251
6.420000	-228.863353
6.430000	-131.363826
6.440000	-31.010685
