file,time_s,class,prob
耳道- 咳嗽共6次间隔10秒_approx.txt,2.5000,swallow,0.9946
耳道- 咳嗽共6次间隔10秒_approx.txt,4.5000,speak,0.9541
耳道- 咳嗽共6次间隔10秒_approx.txt,5.5000,swallow,0.9185
耳道- 咳嗽共6次间隔10秒_approx.txt,7.2500,speak,0.9606
耳道- 咳嗽共6次间隔10秒_approx.txt,8.5000,swallow,0.9946
耳道- 咳嗽共6次间隔10秒_approx.txt,12.2500,speak,0.7595
耳道- 咳嗽共6次间隔10秒_approx.txt,13.0000,cough,0.7569
耳道- 咳嗽共6次间隔10秒_approx.txt,15.2500,swallow,0.7999
耳道- 咳嗽共6次间隔10秒_approx.txt,16.0000,speak,0.7723
耳道- 咳嗽共6次间隔10秒_approx.txt,17.2500,swallow,0.9904
耳道- 咳嗽共6次间隔10秒_approx.txt,19.5000,swallow,0.9947
耳道- 咳嗽共6次间隔10秒_approx.txt,21.7500,swallow,0.9942
耳道- 咳嗽共6次间隔10秒_approx.txt,24.0000,speak,0.6996
耳道- 咳嗽共6次间隔10秒_approx.txt,24.7500,swallow,0.8928
耳道- 咳嗽共6次间隔10秒_approx.txt,25.5000,speak,0.9508
耳道- 咳嗽共6次间隔10秒_approx.txt,27.2500,swallow,0.8601
耳道- 咳嗽共6次间隔10秒_approx.txt,28.7500,swallow,0.9939
耳道- 咳嗽共6次间隔10秒_approx.txt,30.2500,chew,0.6214
耳道- 咳嗽共6次间隔10秒_approx.txt,31.7500,speak,0.9464
耳道- 咳嗽共6次间隔10秒_approx.txt,34.0000,swallow,0.9947
耳道- 咳嗽共6次间隔10秒_approx.txt,37.2500,swallow,0.9946
耳道- 咳嗽共6次间隔10秒_approx.txt,38.5000,speak,0.9618
耳道- 咳嗽共6次间隔10秒_approx.txt,40.5000,swallow,0.9942
耳道- 咳嗽共6次间隔10秒_approx.txt,43.5000,swallow,0.9182
耳道- 咳嗽共6次间隔10秒_approx.txt,45.7500,swallow,0.6333
耳道- 咳嗽共6次间隔10秒_approx.txt,46.5000,chew,0.6372
