file,time_s,class,prob
耳道-吞咽6次间隔10秒_approx.txt,1.2400,speak,0.9048
耳道-吞咽6次间隔10秒_approx.txt,2.2000,chew,0.6260
耳道-吞咽6次间隔10秒_approx.txt,3.8800,chew,0.6324
耳道-吞咽6次间隔10秒_approx.txt,5.0800,chew,0.6183
耳道-吞咽6次间隔10秒_approx.txt,7.2400,swallow,0.9946
耳道-吞咽6次间隔10秒_approx.txt,8.9200,speak,0.8006
耳道-吞咽6次间隔10秒_approx.txt,10.1200,swallow,0.9947
耳道-吞咽6次间隔10秒_approx.txt,13.9600,swallow,0.9947
耳道-吞咽6次间隔10秒_approx.txt,16.6000,speak,0.9162
耳道-吞咽6次间隔10秒_approx.txt,18.7600,swallow,0.9946
耳道-吞咽6次间隔10秒_approx.txt,20.9200,swallow,0.9946
耳道-吞咽6次间隔10秒_approx.txt,22.6000,swallow,0.9947
耳道-吞咽6次间隔10秒_approx.txt,25.2400,swallow,0.9946
耳道-吞咽6次间隔10秒_approx.txt,27.1600,speak,0.6153
耳道-吞咽6次间隔10秒_approx.txt,28.6000,swallow,0.9947
耳道-吞咽6次间隔10秒_approx.txt,30.5200,speak,0.9552
耳道-吞咽6次间隔10秒_approx.txt,31.7200,speak,0.9633
耳道-吞咽6次间隔10秒_approx.txt,33.1600,swallow,0.9939
耳道-吞咽6次间隔10秒_approx.txt,34.6000,speak,0.6655
耳道-吞咽6次间隔10秒_approx.txt,36.2800,swallow,0.9945
耳道-吞咽6次间隔10秒_approx.txt,37.9600,swallow,0.8458
耳道-吞咽6次间隔10秒_approx.txt,39.6400,chew,0.6336
耳道-吞咽6次间隔10秒_approx.txt,41.0800,swallow,0.9945
耳道-吞咽6次间隔10秒_approx.txt,44.4400,swallow,0.9947
耳道-吞咽6次间隔10秒_approx.txt,46.1200,cough,0.7344
耳道-吞咽6次间隔10秒_approx.txt,46.8400,speak,0.7157
