file,time_s,class,prob
耳道-咀嚼5下共6次间隔10秒_approx.txt,1.9600,speak,0.9633
耳道-咀嚼5下共6次间隔10秒_approx.txt,7.0000,speak,0.9614
耳道-咀嚼5下共6次间隔10秒_approx.txt,7.7200,speak,0.9612
耳道-咀嚼5下共6次间隔10秒_approx.txt,8.6800,speak,0.9594
耳道-咀嚼5下共6次间隔10秒_approx.txt,13.4800,chew,0.7259
耳道-咀嚼5下共6次间隔10秒_approx.txt,16.3600,speak,0.9638
耳道-咀嚼5下共6次间隔10秒_approx.txt,18.5200,chew,0.6635
耳道-咀嚼5下共6次间隔10秒_approx.txt,20.4400,swallow,0.9945
耳道-咀嚼5下共6次间隔10秒_approx.txt,24.2800,swallow,0.9740
耳道-咀嚼5下共6次间隔10秒_approx.txt,28.3600,chew,0.6229
耳道-咀嚼5下共6次间隔10秒_approx.txt,29.3200,chew,0.6381
耳道-咀嚼5下共6次间隔10秒_approx.txt,31.2400,chew,0.6800
耳道-咀嚼5下共6次间隔10秒_approx.txt,32.4400,speak,0.9619
耳道-咀嚼5下共6次间隔10秒_approx.txt,33.1600,chew,0.6545
耳道-咀嚼5下共6次间隔10秒_approx.txt,34.3600,chew,0.6184
耳道-咀嚼5下共6次间隔10秒_approx.txt,36.5200,speak,0.9615
耳道-咀嚼5下共6次间隔10秒_approx.txt,38.9200,swallow,0.9944
耳道-咀嚼5下共6次间隔10秒_approx.txt,42.5200,speak,0.8928
耳道-咀嚼5下共6次间隔10秒_approx.txt,43.4800,chew,0.6921
耳道-咀嚼5下共6次间隔10秒_approx.txt,45.8800,chew,0.7643
耳道-咀嚼5下共6次间隔10秒_approx.txt,46.8400,speak,0.9635
耳道-咀嚼5下共6次间隔10秒_approx.txt,48.0400,chew,0.6275
耳道-咀嚼5下共6次间隔10秒_approx.txt,50.9200,chew,0.6432
