file,time_s,class,prob
耳道-喝水共4次间隔10秒_approx.txt,1.2500,swallow,0.9586
耳道-喝水共4次间隔10秒_approx.txt,3.7500,speak,0.9229
耳道-喝水共4次间隔10秒_approx.txt,5.2500,swallow,0.9240
耳道-喝水共4次间隔10秒_approx.txt,6.2500,speak,0.9620
耳道-喝水共4次间隔10秒_approx.txt,10.5000,swallow,0.9945
耳道-喝水共4次间隔10秒_approx.txt,14.0000,swallow,0.9942
耳道-喝水共4次间隔10秒_approx.txt,15.2500,speak,0.8274
耳道-喝水共4次间隔10秒_approx.txt,18.0000,swallow,0.9946
耳道-喝水共4次间隔10秒_approx.txt,19.5000,swallow,0.9947
耳道-喝水共4次间隔10秒_approx.txt,21.7500,speak,0.9621
耳道-喝水共4次间隔10秒_approx.txt,23.0000,speak,0.9577
耳道-喝水共4次间隔10秒_approx.txt,24.5000,swallow,0.9273
耳道-喝水共4次间隔10秒_approx.txt,25.5000,speak,0.9624
耳道-喝水共4次间隔10秒_approx.txt,27.7500,speak,0.9564
