file,time_s,class,prob
耳道-说话共6次持续5秒间隔10秒_approx.txt,1.5000,speak,0.9635
耳道-说话共6次持续5秒间隔10秒_approx.txt,2.5000,speak,0.9639
耳道-说话共6次持续5秒间隔10秒_approx.txt,3.7500,speak,0.9638
耳道-说话共6次持续5秒间隔10秒_approx.txt,6.0000,speak,0.9639
耳道-说话共6次持续5秒间隔10秒_approx.txt,9.2500,swallow,0.9802
耳道-说话共6次持续5秒间隔10秒_approx.txt,11.0000,speak,0.9634
耳道-说话共6次持续5秒间隔10秒_approx.txt,13.5000,swallow,0.9918
耳道-说话共6次持续5秒间隔10秒_approx.txt,15.0000,speak,0.9636
耳道-说话共6次持续5秒间隔10秒_approx.txt,18.5000,speak,0.9603
耳道-说话共6次持续5秒间隔10秒_approx.txt,21.7500,speak,0.9641
耳道-说话共6次持续5秒间隔10秒_approx.txt,25.2500,chew,0.6538
耳道-说话共6次持续5秒间隔10秒_approx.txt,26.0000,chew,0.6997
耳道-说话共6次持续5秒间隔10秒_approx.txt,27.0000,speak,0.9627
耳道-说话共6次持续5秒间隔10秒_approx.txt,28.0000,speak,0.9631
耳道-说话共6次持续5秒间隔10秒_approx.txt,29.7500,chew,0.6857
耳道-说话共6次持续5秒间隔10秒_approx.txt,31.5000,swallow,0.6871
耳道-说话共6次持续5秒间隔10秒_approx.txt,33.0000,speak,0.9636
耳道-说话共6次持续5秒间隔10秒_approx.txt,35.7500,swallow,0.9938
耳道-说话共6次持续5秒间隔10秒_approx.txt,38.0000,speak,0.9640
耳道-说话共6次持续5秒间隔10秒_approx.txt,40.2500,speak,0.9568
耳道-说话共6次持续5秒间隔10秒_approx.txt,41.2500,swallow,0.8317
耳道-说话共6次持续5秒间隔10秒_approx.txt,43.7500,speak,0.9621
耳道-说话共6次持续5秒间隔10秒_approx.txt,47.7500,speak,0.9639
耳道-说话共6次持续5秒间隔10秒_approx.txt,51.2500,swallow,0.9660
耳道-说话共6次持续5秒间隔10秒_approx.txt,53.0000,speak,0.9619
耳道-说话共6次持续5秒间隔10秒_approx.txt,54.2500,swallow,0.9877
耳道-说话共6次持续5秒间隔10秒_approx.txt,55.5000,swallow,0.9933
耳道-说话共6次持续5秒间隔10秒_approx.txt,57.2500,speak,0.9617
耳道-说话共6次持续5秒间隔10秒_approx.txt,59.2500,speak,0.9638
耳道-说话共6次持续5秒间隔10秒_approx.txt,62.5000,swallow,0.9935
耳道-说话共6次持续5秒间隔10秒_approx.txt,63.2500,speak,0.6150
耳道-说话共6次持续5秒间隔10秒_approx.txt,64.5000,chew,0.6224
耳道-说话共6次持续5秒间隔10秒_approx.txt,65.2500,speak,0.8130
耳道-说话共6次持续5秒间隔10秒_approx.txt,67.7500,swallow,0.6424
耳道-说话共6次持续5秒间隔10秒_approx.txt,68.7500,speak,0.9405
