2025-10-08 21:06:47    绿光---红外光---红光
2.516626E+08 3.517318E+08 -2.558659E+08
-8.36055E+07 1.646461E+09 1381120
1.545006E+07 2.852793E+08 6433536
-9.059642E+08 1.610673E+09 1115140
6.375594E+08 -1.076429E+09 7.399037E+07
8.053107E+08 3.549431E+08 -6.249603E+08
1.009513E+08 1.647313E+09 1386752
1.525346E+07 2.85607E+08 6435072
-8.220781E+08 1.325461E+09 1115652
7.046682E+08 -1.077019E+09 7.169662E+07
-1.392505E+09 3.406562E+08 -3.397542E+08
1.009413E+08 1.635844E+09 1311232
1.571219E+07 2.85607E+08 6384128
-1.073737E+09 1.526785E+09 1115652
-8.220587E+08 -1.07715E+09 7.274517E+07
1.509954E+09 3.317433E+08 -7.759555E+08
8.416666E+07 1.632895E+09 1295360
1.466364E+07 2.85607E+08 6404352
-8.220783E+08 1.308684E+09 1115396
-1.493147E+09 -1.077346E+09 7.405593E+07
-9.898514E+08 3.986556E+08 -3.733064E+08
8.417562E+07 1.675756E+09 1568512
1.512238E+07 2.85607E+08 6547968
-8.556319E+08 1.526785E+09 1115396
-1.845238E+08 -1.077215E+09 7.24175E+07
7.549791E+08 3.8024E+08 -6.081851E+08
1.009434E+08 1.647968E+09 1387264
1.407381E+07 2.85607E+08 6405888
-1.040182E+09 1.258348E+09 1115396
-3.355194E+08 -1.078133E+09 7.143446E+07
-2.097148E+09 3.36593E+08 -5.410803E+08
8.416819E+07 1.640563E+09 1343488
1.446701E+07 2.85607E+08 6421760
-1.006628E+09 1.459675E+09 1115396
1.006884E+08 -1.07715E+09 7.340054E+07
7.549791E+08 3.545499E+08 -7.591752E+08
8.416819E+07 1.647378E+09 1386496
1.459811E+07 2.85607E+08 6435328
-8.388554E+08 1.661002E+09 1115140
6.87891E+08 -1.077084E+09 7.359715E+07
8.220879E+08 3.417703E+08 -1.719834E+08
1.009446E+08 1.647444E+09 1332480
1.59088E+07 2.85607E+08 6435584
-1.056959E+09 1.62745E+09 1115652
1.828742E+09 -1.076494E+09 7.307286E+07
8.220879E+08 3.582199E+08 -3.22976E+08
1.177267E+08 1.647378E+09 1456896
1.623649E+07 2.85607E+08 6435584
-8.891867E+08 1.459683E+09 1115652
-8.388356E+08 -1.07715E+09 7.313842E+07
8.220879E+08 3.716548E+08 -3.397514E+08
1.177216E+08 1.647444E+09 1386240
1.538452E+07 2.784636E+08 6435584
-5.033112E+08 1.107352E+09 1029636
1.660969E+09 -1.076625E+09 7.195874E+07
8.556419E+08 3.406562E+08 -5.243016E+08
-2.513754E+08 1.647378E+09 1332224
1.486023E+07 2.493E+08 6435072
-9.395188E+08 1.493231E+09 972292
-3.858508E+08 -1.077543E+09 7.313842E+07
8.220887E+08 3.550086E+08 -2.558648E+08
-7.71467E+08 1.647444E+09 1387520
1.590882E+07 3.554028E+08 6435840
-4.865339E+08 1.124133E+09 1399556
7.382227E+08 -1.075642E+09 7.123786E+07
8.388662E+08 3.551397E+08 -4.404124E+08
1.896105E+09 1.647378E+09 1387264
1.518793E+07 2.993695E+08 6435328
-7.885237E+08 1.174466E+09 1069572
7.214454E+08 -1.07715E+09 7.071358E+07
8.72419E+08 3.551397E+08 -4.57193E+08
5.371543E+08 1.647575E+09 1387008
1.538452E+07 2.66405E+08 6435328
-2.6843E+08 1.409341E+09 1085700
7.046682E+08 -1.076036E+09 7.208982E+07
8.891968E+08 3.551397E+08 -4.40415E+08
3.383424E+07 1.647313E+09 1387008
1.531899E+07 2.854759E+08 6435072
-8.053009E+08 1.644227E+09 1115652
7.046682E+08 -1.077412E+09 7.359717E+07
2.01327E+09 3.551397E+08 -2.223081E+08
-1.207671E+09 1.613431E+09 1387008
1.571222E+07 2.622762E+08 6294272
-5.033111E+08 1.25835E+09 1028100
6.878904E+08 -1.07597E+09 7.294179E+07
7.046476E+08 3.551397E+08 -3.733023E+08
-2.178189E+08 1.697382E+09 1387008
1.518793E+07 3.284676E+08 6693632
-7.549693E+08 1.593894E+09 1296388
7.046693E+08 -1.077084E+09 7.340055E+07
1.979716E+09 3.550086E+08 -4.236383E+08
1.225018E+09 1.628307E+09 1386496
1.45981E+07 2.646355E+08 6308608
-8.220781E+08 1.426118E+09 1022980
6.54336E+08 -1.077477E+09 7.326946E+07
2.684395E+08 3.550086E+08 -7.088517E+08
5.539366E+08 1.624244E+09 1386496
1.47947E+07 2.791845E+08 6396928
-8.89187E+08 1.476454E+09 1108484
6.543365E+08 -1.077346E+09 7.307287E+07
7.549791E+08 3.548775E+08 -5.578557E+08
6.739379E+07 1.647378E+09 1387008
1.44015E+07 2.829856E+08 6416640
-5.7042E+08 1.577116E+09 1078788
