Time(s)	IR_denoised_wiener
0.000000	551.023867
0.010000	803.533478
0.020000	760.364726
0.030000	745.877168
0.040000	749.691000
0.050000	762.275798
0.060000	753.347117
0.070000	728.828287
0.080000	718.791532
0.090000	726.362960
0.100000	712.844820
0.110000	663.020084
0.120000	512.822775
0.130000	298.679591
0.140000	7.391671
0.150000	-274.325039
0.160000	-525.825265
0.170000	-760.693851
0.180000	-973.592864
0.190000	-1159.665754
0.200000	-1292.234758
0.210000	-1393.037315
0.220000	-1477.124083
0.230000	-1532.265520
0.240000	-1562.655852
0.250000	-1581.448087
0.260000	-1592.758302
0.270000	-1611.588459
0.280000	-1628.052696
0.290000	-1658.059024
0.300000	-1663.457001
0.310000	-1654.252605
0.320000	-1649.475863
0.330000	-1646.642542
0.340000	-1637.399717
0.350000	-1596.573044
0.360000	-1563.419615
0.370000	-1543.328571
0.380000	-1536.676082
0.390000	-1526.619425
0.400000	-1483.813100
0.410000	-1439.657609
0.420000	-1390.098812
0.430000	-1359.351753
0.440000	-1329.846979
0.450000	-1301.001998
0.460000	-1265.484937
0.470000	-1202.188279
0.480000	-1121.114414
0.490000	-1042.307072
0.500000	-971.274420
0.510000	-865.864260
0.520000	-743.833775
0.530000	-621.985797
0.540000	-519.966739
0.550000	-459.343899
0.560000	-437.262734
0.570000	-490.707009
0.580000	-554.840142
0.590000	-601.731365
0.600000	-622.695763
0.610000	-633.380038
0.620000	-640.081996
0.630000	-623.179272
0.640000	-588.090885
0.650000	-554.570542
0.660000	-525.270920
0.670000	-498.500110
0.680000	-482.360195
0.690000	-500.687340
0.700000	-555.268797
0.710000	-617.335966
0.720000	-677.441215
0.730000	-741.235571
0.740000	-830.198709
0.750000	-929.576010
0.760000	-1012.461930
0.770000	-1056.466696
0.780000	-1066.670514
0.790000	-1064.604544
0.800000	-1069.072309
0.810000	-1091.588459
0.820000	-1117.934892
0.830000	-1143.796410
0.840000	-1169.004398
0.850000	-1202.891347
0.860000	-1238.555556
0.870000	-1262.827319
0.880000	-1281.014383
0.890000	-1305.972936
0.900000	-1333.948487
0.910000	-1356.625571
0.920000	-1373.087761
0.930000	-1391.152337
0.940000	-1415.734495
0.950000	-1442.501078
0.960000	-1472.909779
0.970000	-1482.623544
0.980000	-1465.979511
0.990000	-1426.613282
1.000000	-1397.971421
1.010000	-1397.063400
1.020000	-1450.159508
1.030000	-1567.639153
1.040000	-1713.721958
1.050000	-1835.667992
1.060000	-1914.207849
1.070000	-1990.359093
1.080000	-2055.385591
1.090000	-2117.590643
1.100000	-2156.977720
1.110000	-2202.112806
1.120000	-2215.209948
1.130000	-2210.933128
1.140000	-2201.588211
1.150000	-2197.231515
1.160000	-2250.231987
1.170000	-2288.335284
1.180000	-2328.600428
1.190000	-2325.411280
1.200000	-2328.373100
1.210000	-2334.149549
1.220000	-2327.251710
1.230000	-2321.104834
1.240000	-2290.827646
1.250000	-2270.021542
1.260000	-2246.409947
1.270000	-2243.834718
1.280000	-2217.599483
1.290000	-2106.395950
1.300000	-1964.899445
1.310000	-1815.324733
1.320000	-1716.421285
1.330000	-1664.535134
1.340000	-1663.080355
1.350000	-1738.591647
1.360000	-1787.830382
1.370000	-1796.003241
1.380000	-1742.006663
1.390000	-1697.110213
1.400000	-1653.405216
1.410000	-1632.402454
1.420000	-1593.402085
1.430000	-1525.543875
1.440000	-1370.366799
1.450000	-1162.370556
1.460000	-915.369314
1.470000	-736.880551
1.480000	-584.049431
1.490000	-204.904791
1.500000	186.236506
1.510000	544.451655
1.520000	645.948619
1.530000	745.709230
1.540000	869.619659
1.550000	947.292550
1.560000	1010.496787
1.570000	1044.676146
1.580000	1109.841561
1.590000	1215.853498
1.600000	1358.080013
1.610000	1484.168575
1.620000	1575.013875
1.630000	1592.036218
1.640000	1573.433285
1.650000	1492.669348
1.660000	1429.088717
1.670000	1389.383403
1.680000	1369.329884
1.690000	1306.555367
1.700000	1237.461861
1.710000	1207.707491
1.720000	1231.463974
1.730000	1263.655374
1.740000	1305.553735
1.750000	1368.927625
1.760000	1453.908923
1.770000	1537.435400
1.780000	1607.595796
1.790000	1666.618222
1.800000	1711.238943
1.810000	1781.894231
1.820000	1862.033859
1.830000	1936.149836
1.840000	1978.445688
1.850000	1985.112762
1.860000	1949.498382
1.870000	1837.316868
1.880000	1699.771343
1.890000	1580.821591
1.900000	1508.322279
1.910000	1454.497416
1.920000	1427.965417
1.930000	1424.799363
1.940000	1440.268585
1.950000	1509.875701
1.960000	1630.130184
1.970000	1752.829730
1.980000	1801.583146
1.990000	1830.479197
2.000000	1911.423710
2.010000	2041.597014
2.020000	2126.353904
2.030000	2098.466874
2.040000	1965.835399
2.050000	1793.172609
2.060000	1652.017002
2.070000	1582.809145
2.080000	1566.720203
2.090000	1562.403047
2.100000	1580.252884
2.110000	1637.705126
2.120000	1739.775092
2.130000	1822.175288
2.140000	1858.427687
2.150000	1847.743983
