Time(s)	RED_denoised_median
0.000000	399.328059
0.010000	415.108505
0.020000	416.666084
0.030000	417.644504
0.040000	450.918513
0.050000	483.503117
0.060000	483.503117
0.070000	483.503117
0.080000	483.503117
0.090000	483.503117
0.100000	561.859124
0.110000	596.339429
0.120000	596.339429
0.130000	596.339429
0.140000	585.482844
0.150000	574.406661
0.160000	567.820576
0.170000	528.833265
0.180000	469.081206
0.190000	417.205075
0.200000	379.729495
0.210000	329.500559
0.220000	302.567326
0.230000	272.640546
0.240000	223.448158
0.250000	199.964007
0.260000	183.168250
0.270000	163.327762
0.280000	138.925458
0.290000	112.717565
0.300000	80.678111
0.310000	33.105613
0.320000	14.593480
0.330000	-25.755261
0.340000	-82.322819
0.350000	-105.482393
0.360000	-110.136224
0.370000	-110.136224
0.380000	-110.136224
0.390000	-108.610310
0.400000	-90.860671
0.410000	-81.086965
0.420000	-69.643704
0.430000	-69.643704
0.440000	-69.643704
0.450000	-74.790124
0.460000	-75.425893
0.470000	-85.440296
0.480000	-86.352177
0.490000	-86.352177
0.500000	-86.352177
0.510000	-74.656935
0.520000	-53.315805
0.530000	-41.820680
0.540000	-37.027081
0.550000	-32.712017
0.560000	-4.571857
0.570000	-4.571857
0.580000	-4.571857
0.590000	-7.419897
0.600000	-291.986813
0.610000	-308.761346
0.620000	-308.761346
0.630000	-308.761346
0.640000	-304.593533
0.650000	-308.761346
0.660000	-312.520868
0.670000	-326.926092
0.680000	-329.427579
0.690000	-352.131928
0.700000	-357.174230
0.710000	-365.082353
0.720000	-534.071621
0.730000	-598.094417
0.740000	-598.094417
0.750000	-598.094417
0.760000	-472.868579
0.770000	-455.690367
0.780000	-420.372972
0.790000	-388.689755
0.800000	-361.818036
0.810000	-341.357354
0.820000	-339.458548
0.830000	-336.262891
0.840000	-339.458548
0.850000	-339.458548
0.860000	-355.663997
0.870000	-402.066772
0.880000	-427.152890
0.890000	-469.107034
0.900000	-501.463171
0.910000	-511.183294
0.920000	-518.865107
0.930000	-534.229103
0.940000	-534.229103
0.950000	-534.229103
0.960000	-526.511125
0.970000	-517.801641
0.980000	-515.526970
0.990000	-510.487294
1.000000	-510.200956
1.010000	-500.545712
1.020000	-498.637605
1.030000	-495.143786
1.040000	-492.499165
1.050000	-482.351360
1.060000	-469.760562
1.070000	-443.122695
1.080000	-429.492111
1.090000	-393.724631
1.100000	-273.483190
1.110000	-270.287915
1.120000	-256.996180
1.130000	-256.996180
1.140000	-256.318482
1.150000	-205.052587
1.160000	-204.991819
1.170000	-189.316451
1.180000	-165.194791
1.190000	-154.623383
1.200000	-121.239900
1.210000	-100.248886
1.220000	-97.120792
1.230000	-68.400575
1.240000	-56.582598
1.250000	-46.481801
1.260000	-23.930597
1.270000	-5.650847
1.280000	14.781920
1.290000	54.205575
1.300000	94.394924
1.310000	94.394924
1.320000	94.394924
1.330000	79.235541
1.340000	53.360515
1.350000	22.150910
1.360000	22.150910
1.370000	22.150910
1.380000	110.335869
1.390000	110.335869
1.400000	110.335869
1.410000	103.536421
1.420000	60.031044
1.430000	39.475622
1.440000	38.033464
1.450000	38.033464
1.460000	38.033464
1.470000	76.421622
1.480000	133.471562
1.490000	197.394395
1.500000	250.889680
1.510000	311.457822
1.520000	340.147733
1.530000	372.151669
1.540000	375.240009
1.550000	375.729611
1.560000	375.240009
1.570000	375.240009
1.580000	375.945681
1.590000	381.481459
1.600000	524.578427
1.610000	524.578427
1.620000	524.578427
1.630000	517.457284
1.640000	458.119880
1.650000	428.495188
1.660000	398.346784
1.670000	393.515013
1.680000	393.515013
1.690000	393.515013
1.700000	393.773935
1.710000	409.840277
1.720000	422.939729
1.730000	423.018717
1.740000	423.018717
1.750000	423.018717
1.760000	419.482699
1.770000	419.482699
1.780000	412.828086
1.790000	411.895918
1.800000	419.482699
1.810000	419.663327
1.820000	419.663327
1.830000	429.766776
1.840000	436.249855
1.850000	437.373479
1.860000	451.883168
1.870000	465.880871
1.880000	481.550820
1.890000	496.900007
1.900000	496.900007
1.910000	496.900007
1.920000	494.792144
1.930000	493.400014
1.940000	485.378059
1.950000	444.837914
1.960000	418.151059
1.970000	391.097808
1.980000	356.932791
1.990000	337.424005
2.000000	337.424005
2.010000	337.424005
2.020000	340.263070
2.030000	347.077518
2.040000	351.976721
2.050000	367.870984
2.060000	367.870984
2.070000	367.870984
2.080000	362.941339
2.090000	338.311848
2.100000	325.488374
2.110000	314.624401
2.120000	311.235246
2.130000	311.235246
2.140000	311.235246
2.150000	325.753751
2.160000	353.404601
2.170000	362.289890
2.180000	385.736640
2.190000	412.687407
2.200000	431.048860
2.210000	437.090659
2.220000	457.426926
2.230000	464.326887
2.240000	469.896377
2.250000	488.767276
2.260000	488.767276
2.270000	488.767276
2.280000	473.709746
2.290000	471.912515
2.300000	452.036900
2.310000	440.195562
2.320000	440.195562
2.330000	440.195562
2.340000	448.495131
2.350000	467.656349
2.360000	479.714778
2.370000	495.879834
2.380000	501.842250
2.390000	509.151947
2.400000	518.197184
2.410000	518.368378
2.420000	533.959648
2.430000	536.067936
2.440000	537.011819
2.450000	540.664597
2.460000	542.971881
2.470000	555.874306
2.480000	570.246127
2.490000	596.755440
2.500000	609.393604
2.510000	622.721618
2.520000	629.454340
2.530000	643.719511
2.540000	662.440364
2.550000	675.599078
2.560000	679.681727
2.570000	679.681727
2.580000	676.162612
2.590000	675.599078
2.600000	639.800773
2.610000	610.723763
2.620000	571.952147
2.630000	515.278102
2.640000	466.164692
2.650000	412.698067
2.660000	385.461835
2.670000	346.898339
2.680000	334.933345
2.690000	317.874028
2.700000	183.841836
2.710000	181.143417
2.720000	178.201357
2.730000	178.201357
2.740000	176.473369
2.750000	176.473369
2.760000	181.296388
2.770000	181.458697
2.780000	193.518359
2.790000	193.538379
2.800000	197.622004
2.810000	205.534682
2.820000	205.534682
2.830000	205.534682
2.840000	189.641846
2.850000	163.569388
2.860000	147.463394
2.870000	97.487809
2.880000	91.577814
2.890000	68.983295
2.900000	46.863749
2.910000	46.863749
2.920000	46.863749
2.930000	47.755699
2.940000	49.579605
2.950000	49.579605
2.960000	53.702581
2.970000	49.579605
2.980000	47.220454
2.990000	46.041274
3.000000	34.071789
3.010000	33.331442
3.020000	26.570836
3.030000	8.074139
3.040000	8.074139
3.050000	8.074139
3.060000	12.689001
3.070000	20.516176
3.080000	20.516176
3.090000	20.516176
3.100000	-49.847934
3.110000	-90.950696
3.120000	-104.261924
3.130000	-114.971831
3.140000	-124.664299
3.150000	-192.203962
3.160000	-234.564796
3.170000	-234.564796
3.180000	-234.564796
3.190000	-178.379717
3.200000	-128.222666
3.210000	-90.543771
3.220000	-85.976267
3.230000	-83.828824
3.240000	-83.828824
3.250000	-83.246265
3.260000	-83.246265
3.270000	-83.246265
3.280000	-71.424930
3.290000	-54.739461
3.300000	-36.271142
3.310000	-19.293892
3.320000	8.865304
3.330000	21.983271
3.340000	44.077732
3.350000	49.060371
3.360000	55.349524
3.370000	71.075082
