Time(s)	IR_denoised_median
0.000000	-564.904971
0.010000	-564.904971
0.020000	-564.904971
0.030000	-454.630153
0.040000	-389.204251
0.050000	-365.360877
0.060000	-308.293111
0.070000	-261.401265
0.080000	-163.077485
0.090000	-68.745940
0.100000	14.288533
0.110000	37.816343
0.120000	50.233758
0.130000	52.947724
0.140000	97.842639
0.150000	182.450970
0.160000	266.340711
0.170000	266.340711
0.180000	266.340711
0.190000	68.728216
0.200000	-479.355760
0.210000	-484.795185
0.220000	-498.847860
0.230000	-501.655621
0.240000	-501.655621
0.250000	-501.655621
0.260000	-489.993700
0.270000	-458.482819
0.280000	-379.068464
0.290000	-313.986575
0.300000	-246.887570
0.310000	-203.565168
0.320000	-139.471463
0.330000	-78.288043
0.340000	7.128455
0.350000	86.877727
0.360000	151.831848
0.370000	251.251390
0.380000	319.267658
0.390000	396.968548
0.400000	468.598172
0.410000	538.793644
0.420000	634.041722
0.430000	718.501671
0.440000	816.706298
0.450000	879.062395
0.460000	962.721428
0.470000	1026.411240
0.480000	1128.068562
0.490000	1201.479680
0.500000	1267.717075
0.510000	1267.717075
0.520000	1267.717075
0.530000	1179.119570
0.540000	1020.501798
0.550000	818.779645
0.560000	685.197988
0.570000	597.140900
0.580000	559.038301
0.590000	558.135332
0.600000	558.135332
0.610000	558.135332
0.620000	613.780340
0.630000	646.651689
0.640000	646.651689
0.650000	646.651689
0.660000	639.996613
0.670000	623.263594
0.680000	614.832593
0.690000	614.832593
0.700000	614.832593
0.710000	637.643046
0.720000	674.818587
0.730000	700.961253
0.740000	739.003245
0.750000	817.380850
0.760000	881.045810
0.770000	946.083951
0.780000	1015.140509
0.790000	1097.896342
0.800000	1202.321384
0.810000	1307.721784
0.820000	1408.636773
0.830000	1480.588557
0.840000	1555.200692
0.850000	1622.436223
0.860000	1700.939565
0.870000	1761.248792
0.880000	1807.869607
0.890000	1873.236777
0.900000	1897.795290
0.910000	1897.795290
0.920000	1897.795290
0.930000	1797.631565
0.940000	1648.634403
0.950000	1483.319783
0.960000	1343.603546
0.970000	1262.087373
0.980000	1252.813816
0.990000	1252.813816
1.000000	1252.813816
1.010000	1283.768625
1.020000	1340.008368
1.030000	1380.754071
1.040000	1402.414969
1.050000	1402.414969
1.060000	1402.414969
1.070000	1394.462286
1.080000	1383.265705
1.090000	1383.265705
1.100000	1383.265705
1.110000	1413.466077
1.120000	1437.127114
1.130000	1487.007243
1.140000	1495.938175
1.150000	1565.127727
1.160000	1567.238960
1.170000	1650.122042
1.180000	1679.884487
1.190000	1735.821010
1.200000	2337.859906
1.210000	2337.859906
1.220000	2337.859906
1.230000	2332.778410
1.240000	2176.193434
1.250000	2016.758159
1.260000	1793.019863
1.270000	1639.398967
1.280000	1519.500647
1.290000	1462.343373
1.300000	1422.902414
1.310000	1422.902414
1.320000	1422.902414
1.330000	1442.145983
1.340000	1464.590960
1.350000	1464.590960
1.360000	1464.590960
1.370000	1436.669355
1.380000	1413.924702
1.390000	1383.388639
1.400000	1339.925287
1.410000	1335.392745
1.420000	1335.392745
1.430000	1335.392745
1.440000	1347.703669
1.450000	1377.178386
1.460000	1416.738167
1.470000	1442.716933
1.480000	1488.058384
1.490000	1537.252878
1.500000	1576.514049
1.510000	1625.010278
1.520000	1715.137202
1.530000	1765.586748
1.540000	1825.249519
1.550000	1852.045109
1.560000	1949.894764
1.570000	1979.968823
1.580000	1979.968823
1.590000	1979.968823
1.600000	1451.648583
1.610000	1290.694664
1.620000	1223.948000
1.630000	1151.867418
1.640000	1143.844310
1.650000	1113.047110
1.660000	1113.047110
1.670000	1113.047110
1.680000	1113.047110
1.690000	1113.047110
1.700000	1076.938502
1.710000	1039.975095
1.720000	1000.275297
1.730000	977.770332
1.740000	935.589451
1.750000	928.659023
1.760000	926.946371
1.770000	926.946371
1.780000	928.659023
1.790000	963.112738
1.800000	1453.059157
1.810000	1499.218478
1.820000	1518.375593
1.830000	1575.491141
1.840000	1611.484526
1.850000	1648.118972
1.860000	1695.695031
1.870000	1695.695031
1.880000	1695.695031
1.890000	1624.972888
1.900000	1498.088387
1.910000	1287.049557
1.920000	1056.796421
1.930000	894.319070
1.940000	788.366763
1.950000	732.734418
1.960000	692.991397
1.970000	692.991397
1.980000	692.991397
1.990000	706.362505
2.000000	706.362505
2.010000	706.362505
2.020000	688.888868
2.030000	645.032443
2.040000	623.692342
2.050000	580.419770
2.060000	554.856734
2.070000	554.856734
2.080000	554.856734
2.090000	583.210863
2.100000	608.741950
2.110000	621.766946
2.120000	672.541952
2.130000	707.165368
2.140000	780.769606
2.150000	797.276421
2.160000	868.696489
2.170000	897.940615
2.180000	897.940615
2.190000	897.940615
2.200000	436.053019
2.210000	431.027245
2.220000	410.980454
2.230000	367.189685
2.240000	359.010964
2.250000	277.732072
2.260000	268.861003
2.270000	258.165938
2.280000	258.165938
2.290000	258.165938
2.300000	278.810788
2.310000	304.623371
2.320000	354.711661
2.330000	390.476043
2.340000	446.937373
2.350000	469.204096
2.360000	538.659400
2.370000	594.663791
2.380000	657.725712
2.390000	733.202964
2.400000	803.850716
2.410000	862.891336
2.420000	932.174469
2.430000	975.540168
2.440000	1022.798865
2.450000	1095.284828
2.460000	1167.413153
2.470000	1204.121860
2.480000	1246.354233
2.490000	1251.794243
2.500000	1251.794243
2.510000	1251.794243
2.520000	1123.839012
2.530000	893.327645
2.540000	632.870892
2.550000	400.937490
2.560000	226.937827
2.570000	123.616002
2.580000	75.040014
2.590000	11.259732
2.600000	-167.917291
2.610000	-167.917291
2.620000	-167.917291
2.630000	-145.480568
2.640000	-113.719547
2.650000	-82.093783
2.660000	-40.357103
2.670000	17.391218
2.680000	69.038126
2.690000	109.031005
2.700000	185.690195
2.710000	246.502292
2.720000	308.641688
2.730000	353.984222
2.740000	415.841617
2.750000	475.429798
2.760000	533.200677
2.770000	578.951975
2.780000	666.841930
2.790000	714.203329
2.800000	774.962883
2.810000	835.372894
2.820000	882.188846
2.830000	958.801179
2.840000	958.801179
2.850000	958.801179
2.860000	906.522230
2.870000	734.032784
2.880000	487.886245
2.890000	238.004937
2.900000	-201.352144
2.910000	-248.816693
2.920000	-279.117733
2.930000	-305.547319
2.940000	-326.083635
2.950000	-326.083635
2.960000	-326.083635
2.970000	-305.255038
2.980000	-289.461752
2.990000	-226.022745
3.000000	342.777523
3.010000	422.314927
3.020000	477.118324
3.030000	531.536976
3.040000	580.471113
3.050000	663.975424
3.060000	728.659128
3.070000	728.659128
3.080000	728.659128
3.090000	635.655060
3.100000	452.818706
3.110000	244.997766
3.120000	76.967643
3.130000	-11.640298
3.140000	-56.001118
3.150000	-56.001118
3.160000	-56.001118
3.170000	-49.469561
3.180000	-39.855774
3.190000	8.599132
3.200000	30.750744
3.210000	30.750744
3.220000	30.750744
3.230000	-16.649159
3.240000	-23.122999
3.250000	-23.122999
3.260000	-23.122999
3.270000	-12.751563
3.280000	15.015737
3.290000	76.898725
3.300000	118.037221
3.310000	155.826290
3.320000	227.190641
3.330000	272.566613
3.340000	329.688539
3.350000	418.334329
3.360000	479.044989
3.370000	547.438831
3.380000	622.375590
3.390000	704.623147
3.400000	759.683363
3.410000	822.070497
3.420000	906.008341
3.430000	973.446651
3.440000	1046.570580
3.450000	1109.790307
3.460000	1174.277001
3.470000	1259.226106
3.480000	1270.378696
3.490000	1270.378696
3.500000	1270.378696
3.510000	1137.678366
3.520000	920.023731
3.530000	688.726749
3.540000	510.722589
3.550000	396.685816
3.560000	317.376385
3.570000	281.813889
3.580000	243.942187
3.590000	243.942187
3.600000	243.942187
3.610000	276.571320
3.620000	296.073121
3.630000	296.073121
3.640000	296.073121
3.650000	271.414560
3.660000	249.998767
3.670000	230.229247
3.680000	230.229247
3.690000	230.229247
3.700000	237.821059
3.710000	278.687804
3.720000	309.490941
3.730000	351.767743
3.740000	409.164375
3.750000	474.870978
3.760000	510.803246
3.770000	581.306199
3.780000	651.218789
3.790000	715.874460
3.800000	778.705170
3.810000	858.532893
3.820000	936.134260
3.830000	998.254216
3.840000	1074.727487
3.850000	1134.854351
3.860000	1193.490189
3.870000	1269.509150
3.880000	1334.164989
3.890000	1373.246018
3.900000	1448.088686
3.910000	1448.088686
3.920000	1448.088686
3.930000	1415.339051
3.940000	1265.074127
3.950000	1003.910211
3.960000	754.564272
3.970000	576.343115
3.980000	419.790780
3.990000	334.081181
4.000000	274.793666
4.010000	235.957466
4.020000	218.936893
4.030000	210.826206
4.040000	206.687984
4.050000	165.068073
4.060000	154.769656
4.070000	100.854344
4.080000	66.256779
4.090000	17.401473
4.100000	-1.083897
4.110000	-1.083897
4.120000	-1.083897
4.130000	1.838739
4.140000	25.263180
4.150000	39.675011
4.160000	91.839815
4.170000	153.323950
4.180000	244.569056
4.190000	306.772765
4.200000	408.665257
4.210000	430.720357
4.220000	532.543104
4.230000	595.919040
4.240000	701.981767
4.250000	741.607604
4.260000	848.097846
4.270000	883.562034
4.280000	1018.069608
4.290000	1047.497692
4.300000	1195.223629
4.310000	1254.258528
4.320000	1450.145210
4.330000	1450.145210
4.340000	1450.145210
4.350000	1257.941168
4.360000	1110.111034
4.370000	606.307316
4.380000	376.984921
4.390000	-103.501998
4.400000	-3263.509303
4.410000	-3272.386652
4.420000	-3272.386652
4.430000	-3263.509303
4.440000	-3099.777877
4.450000	-3041.086532
4.460000	-2919.762095
4.470000	-2822.511606
4.480000	-2584.949038
4.490000	-2580.939274
4.500000	-2444.985498
4.510000	-2352.994275
4.520000	-2025.738028
4.530000	-1830.839329
4.540000	-1573.960008
4.550000	-1456.785732
4.560000	-1219.929968
4.570000	-1136.208921
4.580000	-1136.208921
4.590000	-1136.208921
4.600000	-1423.689312
4.610000	-1423.689312
4.620000	-1423.689312
4.630000	-1406.386846
4.640000	-1317.760576
4.650000	-1285.454694
4.660000	-1180.147066
4.670000	-1158.329176
4.680000	-1130.577298
4.690000	-1128.172448
4.700000	-1120.039108
4.710000	-1120.039108
4.720000	-1090.330498
4.730000	-1045.470818
4.740000	-1004.060150
4.750000	-983.815425
4.760000	-944.657945
4.770000	-884.291237
4.780000	-812.316393
4.790000	-752.835391
4.800000	-662.819509
4.810000	-628.764870
4.820000	-550.840965
4.830000	-479.136733
4.840000	-414.759021
4.850000	-323.443090
4.860000	-252.308458
4.870000	-252.308458
4.880000	-252.308458
4.890000	-390.739059
4.900000	-605.680447
4.910000	-786.582441
4.920000	-954.448922
4.930000	-1030.186554
4.940000	-1083.662672
4.950000	-1093.576892
4.960000	-1100.645194
4.970000	-1100.645194
4.980000	-1100.645194
4.990000	-1026.287741
5.000000	-430.031829
5.010000	-331.996284
5.020000	-292.046335
5.030000	-255.399611
5.040000	-255.399611
5.050000	-255.399611
5.060000	-407.015261
5.070000	-593.849688
5.080000	-819.755603
5.090000	-971.019667
5.100000	-1110.022824
5.110000	-1177.900273
5.120000	-1238.671600
5.130000	-1253.542937
5.140000	-1277.623122
5.150000	-1277.623122
5.160000	-1277.741065
5.170000	-1280.997297
5.180000	-1277.741065
5.190000	-1276.387323
5.200000	-1276.387323
5.210000	-1221.205128
5.220000	-1175.785746
5.230000	-1118.610319
5.240000	-1089.400699
5.250000	-1032.803012
5.260000	-966.264542
5.270000	-926.096744
5.280000	-868.959128
5.290000	-828.652144
5.300000	-777.535031
5.310000	-716.335799
5.320000	-645.159825
5.330000	-591.144562
5.340000	-591.144562
5.350000	-591.144562
5.360000	-639.372256
5.370000	-828.090006
5.380000	-1065.902260
5.390000	-1271.004724
5.400000	-1548.999552
5.410000	-1609.885672
5.420000	-1622.409829
5.430000	-1646.521004
5.440000	-1646.521004
5.450000	-1646.521004
5.460000	-1615.674262
5.470000	-1592.564696
5.480000	-1557.567581
5.490000	-1513.884128
5.500000	-1474.542257
5.510000	-1403.122241
5.520000	-1348.806656
5.530000	-1279.190987
5.540000	-1221.289069
5.550000	-1153.180237
5.560000	-1115.999659
5.570000	-1060.977620
5.580000	-981.882213
5.590000	-906.924797
5.600000	-869.835170
5.610000	-832.730578
5.620000	-798.978790
5.630000	-798.978790
5.640000	-798.978790
5.650000	-938.749182
5.660000	-1137.154277
5.670000	-1322.572231
5.680000	-1470.514700
5.690000	-1523.334451
5.700000	-1523.766716
5.710000	-1523.766716
5.720000	-1523.334451
5.730000	-1479.010032
5.740000	-1446.833172
5.750000	-1377.445508
5.760000	-1341.285099
5.770000	-1261.531713
5.780000	-1217.220201
5.790000	-1122.219296
5.800000	-457.019924
5.810000	-356.505618
5.820000	-356.505618
5.830000	-356.505618
5.840000	-434.303579
5.850000	-595.950696
5.860000	-845.914910
5.870000	-1018.178972
5.880000	-1150.138940
5.890000	-1244.365476
5.900000	-1310.435957
5.910000	-1313.483510
5.920000	-1313.483510
5.930000	-1313.483510
5.940000	-1310.930805
5.950000	-1260.215286
5.960000	-1258.358395
5.970000	-1258.358395
5.980000	-1258.358395
5.990000	-1271.268337
6.000000	-1302.979110
6.010000	-1302.979110
6.020000	-1302.979110
6.030000	-1293.687261
6.040000	-1261.916836
6.050000	-1206.989312
