Time(s)	RED_denoised_wiener
0.000000	-141.743745
0.010000	-192.212784
0.020000	-156.810002
0.030000	-123.303516
0.040000	-89.176773
0.050000	-51.408032
0.060000	-19.593066
0.070000	10.176646
0.080000	30.946547
0.090000	49.451638
0.100000	59.102583
0.110000	46.026616
0.120000	-4.423212
0.130000	-96.048016
0.140000	-194.857638
0.150000	-279.168574
0.160000	-339.671203
0.170000	-371.312336
0.180000	-388.549561
0.190000	-402.123449
0.200000	-414.749794
0.210000	-420.922248
0.220000	-410.614229
0.230000	-397.796590
0.240000	-386.126313
0.250000	-382.020830
0.260000	-391.646363
0.270000	-403.204056
0.280000	-409.520446
0.290000	-405.400376
0.300000	-401.445240
0.310000	-398.242843
0.320000	-391.362892
0.330000	-378.096336
0.340000	-362.973044
0.350000	-346.611353
0.360000	-321.900550
0.370000	-294.165419
0.380000	-264.821859
0.390000	-235.056370
0.400000	-204.409133
0.410000	-172.283737
0.420000	-134.322506
0.430000	-95.205325
0.440000	-58.234461
0.450000	-33.480837
0.460000	-6.413812
0.470000	25.208635
0.480000	62.068321
0.490000	96.875682
0.500000	128.233140
0.510000	155.210884
0.520000	185.087742
0.530000	203.487545
0.540000	194.272138
0.550000	142.101396
0.560000	61.206447
0.570000	-24.923605
0.580000	-96.533417
0.590000	-116.230389
0.600000	-104.428583
0.610000	-83.204576
0.620000	-84.011979
0.630000	-86.030636
0.640000	-73.270393
0.650000	-51.578061
0.660000	-31.870423
0.670000	-14.423589
0.680000	5.884076
0.690000	35.407673
0.700000	69.950024
0.710000	104.911961
0.720000	138.030216
0.730000	173.107768
0.740000	207.100155
0.750000	238.984711
0.760000	266.509329
0.770000	293.554804
0.780000	323.259795
0.790000	349.108734
0.800000	376.386713
0.810000	401.649750
0.820000	428.544518
0.830000	455.855839
0.840000	485.389392
0.850000	519.743220
0.860000	548.879017
0.870000	574.676462
0.880000	603.728381
0.890000	634.267201
0.900000	646.542472
0.910000	617.530056
0.920000	544.092613
0.930000	447.207556
0.940000	357.685149
0.950000	306.902310
0.960000	285.515180
0.970000	276.258280
0.980000	264.702945
