Time(s)	RED_denoised_wiener
0.000000	743.070485
0.010000	1047.814298
0.020000	929.828535
0.030000	839.547952
0.040000	772.701212
0.050000	729.690936
0.060000	706.290068
0.070000	706.918962
0.080000	716.218279
0.090000	726.226708
0.100000	742.241356
0.110000	770.260542
0.120000	803.285268
0.130000	816.634713
0.140000	811.120464
0.150000	808.787496
0.160000	823.652922
0.170000	844.589544
0.180000	859.232651
0.190000	875.162715
0.200000	898.189526
0.210000	926.429091
0.220000	949.168810
0.230000	963.094763
0.240000	982.240360
0.250000	1011.445441
0.260000	1044.323631
0.270000	1081.189373
0.280000	1110.748822
0.290000	1145.371045
0.300000	1180.164962
0.310000	1226.300785
0.320000	1281.914850
0.330000	1325.210911
0.340000	1366.119254
0.350000	1403.122541
0.360000	1439.702561
0.370000	1466.696835
0.380000	1479.996017
0.390000	1459.255007
0.400000	1381.977562
0.410000	1261.938983
0.420000	1144.069700
0.430000	1053.592687
0.440000	988.442902
0.450000	951.615118
0.460000	943.495916
0.470000	954.295380
0.480000	961.866236
0.490000	964.715743
0.500000	961.920277
0.510000	966.856321
0.520000	972.932523
0.530000	972.338702
0.540000	971.661558
0.550000	964.461308
0.560000	951.418234
0.570000	925.235501
0.580000	903.582386
0.590000	893.317640
0.600000	878.018958
0.610000	840.733405
0.620000	798.549494
0.630000	769.818483
0.640000	750.349332
0.650000	706.485882
0.660000	624.866857
0.670000	508.525613
0.680000	385.445564
0.690000	255.479419
0.700000	103.305946
0.710000	-70.200264
0.720000	-256.826145
0.730000	-420.484007
0.740000	-574.776660
0.750000	-741.473448
0.760000	-946.422966
0.770000	-1163.338934
0.780000	-1345.700914
0.790000	-1505.386670
0.800000	-1686.423650
0.810000	-1895.690151
0.820000	-2086.357935
0.830000	-2229.068609
0.840000	-2340.446771
0.850000	-2421.433491
0.860000	-2470.559718
0.870000	-2500.201683
0.880000	-2535.407288
0.890000	-2575.266251
0.900000	-2586.534895
0.910000	-2575.141742
0.920000	-2567.757279
0.930000	-2581.028634
0.940000	-2598.595711
0.950000	-2605.293271
0.960000	-2604.193105
0.970000	-2590.245534
0.980000	-2556.496244
0.990000	-2500.254844
1.000000	-2438.900852
1.010000	-2382.625084
1.020000	-2349.375087
1.030000	-2333.646867
1.040000	-2327.559696
1.050000	-2319.710144
1.060000	-2312.166730
1.070000	-2309.499955
1.080000	-2303.459104
1.090000	-2277.989764
1.100000	-2230.510777
1.110000	-2175.583130
1.120000	-2127.953601
1.130000	-2086.524439
1.140000	-2039.760025
1.150000	-1997.918669
1.160000	-1964.608694
1.170000	-1932.343702
1.180000	-1921.596184
1.190000	-1976.563338
1.200000	-2115.576136
1.210000	-2271.612768
1.220000	-2388.651227
1.230000	-2451.172397
1.240000	-2484.905911
1.250000	-2502.763783
1.260000	-2498.843196
1.270000	-2481.128223
1.280000	-2454.841759
1.290000	-2434.922144
1.300000	-2407.832164
1.310000	-2381.512345
1.320000	-2359.882704
1.330000	-2351.854641
1.340000	-2350.294756
1.350000	-2339.579711
1.360000	-2320.826039
1.370000	-2287.691364
1.380000	-2244.794968
1.390000	-2198.549267
1.400000	-2143.138742
1.410000	-2086.854771
1.420000	-2022.850205
1.430000	-1954.264034
1.440000	-1881.965483
1.450000	-1809.089945
1.460000	-1734.479753
1.470000	-1670.698006
1.480000	-1609.682177
1.490000	-1555.083369
1.500000	-1498.597208
1.510000	-1443.579842
1.520000	-1381.893385
1.530000	-1308.497825
