Time(s)	GREEN_denoised_wiener
0.000000	303.323824
0.010000	482.926533
0.020000	537.569526
0.030000	594.808963
0.040000	652.123181
0.050000	713.063078
0.060000	775.015058
0.070000	839.015846
0.080000	904.257299
0.090000	967.651249
0.100000	1016.829743
0.110000	1023.598998
0.120000	975.467912
0.130000	876.615237
0.140000	749.846716
0.150000	617.653518
0.160000	497.902484
0.170000	404.370318
0.180000	334.603511
0.190000	284.104755
0.200000	246.656475
0.210000	224.552640
0.220000	216.723678
0.230000	216.675844
0.240000	217.479973
0.250000	212.824435
0.260000	206.287189
0.270000	198.990104
0.280000	194.458229
0.290000	194.508370
0.300000	203.326460
0.310000	221.708070
0.320000	249.215444
0.330000	283.593643
0.340000	323.798676
0.350000	369.505504
0.360000	418.066562
0.370000	470.117468
0.380000	524.353588
0.390000	579.754729
0.400000	634.663424
0.410000	691.093341
0.420000	749.660728
0.430000	809.452425
0.440000	869.348833
0.450000	928.837904
0.460000	990.403244
0.470000	1051.567850
0.480000	1113.826666
0.490000	1176.316089
0.500000	1239.612140
0.510000	1304.088526
0.520000	1364.072409
0.530000	1397.841591
0.540000	1380.548769
0.550000	1301.324344
0.560000	1175.789132
0.570000	1028.188639
0.580000	880.046472
0.590000	750.403826
0.600000	646.295130
0.610000	567.623635
0.620000	505.878128
0.630000	457.882118
0.640000	425.498889
0.650000	406.820729
0.660000	394.795902
0.670000	379.107310
0.680000	356.469055
0.690000	330.770313
0.700000	304.494946
0.710000	280.791622
0.720000	261.540380
0.730000	250.841936
0.740000	249.265563
0.750000	256.245121
0.760000	270.009968
0.770000	290.007386
0.780000	315.108395
0.790000	343.790710
0.800000	374.227993
0.810000	407.604172
0.820000	443.030295
0.830000	479.772987
0.840000	516.519122
0.850000	552.965881
0.860000	590.366712
0.870000	628.174834
0.880000	667.238983
0.890000	706.398959
0.900000	747.139045
0.910000	789.639864
0.920000	836.398992
0.930000	882.212963
0.940000	905.634156
0.950000	880.459314
0.960000	793.257187
0.970000	660.807899
0.980000	508.589831
0.990000	360.504335
1.000000	232.586172
1.010000	131.861118
1.020000	59.584873
1.030000	7.877464
1.040000	-25.717092
1.050000	-41.750074
1.060000	-44.010619
1.070000	-42.377225
1.080000	-47.957296
1.090000	-61.960519
1.100000	-80.206046
1.110000	-98.527616
1.120000	-114.777656
1.130000	-125.074148
1.140000	-127.338635
1.150000	-120.608378
1.160000	-104.218614
1.170000	-79.466391
1.180000	-47.082314
1.190000	-9.648313
1.200000	32.407533
1.210000	79.185301
1.220000	128.571839
1.230000	178.365665
1.240000	227.419153
1.250000	276.230447
1.260000	327.619192
1.270000	381.767451
1.280000	438.163240
1.290000	495.982625
1.300000	554.720300
1.310000	615.881902
1.320000	673.602133
1.330000	709.090464
1.340000	692.464717
1.350000	611.358109
1.360000	476.735448
1.370000	316.683262
1.380000	155.673148
1.390000	13.672688
1.400000	-100.744058
1.410000	-187.017101
1.420000	-250.835892
1.430000	-295.357656
1.440000	-320.911268
1.450000	-327.689402
1.460000	-319.655484
1.470000	-300.679626
1.480000	-284.418899
1.490000	-270.624222
1.500000	-265.860507
1.510000	-258.846189
1.520000	-253.336712
1.530000	-238.688813
1.540000	-221.186517
1.550000	-191.148265
1.560000	-159.754537
1.570000	-119.885269
1.580000	-80.026803
1.590000	-30.567513
1.600000	17.649572
1.610000	72.138585
1.620000	119.272239
1.630000	175.264105
1.640000	224.812243
1.650000	285.817818
1.660000	334.240483
1.670000	393.839346
1.680000	438.200547
1.690000	297.135373
1.700000	81.936201
1.710000	-167.094673
1.720000	-271.279426
1.730000	-340.448714
1.740000	-406.947393
1.750000	-449.320393
1.760000	-486.057383
1.770000	-501.764892
1.780000	-520.274559
1.790000	-533.120367
1.800000	-554.219793
1.810000	-569.398827
1.820000	-587.227858
1.830000	-592.947123
1.840000	-593.295769
1.850000	-577.782437
1.860000	-554.749961
1.870000	-518.915082
1.880000	-477.907911
1.890000	-428.018403
1.900000	-374.759877
1.910000	-317.774472
1.920000	-261.293511
1.930000	-202.179554
1.940000	-142.845158
1.950000	-81.910506
1.960000	-21.743566
1.970000	40.034933
1.980000	101.676526
1.990000	164.986457
2.000000	227.414132
2.010000	291.949159
2.020000	357.469558
2.030000	427.252874
2.040000	495.495452
2.050000	540.508182
2.060000	531.157104
2.070000	453.806388
2.080000	322.221993
2.090000	164.137400
2.100000	5.944104
2.110000	-134.226906
2.120000	-246.362250
2.130000	-331.294041
2.140000	-397.362469
2.150000	-449.692459
2.160000	-490.695552
2.170000	-516.079646
2.180000	-530.059376
2.190000	-538.478878
2.200000	-550.774158
2.210000	-562.514636
2.220000	-573.508711
2.230000	-580.216173
2.240000	-581.926187
2.250000	-576.255106
2.260000	-560.685455
2.270000	-536.312954
2.280000	-504.120232
2.290000	-465.715166
2.300000	-422.229837
2.310000	-374.459404
