Time(s)	IR_denoised_wiener
0.000000	46.050481
0.010000	77.345966
0.020000	94.313733
0.030000	120.540678
0.040000	147.461620
0.050000	180.099804
0.060000	220.929725
0.070000	266.302788
0.080000	311.722967
0.090000	339.129435
0.100000	321.151680
0.110000	252.344126
0.120000	159.329746
0.130000	83.928613
0.140000	33.073494
0.150000	-11.227076
0.160000	-49.138740
0.170000	-81.054888
0.180000	-102.676138
0.190000	-121.920864
0.200000	-132.846628
0.210000	-138.816783
0.220000	-146.697676
0.230000	-162.715099
0.240000	-185.866246
0.250000	-199.908818
0.260000	-208.092159
0.270000	-219.121211
0.280000	-232.964316
0.290000	-243.319835
0.300000	-242.502668
0.310000	-235.222374
0.320000	-219.024424
0.330000	-201.488762
0.340000	-189.212976
0.350000	-178.395953
0.360000	-167.744317
0.370000	-141.599459
0.380000	-108.343993
0.390000	-74.800851
0.400000	-42.263851
0.410000	-19.023360
0.420000	1.187843
0.430000	17.065039
0.440000	43.348780
0.450000	85.794068
0.460000	137.139413
0.470000	180.161317
0.480000	225.338514
0.490000	285.868551
0.500000	342.781917
0.510000	395.291841
0.520000	424.174259
0.530000	423.083541
0.540000	377.209851
0.550000	298.281418
0.560000	226.323237
0.570000	168.723180
0.580000	135.778255
0.590000	125.130609
0.600000	124.874253
0.610000	122.871384
0.620000	111.984747
0.630000	106.003843
0.640000	112.746490
0.650000	118.745601
0.660000	120.202657
0.670000	110.146622
0.680000	107.731997
0.690000	116.506303
0.700000	129.233350
0.710000	143.882015
0.720000	150.046877
0.730000	155.977577
0.740000	159.166238
0.750000	161.420474
0.760000	152.922587
0.770000	141.915327
0.780000	132.336228
0.790000	129.416280
0.800000	129.060232
0.810000	127.922032
0.820000	133.817731
0.830000	140.391794
0.840000	150.938093
0.850000	162.179962
0.860000	175.073291
0.870000	189.301270
0.880000	198.862937
0.890000	211.463706
0.900000	227.636454
0.910000	240.275487
0.920000	265.477440
0.930000	287.002279
0.940000	279.296756
0.950000	217.735610
0.960000	116.894477
0.970000	20.887551
0.980000	-62.269393
0.990000	-120.946282
1.000000	-159.472723
1.010000	-183.780064
1.020000	-202.010932
1.030000	-219.601808
1.040000	-230.178686
1.050000	-239.117728
1.060000	-247.997834
1.070000	-258.295106
1.080000	-275.155383
1.090000	-292.436384
1.100000	-307.985372
1.110000	-318.903673
1.120000	-317.129149
1.130000	-316.425453
1.140000	-311.548503
1.150000	-302.288746
1.160000	-284.618289
1.170000	-257.821957
1.180000	-237.727563
1.190000	-213.275267
1.200000	-189.875917
1.210000	-157.680398
1.220000	-126.404967
1.230000	-101.066137
1.240000	-78.571819
1.250000	-50.764591
1.260000	-15.749051
1.270000	19.185326
1.280000	59.448975
1.290000	107.467534
1.300000	149.610170
1.310000	183.788827
1.320000	203.433214
1.330000	199.444113
1.340000	153.906425
1.350000	79.858904
1.360000	10.777031
1.370000	-52.474502
1.380000	-102.325803
1.390000	-144.168592
1.400000	-163.699521
1.410000	-164.904453
1.420000	-148.388717
1.430000	-114.965538
1.440000	-75.429873
1.450000	-41.353190
1.460000	-22.122686
1.470000	33.434613
1.480000	124.049699
