Time(s)	GREEN_denoised_wiener
0.000000	771.487700
0.010000	1134.009096
0.020000	1059.597716
0.030000	927.183153
0.040000	718.173888
0.050000	460.693882
0.060000	179.613521
0.070000	-102.933146
0.080000	-378.450520
0.090000	-627.666098
0.100000	-815.943862
0.110000	-921.575360
0.120000	-977.731373
0.130000	-1017.965075
0.140000	-1035.556966
0.150000	-1040.552148
0.160000	-1021.811635
0.170000	-1022.779003
0.180000	-1033.746118
0.190000	-1037.480250
0.200000	-1026.538470
0.210000	-1001.704320
0.220000	-987.565670
0.230000	-971.999596
0.240000	-970.175764
0.250000	-955.022675
0.260000	-929.381049
0.270000	-894.222868
0.280000	-868.152882
0.290000	-854.902860
0.300000	-821.346658
0.310000	-761.850725
0.320000	-689.787513
0.330000	-635.709833
0.340000	-597.672337
0.350000	-555.387626
0.360000	-494.779113
0.370000	-422.663524
0.380000	-348.770433
0.390000	-295.519975
0.400000	-268.263054
0.410000	-275.936942
0.420000	-297.894229
0.430000	-318.255962
0.440000	-368.212786
0.450000	-420.307810
0.460000	-460.130222
0.470000	-481.280515
0.480000	-515.721008
0.490000	-560.728404
0.500000	-574.109635
0.510000	-543.166007
0.520000	-495.520168
0.530000	-456.176700
0.540000	-431.796381
0.550000	-413.062016
0.560000	-379.629926
0.570000	-330.590767
0.580000	-280.431587
0.590000	-237.029627
0.600000	-208.163673
0.610000	-183.351459
0.620000	-164.532100
0.630000	-155.950945
0.640000	-157.829890
0.650000	-165.814033
0.660000	-184.096422
0.670000	-238.684726
0.680000	-292.473054
0.690000	-353.298058
0.700000	-401.061248
0.710000	-480.379844
0.720000	-572.435000
0.730000	-670.791177
0.740000	-779.468749
0.750000	-881.110817
0.760000	-991.563117
0.770000	-1080.943350
0.780000	-1174.783899
0.790000	-1257.305685
0.800000	-1326.688667
0.810000	-1385.996118
0.820000	-1439.246443
0.830000	-1498.360998
0.840000	-1567.772070
0.850000	-1637.009039
0.860000	-1711.668250
0.870000	-1780.940764
0.880000	-1844.256937
0.890000	-1906.220047
0.900000	-1955.470753
0.910000	-1995.879073
0.920000	-2036.706222
0.930000	-2081.531591
0.940000	-2136.961340
0.950000	-2200.171772
0.960000	-2248.176860
0.970000	-2299.276661
0.980000	-2343.334441
0.990000	-2381.434708
1.000000	-2436.910960
1.010000	-2475.126845
1.020000	-2506.640380
1.030000	-2531.153382
1.040000	-2555.422159
1.050000	-2615.294888
1.060000	-2656.994909
1.070000	-2705.692411
1.080000	-2740.816581
1.090000	-2779.904505
1.100000	-2823.637196
1.110000	-2856.786795
1.120000	-2870.858828
1.130000	-2852.038946
1.140000	-2850.308752
1.150000	-2844.818206
1.160000	-2839.884683
1.170000	-2804.893616
1.180000	-2781.051832
1.190000	-2789.643438
1.200000	-2800.809469
1.210000	-2791.478000
1.220000	-2753.342215
1.230000	-2705.457375
1.240000	-2661.264292
1.250000	-2628.159975
1.260000	-2607.243952
1.270000	-2583.895984
1.280000	-2542.967100
1.290000	-2506.814954
1.300000	-2465.683648
1.310000	-2430.875005
1.320000	-2399.111691
1.330000	-2350.308705
1.340000	-2296.382367
1.350000	-2230.112833
1.360000	-2188.198219
1.370000	-2156.871123
1.380000	-2130.463959
1.390000	-2117.430695
1.400000	-2117.469656
1.410000	-2104.351224
1.420000	-2078.649289
1.430000	-2059.758567
1.440000	-2045.205439
1.450000	-2029.261661
1.460000	-1997.844764
1.470000	-1968.960426
1.480000	-1937.195379
1.490000	-1907.464564
1.500000	-1886.663152
1.510000	-1870.049829
1.520000	-1848.232596
1.530000	-1810.413690
1.540000	-1760.292315
1.550000	-1704.236661
1.560000	-1656.159178
1.570000	-1611.128934
1.580000	-1539.079350
1.590000	-1418.167418
1.600000	-1275.926699
1.610000	-1126.294714
1.620000	-968.527797
1.630000	-796.201722
1.640000	-605.599547
1.650000	-442.709697
1.660000	-315.699759
1.670000	-223.659633
1.680000	-139.195343
1.690000	-47.112404
1.700000	23.383248
1.710000	73.379606
1.720000	94.128520
1.730000	108.484231
1.740000	123.020344
1.750000	139.097927
1.760000	173.810886
1.770000	198.440083
1.780000	226.904944
1.790000	236.533594
1.800000	252.982374
1.810000	283.091507
1.820000	309.842469
1.830000	330.201466
1.840000	334.864419
1.850000	343.903292
1.860000	353.664492
1.870000	365.460815
1.880000	368.940016
1.890000	373.913306
1.900000	376.014951
1.910000	391.927382
1.920000	403.162487
1.930000	416.177928
1.940000	428.786319
1.950000	418.538280
1.960000	421.401468
1.970000	421.586092
1.980000	434.931848
1.990000	425.318289
2.000000	393.389039
2.010000	356.922115
2.020000	302.918331
2.030000	251.438774
2.040000	199.204274
2.050000	159.152791
2.060000	123.250824
2.070000	74.993802
2.080000	42.234855
2.090000	-0.497275
2.100000	-33.176395
2.110000	-86.315351
2.120000	-141.977377
2.130000	-186.669716
2.140000	-222.680397
2.150000	-259.236447
2.160000	-308.920552
