Time(s)	IR_denoised_wiener
0.000000	-173.828530
0.010000	-246.707494
0.020000	-232.300169
0.030000	-220.393827
0.040000	-219.781858
0.050000	-210.810846
0.060000	-193.792764
0.070000	-166.694700
0.080000	-141.313824
0.090000	-117.015471
0.100000	-89.962710
0.110000	-63.157203
0.120000	-44.091666
0.130000	-38.092945
0.140000	-33.305610
0.150000	-29.190838
0.160000	-13.951925
0.170000	5.865377
0.180000	26.281072
0.190000	35.105755
0.200000	11.698679
0.210000	-28.345411
0.220000	-93.406183
0.230000	-146.126466
0.240000	-212.806951
0.250000	-270.224787
0.260000	-321.732883
0.270000	-345.037057
0.280000	-364.236179
0.290000	-443.407954
0.300000	-528.529471
0.310000	-610.014146
0.320000	-632.141508
0.330000	-653.378287
0.340000	-673.702761
0.350000	-696.527250
0.360000	-724.703389
0.370000	-744.403506
0.380000	-753.173880
0.390000	-745.040896
0.400000	-724.776862
0.410000	-693.436557
0.420000	-657.161127
0.430000	-624.271012
0.440000	-594.286188
0.450000	-564.529886
0.460000	-527.493913
0.470000	-482.903374
0.480000	-444.500360
0.490000	-415.674121
0.500000	-384.221812
0.510000	-337.199463
0.520000	-289.107402
0.530000	-250.802352
0.540000	-239.095694
0.550000	-262.467497
0.560000	-314.125968
0.570000	-370.168360
0.580000	-423.951815
0.590000	-469.284078
0.600000	-504.870178
0.610000	-513.099494
0.620000	-505.612167
0.630000	-492.653138
0.640000	-484.093959
0.650000	-479.584971
0.660000	-478.647089
0.670000	-476.909902
0.680000	-475.618185
0.690000	-474.632330
0.700000	-478.669337
0.710000	-487.072129
0.720000	-505.134377
0.730000	-519.189472
0.740000	-524.017642
0.750000	-518.378173
0.760000	-513.995681
0.770000	-517.945329
0.780000	-518.311511
0.790000	-510.922430
0.800000	-480.985567
0.810000	-443.032852
0.820000	-403.020897
0.830000	-381.901331
0.840000	-375.034853
0.850000	-390.853328
0.860000	-429.739689
0.870000	-480.150926
0.880000	-520.460552
0.890000	-533.503193
0.900000	-534.979458
0.910000	-533.542568
0.920000	-533.859233
0.930000	-523.906604
0.940000	-500.799952
0.950000	-481.693535
0.960000	-466.392885
0.970000	-456.851565
0.980000	-445.991544
0.990000	-441.078186
1.000000	-434.577412
1.010000	-420.000862
1.020000	-396.871629
1.030000	-369.293275
1.040000	-346.535844
1.050000	-327.912798
1.060000	-312.886903
1.070000	-294.533187
1.080000	-268.929930
1.090000	-242.196846
1.100000	-218.648996
1.110000	-200.868712
1.120000	-181.686209
1.130000	-158.563531
1.140000	-132.408416
1.150000	-106.605982
1.160000	-79.456113
1.170000	-45.309005
1.180000	-13.882734
1.190000	13.676174
1.200000	37.359804
1.210000	71.367778
1.220000	112.891069
1.230000	151.374924
1.240000	177.764642
1.250000	182.052343
1.260000	162.668988
1.270000	119.074888
1.280000	76.320620
1.290000	43.732613
1.300000	27.643764
1.310000	27.385542
1.320000	32.957075
1.330000	39.737078
1.340000	46.631940
1.350000	60.797835
1.360000	85.651126
1.370000	108.169399
1.380000	126.391348
1.390000	138.232646
1.400000	157.535362
1.410000	171.250110
1.420000	189.773211
1.430000	213.270275
1.440000	246.388862
1.450000	285.634929
1.460000	312.331018
1.470000	332.436812
1.480000	351.977603
1.490000	446.134237
1.500000	555.628502
1.510000	661.316857
1.520000	700.536178
1.530000	733.882333
1.540000	772.353282
1.550000	808.443972
1.560000	853.604091
1.570000	885.295228
1.580000	900.960734
1.590000	889.174388
1.600000	894.190546
1.610000	911.975797
1.620000	950.843775
1.630000	981.397758
1.640000	1011.992770
1.650000	1032.161380
1.660000	1054.934268
1.670000	1081.622041
1.680000	1115.611960
1.690000	1147.111581
1.700000	1177.052095
1.710000	1210.012034
1.720000	1244.210225
1.730000	1275.643071
1.740000	1305.119478
1.750000	1344.042320
1.760000	1389.730365
1.770000	1434.168429
1.780000	1471.422998
1.790000	1512.752296
1.800000	1561.171365
1.810000	1607.381876
1.820000	1649.687961
1.830000	1684.421192
1.840000	1724.332604
1.850000	1763.493272
1.860000	1804.084701
1.870000	1850.323885
1.880000	1902.246009
1.890000	1958.572661
1.900000	1997.106029
1.910000	2005.271758
1.920000	1982.757991
1.930000	1953.797557
1.940000	1932.809970
1.950000	1924.056764
1.960000	1922.264727
1.970000	1928.095549
1.980000	1940.813222
1.990000	1948.535585
2.000000	1957.176737
2.010000	1979.762225
2.020000	2015.938160
2.030000	2057.402598
2.040000	2088.114785
2.050000	2115.879134
2.060000	2138.034204
2.070000	2160.150675
2.080000	2184.384147
2.090000	2213.865627
2.100000	2245.157596
2.110000	2272.349470
2.120000	2294.387522
2.130000	2310.611638
2.140000	2325.409316
2.150000	2343.653890
2.160000	2366.199553
2.170000	2393.475172
2.180000	2422.093541
2.190000	2454.092942
2.200000	2485.085472
2.210000	2520.186397
2.220000	2556.839891
2.230000	2597.076633
2.240000	2634.021311
2.250000	2675.793443
2.260000	2713.608940
2.270000	2758.350800
2.280000	2799.591780
2.290000	2767.866944
2.300000	2720.711552
2.310000	2676.397190
2.320000	2710.110064
2.330000	2756.664775
2.340000	2786.061873
2.350000	2817.524636
2.360000	2845.068605
2.370000	2880.558069
2.380000	2914.474865
2.390000	2949.082475
2.400000	2990.684505
2.410000	3035.371433
2.420000	3093.726859
2.430000	3153.724815
2.440000	3214.593575
2.450000	3264.508203
2.460000	3323.675526
2.470000	3378.659984
2.480000	3441.287839
2.490000	3580.429584
2.500000	3716.954943
2.510000	3839.513420
2.520000	3866.891669
2.530000	3884.516528
2.540000	3909.101302
2.550000	3931.242899
2.560000	3968.179104
2.570000	3997.321530
2.580000	4034.824918
2.590000	4069.787378
2.600000	4110.986216
2.610000	4164.707699
2.620000	4227.582164
2.630000	4294.083095
2.640000	4356.299030
2.650000	4410.263237
2.660000	4468.187326
2.670000	4522.850057
2.680000	4575.558793
2.690000	4614.861245
2.700000	4638.748584
2.710000	4648.005436
2.720000	4643.396565
2.730000	4641.985525
2.740000	4645.459638
2.750000	4660.435973
2.760000	4669.245626
2.770000	4679.077082
2.780000	4693.810992
2.790000	4713.495508
