Time(s)	IR_denoised_wiener
0.000000	1212.847452
0.010000	2255.072977
0.020000	3157.722327
0.030000	4231.594890
0.040000	5258.627794
0.050000	6237.213278
0.060000	7079.804307
0.070000	7924.296368
0.080000	8683.546624
0.090000	9308.004937
0.100000	9816.336818
0.110000	10168.083203
0.120000	10479.093256
0.130000	10784.147188
0.140000	11129.761700
0.150000	11406.333473
0.160000	11619.970302
0.170000	11899.751041
0.180000	12245.722493
0.190000	12620.635200
0.200000	12808.222995
0.210000	12824.735535
0.220000	12803.292859
0.230000	12821.937030
0.240000	12994.049543
0.250000	13019.930967
0.260000	12977.440715
0.270000	12886.032397
0.280000	12951.615578
0.290000	13422.525512
0.300000	13838.121851
0.310000	14165.809709
0.320000	14150.970413
0.330000	14094.240970
0.340000	14084.863544
0.350000	14068.238752
0.360000	14103.032347
0.370000	14152.274681
0.380000	14211.594315
0.390000	14147.261676
0.400000	13940.113278
0.410000	13676.182483
0.420000	13501.109965
0.430000	13370.230318
0.440000	13225.722529
0.450000	13027.982401
0.460000	12831.917681
0.470000	12686.041968
0.480000	12639.107159
0.490000	12682.940737
0.500000	12808.625272
0.510000	12891.854985
0.520000	12955.882710
0.530000	13071.234677
0.540000	13251.654609
0.550000	13462.152337
0.560000	13580.526779
0.570000	13429.259101
0.580000	13288.999536
0.590000	13395.920295
0.600000	13898.910139
0.610000	14058.486654
0.620000	13296.275864
0.630000	12058.881548
0.640000	10976.493158
0.650000	10402.865094
0.660000	9868.130038
0.670000	9223.078163
0.680000	8491.257243
0.690000	7663.550977
0.700000	6716.026784
0.710000	5777.459761
0.720000	4960.100956
0.730000	4267.085629
0.740000	3601.918322
0.750000	2912.851262
0.760000	2316.548440
0.770000	1929.299374
0.780000	1786.305977
0.790000	1675.418191
0.800000	1456.277367
0.810000	1229.214673
0.820000	1204.567399
0.830000	1688.624429
0.840000	2472.458644
0.850000	3205.996021
0.860000	3500.593334
0.870000	3577.057413
0.880000	3801.476118
0.890000	3876.645910
0.900000	3479.302670
0.910000	2539.612253
0.920000	1439.384557
0.930000	464.663490
0.940000	-371.268411
0.950000	-839.345265
0.960000	-1016.748803
0.970000	-1131.421354
0.980000	-1440.629957
0.990000	-1961.491694
1.000000	-2300.370401
1.010000	-2549.551046
1.020000	-2543.724664
1.030000	-2509.007042
1.040000	-2306.732157
1.050000	-2381.386723
1.060000	-2582.761818
1.070000	-2072.866422
1.080000	-698.996239
1.090000	1017.814013
1.100000	1763.601967
1.110000	1686.854827
1.120000	1252.412564
1.130000	1019.498222
1.140000	1040.507643
1.150000	1093.731783
1.160000	907.809184
1.170000	586.003598
1.180000	476.459100
1.190000	540.889650
1.200000	721.062962
1.210000	815.056235
1.220000	1028.795325
1.230000	1239.996137
1.240000	1291.773872
1.250000	1204.430353
1.260000	1109.064158
1.270000	1078.043784
1.280000	989.494548
1.290000	729.352020
1.300000	461.695307
1.310000	278.468293
1.320000	148.898239
1.330000	58.969540
1.340000	-18.930833
1.350000	-40.660400
1.360000	-76.736708
1.370000	-202.967025
1.380000	-440.053665
1.390000	-753.451283
1.400000	-975.668460
1.410000	-1037.535512
1.420000	-1059.133234
1.430000	-1162.622569
1.440000	-1367.312890
1.450000	-1530.261610
1.460000	-1532.556407
1.470000	-1316.734185
1.480000	-928.414699
1.490000	-600.386030
1.500000	-447.949041
1.510000	-434.619926
1.520000	-339.643071
1.530000	-158.781171
1.540000	66.872206
1.550000	290.375145
1.560000	432.298355
1.570000	553.583579
1.580000	627.483381
1.590000	709.684619
1.600000	706.591054
1.610000	696.924743
1.620000	766.717733
1.630000	895.872092
1.640000	1071.195216
1.650000	1205.614813
1.660000	1282.196736
1.670000	1333.491278
1.680000	1453.030006
1.690000	1646.457036
1.700000	1791.509063
1.710000	1864.356646
1.720000	1828.282613
1.730000	1795.327771
1.740000	1813.543053
1.750000	1895.530534
1.760000	1997.644353
1.770000	2143.245691
1.780000	2313.959032
1.790000	2417.084366
1.800000	2434.472424
1.810000	2430.476547
1.820000	2462.626918
1.830000	2472.877384
1.840000	2473.633916
1.850000	2474.596014
1.860000	2550.477582
1.870000	2582.774918
1.880000	2519.160144
1.890000	2424.933531
1.900000	2403.938012
1.910000	2476.852637
1.920000	2541.700688
1.930000	2597.035648
1.940000	2636.102660
1.950000	2618.780293
1.960000	2612.786817
1.970000	2585.568230
1.980000	2546.571051
1.990000	2472.918111
2.000000	2405.179590
2.010000	2388.596835
2.020000	2384.873992
2.030000	2409.738516
2.040000	2385.960249
2.050000	2245.552000
2.060000	1998.907431
2.070000	1786.701505
2.080000	1660.587504
2.090000	1597.288459
2.100000	1482.660433
2.110000	1293.767520
2.120000	1098.958167
2.130000	925.774404
2.140000	783.511495
2.150000	614.903315
2.160000	442.588256
2.170000	305.379744
2.180000	191.494928
2.190000	22.975744
2.200000	-179.025746
2.210000	-345.330123
2.220000	-422.958916
2.230000	-489.363111
2.240000	-543.713520
2.250000	-615.182485
2.260000	-716.461054
2.270000	-839.985299
2.280000	-956.522349
2.290000	-980.340412
2.300000	-990.411019
2.310000	-1045.014556
2.320000	-1161.564155
2.330000	-1281.190070
2.340000	-1331.057325
2.350000	-1342.363873
2.360000	-1326.208668
2.370000	-1319.990766
2.380000	-1322.636002
2.390000	-1360.742790
2.400000	-1442.061483
2.410000	-1491.985976
2.420000	-1502.053430
2.430000	-1470.299240
2.440000	-1492.032197
2.450000	-1554.034822
2.460000	-1589.585138
2.470000	-1559.233833
2.480000	-1496.059855
2.490000	-1445.857712
2.500000	-1426.180981
2.510000	-1414.763553
2.520000	-1458.550876
2.530000	-1523.506314
2.540000	-1517.487852
2.550000	-1390.425284
2.560000	-1204.795243
2.570000	-1027.752367
2.580000	-955.912775
2.590000	-891.609008
2.600000	-851.407843
2.610000	-820.109454
2.620000	-739.182216
2.630000	-648.946986
2.640000	-488.076908
2.650000	-411.779330
2.660000	-331.369062
2.670000	-198.122674
2.680000	-39.605900
2.690000	31.898913
2.700000	108.315168
2.710000	252.436963
2.720000	487.389850
2.730000	650.393068
2.740000	713.429422
2.750000	804.371512
2.760000	975.855950
2.770000	1244.176483
2.780000	1474.459708
2.790000	1692.681732
2.800000	1956.073864
2.810000	2274.982147
2.820000	2553.319010
2.830000	2800.829253
2.840000	3085.980806
2.850000	3345.235156
2.860000	3543.641802
2.870000	3680.321282
2.880000	3815.723830
2.890000	3896.012015
2.900000	3798.868846
2.910000	3664.340296
2.920000	3546.025896
2.930000	3491.233255
2.940000	3463.534057
2.950000	3465.145904
2.960000	3512.326755
2.970000	3515.680079
2.980000	3467.588162
2.990000	3460.398609
3.000000	3522.917178
3.010000	3664.638550
3.020000	3772.482949
3.030000	3842.417018
3.040000	3834.187179
3.050000	3842.803833
3.060000	3885.246130
3.070000	3888.177142
3.080000	3829.011184
3.090000	3710.184687
3.100000	3645.312549
3.110000	3593.664681
3.120000	3611.107656
3.130000	3734.319108
3.140000	3901.190593
3.150000	4057.553155
3.160000	4101.699411
3.170000	4110.833657
3.180000	4097.250264
3.190000	4083.695076
3.200000	4068.618468
3.210000	4046.427981
3.220000	4028.581244
3.230000	4096.566099
3.240000	4153.599021
3.250000	4135.002111
3.260000	4072.088542
3.270000	3936.814884
3.280000	3891.639412
3.290000	3780.957168
3.300000	3754.898050
3.310000	3718.626272
3.320000	3719.411530
3.330000	3692.851409
3.340000	3597.849960
3.350000	3526.969418
3.360000	3499.611360
3.370000	3523.911848
3.380000	3510.291171
3.390000	3446.250859
3.400000	3493.298494
3.410000	3694.445366
3.420000	3849.483428
3.430000	3916.250913
3.440000	3801.035025
3.450000	3699.357055
3.460000	3601.861355
3.470000	3503.309844
3.480000	3424.926908
3.490000	3399.458666
3.500000	3469.849352
3.510000	3583.839358
3.520000	3601.355078
