Time(s)	RED_denoised_wiener
0.000000	-215.168435
0.010000	-335.714291
0.020000	-365.627740
0.030000	-372.990926
0.040000	-376.515548
0.050000	-375.817467
0.060000	-390.057573
0.070000	-404.482910
0.080000	-413.889387
0.090000	-417.756287
0.100000	-438.711355
0.110000	-474.218629
0.120000	-560.228610
0.130000	-678.453079
0.140000	-833.728619
0.150000	-979.463677
0.160000	-1103.238035
0.170000	-1212.108136
0.180000	-1313.326501
0.190000	-1403.633703
0.200000	-1466.954540
0.210000	-1511.131189
0.220000	-1547.496506
0.230000	-1570.484702
0.240000	-1578.616899
0.250000	-1581.768018
0.260000	-1587.962233
0.270000	-1592.578023
0.280000	-1595.211961
0.290000	-1604.303168
0.300000	-1608.629910
0.310000	-1603.934352
0.320000	-1593.620496
0.330000	-1585.794715
0.340000	-1572.113493
0.350000	-1544.534814
0.360000	-1518.548003
0.370000	-1500.123618
0.380000	-1486.497994
0.390000	-1473.579524
0.400000	-1444.615228
0.410000	-1408.973786
0.420000	-1371.584799
0.430000	-1344.917863
0.440000	-1324.702063
0.450000	-1300.369542
0.460000	-1270.366866
0.470000	-1225.654648
0.480000	-1173.260988
0.490000	-1124.802070
0.500000	-1083.646689
0.510000	-1031.401796
0.520000	-968.594268
0.530000	-907.875900
0.540000	-848.343517
0.550000	-814.924334
0.560000	-804.182728
0.570000	-833.194775
0.580000	-860.023327
0.590000	-874.714328
0.600000	-878.052479
0.610000	-878.077317
0.620000	-873.544089
0.630000	-857.242990
0.640000	-837.227792
0.650000	-819.216849
0.660000	-797.692994
0.670000	-774.688221
0.680000	-758.650346
0.690000	-765.652810
0.700000	-792.691978
0.710000	-824.718724
0.720000	-865.584328
0.730000	-905.543826
0.740000	-955.327162
0.750000	-1001.427656
0.760000	-1039.885888
0.770000	-1060.749063
0.780000	-1066.931690
0.790000	-1065.197130
0.800000	-1064.764676
0.810000	-1068.405604
0.820000	-1074.695255
0.830000	-1082.053764
0.840000	-1087.058543
0.850000	-1099.172736
0.860000	-1109.805306
0.870000	-1115.402908
0.880000	-1114.987468
0.890000	-1116.082379
0.900000	-1124.922990
0.910000	-1132.808665
0.920000	-1136.960215
0.930000	-1139.631810
0.940000	-1138.064292
0.950000	-1137.889535
0.960000	-1141.234516
0.970000	-1140.861547
0.980000	-1135.492006
0.990000	-1114.208869
1.000000	-1095.228842
1.010000	-1087.928777
1.020000	-1117.068992
1.030000	-1186.316003
1.040000	-1268.213097
1.050000	-1330.744319
1.060000	-1363.801822
1.070000	-1395.994250
1.080000	-1420.673139
1.090000	-1445.995083
1.100000	-1456.520691
1.110000	-1471.462927
1.120000	-1470.963551
1.130000	-1463.374983
1.140000	-1458.106810
1.150000	-1455.289806
1.160000	-1480.345198
1.170000	-1490.707638
1.180000	-1499.757715
1.190000	-1493.066947
1.200000	-1492.284556
1.210000	-1491.362788
1.220000	-1478.806398
1.230000	-1464.056778
1.240000	-1440.622467
1.250000	-1421.807122
1.260000	-1395.701927
1.270000	-1384.313907
1.280000	-1356.629689
1.290000	-1299.527720
1.300000	-1216.926094
1.310000	-1128.437094
1.320000	-1059.555047
1.330000	-1015.938977
1.340000	-1000.153079
1.350000	-1014.414737
1.360000	-1020.278164
1.370000	-1011.615235
1.380000	-973.010948
1.390000	-932.899932
1.400000	-888.953554
1.410000	-858.195977
1.420000	-828.437988
1.430000	-780.425217
1.440000	-693.535127
1.450000	-575.679815
1.460000	-444.937693
1.470000	-344.277462
1.480000	-251.432950
1.490000	-35.512466
1.500000	186.792241
1.510000	387.900565
1.520000	458.198234
1.530000	528.382570
1.540000	620.383922
1.550000	693.106055
1.560000	757.463202
1.570000	798.177826
1.580000	846.426439
1.590000	909.275886
1.600000	993.818389
1.610000	1073.379309
1.620000	1132.675858
1.630000	1153.244343
1.640000	1149.396472
1.650000	1121.847931
1.660000	1105.990988
1.670000	1108.153107
1.680000	1119.661805
1.690000	1115.199475
1.700000	1108.563033
1.710000	1119.053335
1.720000	1153.224346
1.730000	1187.288337
1.740000	1228.103684
1.750000	1272.632712
1.760000	1333.498615
1.770000	1396.044092
1.780000	1456.401123
1.790000	1520.295767
1.800000	1575.069743
1.810000	1636.444648
1.820000	1694.489807
1.830000	1756.465276
1.840000	1806.673971
1.850000	1827.978380
1.860000	1827.423587
1.870000	1795.614619
1.880000	1760.112238
1.890000	1725.026548
1.900000	1707.679833
1.910000	1698.209012
1.920000	1699.797663
1.930000	1699.530851
1.940000	1689.114287
1.950000	1691.126089
1.960000	1729.960330
1.970000	1798.495010
1.980000	1859.252379
1.990000	1933.223025
2.000000	2061.132921
2.010000	2241.037234
2.020000	2407.377893
2.030000	2511.773512
2.040000	2542.601115
2.050000	2524.489030
2.060000	2488.390415
2.070000	2472.442003
2.080000	2481.642091
2.090000	2498.889992
2.100000	2520.822851
2.110000	2555.930843
2.120000	2608.220543
2.130000	2655.130228
2.140000	2682.876090
2.150000	2681.910553
2.160000	2664.496390
2.170000	2654.964398
2.180000	2677.692702
2.190000	2739.882440
2.200000	2824.736619
2.210000	2923.404616
2.220000	3027.700111
2.230000	3127.508004
2.240000	3234.311507
2.250000	3342.154128
2.260000	3454.875811
2.270000	3542.970012
2.280000	3595.420910
2.290000	3610.409803
2.300000	3600.940651
2.310000	3597.165886
2.320000	3595.639207
2.330000	3591.858714
2.340000	3582.950406
2.350000	3588.222477
2.360000	3612.834570
2.370000	3640.808469
2.380000	3673.715658
2.390000	3712.008523
2.400000	3756.550069
2.410000	3792.786798
2.420000	3810.685805
2.430000	3822.249495
2.440000	3837.107222
2.450000	3855.313031
2.460000	3880.166276
2.470000	3901.302658
2.480000	3934.261631
2.490000	4038.713493
2.500000	4174.718222
2.510000	4330.170397
2.520000	4445.014169
2.530000	4556.868039
2.540000	4679.217687
2.550000	4805.820038
2.560000	4935.745671
2.570000	5052.039193
2.580000	5158.309245
2.590000	5243.531839
2.600000	5305.545381
2.610000	5327.968159
2.620000	5348.246567
2.630000	5370.631621
2.640000	5413.305408
2.650000	5454.840061
2.660000	5495.411699
2.670000	5528.686377
2.680000	5565.221080
2.690000	5624.214031
2.700000	5692.600327
2.710000	5762.415011
2.720000	5824.636794
2.730000	5889.663549
2.740000	5962.988076
2.750000	6039.211154
2.760000	6119.019048
2.770000	6200.414988
2.780000	6286.394579
2.790000	6373.599431
2.800000	6453.086675
2.810000	6519.459316
2.820000	6578.141288
2.830000	6644.345941
2.840000	6720.160049
2.850000	6799.209835
2.860000	6878.856507
2.870000	6970.112218
2.880000	7070.517140
2.890000	7169.994996
2.900000	7255.504370
2.910000	7314.881644
2.920000	7347.190568
2.930000	7349.096462
2.940000	7354.981699
2.950000	7381.263147
2.960000	7423.717172
2.970000	7467.401201
2.980000	7512.828973
2.990000	7570.567094
3.000000	7636.567165
3.010000	7706.732312
3.020000	7781.984811
3.030000	7871.919849
3.040000	7956.652771
3.050000	8026.465994
3.060000	8080.341324
3.070000	8127.369237
3.080000	8180.368704
3.090000	8237.894423
3.100000	8299.057885
3.110000	8366.421794
3.120000	8435.051560
3.130000	8507.293244
3.140000	8583.696663
3.150000	8665.488472
3.160000	8749.985118
3.170000	8836.341627
3.180000	8924.928518
3.190000	9015.510067
3.200000	9101.503391
3.210000	9185.016516
3.220000	9266.720298
3.230000	9347.501324
3.240000	9427.243948
3.250000	9506.629489
3.260000	9591.086751
3.270000	9683.053774
3.280000	9774.202481
3.290000	9866.807778
3.300000	9955.261866
3.310000	10058.926985
3.320000	10159.512373
3.330000	10251.039069
3.340000	10329.725772
3.350000	10374.057032
3.360000	10396.317593
3.370000	10381.282627
3.380000	10374.022414
3.390000	10372.991725
3.400000	10382.686103
3.410000	10397.613011
3.420000	10415.294974
3.430000	10452.554754
3.440000	10484.052641
3.450000	10517.849919
3.460000	10558.726665
3.470000	10616.414340
3.480000	10680.932427
3.490000	10734.540148
3.500000	10786.124114
3.510000	10837.556171
3.520000	10887.546556
3.530000	10945.504239
3.540000	11004.155658
3.550000	11071.055267
3.560000	11123.908031
3.570000	11186.287148
3.580000	11253.467098
3.590000	11306.360144
3.600000	11367.350042
3.610000	11430.227252
3.620000	11530.215364
3.630000	11634.104177
3.640000	11742.366768
3.650000	11840.462488
