Time(s)	GREEN_denoised_median
0.000000	-760.208532
0.010000	-760.208532
0.020000	-760.208532
0.030000	-649.224894
0.040000	-518.417845
0.050000	-410.000913
0.060000	-281.367459
0.070000	-185.009842
0.080000	-42.928828
0.090000	65.580604
0.100000	206.942985
0.110000	300.802415
0.120000	437.319199
0.130000	516.539686
0.140000	670.371413
0.150000	766.592231
0.160000	935.186069
0.170000	935.186069
0.180000	935.186069
0.190000	731.083703
0.200000	-514.438386
0.210000	-520.732546
0.220000	-560.507572
0.230000	-580.980792
0.240000	-587.515703
0.250000	-599.653484
0.260000	-599.653484
0.270000	-599.653484
0.280000	-529.570062
0.290000	-492.222424
0.300000	-388.821219
0.310000	-323.930417
0.320000	-207.470955
0.330000	-111.014020
0.340000	22.301990
0.350000	138.669903
0.360000	279.409251
0.370000	407.212472
0.380000	553.782211
0.390000	685.653766
0.400000	831.404840
0.410000	964.023192
0.420000	1108.251978
0.430000	1236.332314
0.440000	1375.335140
0.450000	1501.589026
0.460000	1641.644717
0.470000	1773.803202
0.480000	1923.174344
0.490000	2069.987086
0.500000	2220.870940
0.510000	2220.870940
0.520000	2220.870940
0.530000	2170.377148
0.540000	1892.693056
0.550000	1578.925006
0.560000	1316.845630
0.570000	1138.424043
0.580000	1042.011697
0.590000	992.939583
0.600000	992.939583
0.610000	992.939583
0.620000	1029.824183
0.630000	1096.277390
0.640000	1147.375397
0.650000	1147.375397
0.660000	1147.375397
0.670000	1127.124798
0.680000	1097.967196
0.690000	1097.967196
0.700000	1097.967196
0.710000	1113.360710
0.720000	1157.064696
0.730000	1216.692846
0.740000	1286.260685
0.750000	1370.181734
0.760000	1460.552289
0.770000	1557.824261
0.780000	1667.991039
0.790000	1786.571171
0.800000	1917.587516
0.810000	2046.402404
0.820000	2172.359165
0.830000	2306.403460
0.840000	2432.194997
0.850000	2559.616823
0.860000	2684.132651
0.870000	2808.994130
0.880000	2930.194034
0.890000	3048.529393
0.900000	3163.397411
0.910000	3163.397411
0.920000	3163.397411
0.930000	3060.123349
0.940000	2798.958639
0.950000	2512.475030
0.960000	2261.410672
0.970000	2104.975363
0.980000	2010.764858
0.990000	1995.876893
1.000000	1995.876893
1.010000	1995.876893
1.020000	2050.475342
1.030000	2134.263803
1.040000	2178.785370
1.050000	2191.375340
1.060000	2191.375340
1.070000	2191.375340
1.080000	2169.224806
1.090000	2169.224806
1.100000	2169.224806
1.110000	2218.681354
1.120000	2242.416307
1.130000	2329.814127
1.140000	2366.489004
1.150000	2479.778370
1.160000	2523.980023
1.170000	2660.755730
1.180000	2707.695600
1.190000	2865.956806
1.200000	4077.617016
1.210000	4222.946315
1.220000	4222.946315
1.230000	4222.946315
1.240000	3982.677520
1.250000	3690.146275
1.260000	3289.897284
1.270000	3001.275600
1.280000	2747.478702
1.290000	2620.042745
1.300000	2506.676158
1.310000	2460.440292
1.320000	2405.461956
1.330000	2405.461956
1.340000	2405.461956
1.350000	2405.461956
1.360000	2405.461956
1.370000	2386.647237
1.380000	2322.114159
1.390000	2260.763934
1.400000	2200.040582
1.410000	2160.122298
1.420000	2150.348520
1.430000	2150.348520
1.440000	2150.348520
1.450000	2179.293105
1.460000	2226.869021
1.470000	2272.023576
1.480000	2348.721087
1.490000	2414.725335
1.500000	2508.976797
1.510000	2590.388070
1.520000	2703.648957
1.530000	2782.928168
1.540000	2906.898973
1.550000	2986.187705
1.560000	3113.830995
1.570000	3182.076757
1.580000	3182.076757
1.590000	3182.076757
1.600000	2400.243896
1.610000	2102.250115
1.620000	1948.038872
1.630000	1786.241183
1.640000	1708.682222
1.650000	1612.878847
1.660000	1586.026661
1.670000	1572.729027
1.680000	1570.298148
1.690000	1541.736035
1.700000	1479.759163
1.710000	1397.375455
1.720000	1303.964978
1.730000	1233.260503
1.740000	1159.185027
1.750000	1142.562494
1.760000	1138.474916
1.770000	1138.474916
1.780000	1138.474916
1.790000	1193.152658
1.800000	2065.490813
1.810000	2187.699604
1.820000	2245.422451
1.830000	2354.858578
1.840000	2413.930304
1.850000	2527.762043
1.860000	2601.062747
1.870000	2630.255605
1.880000	2630.255605
1.890000	2630.255605
1.900000	2364.703473
1.910000	1997.788035
1.920000	1595.692512
1.930000	1280.646561
1.940000	1049.508898
1.950000	903.688792
1.960000	808.396578
1.970000	744.945470
1.980000	732.686471
1.990000	724.954515
2.000000	711.407623
2.010000	711.407623
2.020000	698.206169
2.030000	623.561768
2.040000	549.103850
2.050000	459.159978
2.060000	407.357393
2.070000	362.016847
2.080000	362.016847
2.090000	362.016847
2.100000	398.187895
2.110000	404.148824
2.120000	478.049770
2.130000	506.824219
2.140000	609.710805
2.150000	649.957070
2.160000	779.324253
2.170000	826.361611
2.180000	826.361611
2.190000	826.361611
2.200000	-55.362496
2.210000	-80.248081
2.220000	-107.581078
2.230000	-142.635106
2.240000	-164.156270
2.250000	-275.525499
2.260000	-300.885553
2.270000	-351.799463
2.280000	-351.799463
2.290000	-351.799463
2.300000	-306.995534
2.310000	-285.556852
2.320000	-212.490620
2.330000	-165.314996
2.340000	-68.415683
2.350000	-0.347722
2.360000	110.219207
2.370000	202.404129
2.380000	320.289513
2.390000	427.080393
2.400000	553.691762
2.410000	658.703374
2.420000	780.457893
2.430000	882.264492
2.440000	996.557513
2.450000	1093.798432
2.460000	1212.987816
2.470000	1316.263089
2.480000	1439.762580
2.490000	1539.648678
2.500000	1539.648678
2.510000	1539.648678
2.520000	1438.454002
2.530000	1068.805209
2.540000	638.761775
2.550000	212.785239
2.560000	-83.626818
2.570000	-325.650589
2.580000	-461.532170
2.590000	-603.402608
2.600000	-1065.299216
2.610000	-1065.299216
2.620000	-1065.299216
2.630000	-1048.622162
2.640000	-982.182738
2.650000	-936.492361
2.660000	-850.575891
2.670000	-776.544576
2.680000	-669.574860
2.690000	-578.727343
2.700000	-454.175553
2.710000	-345.055870
2.720000	-215.417121
2.730000	-105.468773
2.740000	23.682758
2.750000	132.025170
2.760000	254.110385
2.770000	356.454582
2.780000	483.874787
2.790000	588.751206
2.800000	716.013860
2.810000	824.932409
2.820000	960.507623
2.830000	1076.982930
2.840000	1189.575085
2.850000	1189.575085
2.860000	1189.575085
2.870000	916.386253
2.880000	556.503432
2.890000	145.924651
2.900000	-824.952769
2.910000	-906.041207
2.920000	-963.658524
