Time(s)	GREEN_denoised_wiener
0.000000	157.295928
0.010000	239.252717
0.020000	239.140504
0.030000	240.480679
0.040000	243.429511
0.050000	248.699129
0.060000	240.996557
0.070000	213.596143
0.080000	171.584114
0.090000	121.484877
0.100000	66.149049
0.110000	9.029097
0.120000	-44.961807
0.130000	-91.441582
0.140000	-132.437344
0.150000	-170.928924
0.160000	-207.587556
0.170000	-241.092112
0.180000	-269.083200
0.190000	-295.287266
0.200000	-324.263347
0.210000	-354.815792
0.220000	-385.793089
0.230000	-413.687613
0.240000	-440.020029
0.250000	-462.231906
0.260000	-480.271148
0.270000	-495.464229
0.280000	-509.541233
0.290000	-523.044759
0.300000	-532.151066
0.310000	-537.322404
0.320000	-539.781933
0.330000	-541.287393
0.340000	-542.429063
0.350000	-540.930902
0.360000	-538.106031
0.370000	-533.924285
0.380000	-528.470458
0.390000	-522.607192
0.400000	-515.852153
0.410000	-509.649924
0.420000	-503.249250
0.430000	-495.713810
0.440000	-486.001278
0.450000	-476.475834
0.460000	-463.425621
0.470000	-446.603260
0.480000	-433.226570
0.490000	-438.107860
0.500000	-465.688893
0.510000	-508.603427
0.520000	-559.173963
0.530000	-611.126651
0.540000	-659.687152
0.550000	-702.012708
0.560000	-737.898639
0.570000	-768.259745
0.580000	-795.806477
0.590000	-818.852972
0.600000	-837.744999
0.610000	-851.467732
0.620000	-868.401426
0.630000	-889.086552
0.640000	-910.406887
0.650000	-929.732598
0.660000	-946.778151
0.670000	-962.407969
0.680000	-973.832342
0.690000	-980.783354
0.700000	-982.244348
0.710000	-981.196368
0.720000	-978.009272
0.730000	-973.303593
0.740000	-964.458909
0.750000	-953.784728
0.760000	-940.594100
0.770000	-927.301574
0.780000	-914.083740
0.790000	-900.844999
0.800000	-887.601069
0.810000	-871.741980
0.820000	-855.158241
0.830000	-836.992269
0.840000	-816.743953
0.850000	-798.616398
0.860000	-781.342253
0.870000	-760.593086
0.880000	-734.976265
0.890000	-711.955089
0.900000	-702.982230
0.910000	-708.982506
0.920000	-726.336709
0.930000	-749.365250
0.940000	-772.719736
0.950000	-791.777609
0.960000	-806.476220
0.970000	-816.884570
0.980000	-824.263520
0.990000	-827.679676
1.000000	-826.746450
1.010000	-821.837619
1.020000	-814.259306
1.030000	-806.359063
1.040000	-799.463268
1.050000	-793.570704
1.060000	-788.025872
1.070000	-782.142622
1.080000	-774.613714
1.090000	-765.077328
1.100000	-751.891474
1.110000	-736.714434
1.120000	-720.861525
1.130000	-704.708755
1.140000	-686.184537
1.150000	-664.399223
1.160000	-641.207868
1.170000	-616.777712
1.180000	-591.591262
1.190000	-565.513570
1.200000	-540.004630
