Time(s)	IR_denoised_median
0.000000	1159.528081
0.010000	1159.528081
0.020000	1159.528081
0.030000	1154.427777
0.040000	1154.427777
0.050000	1154.427777
0.060000	1178.211684
0.070000	1217.762389
0.080000	1265.016374
0.090000	1289.670383
0.100000	1292.880927
0.110000	1294.928056
0.120000	1294.928056
0.130000	1308.259829
0.140000	1316.857363
0.150000	1326.870922
0.160000	1333.169584
0.170000	1348.297854
0.180000	1374.646498
0.190000	1413.776365
0.200000	1458.165439
0.210000	1525.389945
0.220000	1584.616706
0.230000	1624.120435
0.240000	1670.236071
0.250000	1737.882256
0.260000	1790.776608
0.270000	1830.809825
0.280000	1901.491449
0.290000	1947.525093
0.300000	2021.560920
0.310000	2063.989234
0.320000	2131.004706
0.330000	2201.295781
0.340000	2261.524695
0.350000	2261.524695
0.360000	2261.524695
0.370000	2207.351424
0.380000	2099.413656
0.390000	1953.961964
0.400000	1806.067082
0.410000	1703.654872
0.420000	1616.551974
0.430000	1589.598683
0.440000	1587.105249
0.450000	1587.105249
0.460000	1587.105249
0.470000	1597.968024
0.480000	1597.968024
0.490000	1597.968024
0.500000	1564.015227
0.510000	1490.008303
0.520000	1404.712209
0.530000	1312.013577
0.540000	1189.368714
0.550000	1106.302624
0.560000	1002.698824
0.570000	885.805135
0.580000	764.059404
0.590000	590.180566
0.600000	420.729901
0.610000	265.450857
0.620000	124.395971
0.630000	-27.326434
0.640000	-163.778688
0.650000	-289.168121
0.660000	-406.934102
0.670000	-506.956694
0.680000	-569.047251
0.690000	-577.744902
0.700000	-670.568477
0.710000	-770.934219
0.720000	-878.288933
0.730000	-936.963809
0.740000	-959.188771
0.750000	-967.014499
0.760000	-1105.421601
0.770000	-1351.600921
0.780000	-1577.362790
0.790000	-1781.535212
0.800000	-1927.206022
0.810000	-2017.796301
0.820000	-2017.796301
0.830000	-2017.796301
0.840000	-1986.963616
0.850000	-1986.782283
0.860000	-1963.368727
0.870000	-1894.230423
0.880000	-1832.168882
0.890000	-1820.482121
0.900000	-1813.056645
0.910000	-1813.056645
0.920000	-1813.056645
0.930000	-1831.389234
0.940000	-1831.389234
0.950000	-1831.389234
0.960000	-1800.634615
0.970000	-1777.242449
0.980000	-1767.874418
0.990000	-1732.989571
1.000000	-1726.651936
1.010000	-1725.772618
1.020000	-1717.367589
1.030000	-1699.393118
1.040000	-1668.302412
1.050000	-1609.039220
1.060000	-1528.944166
1.070000	-1448.750362
1.080000	-1391.621738
1.090000	-1360.435801
1.100000	-1358.330907
1.110000	-1349.044759
1.120000	-1328.160125
1.130000	-1268.624975
1.140000	-1268.624975
1.150000	-1268.624975
1.160000	-1327.092821
1.170000	-1497.945832
1.180000	-1694.130101
1.190000	-1855.444669
1.200000	-1986.384146
1.210000	-2098.001366
1.220000	-2168.588818
1.230000	-2180.574506
1.240000	-2180.574506
1.250000	-2180.574506
1.260000	-2143.807093
1.270000	-2129.892091
1.280000	-2129.892091
1.290000	-2129.892091
1.300000	-2146.708166
1.310000	-2156.094649
1.320000	-2183.167874
1.330000	-2183.167874
1.340000	-2183.167874
1.350000	-2146.194966
1.360000	-2090.631235
1.370000	-2050.336887
1.380000	-1987.949936
1.390000	-1928.702218
1.400000	-1869.242143
1.410000	-1785.061962
1.420000	-1705.735907
1.430000	-1635.405354
1.440000	-1585.303122
1.450000	-1535.718193
1.460000	-1465.922433
1.470000	-1388.176972
1.480000	-1304.569568
1.490000	-1218.696083
1.500000	-1160.345247
1.510000	-1105.123389
1.520000	-1039.207371
1.530000	-1039.207371
1.540000	-1039.207371
1.550000	-1045.231003
1.560000	-1158.172817
1.570000	-1311.875732
1.580000	-1423.981756
1.590000	-1557.981061
1.600000	-1680.585248
1.610000	-1712.425546
1.620000	-1712.425546
1.630000	-1712.425546
1.640000	-1639.070557
1.650000	-1550.871052
1.660000	-1481.887706
1.670000	-1444.319005
1.680000	-1444.319005
1.690000	-1444.319005
1.700000	-1445.158799
1.710000	-1450.027010
1.720000	-1450.027010
1.730000	-1445.158799
1.740000	-1427.391193
1.750000	-1377.877814
1.760000	-1321.650892
1.770000	-1299.599921
1.780000	-1269.747881
1.790000	-1216.459432
1.800000	-1173.044515
1.810000	-1115.226137
1.820000	-1080.576524
1.830000	-1056.921847
1.840000	-1034.180042
1.850000	-974.607466
1.860000	-930.095748
1.870000	-868.127355
1.880000	-796.187531
1.890000	-762.826334
1.900000	-725.094397
1.910000	-695.744782
1.920000	-695.744782
1.930000	-695.744782
1.940000	-778.002985
1.950000	-930.867007
1.960000	-1110.023366
1.970000	-1273.923194
1.980000	-1404.174293
1.990000	-1485.053702
2.000000	-1520.446100
2.010000	-1520.446100
2.020000	-1520.446100
2.030000	-1518.617804
2.040000	-1466.056926
2.050000	-1381.998845
2.060000	-1330.646291
2.070000	-1307.257555
2.080000	-1279.226116
2.090000	-1277.758478
2.100000	-1250.643723
2.110000	-1234.570405
2.120000	-1204.959819
2.130000	-1169.537747
2.140000	-1155.395710
2.150000	-1107.345615
2.160000	-1057.136794
2.170000	-1012.152867
2.180000	-978.941778
2.190000	-931.937992
2.200000	-862.860182
2.210000	-800.891834
2.220000	-763.812945
2.230000	-716.766641
2.240000	-664.941082
2.250000	-631.756758
2.260000	-585.984196
2.270000	-532.912090
2.280000	-477.090029
2.290000	-440.179001
2.300000	-385.098934
2.310000	-329.660907
2.320000	-310.680124
2.330000	-310.680124
2.340000	-310.680124
2.350000	-422.251534
2.360000	-577.141176
2.370000	-721.465955
2.380000	-837.765203
2.390000	-929.801412
2.400000	-958.333663
2.410000	-977.455558
2.420000	-987.817465
2.430000	-987.817465
2.440000	-987.817465
2.450000	-950.072555
2.460000	-925.813776
2.470000	-923.940924
2.480000	-923.235953
2.490000	-923.235953
2.500000	-923.235953
2.510000	-923.235953
2.520000	-923.235953
2.530000	-912.895278
2.540000	-888.726489
2.550000	-867.062099
2.560000	-851.550210
2.570000	-814.200282
2.580000	-760.523905
2.590000	-704.419146
2.600000	-659.554302
2.610000	-603.596145
2.620000	-555.755495
2.630000	-507.754008
2.640000	-450.009139
2.650000	-406.058537
2.660000	-346.171842
2.670000	-300.582784
2.680000	-272.314487
2.690000	-209.009257
2.700000	-155.778825
2.710000	-65.235311
2.720000	17.449325
2.730000	83.585900
2.740000	83.585900
2.750000	83.585900
2.760000	24.176606
2.770000	-109.382987
2.780000	-258.574525
2.790000	-379.749005
2.800000	-474.500405
2.810000	-529.123134
2.820000	-557.551981
2.830000	-609.645354
2.840000	-662.466139
2.850000	-662.466139
2.860000	-662.466139
2.870000	-615.871280
2.880000	-597.694266
2.890000	-597.694266
2.900000	-597.694266
2.910000	-600.773354
2.920000	-607.195580
2.930000	-607.195580
2.940000	-600.773354
2.950000	-594.132540
2.960000	-557.763222
2.970000	-530.269612
2.980000	-489.698695
2.990000	-421.470135
3.000000	-373.849562
3.010000	-332.541187
3.020000	-275.019759
3.030000	-216.758109
3.040000	-155.181462
3.050000	-115.090864
3.060000	-110.353343
3.070000	-83.266825
3.080000	-25.700717
3.090000	42.441311
3.100000	130.995122
3.110000	220.029658
3.120000	295.669998
3.130000	357.618132
3.140000	423.356982
3.150000	492.120188
3.160000	492.120188
3.170000	492.120188
3.180000	440.609801
3.190000	307.997421
3.200000	157.215662
3.210000	38.511862
3.220000	-51.358745
3.230000	-111.996622
3.240000	-111.996622
3.250000	-111.996622
3.260000	-100.569041
3.270000	-76.228125
3.280000	-17.061121
3.290000	33.127416
3.300000	33.127416
3.310000	33.127416
3.320000	-3.189571
3.330000	-11.514328
3.340000	-35.085556
3.350000	-35.085556
3.360000	-35.085556
3.370000	-33.735785
3.380000	-12.814571
3.390000	16.620398
3.400000	59.261612
3.410000	81.846865
3.420000	93.428962
3.430000	136.139548
3.440000	185.388833
3.450000	214.402422
3.460000	263.509614
3.470000	314.481478
3.480000	360.639548
3.490000	411.583080
3.500000	458.697701
3.510000	499.680667
3.520000	524.714268
3.530000	555.845226
3.540000	608.693031
3.550000	660.885681
3.560000	684.637558
3.570000	708.060682
3.580000	751.542270
3.590000	751.542270
3.600000	751.542270
3.610000	642.449050
3.620000	478.947589
3.630000	301.716841
3.640000	179.789303
3.650000	97.736608
3.660000	86.530521
3.670000	86.530521
3.680000	86.530521
3.690000	110.679632
3.700000	148.360743
3.710000	192.645292
3.720000	238.374145
3.730000	238.374145
3.740000	238.374145
3.750000	238.053905
3.760000	234.414525
3.770000	228.755510
3.780000	228.755510
3.790000	228.755510
3.800000	251.205205
3.810000	271.469258
3.820000	317.095381
3.830000	352.154495
3.840000	396.128188
3.850000	431.729514
3.860000	475.244298
3.870000	523.241795
3.880000	550.291721
3.890000	596.927303
3.900000	643.165297
3.910000	691.667684
3.920000	758.067482
3.930000	820.297804
3.940000	867.995395
3.950000	923.010277
3.960000	966.806550
3.970000	1005.785690
3.980000	1081.709548
3.990000	1141.295050
4.000000	1193.779525
4.010000	1254.817554
4.020000	1257.536621
4.030000	1257.536621
4.040000	1257.536621
4.050000	1086.251938
4.060000	906.272485
4.070000	749.130269
4.080000	613.916361
4.090000	520.061778
4.100000	458.479416
4.110000	435.032046
4.120000	423.953486
4.130000	423.953486
4.140000	423.953486
4.150000	425.358846
4.160000	425.358846
4.170000	425.358846
4.180000	389.124256
4.190000	345.396774
4.200000	326.680205
4.210000	326.680205
4.220000	326.680205
4.230000	330.060879
4.240000	330.060879
4.250000	333.028107
4.260000	338.056041
4.270000	340.943746
4.280000	342.206686
4.290000	349.874288
4.300000	394.447797
4.310000	449.984741
4.320000	495.140338
4.330000	516.765492
4.340000	565.008108
4.350000	634.394985
4.360000	679.768521
4.370000	755.299054
4.380000	810.242663
4.390000	865.401631
4.400000	940.716552
4.410000	999.350485
4.420000	1052.324208
4.430000	1096.262215
4.440000	1143.978837
4.450000	1175.085341
4.460000	1225.791585
4.470000	1286.405140
4.480000	1286.405140
4.490000	1286.405140
4.500000	1144.502097
4.510000	974.123973
4.520000	851.546359
4.530000	750.564324
4.540000	654.620124
4.550000	617.200074
4.560000	604.457045
4.570000	594.872712
4.580000	581.336564
4.590000	581.336564
4.600000	581.336564
4.610000	596.851101
4.620000	596.851101
4.630000	596.851101
4.640000	575.684996
4.650000	569.968995
4.660000	541.545580
4.670000	515.776323
4.680000	483.313644
4.690000	459.654659
4.700000	459.654659
4.710000	459.654659
4.720000	473.948008
4.730000	488.715177
4.740000	491.056828
4.750000	491.118860
4.760000	504.898143
4.770000	519.025971
4.780000	522.982897
4.790000	526.219923
4.800000	526.841907
4.810000	540.784242
4.820000	585.786870
4.830000	653.452844
4.840000	700.638188
4.850000	728.244119
4.860000	762.560841
4.870000	815.998774
4.880000	902.489070
4.890000	902.489070
4.900000	902.489070
4.910000	875.382430
4.920000	719.279516
4.930000	541.194918
4.940000	379.222184
4.950000	258.973647
4.960000	153.019544
4.970000	93.917363
4.980000	93.917363
4.990000	93.917363
5.000000	127.623465
5.010000	178.430451
5.020000	229.574443
5.030000	270.903897
5.040000	270.903897
5.050000	270.903897
5.060000	257.365098
5.070000	242.660105
5.080000	242.660105
5.090000	242.660105
5.100000	244.789762
5.110000	288.634330
5.120000	344.474851
5.130000	359.438421
5.140000	382.437047
5.150000	424.134836
5.160000	476.344669
5.170000	544.866694
5.180000	618.201622
5.190000	702.644089
5.200000	791.018057
5.210000	851.349665
5.220000	911.996293
5.230000	960.940245
5.240000	1011.038543
5.250000	1077.532860
5.260000	1161.035883
5.270000	1249.084610
5.280000	1324.013753
5.290000	1383.673557
5.300000	1446.041244
5.310000	1526.248778
5.320000	1542.070947
5.330000	1542.070947
5.340000	1542.070947
5.350000	1413.264682
5.360000	1231.918841
5.370000	1098.211817
5.380000	969.366165
5.390000	901.422105
5.400000	901.422105
5.410000	901.422105
5.420000	914.960788
5.430000	931.576236
5.440000	952.480310
5.450000	1003.574844
5.460000	1023.671383
5.470000	1023.671383
5.480000	1025.215600
5.490000	1023.671383
5.500000	1025.215600
5.510000	1028.753357
5.520000	1029.441465
5.530000	1056.018470
5.540000	1090.066383
5.550000	1112.664085
5.560000	1136.764139
5.570000	1183.316524
5.580000	1236.344889
5.590000	1269.925607
5.600000	1303.032460
5.610000	1349.503626
5.620000	1402.646208
5.630000	1464.086580
5.640000	1512.177629
5.650000	1562.753577
5.660000	1606.620899
5.670000	1655.457971
5.680000	1712.019203
5.690000	1774.127828
5.700000	1816.332040
5.710000	1858.901164
5.720000	1915.604356
5.730000	1960.542298
5.740000	2019.996150
5.750000	2076.037564
5.760000	2148.466506
5.770000	2148.466506
5.780000	2148.466506
5.790000	2053.999408
5.800000	1913.074721
5.810000	1794.563301
5.820000	1723.326318
5.830000	1646.885036
5.840000	1593.769958
5.850000	1585.155381
5.860000	1585.155381
5.870000	1585.155381
5.880000	1589.086146
5.890000	1589.086146
5.900000	1589.086146
5.910000	1545.225407
5.920000	1480.617724
5.930000	1434.080085
5.940000	1397.080327
5.950000	1367.914496
5.960000	1313.416660
5.970000	1278.923819
5.980000	1234.504707
5.990000	1226.837478
6.000000	1226.837478
6.010000	1226.837478
6.020000	1226.837478
6.030000	1226.837478
6.040000	1212.686256
6.050000	1178.726418
6.060000	1158.530528
6.070000	1141.619224
6.080000	1118.326514
6.090000	1115.561027
