Time(s)	GREEN_denoised_wiener
0.000000	212.010388
0.010000	266.569121
0.020000	199.015682
0.030000	237.789491
0.040000	315.142044
0.050000	447.906488
0.060000	571.709683
0.070000	723.967368
0.080000	803.561132
0.090000	801.612552
0.100000	733.811003
0.110000	648.010337
0.120000	561.975803
0.130000	446.944537
0.140000	316.587992
0.150000	185.879784
0.160000	77.218006
0.170000	-1.226654
0.180000	-59.203850
0.190000	-106.001181
0.200000	-173.691021
0.210000	-254.001010
0.220000	-321.132875
0.230000	-368.389494
0.240000	-411.639606
0.250000	-461.432972
0.260000	-511.102018
0.270000	-539.773768
0.280000	-566.343355
0.290000	-547.613749
0.300000	-504.430337
0.310000	-449.434296
0.320000	-354.742465
0.330000	-256.433650
0.340000	-138.247313
0.350000	-75.353940
0.360000	-12.062561
0.370000	62.265536
0.380000	112.660423
0.390000	112.905884
0.400000	55.431443
0.410000	-14.979824
0.420000	-76.530524
0.430000	-147.311617
0.440000	-189.675938
0.450000	-217.788926
0.460000	-218.081724
0.470000	-226.405188
0.480000	-248.742029
0.490000	-260.273406
0.500000	-261.809281
0.510000	-257.487318
0.520000	-279.623812
0.530000	-307.224689
0.540000	-329.469493
0.550000	-339.643201
0.560000	-353.713997
0.570000	-366.005441
0.580000	-369.290739
0.590000	-361.718926
0.600000	-339.532037
0.610000	-290.077756
0.620000	-232.864752
0.630000	-172.064185
0.640000	-114.541231
0.650000	-60.034044
0.660000	31.555394
0.670000	179.937156
0.680000	311.726747
0.690000	446.828362
0.700000	545.397808
0.710000	591.448934
0.720000	560.041470
0.730000	474.866959
0.740000	450.598922
0.750000	427.469783
0.760000	381.919746
0.770000	312.798090
0.780000	220.575632
0.790000	132.196385
0.800000	32.112087
0.810000	-95.742796
0.820000	-203.846198
0.830000	-307.189731
0.840000	-368.664105
0.850000	-398.770152
0.860000	-401.466763
0.870000	-359.962961
0.880000	-302.729776
0.890000	-219.050835
0.900000	-124.400741
0.910000	-51.187889
0.920000	10.374866
0.930000	59.643768
0.940000	98.822336
